puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
71,6.0,"['Jonathan Milott', 'Cary Murnion']","['Ruckus Skye', 'Lane Skye', 'Nick Morris']",-,93,Accion,becky,tt10314450
,3.9,Balázs Lóth,"['Ákos Inotay', 'Mark Kis-Szabo', 'Balázs Lóth']","After their friend dies in an accident, Marcell, the rich but burnt-out architect and the rest of his loser childhood buddies decide to team up for the last time to fulfill their friend's last wish by smuggling his crappy painting into the most prestigious art auction of Budapest... Leer todo",104,Accion,pesti balhé,tt10319486
82,-,-,-,"'LEO' is about a guy who's the son of an Indian spy in South America. He was born with a Brazilian mother and brought up in Brazil . After his father has disappeared. The Indian government finds out about this and summons him to complete the mission, where he has the mission of k... Leer todo",-,Accion,leo,tt10324274
,5.0,Anna Mastro,"['Alex Litvak', 'Andrew Green', 'Austin Winsberg']",-,99,Accion,secret society of second-born royals,tt10324122
,5.8,Douglas Attal,"['Douglas Attal', 'Melisa Godet', 'Charlotte Sanson']",-,97,Accion,comment je suis devenu super-héros,tt10345590
,2.5,"['Raghava Lawrence', 'Balakrishnan Thevar']","['Farhad Samji', 'Raghava Lawrence', 'Sparsh Khetarpal']",-,141,Accion,laxmii,tt10350922
100,5.5,ALi Khan AKSharan Sharma,"['Nikhil Mehrotra', 'Sharan Sharma', 'Hussain Dalal']",-,112,Accion,gunjan saxena: the kargil girl,tt10350626
,4.0,Graham Abraham,"['Graham Abraham', 'Julie De', 'Stefano', 'Benjamin Johnson']","When a whistle-blower has been found murdered, a state police detective named Karen investigates a suburban water supply pollution scandal that a chemical company is trying to cover up in New York state.",70,Accion,trail to the reservoir,tt10370456
18,-,-,-,-,-,Accion,one way out,tt10374742
,4.4,Santhanamoorthy,Santhanamoorthy,"After the police inspector Kunthavai picks up a complex murder case for investigation, she takes the help of Danny, a smart police dog, to unearth a gang of dangerous criminals involved in serial killing.",100,Accion,danny,tt10381134
,4.4,Tony London,"['Tony London', 'Cheryl Neve']",-,-,Accion,gunfight at silver creek,tt10398376
,-,Lewis Millard,Lewis Millard,"Kapz and Colt, 2 friends, sit together in their stolen car. In a flashback we see that they discovered the car unlocked, with the key in the ignition, ready to take. Kapz pockets a phone he finds in the glove box. Fed up of living a life of petty crime, we learn that they have pl... Leer todo",45,Accion,two paths one road,tt10402532
,6.9,Cédric Jimenez,"['Audrey Diwan', 'Cédric Jimenez']",-,105,Accion,bac nord,tt10404944
,4.8,Yuvaraj Subramani,Yuvaraj Subramani,This is about a life struggle of a man who's trying to become a policeman as his family members wish and forced him to become police and save their village.,123,Accion,taana,tt10415510
,4.2,Alfonso Sánchez,"['Jorge Lara', 'Fernando Pérez']",-,95,Accion,superagente makey,tt10419566
,-,Boysing Samuel,Jeffrey M. Morris,3 NYPD Detectives defuse tensions between New York Cities 5 boroughs extraterrestrial residents.,-,Accion,111 the force,tt10426006
39,5.4,Conor Allyn,"['Jake Allyn', 'David Barraza']",-,114,Accion,no man's land,tt10449052
87,-,Jokes Yanes,"['J. Bishop', 'Ciro Dapagio', 'Jokes Yanes']",Bondsman Voss a retired Lt Col. will dive head first into the Mexican cartels home turf to try and rescue a childhood friends daughter from a ruthless band of sex traffickers who lack any type of empathy for humanity.,-,Accion,bound,tt10457702
,6.3,Guillaume Pierret,"['Guillaume Pierret', 'Alban Lenoir', 'Kamel Guemra']",-,92,Accion,balle perdue,tt10456740
,4.6,James Balsamo,James Balsamo,"Crashing funerals, digging through corpses to find drugs, and busting big-breasted bad girls is all in a days work for Officer Rod Davis.",90,Accion,catch of the day 2: you die at dawn!,tt10463692
,3.5,Brandon Cornett,"['Sareta Cheathem', 'Ronnie Kirk']",Making the mistake of robbing a powerful drug dealer. A group of friends are forced to rob a bank to make amends.,92,Accion,code of thieves,tt10466348
,7.1,Clément Chevalier,"['Emmanuel Cavallo', 'Clément Chevalier']","The story of a friends posse who decide to have some good time and make some urban exploration inside a former industrial site. They don't know they enter inside Sam Orgasme's lair, a strange bird loving and satanist man who seems to control nuclear pigeons, these pigeons in ques... Leer todo",51,Accion,scream birds - attack of nuclear pigeons,tt10489608
,6.2,Teddy Chan,"['Fendou Liu', 'Ning Wen']",-,110,Accion,zheng tu,tt10508838
,6.2,Woo-seok Yang,-,-,132,Accion,steel rain 2,tt10516176
,5.6,Jeff Profitt,Jeff Profitt,"Kionna is a young woman with a bright future, who has fallen in love with a local drug dealer named Tyreek. When Tyreek is locked up, after one of his trap houses are raided by police, he asks Kionna for a huge favor. Tyreek asks Kionna to take over his drug empire until he gets ... Leer todo",97,Accion,queen of the trap house,tt10530090
,-,-,-,Reparto principal,150,Accion,agnee 3,tt10538822
29,4.8,Jaime Eliezer Karas,"['Larry Postel', 'Zach Lewis', 'Jim Mahoney']",-,101,Accion,the main event,tt10540242
,-,-,-,Reparto principal,130,Accion,bou - the wife,tt10540386
,8.4,"['Jelle Berlijn', 'Jos van der Molen', 'Stephan Engelhardt']","['Raines Castle', 'Stephan Engelhardt', 'Jos van der Molen']","Threatened, hunted down and her mother kidnapped by Fargon. Merciless, Amber strikes back. This time with some very unexpected help. Will she survive once again? Will she find her mother? A new dangerous game starts.",-,Accion,genadeloos 2: amber,tt10542186
,6.4,Hanro Smitsman,"['Mischa Alexander', 'Boudewijn Rosenmuller', 'Jochum ten Haaf']","Six Dutch Commandos, commanded by John de Koning and stationed in Mali, are sent to Nigeria under American orders to free the son of a wealthy Nigerian oil family from Boko Haram rebels. When the team finds out that the man is not a hostage but actually working with the terrorist... Leer todo",87,Accion,commandos: the mission,tt10558706
,7.0,Chaanakya,-,"Raaj and Jessie , A newly married happy couple settled in a Private luxury house, Encounter unnatural and unbelievable situations followed by series of trouble emotionally, physically and mentally .The protagonist Raaj challenges the situations and gets his share of Revenge .",122,Accion,my name is raja,tt10580094
50,-,Marquis Moore,Marquis Moore,"Nowhere to hide is about a young women who sets out for revenge who finds herself with nothing to lose, and is now going to take from her enemies the very life they stole from her when she was a little child by the man named Mr. Pabl",-,Accion,nowhere to hide,tt10589360
,-,-,-,-,-,Accion,bf 109,tt10591240
,6.2,Wladyslaw Pasikowski,Wladyslaw Pasikowski,Franz Maurer is released after 25 years in prison and finds a completely changed Poland.,126,Accion,psy 3: w imie zasad,tt10590530
,5.9,Karthick Naren,Karthick Naren,A narcotics officer engages in a cat-and-mouse chase to capture a powerful criminal kingpin not knowing that it could have a connection to the truth in his past.,113,Accion,mafia,tt10594792
,-,Katherin Hussein,Belén Orsini,"When the unjust government goes rogue, the residents of the Sucre apartment take a stand leading to the first night of terror.",-,Accion,la sucre,tt10598380
,4.7,Robert Rodriguez,"['Robert Rodriguez', 'Racer Rodriguez']",-,100,Accion,we can be heroes,tt10600398
,-,-,-,-,-,Accion,hunting horse,tt10601298
,-,-,-,Ver la información de la producción en IMDbPro,-,Accion,ashen,tt10607806
,6.3,"['Il Cho', 'Jo Il Hyung', 'Madeleine Martin']","['Il Cho', 'Jo Il Hyung', 'Chuck Mccue']",-,98,Accion,#saraitda,tt10620868
,-,Evan Allen,Evan Allen,Arex wakes from a 10 year coma into a Cyrbid Wasteland. Arex has to fight for her survival in this new world of Human Animal Cybrids.,-,Accion,cybrid wasteland,tt10628134
,-,Greg Romano,"['James Le', 'Breton']","A well-trained gangster sets out to bury the life of a crime boss, but instead digs up a painful past.",-,Accion,the marinelli family,tt10640792
,5.1,Ajai Vasudev,"['Aneesh Hameed', 'Bibin Mohan']",A ruthless moneylender must tackle a wicked man's plan to outsmart his way out of the debt to achieve what's rightfully his.,130,Accion,shylock,tt10644282
,6.2,Vicente Amorim,"['Vicente Amorim', 'Aurélio Aragão', 'Gustavo Bragança']","In the 90s, Rio de Janeiro was shaken by a wave of kidnappings. Security forces call controversial agents to help save the city from thugs and also from the police itself.",134,Accion,a divisão,tt10648192
,-,Nicole M. Brevard,Nicole M. Brevard,-,111,Accion,khalifornia,tt10660768
,5.6,Morris D. Small,Morris D. Small,"Detective Mason Jones aka Detective MJ, is a Washington DC homicide detective, who is caught in between a homicide case and a war between two gangsters that run the Washington DC underground scene.",71,Accion,detective mj: shadow of a hero,tt10663470
,-,Fausto Toribio,Fausto Toribio,"Devastation End Of Life is an over-the-top action and fiction movie written and directed by, Fausto Toribio and his co-producer, Vincent Williams. In this movie it focuses on the planet and how it was destroyed. With 5% of the people who remain alive, they are struggling to live ... Leer todo",90,Accion,devastation: end of life,tt10681516
,8.4,"['Fito Rivera', 'Christian Rodrigo']","['Sandra Ramirez', 'Fito Rivera', 'Valeska Rivera']","A seemingly ordinary girl, discovers her destiny as Scorpion Girl. Unveiling a hidden world of ancient magic, powerful artifacts, and ruthless enemies.",-,Accion,scorpion girl: the awakening,tt10681856
,7.3,Karuna Kumar,"['Tammareddy Bharadwaja', 'Nagendra Kasi', 'Karuna Kumar']","Mohan Rao and his elder brother face Pedda Shavukar and Chinna Shavukar, a political battle where low caste fights the high caste power.",144,Accion,palasa 1978,tt10682062
,-,Scott Hester,Scott Hester,"Mystery surrounds a small southwestern town as supernatural occurrences gradually escalate, particularly at one store which is owned by the local Oddball.",-,Accion,the store front,tt10697462
,5.0,Jingming Guo,Jingming Guo,"In order to complete the lash wish of Duke VI, Yin Chen (Silver), Qi Ling (Asval), Tianshu You Hua (Princess Kira) and the others decide to embark on a journey together to save the Gilgamesh, the former Duke I who has been sealed by the Silver Priest. Upon their arrival, they enc... Leer todo",-,Accion,l.o.r.d: legend of ravaging dynasties 2,tt10701926
,-,Jose David Acevedo,"['Jose David Acevedo', 'Ricky R.']",-,-,Accion,danger zone: against all odds,tt10708124
,5.0,John Valley,John Valley,-,91,Accion,duncan,tt10725448
,6.6,Omer Inal,"['Omer Inal', 'Ozkan Kucuk']","The story is about three people who have never met, facing the consequences of their choices while their lives change entirely. Aylin's, Fikret's and Cihangir's choices which seem instantaneous and insignificant, reveal unseen results in each other's lives. The lives of these thr... Leer todo",105,Accion,hayalet: 3 yasam,tt10731100
38,-,Ayman el Refaie,Ayman el Refaie,-,-,Accion,the key,tt10743282
