actor,año_nacimiento,que_hace,conocido_por,lista premios
Andrea Jeremiah,1985.0,"['Música', 'Reparto', 'Banda sonora']","['Thuppakki (2012)', 'Aayirathil Oruvan (2010)']",['Vijay Awards']
Michelle Y. Allen,,"['Reparto', 'Producción', 'Equipos adicionales']",[],
Danielle Maddox,,"['Reparto', 'Producción', 'Guion']","['The Broken Bridge (2018)', 'Black (2019)']",
Grace Ward,,['Casting'],[],
Tini Tom,1972.0,"['Reparto', 'Música', 'Producción']","['Vellimoonga (2014)', 'Irupathiyonnaam Noottaandu (2019)']",['Asianet Film Awards']
Marisol Mendez,,['Reparto'],[],
Amelia Warner,1982.0,"['Reparto', 'Composición', 'Música']","['Æon Flux (2005)', 'Quills (2000)', 'Winter Passing (2005)']",['International Film Music Critics Award (IFMCA)']
Puneet Issar,1959.0,"['Reparto', 'Dirección', 'Guion']","['Mahabharat (1988)', 'I Am Singh (2011)', 'Superman (1987)']",[]
Steve Cange,,['Reparto'],[],
Cody Holloway,,['Reparto'],[],
Tanya Winsor,,['Reparto'],[],
Larron Rome Julian,,"['Cámara y electricidad', 'Dirección de fotografía y cámara', 'Reparto']",[],[]
Matt Lanter,1983.0,"['Reparto', 'Equipos adicionales']","['Disaster Movie (2008)', 'Híncame el diente (2010)']",['Behind the Voice Actors Awards']
Kiano Mastrandrea,,['Reparto'],[],
Kira Hennigan,2018.0,"['Reparto', 'Guion']","['The Iron Sheik Massacre (2022)', 'Unchained (2021)']",['Romford Horror Festival']
Alex Teixeria,,['Reparto'],[],
Ileana Chan,,"['Reparto', 'Dirección', 'Producción']",[],
Ilfenesh Hadera,1985.0,['Reparto'],"['Oldboy (2013)', 'Master of None (2015)']",[]
John Lindsay,1921.0,['Reparto'],"['Desafío al mundo (1975)', 'Black Woodstock (1969)']",[]
Bang,1967.0,"['Reparto', 'Banda sonora']","['The Square (2017)', 'El hombre del norte (2022)', 'Una obra maestra (2019)']","['European Film Awards', 'Peabody Awards', 'Pingyao International Film Festival']"
Mark Joseph Peek,,"['Reparto', 'Guion', 'Producción']",[],
Tony Digerlando,,"['Reparto', 'Producción']",[],
Taylor Behrens,,"['Reparto', 'Dirección', 'Guion']",[],
Kanani Rose,,"['Reparto', 'Maquillaje', 'Dirección']",[],['Indie Short Fest']
Arseniy Kasperovich,,['Reparto'],[],
Morgan LeBlanc,,"['Reparto', 'Producción', 'Guion']",[],['Vegas Movie Awards']
Elisa Zulueta,1981.0,"['Reparto', 'Dirección', 'Guion']","['Feroz (2010)', 'No Abras la Puerta (2014)', 'Lola (2007)']",[]
Ethan Michael Mora,,['Reparto'],"['Sun Dogs (2017)', 'Roadies (2016)']",
Luis Demetrio Moreno Leon,,['Reparto'],[],
Katie Goldfinch,,"['Reparto', 'Equipos adicionales', 'Producción']",[],['One-Reeler Short Film Competition']
Cairo Noble,,['Reparto'],[],
Jayden Brown,,['Reparto'],[],
François Vincentelli,,['Reparto'],[],
Janeen McGinnis,,['Reparto'],[],
Lawrence Hoffman,,"['Reparto', 'Especialistas', 'Guion']",[],
Stefan Ivanov,,['Reparto'],"['La protegida (2021)', 'The Code (2009)']",
Mike Anderson,,"['Producción', 'Dirección de fotografía y cámara', 'Reparto']","['Shark Waters (2022)', 'A Polished Soul (2022)', 'Momentum Generation (2018)']","['New York Festivals', 'Peachtree Village International Film Festival', 'IndieFEST Film Awards', 'American Film Festival', 'Spotlight Documentary Film Awards', 'Foothills Film Festival', 'Virginia Black Film Festival']"
Sasha Calle,1995.0,"['Reparto', 'Música']","['Flash (2023)', 'In the Summers (2024)']",[]
Jason Velo,,"['Arte', 'Reparto', 'Dirección']",[],
Ever Enciso,,['Reparto'],"['7 cajas (2012)', 'Luna de cigarras (2014)', 'Matar a un Muerto (2019)']",
Tom Gillen,,"['Reparto', 'Guion']",[],
Myeong-jun Jeong,,['Reparto'],[],
Greggory Bogëv Lodin,1985.0,"['Reparto', 'Guion', 'Cámara y electricidad']","['A Final Hit (2015)', 'Boob Meat (2016)']",[]
Eric Hunter,,['Reparto'],[],[]
Tina de Bruin,1975.0,['Reparto'],['Kopspijkers (1995)'],[]
Newton Kaneshiro,,"['Reparto', 'Vestuario', 'Especialistas']","['House of Lies (2012)', 'Hirokin (2012)']",[]
Kiyono Yasuno,1989.0,"['Reparto', 'Música', 'Banda sonora']","['Parasyte (2014)', 'Black Clover (2017)']",[]
Wade Hall,,"['Reparto', 'Especialistas']",[],
Kathryn J. Hall,,"['Reparto', 'Diseño de vestuario']",[],
Marshall Napier,1951.0,['Reparto'],"['La luz entre los océanos (2016)', 'Rescate (1989)']",[]
Conchi López,,"['Reparto', 'Equipos adicionales']",[],
David Feinberg,,"['Edición', 'Edición', 'Producción']",[],
Anthony Millilo,,['Reparto'],[],
Kevin Mayr,,['Reparto'],[],
Timothy Newton,,['Reparto'],"['The Timelord (2016)', 'Run (2017)', 'Red All Over (2015)']",
Greg Carney,2012.0,"['Equipo ejecutivo', 'Producción', 'Publicista']",[],[]
William J. Thorman,,['Reparto'],[],
Pilot,,['Reparto'],[],
Chika Anzai,,['Reparto'],"['Kuzu no honkai (2017)', 'Rikorisu rikoiru (2022)']",[]
Alexandre Prince,1994.0,['Reparto'],['Tous les rêves du monde (2017)'],[]
Donnie Wahlberg,1969.0,"['Reparto', 'Producción', 'Composición']","['Saw II (2005)', 'Rescate (1996)', 'El cazador de sueños (2003)']",[]
Gulshan Grover,1955.0,"['Reparto', 'Música']","['Badman (2016)', 'Mowgli y Baloo (1997)', 'I Am Kalam (2010)']","['Bollywood Awards', 'Stardust Awards, India', 'Filmfare Awards East', 'Indian Film and Television Awards', 'ScreenXX Summit & Awards']"
Rebecca Morley,,"['Reparto', 'Guion']",[],[]
Isabel del Toro,,['Reparto'],"['Mucha sangre (2002)', 'Pradolongo (2008)', 'El comisario (1999)']",
Naureen Chhipa,,['Reparto'],[],
Matt Lynch,,['Reparto'],[],
Jesus Ojeda,,['Reparto'],[],
Muskan Mehta,,['Reparto'],[],
Mike Dellens,,['Reparto'],[],
Parvinder Nandhra,,"['Reparto', 'Guion', 'Producción']","['Andaz Tera Mera (2023)', 'Cholay (2022)']",
Greg Timmermans,1979.0,['Reparto'],"['Ben X (2007)', 'Amateurs (2014)', 'Cordon (2014)']",
Ashton Chen,1988.0,"['Reparto', 'Dirección']","['Ip Man 2 (2010)', 'Sap hing dai (1995)', 'Tao xue shen tan (2022)']",[]
Travis Charles Johnson,,"['Reparto', 'Producción', 'Dirección']","['Hate the Game (2004)', 'Ice Grill (2002)']",
Rachel Rath,,"['Reparto', 'Dirección', 'Producción']","['Hogwarts Legacy (2023)', 'The Actors (2003)', 'Caroline (2017)']","['Boston Science Fiction Film Festival, US']"
Backagaindancer,,['Reparto'],[],
Ruven Escobar,,['Reparto'],[],
Moreno Petroni,,['Reparto'],[],
Mikuni Shimokawa,,"['Reparto', 'Banda sonora']",[],
Andrew Dennison,,['Reparto'],[],
Rory Thost,1991.0,"['Reparto', 'Equipos adicionales', 'Producción']","['Phil del futuro (2004)', 'Terror en la niebla (2005)']",[]
Adeel Akhtar,1980.0,"['Reparto', 'Equipos adicionales', 'Banda sonora']","['Four Lions (2010)', 'La gran enfermedad del amor (2017)', 'Enola Holmes (2020)']","['BAFTA Awards', 'British Independent Film Awards', 'Royal Television Society, UK', ""Film Club's The Lost Weekend"", ""Children's & Family Emmy Awards""]"
John Merolla,,"['Reparto', 'Especialistas', 'Producción']","['Compliance (2012)', 'Boardwalk Empire (2010)', 'Welcome to New York (2014)']",
Mohith Kh,,['Reparto'],[],
Sylwester Kormanicki,,['Reparto'],[],
Talon Borrelli,,"['Sonido', 'Reparto', 'Edición']",[],
Gigolo Jackson,,['Reparto'],[],
Ada Pui-yee Leung,,"['Especialistas', 'Reparto']",[],
Kaviyoor Ponnamma,1945.0,"['Reparto', 'Música']","['Nirmalyam (1973)', 'Nellu (1974)', 'Devadas (1989)']",['Kerala State Film Awards']
Bobbie Stamm,,"['Reparto', 'Equipos adicionales']","['The Black Rose (2000)', 'Father Christmas (2014)', 'Matchbreakers (2016)']",
Yûichi Satô,1962.0,['Dirección'],"['Kasane (2018)', 'Kisaragi (2007)', 'Shiti Hanta (2024)']",['Neuchâtel International Fantastic Film Festival']
Jacob A. Curry,,"['Reparto', 'Producción']",[],
Leroy Nguyen,,"['Dirección', 'Reparto', 'Especialistas']","['Black Scar Blues (2015)', 'Silverback (2020)']","['L.A. Neo Noir Novel, Film & Script Festival', 'Urban Action Showcase And Expo', 'An Anti-Hero Production Genre Fest']"
Arthur Perzev,,"['Reparto', 'Banda sonora']",[],
Gino Norman,,['Reparto'],[],
Laurence Deschênes,,['Reparto'],[],
Sonia Braga,1950.0,"['Reparto', 'Producción', 'Equipos adicionales']","['Doña Flor y sus dos maridos (1976)', 'El beso de la mujer araña (1985)', 'Presidente por accidente (1988)']","['Biarritz International Festival of Latin American Cinema', 'Gen Art Film Festival', 'Gramado Film Festival', 'Lone Star Film & Television Awards', 'Mar del Plata Film Festival', 'San Diego Film Critics Society Awards', 'Lima Latin American Film Festival', 'International Cinephile Society Awards', 'CinEuphoria Awards', 'SESC Film Festival, Brazil', 'The Platino Awards for Iberoamerican Cinema', 'International Online Cinema Awards (INOCA)', 'Premios Fénix (Fenix Film Awards)', 'Almeria Western Film Festival', 'Prêmio Guarani', 'New Mexico Film Critics', 'International Cinephile Society (ICS) Cannes Awards']"
Redouanne Harjane,1984.0,"['Reparto', 'Guion', 'Música']","['M (2017)', 'La tierra y la sangre (2020)', 'Prêt à tout (2014)']",[]
Azlan Komeng,,"['Reparto', 'Especialistas', 'Arte']",[],
Mario Lebrón,1956.0,['Reparto'],"['El Fantasma de mi Novia (2018)', 'El Teniente Amado (2013)', 'Tropico de Sangre (2010)']",[]
Clive Russell,1945.0,"['Reparto', 'Banda sonora']","['Sherlock Holmes (2009)', 'El hombre lobo (2010)', 'El rey Arturo (2004)']",[]
Jose Anthony,,['Reparto'],[],
Michael Taliferro,1961.0,"['Reparto', 'Dirección', 'Producción']","['Condenados a fugarse (1999)', 'Equipo a la fuerza (2000)', 'Dos policías rebeldes (1995)']",
Xochitl Gomez,2006.0,['Reparto'],"['Doctor Strange en el multiverso de la locura (2022)', 'El Club de las Canguro (2020)', 'Gentefied (2020)']","['Young Artist Awards', 'Young Entertainer Awards', 'Top Shorts Film Festival', 'Festigious International Film Festival', 'Actors Awards, Los Angeles', 'London Independent Film Awards', 'Oniros Film Awards', 'New York Film Awards', 'Independent Shorts Awards', 'Indie Short Fest']"
Kai Tan,1972.0,"['Reparto', 'Producción']","['Da bo yi (2022)', 'Wen cang mang (2023)']","['Bai He', 'Domestic TV series Ceremony, China']"
Larry Butchins,,['Reparto'],"['Another World (2014)', 'Hamosad Hasagur (2007)', 'Grabbit the Rabbit (1999)']",
Abhiram,,"['Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Guion']","['Irul (2021)', 'Unda (2019)', 'Manjummel Boys (2024)']",
Mackenzie Christine Hawkins,1984.0,['Reparto'],"['The Sadist (2015)', 'Celebrities y sus experiencias paranormales (2008)', 'Best Man in the Dark (2014)']",
Axel Schulz,1968.0,['Reparto'],"['Pastewka (2005)', 'Auf Herz und Nieren (2001)', 'Frisch gepresst (2012)']",[]
Tatanka Means,1985.0,"['Reparto', 'Especialistas', 'Equipos adicionales']",['Los asesinos de la luna (2023)'],"['American Indian Film Festival', 'BendFilm Festival', 'Nevada International Film Festival, US', 'Red Nation Film Festival', 'Dreamspeakers International Film Festival']"
J. Brandon Hill,,['Reparto'],"['Agent Vinod (2012)', 'Awarapan (2007)', 'Veer (2010)']",[]
Terry Wayne,,['Reparto'],[],
Paulo Diaz,,"['Reparto', 'Especialistas']",[],
Jason Anderson,,"['Reparto', 'Equipos adicionales']",[],
Shannon Holzer,,"['Reparto', 'Producción', 'Especialistas']",[],
Flora Gasser,2022.0,['Reparto'],"['Batang Z (1996)', 'Kumander Bawang (1988)']",
Heo Sung-tae,1977.0,['Reparto'],"['El juego del calamar (2021)', 'Dragon Ball Zero (1990)']",['Asia Artist Awards']
Pradeep Shetty Bellala,,['Reparto'],[],
Celine Tien,,"['Reparto', 'Dirección', 'Guion']","['El hombre de los puños de hierro (2012)', 'The Human Race (2013)']",[]
Bryan Rasmussen,,"['Reparto', 'Producción', 'Equipos adicionales']","['Rampart (2011)', 'American Horror Story (2011)', '24 (2001)']","['Studio City Film Festival, US']"
Charlotte Mounter,,['Reparto'],[],
Angela Smeraldi,,['Reparto'],[],
Noelle Mihalinec,,['Reparto'],[],
Mike Vogel,1979.0,"['Reparto', 'Producción', 'Banda sonora']","['Criadas y señoras (2011)', 'Monstruoso (2008)', 'Ni en sueños (2010)']","['Satellite Awards', 'National Board of Review, USA', 'Screen Actors Guild Awards', 'Southeastern Film Critics Association Awards', 'Big Apple Film Festival and Screenplay Competition', 'Awards Circuit Community Awards', 'Black Film Critics Circle Awards', 'Gold Derby Awards', 'Nevada Film Critics Society']"
Carlos Borquez,,['Producción'],[],
Cheryl Pollak,1967.0,"['Reparto', 'Producción', 'Dirección']","['Rebelión en las ondas (1990)', 'El vampiro adolescente (1987)', 'Art House (1998)']",[]
Saravana Subbiah,1944.0,"['Reparto', 'Dirección', 'Guion']","['ABCD (2005)', 'Meendum (2021)', 'Visaranai (2015)']",
Yuan Fang,,"['Reparto', 'Producción', 'Equipos adicionales']",[],
Donna Mitchell,,['Reparto'],"['El informador (2000)', 'La sonrisa de Mona Lisa (2003)']",[]
Regardt van den Bergh,,"['Reparto', 'Dirección', 'Guion']",[],['Monaco International Film Festival']
Jeffrey Ballard,1987.0,"['Reparto', 'Equipos adicionales']","['Persecución extrema 3 (2013)', 'Perfect Sisters (2014)']",['Leo Awards']
Kirsty Nichols,,['Reparto'],[],
Aimee Stolte,,['Reparto'],"['Escape the Night (2016)', 'Megalodón (2018)', 'Fear PHarm (2020)']","['Los Angeles Cinefest', 'An Anti-Hero Production Genre Fest']"
Amy Turner,,"['Producción', 'Guion', 'Equipos adicionales']",[],[]
Naomi Scott,1993.0,"['Reparto', 'Producción', 'Dirección']","['Aladdín (2019)', 'Power Rangers (2017)', 'Los ángeles de Charlie (2019)']",['Teen Choice Awards']
Summer Morris,,['Reparto'],[],
Trevor Gumbel,,['Reparto'],[],
David Neal Levin,,"['Reparto', 'Guion', 'Edición']","['Hudson (2019)', 'Fuga en Dannemora (2018)', 'Billions (2016)']","['Phoenix Film Festival', 'Garden State Film Festival', 'Richmond International Film Festival', 'Los Angeles Film Awards', 'New York Film Awards', 'Peekskill Film Festival', 'Hunter Mountain Film Festival']"
Cengiz Küçükayvaz,1968.0,"['Reparto', 'Guion', 'Banda sonora']","['Sipsak Anadolu (2014)', 'Gemide (1998)']",['Kemal Sunal Culture and Art Award']
Sergey Gubanov,1977.0,"['Reparto', 'Producción']","['La conspiración del poder (2009)', 'The Payback (2006)']",[]
Danica Barker,,['Reparto'],[],
Graeme Whittington,,['Reparto'],[],
Assaf Cohen,,['Reparto'],"['Elemental (2023)', 'This Is Us (2016)']",[]
Kate St. Clair,,['Reparto'],"['Scene Queen (2016)', 'Merrily (2024)', 'Car Jacker (2014)']",[]
Thara,,['Guion'],[],[]
Julie Healy,,['Reparto'],[],
Vikrant Massey,1987.0,"['Reparto', 'Producción']","['12th Fail (2023)', 'La belleza y el enigma (2021)', 'Chhapaak (2020)']","['Filmfare Awards', 'Indian Television Academy Awards, India', 'Dadasaheb Phalke International Film Festival (DPIFF)', 'Screen Awards, IN', 'Lions Gold Awards', 'Zee Rishtey Awards', 'Caleidoscope Indian Film Festival', 'FOI Online Awards', 'IWM Digital Awards', 'GQ Men of the Year Awards', 'Talent Track Awards', 'Indian Telly Streaming Awards', 'ScreenXX Summit & Awards']"
Annett Culp,1994.0,"['Reparto', 'Producción', 'Dirección']","['Alerta Cobra (1996)', 'Verbotene Liebe (1995)']",[]
Primo Giroldini,,"['Producción', 'Reparto', 'Dirección']",[],
Dale Boutten,,['Reparto'],[],
Dax David King,,['Reparto'],[],
Mingwei Hai,,['Reparto'],[],
Ellen McAllister,,['Reparto'],[],
Sahir Lodhi,,"['Guion', 'Reparto', 'Dirección']","['Raasta (2017)', 'Saima Ansar (2016)', 'Tamanna (2014)']",
Eric Pilch,,['Reparto'],[],
Jo Anderson,,['Reparto'],[],
Ankur Bhatt,,['Reparto'],"['Platónico (2023)', 'Dirt (2007)', 'The True Don Quixote (2019)']",
Trevor Baxter,1932.0,"['Reparto', 'Guion']","['Sky Captain y el mundo del mañana (2004)', 'Maelstrom (1985)', 'So It Goes (1973)']",
Ernesto Fox,,['Reparto'],[],
Logan Marshall-Green,1976.0,"['Reparto', 'Producción', 'Dirección']","['La invitación (2015)', 'La trampa del mal (2010)']",['Golden Joystick Awards']
Priyadarshi Pulikonda,1989.0,"['Reparto', 'Guion', 'Dirección']","['Sita Ramam (2022)', 'Arjun Reddy (2017)', 'Pelli Choopulu (2016)']",['South Indian International Movie Awards']
M. Devon Dunlap,,['Reparto'],[],[]
LeVar Burton,1957.0,"['Reparto', 'Dirección', 'Producción']",[],"['Academy of Science Fiction, Fantasy & Horror Films, USA', ""Chicago International Children's Film Festival"", 'Daytime Emmy Awards', 'Grammy Awards', 'Image Awards (NAACP)', 'Walk of Fame', 'TV Land Awards', 'Online Film & Television Association', 'Voice Arts Awards', ""Children's & Family Emmy Awards""]"
Xlson137,2001.0,"['Guion', 'Producción', 'Reparto']",['Vovkin VLOG (2015)'],[]
Brett Wyman,,"['Reparto', 'Guion', 'Producción']","['Dos tontos todavía más tontos (2014)', 'Ingenua inocencia (2016)', 'Buscando un testigo (2014)']",[]
Johnathon Schaech,1969.0,"['Reparto', 'Guion', 'Producción']","['Blue Ridge (2020)', 'Una noche para morir (2008)', 'Houdini (1998)']","['Breckenridge Festival of Film', 'New York International Independent Film & Video Festival', 'Phoenix Film Festival']"
Sam Ingraffia,,"['Reparto', 'Producción', 'Guion']",[],
Allison Kramer,,"['Producción', 'Equipo ejecutivo']",[],
Ed Molina,,"['Edición', 'Efectos visuales']",[],
Brent Layne Mardon,,['Reparto'],[],
Aimee Mullins,2016.0,"['Reparto', 'Dirección', 'Guion']","['Stranger Things (2016)', 'TEDTalks (2006)', 'Young Ones (2014)']",[]
Rj Lloyd,,"['Reparto', 'Producción']",[],
Amoss,,['Reparto'],[],
Andrey Ivashchenko,,['Reparto'],[],
Ernie Birdas,,['Reparto'],[],
Jacqueline Voltaire,1948.0,['Reparto'],"['Matando Cabos (2004)', 'La montaña sagrada (1973)']","['MTV Movie Awards, Mexico']"
Kevin Diedrich,,['Reparto'],[],
Don Most,1953.0,"['Reparto', 'Producción', 'Dirección']","['Días felices (1974)', 'Glee (2009)', 'Lost Heart (2020)']","['Marco Island Film Festival', 'Newport Beach Film Festival', 'ICVM Crown Awards', 'International Christian Film Festival', 'EQUUS Film Festival']"
Hannah Mills,1988.0,['Reparto'],[],[]
Marc Alan Tobit,,['Reparto'],[],[]
Ximena Huilipan,,['Reparto'],"['Sangre Eterna (2002)', '1910 (2009)']",
Fred Williamson,1938.0,"['Reparto', 'Producción', 'Dirección']",['Abierto hasta el amanecer (1996)'],"['Brooklyn Horror Film Festival', 'Texas Film Awards']"
John Rearick,,['Reparto'],[],
David Canals,,['Reparto'],[],
Praveen Dacharam,,['Reparto'],"['Yashoda (2022)', 'Tiger Nageswara Rao (2023)', 'Raakshasa Kaavyam (2023)']",
Thomas Guy,,['Reparto'],[],
Mike Jones,1951.0,"['Reparto', 'Cámara y electricidad']","['WCW Monday Nitro (1995)', 'Rescue Me (2015)']",[]
Niya Davis,,"['Reparto', 'Música', 'Producción']",[],
Sandro Rodriguez,,['Reparto'],[],
Pouria Poursorkh,1975.0,['Reparto'],"['Kimiya (2015)', 'Rooze Sevom (2007)']",[]
Shaun Sipos,1981.0,"['Reparto', 'Guion', 'Producción']","['La matanza de Texas 3D (2013)', 'Destino final 2 (2003)']",['Monaco International Film Festival']
Shinji Takeda,1972.0,['Reparto'],"['Gohatto (1999)', 'Bishoku Tantei Akechi Goro (2020)']",['Blue Ribbon Awards']
Aleksandar Todorovic,,"['Reparto', 'Guion', 'Producción']",[],
Joshua Wolfsun,,"['Equipos adicionales', 'Dirección', 'Guion']",[],
Hank Leukart,,"['Producción', 'Dirección', 'Edición']",[],
Leanne Campbell,1972.0,"['Reparto', 'Producción', 'Música']",['El exorcismo de Eastfield (2023)'],[]
Julia Weinstock,,"['Reparto', 'Sonido', 'Responsable']",[],
Alfred Hsing,,"['Reparto', 'Dirección de la segunda unidad o asistencia a dirección', 'Especialistas']","['El libro de Boba Fett (2021)', 'Silicon Valley (2014)', 'Todo a la vez en todas partes (2022)']",[]
Damon Evans,1949.0,"['Reparto', 'Banda sonora']","['American Playhouse (1982)', 'Los Jefferson (1975)']",[]
Aindrita Ray,1985.0,['Reparto'],"['Bhajarangi (2013)', 'Veera Parampare (2010)', 'Bachchan (2014)']",['South Indian International Movie Awards']
Arthur Tobing,,['Reparto'],[],
Dov Mamann,,"['Producción', 'Equipos adicionales', 'Reparto']",[],
Charles Malmsten,,['Reparto'],[],
