puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
nan,6.4,Elisabeth Subrin,Elisabeth Subrin,"A shot-by-shot reenactment of an unreleased 1967 documentary portrait of SAIC student Shulamith Firestone, who, a few years later, would become a central figure in the rise of radical feminism.",37,Drama,shulie,2015
nan,-,Armando Milano,Armando Milano,"A young journalist on his first assignment falls in love with his subject, an up and coming nightclub singer.",9,Drama,rosie & me,2015
nan,-,Ryan Chapel,"['Anthony Bello', 'Michael Robert', 'Jess Stainbrook']",A mysterious messenger delivers blank invitations to unsuspecting people that have more in common than we think.,-,Drama,the invite,2015
nan,-,Daniel Molnár,Anita Pataki,"A girl realizes, she's in The Sims.",11,Drama,zöld fény,2015
52,-,Gerard Dalmau,Gerard Dalmau,-,-,Drama,memòries,2015
nan,-,Patrick Konior,-,-,-,Drama,christmas for the rest of us,2015
86,-,Andrew Craig,Andrew Craig,-,7,Drama,jeremy,2015
nan,-,Hiroki Wakamatsu,Tasha Cohan,Carly decides to interview her father for a school project; the subject: why she was taken away from her mother.,15,Drama,this other american life,2015
nan,-,Benjamin Wilkinson,Benjamin Wilkinson,"Austin, a 19-year-old, non-verbal autistic boy, desperately seeks to escape his mother's over-protective hands and discover his own freedom. Through his journey to find independence and solitude, Austin and his mother establish a new level of communication and connection.",-,Drama,austin,2015
nan,-,"['Pardis Azizi', 'Arash Parnousi']",Pardis Azizi,Hamed's dead body is found in his apartment. The police investigates the case by interviewing one of his friends and the neighbors.,7,Drama,the first act,2015
nan,-,Miguel Ibarra,"['Miguel Ibarra', 'Mauricio Valdez']",-,-,Drama,islandia,2015
nan,-,Kevin Wilson Jr.,Kevin Wilson Jr.,"After leaving her infant son alone in a car so she can buy liquor, a young mother returns to find that the car has been stolen.",4,Drama,alchy,2015
nan,-,-,Giulia Gerosa,-,-,Drama,kalós,2015
nan,-,Dino Santoro,Dino Santoro,"In the aftermath of a serious nuclear contamination, Victor and Darline live barricaded at home, wear gas masks and raise a child in a world that seems to have no future. They try not to succumb, to establish a new normal, but something shocking will definitely mark their destiny.",20,Drama,interno 8,2015
nan,-,Tristan Bera,"['Tristan Bera', 'Beverly Charpentier', 'Joris-Karl Huysmans']",Based on Des Esseintes' literary black feast in A Rebours (1884) by Joris-Karl Huysmans.,23,Drama,diner noir istanbul,2015
nan,5.5,"['Tristan Bera', 'Ana Vaz']","['Tristan Bera', 'Ana Vaz']","The ecologic crisis is a political, economic and social crisis. It is also cinematographic, as cinema coincides historically and in a critical and descriptive way with the development of the Anthropocene. ""A Film, Reclaimed"" is a conversation, an essay that reads the terrestrial crisis under the influence and with the help of the beautiful and terrible films which hav... Leer todo",20,Drama,"un film, réclamé",2015
82,-,Zachary Davenport,Zachary Davenport,"Waiting for an early flight, Lance and Melanie waste time wandering around campus. All the while, their hidden conflicts rise to the surface.",16,Drama,greener grass,2015
nan,-,Theun Hens,Theun Hens,-,-,Drama,ruis,2015
nan,-,Alejo Garcerón,Alejo Garcerón,"The Story, set in 1976 in Argentina. The government is run by far-right wing of the Peronist part. Eduardo is an ex-police Officer, his daughter has being kidnapped and he rushes to find her no matter what.",-,Drama,1976,2015
nan,-,Raul Andres Hernandez,Raul Andres Hernandez,-,-,Drama,the girl in pieces,2015
nan,-,Jackson Young,Jackson Young,"After being peer pressured by his friends to go fight, B-Nasty finds out the true meaning of being a real man.",16,Drama,real nigga,2015
nan,-,Ilona Codaccioni,Ilona Codaccioni,-,-,Drama,i disgraziati,2015
nan,-,Tina Kruger,Stiaan Smith,-,24,Drama,beurtkrag,2015
nan,-,Jimena Muhlia,Jimena Muhlia,"After her suit is broken, Maria must face her own shame to get on stage.",5,Drama,after the birds,2015
nan,-,Adam Offutt,Friedrich Reimer,An inflammatory talk radio host realizes too late how his words can harm the people closest to him.,8,Drama,next victim,2015
nan,-,Sirvan Marogy,"['Alexandra Kurt', 'Sirvan Marogy']","An unusual encounter between a business man and an obedient elderly lady. While waiting for the bus, they each give a glimpse into their lives.",9,Drama,d'bushaischen,2015
