puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
nan,-,Derek Zen,Derek Zen,"A woman tries to connect with her French mother, who suffers from dementia, by re-creating a delicious dish she remembers from her childhood. Food holds a special power in allowing us to access with our deepest memories and fondest love.",-,Drama,cassoulet,2021
100,-,Osvaldo Ozuna,"['Osvaldo Ozuna', 'Alci Rengifo']","Years after being separated from his mother at the southern border, young Dominik is forgetting the details of her face. He must have to confront his darkest fears in order to draw an accurate portrait of his mother and save the memory.",-,Drama,ink,2021
12,-,"['Lilia Le Dieu', 'Konstantin Pivovar']",Konstantin Pivovar,Man frees his ego and learns a hard lesson of pure selflessness when the stranger asks for his help.,-,Drama,breadcrumbs,2021
nan,-,Natasha Maidoff,Natasha Maidoff,A narrative film that touches on the issues of opiate orphans effected by the opiate crisis in southeast Ohio. The film was shot on location in the foothills of Appalachia.,-,Drama,the fullest day of summer,2021
nan,-,Peter Pontikis,Peter Pontikis,Three young men accidentally sets fire to a hedgehog while make a fire.,10,Drama,beneath the fire,2021
-,-,Kirsty Mclean,Kirsty Mclean,"A teenage boxer tries to fill her idolised and abusive fathers space in the family, after his sudden passing.",12,Drama,opal,2021
nan,-,Robert Gregson,Robert Gregson,"After a blowout fight, Julia's boyfriend is perfect but eerily unrecognizable.",13,Drama,a good couple,2021
nan,6.5,Dheeraj Jindal,"['Sudeep Nigam', 'Parijat Joshi']",A small town girl with many aspirations has moved to a metro city to fulfill her dreams. Now what if she needs to choose between justice and her dreams?,-,Drama,vikalp,2021
nan,-,Alana Spencer,Bilan Robleh,-,-,Drama,gud,2021
nan,-,Ori Manahan,Ori Manahan,A homeless man spends his life surviving day to day in a monotonous cycle. Each day simply fades into the next. But one day he gets an idea that will transform his life. The only question is: what will he do with his newfound opportunities?,-,Drama,greg,2021
88,-,Molly Shears,Molly Shears,"After the sudden death of her older brother, Dezzy spends her summer break encountering mysterious creatures, including a doormat-stealing cousin and a beast in the woods.",16,Drama,middle of nowhere,2021
nan,-,Michelle Godoy Priske,Natalie Farrow,An aspiring singer headed to LA learns a hard lesson about rest on the road of life in pursuit of her dreams.,-,Drama,the long haul,2021
86,-,Mina Soliman,Mina Soliman,-,-,Drama,going under,2021
nan,-,Jay Nunez,"['Ruben Avitia', 'Jay Nunez']","As if Salvatore ""The Don"" Pazzarelli didn't have enough to deal with being investigated by law enforcement, now he has to worry about his daughter Alison going to jail over something found in her car. It's at this point The Don calls in an old family friend Detective Frank Sandst... Leer todo",-,Drama,the don,2021
nan,-,Bridget Pervalle,"['Bridget Pervalle', 'Abike Washington']",-,-,Drama,"wanda, do the work",2021
nan,-,Rishi Gandhi,"['Rishi Gandhi', 'Dexter John Scott']","Rajan's relationship with his father fractures under the weight of his mother's illness, that has turned her into an undead zombie.",-,Drama,mater mortis,2021
nan,-,Edmond Mandro,Edmond Mandro,"His son's autism syndrome caused an emotional earthquake in the life of Sajmir which shook not only the foundations of the family, but also the love he has for his wife, Elsa. Sajmir became more introverted and the mask of the clown came to his help, whereas Elsa tries not to los... Leer todo",19,Drama,the clown,2021
100,7.9,Marcos de la Rosa,Marcos de la Rosa,-,9,Drama,vagabond,2021
17,-,Rachel Earnest,"['Rachel Earnest', 'Ashley Monti']","In love with her best friend who has just married someone else, a young college student, still living at home, becomes confounded by faith and ultimately must risk telling her parents who she really is in order to save herself.",-,Drama,moving out,2021
nan,7.3,Leila Jordi,Leila Jordi,-,-,Drama,nagypapa,2021
nan,8.3,"['Eric Bizzarri', 'Pony Nicole Herauf']",Pony Nicole Herauf,"A young woman's grand finale in her pursuit of artistry, and Dallas.",9,Drama,"i wanna make a movie, or i wanna die trying",2021
nan,-,Konstantin Pivovar,Konstantin Pivovar,"Year 2025: the presence of God is a proven fact. A young painter has to get a permission from the Priest in order to leave this world. However, the reasons she states are not as obvious as they seem first.",-,Drama,paintless,2021
nan,-,Riley J. Ewing,Riley J. Ewing,"In a world where everyone is so addicted to their phones that they are literally connected via a wire that stems into their spines, a man searches for connection.",-,Drama,unplugged,2021
nan,-,"['Chin-Wei Chang', 'Lan-Chi Chien']","['Chin-Wei Chang', 'Lan-Chi Chien']",An 8-year-old girl has to hold onto the image of a happy family after her father ran away from home.,13,Drama,dolly,2021
62,-,"['Patrick Fitz', 'Symons']","['Patrick Fitz', 'Symons']",1970s Belfast. A newly-adopted kid lives in his Wild West imagination while trying to come to terms with his new parents - and they with him.,-,Drama,coyote,2021
nan,-,Chin-Wei Chang,"['Chin-Wei Chang', 'Lan-Chi Chien']","A 14-year-old boy babysitting for a single mom, struggles to hide his growing infatuation.",15,Drama,corn,2021
32,-,Brendan Meyer,Calla Wright,"When Judith finds Adam after his attempted suicide, they end up on a search for their childhood haunt in the Californian desert. Home Again is a darkly humorous story about two queer friends moving forward after life has fallen apart.",-,Drama,home again,2021
nan,5.3,Kasper Juhl,Kasper Juhl,"Silas becomes tormented by a cockroach that invades his thoughts, causing him to terrorize his girlfriend and sister. He must find a cure for his mental breakdown before it's too late.",27,Drama,kakerlak,2021
nan,-,Robert Zerbst,Robert Zerbst,-,9,Drama,a glimpse into trauma,2021
76,-,AJ Lovelace,AJ Lovelace,"Forced to attend group therapy, Nicole (Karen Summerton) begins to explore her relationship with loss and grief when she meets Ellis (Tamika Pettway) and James (Alec Wirth).",20,Drama,good grief,2021
nan,-,Leandro Imaz,"['Kathleen CannonÅsmund Brede Eike', 'Leandro Imaz']","Inner Calling is a bittersweet story about Benjamin, an 8 year old kid who is fighting for his dream of playing tennis against his father wishes.",15,Drama,inner calling,2021
nan,-,Montana Mason,Montana Mason,"Persuaded by a friend to come to the bar and perform, Levi, a transmasculine drag performer, finds himself in a compromising situation when he is outed by another jealous drag queen. Exploring the divides within the queer community, and the pain that lies within othering our own ... Leer todo",-,Drama,boysugar,2021
38,-,Chloe Shelton,Chloe Shelton,"The year is 1781. America is divided in unrest as some Colonists are loyal to King George of England, and others are determined to enforce their Declaration of Independence under General Washington's leadership. In a reflection of the nation's division, many families are also div... Leer todo",22,Drama,wayward,2021
nan,-,"['Sam Anselmo', 'Holly Black', 'Tristin Ray']",Sam Anselmo,"Master Sgt. Chad Sikeston receives the Purple Heart and Medal of Valor award after being shot 3 times in Afghanistan while trying to assist some fellow soldiers. After he recovers, he returns to Missouri to face a much bigger issue.",-,Drama,pray they stand down,2021
