puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
nan,-,Smith Co,Smith Co,-,-,Accion,all da videos,2015
nan,-,"['Séby Ez', 'Max Jones']","['Steve Ditko', 'Max Jones']",-,20,Accion,avenging spider-man,2015
nan,-,Taj L. Cooper,Sachiko Ishida,"While working late, a young woman on her lunch break encounters strange and bizarre circumstances to fight for her life.",9,Accion,aya's mirage,2015
nan,-,Luke Schuelke,Luke Schuelke,What happens when you get a new roommate who is never around and then all of a sudden appears with daunting news? 'We are going to DIE!!!'. Do you believe him? Should the roommates believe him? They better because their roommate got himself in trouble with some unforgiving characters that are coming to the house to seek revenge for who knows 'WHAT?'.,13,Accion,what?,2015
59,-,Roane Borger,-,Trailer for a film to never come out; detectives fight an urban legend,1,Accion,blood,2015
nan,-,Yoni Segal,"['Nadav Avny', 'Yoni Segal']",-,7,Accion,2121,2015
nan,-,Hannah Beadman,-,-,-,Accion,at the center of the world,2015
nan,-,Shigehito Kawada,-,"Bell and Aida are scouting the zone around Towasanga, when they're attacked by Mask Squad. Mask is piloting a new unit, a pitch black Phenex.",9,Accion,gundam g no reconguista from the past to the future,2015
nan,-,Ariel Luque,Ariel Luque,Brunella and Abril try to escape the husband of the woman they murdered. But the thirst for revenge is quenched with blood,-,Accion,dropin (no matarás),2015
nan,-,Tripp Pickell,-,-,-,Accion,dark cover,2015
nan,-,"['David Mc', 'Cracken']","['David Mc', 'Cracken']","Robert Oppenheimer, the real-life creator of the atomic bomb, travels back in time to prevent himself from detonating it.",7,Accion,i am become death,2015
-,-,Joshua Durham,"['Joshua Durham', 'John Patrick Hayden']",An aspiring boxer must face the shadows that haunt him before he can step inside the ring.,35,Accion,shadowboxing,2015
nan,-,Harrell D Williams Sr.Harrell Williams,Harrell D Williams Sr.Harrell Williams,"A young man is hit with the realization that his father is going to remarry a woman who is all wrong for him. He then goes into panic mode, carrying out a dangerous deadly plan to get rid of her.",28,Accion,they lost it,2015
nan,-,"['Stoyan Nikolaev', 'Rumen Pavlov']","['Stoyan Nikolaev', 'Rumen Pavlov']",Occupational safety manual.,3,Accion,such appetite,2015
26,-,Kevin Bertazzon,Kevin Bertazzon,"Due to an insult, Tsuki must battle Master Kobatzu to the death - if they can stop insulting each other first.",6,Accion,honor,2015
-,-,John Wyatt Dossey,John Wyatt Dossey,A young woman is attacked while Christmas shopping and a bystander comes to her aid.,5,Accion,altruist,2015
nan,-,Francesco Bovinò,Francesco Bovinò,Professionals criminals are hired by a mysterious organization which considers a duty to put remedy on worldwide corruption and economic decay using extreme measures. The selected group of criminal's task is to eliminate supporters of illegality with the intent to re enter new liquidity of money into market and give oxygen to the international economic system.,6,Accion,"murder, inc. - pilot",2015
nan,-,Matt Hoyt,Matt Hoyt,"A comedic saga that follows Preston, a disenfranchised Southern Californian, who accepts a job manning a landfill in Antarctica to finish writing his novel free from distractions. Preston soon realizes that life on the icy continent is anything but peaceful and desolate, as Dougie and Knosh guide him through his first days on the job. Written & Directed by Matt Hoyt(T... Leer todo",25,Accion,antarctic... huh?,2015
nan,7.1,Gary H. Lee,Gary H. Lee,"A powerful multi-national corporation, Aden, must deploy a bounty hunter in order to stop an unseen creature forged from a child's imagination.",10,Accion,aden,2015
-,8.0,"['Reed Clare', 'Mike Donis']",Reed Clare,"It is 50 B.C. A Roman invasion of Celtic lands hangs on the knife's edge of success as the chieftain Ambiorix (REED CLARE) wages war against the Roman general Eydis. A deadly battlefield blow costs Ambiorix the life of his son, Conall, resulting in the unceasing deterioration of his soul and sanity. In his dying moments he is haunted and fractured as he relives the ep... Leer todo",14,Accion,valor's dawn,2015
-,-,Sean Lawless,Sean Lawless,An FBI agent investigates a possible mole leaking out classified information from a Federal Bank.,13,Accion,compromise,2015
nan,7.4,Fabien Martorell,"['Fabien Martorell', 'Michael Marshall Smith']","Two men meet in a park. It's Christmas Eve. Kane is an assassin, on his way to do a job that means more to him than the usual killings he is paid to do. This time it's personal.",16,Accion,unbelief,2015
nan,-,Rod Johns,"['Rod Johns', 'Tonci Pivac']",A journalist has been targeted for assassination by an underground organization. The hit woman has a sudden dose of conscience and decides to help him instead.,15,Accion,moral prerogative,2015
nan,-,Danny Miguel,Danny Miguel,An Ex-federal agent withholds information during a criminal search.,25,Accion,discredit,2015
nan,-,Daniel Shojaei,"['Robin Barker', 'Daniel Shojaei']",-,-,Accion,breaking the law,2015
nan,6.8,Gregg Meller,Gregg Meller,"Shot and left for dead by the commune of murderers and thieves who raised him, an 18-year-old pure-bred killer must trek across the lawless desert waste to exact his revenge and rid the world of their evil.",22,Accion,a killer of men,2015
38,-,Gil O'Brien,Gil O'Brien,The Final Table is being robbed.,9,Accion,the final table,2015
nan,-,Pavan Sharma,"['Pavan Sharma', 'Pranav Sharma']","The witnesses to a horrific high school shooting, sweethearts Jen and Ted are both on the run after having robbed a bank. As they escape the city it becomes obvious that not everything is fine in this perfect love story.",12,Accion,in the pin we trust,2015
nan,5.3,Bryn Pryor,Bryn Pryor,"Cowboys & Engines is a steampunk western short that stars Richard Hatch (Battlestar: Galactica) and Libby Letlow (Masked Rider). Set in an alternate 1876, Cowboys & Engines follows Cade Ballard, the former Texan ambassador, as he encounters Guinivere Wheeler, a sexy gunslinger and con artist.",7,Accion,cowboys & engines,2015
51,-,"['Gavin Mc', 'Donnell']","['Gavin Mc', 'Donnell', 'Tim Mc', 'Donnell']",A hustler on the run and desperate takes one last job to pay off his debt to a psychotic kingpin. But all is not as it seems in a dog eat dog world.,15,Accion,dog eat dog,2015
nan,-,"['Ben Adler', 'Carter Baker']",Ben Adler,"Jim is a hit man looking to get out of the game. He is tasked with taking the bosses kid, Tyler, on a job with him, in order to teach him a thing or two.",17,Accion,at the bottom of everything,2015
nan,-,Mauro Blanco,Mauro Blanco,"Upon regaining consciousness, tainted with blood on her face, Katja, an FBI agent, realizes she was running for her life, after investigating a Russian spy ring. She can't trust anyone, not even the FBI. While trying to put the pieces of the past together, she's cornered into facing two powerful figures and their henchmen. Fear, betrayal and espionage become the last ... Leer todo",18,Accion,crossing shadows,2015
nan,-,Van Dickranian,"['Arshag Dickranian', 'Van Dickranian']",An errand boy with unrealistic dreams gets more than what he asks for from the mob.,-,Accion,kill to live,2015
nan,-,Jennifer Jordan,"['David Garver', 'Jennifer Jordan']","The Walking Shadow of Danny O'Shea In the shady and unforgiving world of International crime syndicates men are paid to kill with impunity on a whim. After years of toiling in theater as an underpaid actor, trying to please audiences by acting like someone he was not, Danny O'Shea has found salvation in the seedy underworld of Hit Men for hire. By accessing his most t... Leer todo",28,Accion,the walking shadow of danny o'shea,2015
73,5.2,"['Ryan Unicomb', 'Jordan Bailey']","['Jordan Bailey', 'Ryan Unicomb']","The rise and fall of the worlds first superhero, Guardian.",15,Accion,gifted,2015
nan,-,Jacob Crumbley,Jacob Crumbley,Two young boys find themselves entangled in a notorious drug gangs' affairs after they witness a robbery gone wrong in their trailer park.,15,Accion,look twice,2015
23,-,Cole Daniel Hills,Cole Daniel Hills,"A zombie meets Ben. They become very close friends, until a new threat comes - the Crows.",25,Accion,dead inside,2015
nan,-,D.G. Balazs,"['D.G. Balazs', 'Lynn Spidell']","Have you ever gone into a store to make a purchase, only to be accosted by a Clerk that seemed to be there for no other reason than to royally screw up your day?",14,Accion,dark noir,2015
nan,4.4,Philippe Joly,Philippe Joly,"When the news that the head of the feared Russian organized crime, the Vori v Zakone (Thieves in Law), died in a ferry crash in Hong Kong, reaches his second in command in Moscow, Alexander Orlov rushes to Hong Kong to meet with Hu Wong, the son of the Dragon's head, in order to renegotiate the future collaboration with the Triads in the region. He soon discovers tha... Leer todo",-,Accion,vor,2015
nan,-,Francisco Escobar,Paul Nandzik,"By the time the uninfected survivors of the zombie apocalypse start to rebuild their lives, their zombie foes evolve into clever and seemingly immortal enemies who not only use guns and set traps, but take slaves as well.",-,Accion,after the infection,2015
