puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
nan,-,"['Cheron Bey', 'Glenn Mc', 'Bride Jr.']","['Glenn Mc', 'Bride Jr.']",-,10,Comedia,change clothes,2015
nan,-,"['Glenn Mc', 'Bride Jr.']","['Glenn Mc', 'Bride Jr.']",-,-,Comedia,black white sketch show,2015
nan,-,Karen Kawas,Karen Kawas,"The seven deadly sins meet in hell's most infamous cafe: Dante's coffee. They need to concoct a plan to start World War III because the world needs cleansing and sacrifice. During the meeting, they must agree on which one of them will be the one kick starting the event. Will anger drive a world leader to kill dozens of innocents? Will greed make the markets crash? Or ... Leer todo",-,Comedia,el café de dante,2015
nan,-,Zachary Marc Kaplan,Zachary Marc Kaplan,"The fates of two high-school seniors, one an underachiever and the other an overachiever, are determined by a soda machine.",8,Comedia,strange ways,2015
nan,-,Farhad Mohsin,Shakir Hossain,-,-,Comedia,freestyle v1.0,2015
nan,6.4,Kyrie Irving,Kyrie Irving,Uncle Drew is down in Miami putting in work and settling old scores.,7,Comedia,uncle drew: chapter 4,2015
nan,-,Patrick Alen,-,-,-,Comedia,aka tunka,2015
nan,-,"['A.Z. Chandler', 'Samuel Dinkowitz']",Samuel Dinkowitz,Life is both crashing down and lifting up for Richard,4,Comedia,butterfly dick,2015
nan,-,Radomir Jordanovic,"['Radomir Jordanovic', 'Andrew Noonan', 'Mick Powers']","An aged Peter Pan and his reluctant, alcoholic accomplice, Tinkerbell, accidentally go to the wrong house and abduct two women to take to Neverland. Neverland is a broken, horrible place where all the Lost Boys have been killed or turned into pirates.",15,Comedia,you are the pan: neverland's greatest victory,2015
nan,-,Estuardo Erik,Ausar A. English,-,3,Comedia,avirex,2015
nan,-,Dave Urlakis,Dave Urlakis,"Jerry's Pizza really screwed up this guy's order. Like, a lot.",3,Comedia,pizza mistake,2015
nan,-,Alex Nichols,-,-,3,Comedia,bet white people awards,2015
nan,-,Jeremy Stark,Katie Novotny,This season on the Real World you're in for a twister of fun... A spin on the Real World with a dash of the Wizard of Oz.,2,Comedia,real world: oz,2015
nan,-,Quinn Wilson,Emily Williams,Consider AAU - America's alma mater.,1,Comedia,any american university,2015
nan,-,Quinn Wilson,Will Meinen,"With the help of Katie L. and Derek, you might make it through Lolla without wandering into a wormhole.",3,Comedia,6 tips to get through lollapalooza,2015
nan,-,Quinn Wilson,Don Watts,-,4,Comedia,netflix - continue watching?,2015
nan,-,-,-,Reparto principal,2,Comedia,personal injury lawyer lawyer,2015
nan,-,Alex Nichols,Alex Nichols,"Are you a dude who hates moving? Then try out Angry Girlfriend Movers. You'll be matched with an Angry Girlfriend who won't just help you out, she'll throw you out.",2,Comedia,angry girlfriend movers,2015
nan,-,Maria Halvorsen,"['Marita Edvina Lorentzen', 'Marius Sorli Finnstun']",-,5,Comedia,pwned,2015
nan,-,Tero Peltoniemi,Tero Peltoniemi,Two girls compete at a gym until a show-off guy comes in.,1,Comedia,gym dance,2015
nan,-,Kail Grösser,-,-,1,Comedia,stop motion jesus,2015
72,-,Darren R.L. Gordon,Darren R.L. Gordon,-,4,Comedia,the hunter,2015
nan,-,Thomas H. James,Thomas H. James,"A short film made by students and for students. A comedy exploration of the Roman Emperor, Caligula and his life.",7,Comedia,"caligula, the movie 2",2015
nan,7.0,Randy Rainbow,Randy Rainbow,Music video for Randy Rainbow's The Kim Davis Cell Block Tango.,3,Comedia,the kim davis cell block tango,2015
nan,-,"['Hazel Hayes', 'Sammy Paul']","['Hazel Hayes', 'Sammy Paul']",-,-,Comedia,sexy torture chamber,2015
nan,-,Peter Boiadzhieff,-,-,-,Comedia,peter boiadzhieff bid for president,2015
nan,-,Johann Lorillon,Johann Lorillon,-,2,Comedia,je suis un cadeau de la vie,2015
72,-,Hayley Sheppard,Hayley Sheppard,-,-,Comedia,doodlebug,2015
