puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
nan,-,Stanislav Shelestov,Stanislav Shelestov,Two guys decide to become bloggers. In order to get views and likes they take some experimental military pills which deprive them of any sense of pain. But it goes too far.,8,Accion,like.share.repost.,2020
nan,9.2,Stefan Chapovskiy,Stefan Chapovskiy,"1984, a team of rangers on a punitive expedition in Colombia jungle gets abducted by aliens. During the experiment, conducted on the space station, humans are forced to pass deadly tests, competing with warriors from other worlds.",-,Accion,war gene,2020
nan,-,Donny Callahan,"['Donny Callahan', 'James R Compton Jr.Kevin Eaton']",-,-,Accion,evade short film,2020
nan,-,André Mileti,André Mileti,The hero of a terrible action film realizes he's fictional and tries to escape with the help of a mysterious filmmaker.,12,Accion,vanity project,2020
nan,-,Danny Zanelotti,Danny Zanelotti,"He's a guy in a bad situation, and he's just trying to get out alive.",17,Accion,gambler,2020
71,6.4,Chela Drake,Chela Drake,"When a dangerous assassin decides he wants out of his guild after discovering the identity of a former target, things get ugly and his only purpose becomes living long enough to bring one last piece of the life he stole home.",-,Accion,repentance,2020
nan,-,Daniel Norris Webb,"['Kevin Fernandez', 'Daniel Norris Webb']","When James brings his fathers pistol to the gang's after school hideout, a typical day turns into something much darker.",7,Accion,ready.fire.aim,2020
nan,-,Aileen Sheedy,"['Maren Curtis', 'Kevin Swanson']","After a failed attempt to reconnect, a gamer's frustrated wife decides to build him a game of her own with real-life stakes.",-,Accion,the legend of stella,2020
nan,-,Ryan Rosenblum,Ryan Rosenblum,"Pursued by the FBI, a team of the world's most dangerous women model their vigilante crimes on the seven deadly sins.",-,Accion,satan's seven,2020
nan,-,Tony Cruz Serrano,Tony Cruz Serrano,-,6,Accion,ricky rodrigo,2020
nan,-,Kris Atkins,Kris Atkins,A young couple search for a reasonably sized flat at an affordable price. within a difficult Auckland renting market.,-,Accion,renters,2020
61,7.8,Michael Risley,Michael Risley,An Albanian boy accidentally releases a turkey and must get it back in time for New Year's Eve dinner.,10,Accion,the last supper,2020
nan,-,"['Kaylyn Love Wilson', 'Zachary Wilkerson']",Kaylyn Love Wilson,"Four starry eyed high school seniors make a fatal decision when they choose to drink at a roaring house party. Little do they know, the implications of that night would mean the sacrifice of college dreams and tragedy for an innocent mother and her son.",-,Accion,memorial shattered dreams,2020
nan,-,Ian Altenbaugh,Ian Altenbaugh,-,-,Accion,pit viper,2020
nan,-,Albert Poquet,Isaac Israel,-,-,Accion,no hay precio,2020
nan,-,Rodrigo Dimaté,Rodrigo Dimaté,"AKA 'Loogie', a former paramilitary combatant in the Colombian armed conflict, reinserted into society, arrives in Bogota to start a new life, but he falls into the streets and smoking cocaine paste. While running away from Nando, another former paramilitary who wants him to join... Leer todo",26,Accion,a king's life,2020
20,6.6,Johannes Stenberg,-,"A man, driving his kids in his car falls asleep during a red light stop and real bad things start to happen.",13,Accion,the rage,2020
nan,-,Matthew Lee Blackburn,Matthew Lee Blackburn,"When an aerial patrol machine begins making drops near an important base, it is up to a unit of hardened soldiers to clear the area of deadly machines before they can infiltrate Crystal Peak and bring down the human resistance.",-,Accion,crystal peak,2020
nan,7.8,Karsten de Vreugd,Karsten de Vreugd,"When Mara hastily enters her yoga class she desperately tries to find her zen, only to find out her zen is at the end of letting out all her frustrations first.",12,Accion,downward facing dogs,2020
nan,-,Peter Jang,Peter Jang,Two crime syndicate leaders manipulate their best men to fight to the death as a means to avoid all out war.,10,Accion,pawns,2020
nan,-,Travis Mills,"['R.K. Anderson', 'Travis Mills']","In the next installment of our wasteland series which began with The Mad Man of Miami and continued with The Seven Blood, the Guardian is captured by a tribe who plays deathly games in the wasteland and is forced to compete by the sadistic Game King leader.",-,Accion,the death rally,2020
nan,-,Paul Daisuke Goodman,Paul Daisuke Goodman,A retired pilot tries to ignore the monstrous space station that has fixed itself in orbit 300 miles above his homestead only to be stirred to action when a piece of it leaves a crater in his yard.,12,Accion,leafer,2020
nan,-,Das Fuerst,Das Fuerst,"Renowned scientist Dr Eric Reinfeld goes public with our planet's imminent extinction. After sending a distress call into space, he hides in an undisclosed location from the US Gov't trying to save the world. Is something out there?",-,Accion,when fire flies,2020
nan,-,Jeremy Lusambya,Patrick Lualua Jr.,"He changed his name and life, but can't escape the past that's turned him into a killer",-,Accion,last 24 hours,2020
nan,-,Marino Darés,Marino Darés,"18 years after the great Jedi purge, a lost padawan acting as a rebel spy and a rookie soldier face the hardest and most important trial of their lives whilst surrounded by a storm of smoke, fire and thousands of blaster bolts.",12,Accion,last trial: a star wars collateral story,2020
nan,-,Yani Gellman,Yani Gellman,"A young mother is stolen away to the furthest corners of the galaxy and must escape an alien prison to return home and free her own child. ""Greetings, From the Planet Krog!"" is a visual poem that suggests our greatest exploration of the universe takes place within the human heart... Leer todo",6,Accion,"greetings, from the planet krog!",2020
nan,8.5,"['Angus Kittler Reid', 'Austin Rice']","['Austin Rice', 'Alex Passino']",Lil' Balzac unwittingly agrees to be the getaway driver for a rugged bank heist crew.,42,Accion,lil' balzac 2,2020
nan,-,Dani Medina,-,-,-,Accion,el borracho: el vino viejo es el más peleón,2020
nan,5.1,George Tounas,George Tounas,Special agents undercover Ace and Sandy face an unexpected situation in Maximum City as they try to get a job done against a crime organization.,10,Accion,city rush,2020
44,-,Josh Gardiner,Conrad Welch,"After the extinction of superhumans, the peacekeeping group Virtue wants to reform society without them, while Vice desire to revive and control superpowers.",19,Accion,virtue,2020
nan,-,Madison Strain,"['Raymond Roberson', 'Mike Strain Jr.Madison Strain']","Detectives, John Barrow and Jackson Slate, are two new partners working a case. While on a stakeout, their case takes a turn that sends them spiraling through a series of events straight out of their favorite action movies.",-,Accion,buddy cops; the stakeout,2020
nan,5.6,Muhammet Ali Tutka,"['Ahmet Mete Celik', 'Furkan Govyaprak', 'Taner Kaplan']","Everything was normal until The Dragon comes to the city . 4 guys who saw that attack scared like everyone , but they did not know there was an elder strenght at their place . Somehow they'll find this Elder Strenght and They have to fight with The Mysterious Enemy .",-,Accion,the elder guardians,2020
