actor,año_nacimiento,que_hace,conocido_por,lista premios
Diane McBain,1941.0,['Reparto'],"['Mi regalo de cumpleaños (1966)', 'Curva peligrosa (1967)', 'El club de los corazones rotos (2000)']",[]
Geir Vegar Hoel,1973.0,"['Reparto', 'Dirección', 'Guion']",['Zombis nazis (2009)'],"['Puchon International Fantastic Film Festival', 'Austin Fantastic Fest', 'Bucheon International Fantastic Film Festival']"
Jamie Smylie,,['Reparto'],[],
James Hamer-Morton,,"['Reparto', 'Efectos visuales', 'Edición']",[],"['Genre Celebration Festival', 'Birmingham Film Festival']"
Eva Wagner,1945.0,['Equipos adicionales'],"['The Metropolitan Opera HD Live (2006)', 'Great Performances (1971)']",[]
Jai Koutrae,,"['Reparto', 'Producción']",[],"['Method Fest', 'Lucania Film Festival']"
Kayla London,,['Reparto'],[],
Joanne Woodward,1930.0,"['Reparto', 'Producción', 'Dirección']","['Las tres caras de Eva (1957)', 'El efecto de los rayos gamma sobre las margaritas (1972)']","['Academy Awards, USA', 'BAFTA Awards', 'Cannes Film Festival', 'Primetime Emmy Awards', 'Film Society of Lincoln Center', 'Golden Apple Awards', 'Golden Globes, USA', 'Hasty Pudding Theatricals, USA', 'Kansas City Film Critics Circle Awards', 'ICG Publicists Awards', 'National Board of Review, USA', 'New York Film Critics Circle Awards', 'San Sebastián International Film Festival', 'Screen Actors Guild Awards', 'Walk of Fame', 'CinEuphoria Awards', 'Online Film & Television Association', 'The Kennedy Center Honors']"
Jean Yoon,1962.0,"['Reparto', 'Guion', 'Banda sonora']","['The Expanse (2015)', 'Dragon Boys (2007)']","['ACTRA Awards', 'Canadian Screen Awards, CA']"
Dublin James Wahlberg,1975.0,"['Reparto', 'Producción', 'Guion']","['Seinfeld (1989)', 'Buen rollito (2001)']",
Milena Vanek,,['Reparto'],[],
Mike Schank,2022.0,"['Reparto', 'Composición', 'Producción']","['American Movie (1999)', 'Cosas que no se olvidan (2001)', 'Coven (2000)']",[]
Johnny Thompson,1934.0,"['Equipos adicionales', 'Reparto']","['Wizard Wars (2014)', 'Efecto Carbonaro (2014)', 'Billy Topit (2015)']",[]
Liz Matukewicz,,['Producción'],[],
Rajiv Reddy,,"['Dirección', 'Guion']",[],[]
Renata Habelinkova,,['Reparto'],[],
Lukas Lüdeking,,['Reparto'],[],
Ricky Crawford,1976.0,"['Reparto', 'Producción', 'Guion']",[],[]
Jaspreet Bance,,['Reparto'],[],
Joanna Green,,"['Dirección', 'Reparto', 'Equipos adicionales']",[],
Tyson Borger,,['Reparto'],[],
Emmanuel Martin,,['Reparto'],[],
Heather Jones,,['Reparto'],[],
Irene Miscisco,,['Reparto'],[],
Tanner Tokuyama,,"['Reparto', 'Guion', 'Producción']",[],
Juan José Cea Escobar,2008.0,"['Dirección', 'Edición', 'Guion']","['Entre Fronteras (2024)', 'Furieuse (2015)', 'Women Crossing the Line (2014)']",['RIP Horror Film Festival']
Slavko Todorovic,,['Dirección de fotografía y cámara'],[],
Roxanne Mcdonald,,['Reparto'],[],
Henry Iglesias,,['Reparto'],[],
Paulo Sérgio Bolachinha,,['Reparto'],[],
Lauren Hudson,,['Reparto'],[],
Tim Plouffe,,['Reparto'],[],
Dorina Amina,,['Reparto'],[],
Isabel Gaudí,,"['Reparto', 'Producción', 'Dirección']",[],[]
Ilham Aliyev,1961.0,['Reparto'],[],[]
Christine Clare,,['Reparto'],[],
Hunter Bolton,,"['Reparto', 'Guion', 'Dirección']",[],
Patrick Simmons,1948.0,"['Reparto', 'Banda sonora']","['El incidente (2008)', 'Sácame del paraíso (2012)', 'Fuego en el cielo (1993)']",[]
Joe Petruzzi,1989.0,['Reparto'],[],"['Five Continents International Film Festival', 'South Film and Arts Academy Festival', 'Cyrus International Film Festival of Toronto']"
