actor,año_nacimiento,que_hace,conocido_por,lista premios
Jade Brandais,1985.0,"['Reparto', 'Producción', 'Equipos adicionales']","['Dark House (2009)', 'Paradox Alice (2012)', 'Phoenix 9 (2014)']",
Lachy Hulme,1971.0,"['Reparto', 'Guion', 'Dirección']","['Matrix Revolutions (2003)', 'Asesinos de élite (2011)', 'Descubriendo a Nina (2010)']","['Logie Awards', 'Melbourne Underground Film Festival', 'Australian Academy of Cinema and Television Arts (AACTA) Awards']"
Lidia Kostina,,['Reparto'],[],
Luis Gatica,1961.0,['Reparto'],"['Rubí (2004)', 'El Pantera (2007)', 'Cuando me enamoro (2010)']",[]
Suzanne Turner,,"['Reparto', 'Equipos adicionales']",[],
Heidi Hite,,"['Reparto', 'Producción', 'Dirección']",['Billy Bates (2013)'],
Chung-Heng Chu,1967.0,['Reparto'],"['Chun shu yi wai (2000)', '3 Wheels (2009)', 'My Dear Boy (2017)']",[]
Pamela Holmes,,['Reparto'],[],
Murray Head,1946.0,"['Reparto', 'Composición', 'Música']","['Luna de miel en familia (1966)', 'Pasiones en Kenia (1987)']",[]
Tom Gillis,,['Reparto'],[],
Fernando Fernán Gómez,1921.0,"['Reparto', 'Guion', 'Dirección']","['El abuelo (1998)', 'Todo sobre mi madre (1999)', 'El mar y el tiempo (1989)']","['Berlin International Film Festival', 'Biarritz International Festival of Audiovisual Programming', 'Cinema Writers Circle Awards, Spain', 'Fotogramas de Plata', 'Goya Awards', 'Gramado Film Festival', 'National Syndicate of Spectacle, Spain', 'San Sebastián International Film Festival', 'Mostra de València-Cinema del Mediterrani', 'Venice Film Festival', 'Ondas Awards', 'Prince of Asturias Awards', 'Spanish Actors Union', 'Iris Awards (Atv), Spain', 'Sant Jordi Awards', 'TP de Oro, Spain', 'Peñíscola Comedy Film Festival', 'Premios ACE', 'ADIRCAE Awards', 'Mestre Mateo Awards', 'ASECAN']"
Peter Fulton,,"['Reparto', 'Composición']",[],
