,0,1,2
0,Star Wars: Episode III - Revenge of the Sith,2005,79
1,Fantastic Four,2005,28
2,Striptease Baby Dolls from Cleveland Meet the Unkillables,2005,
3,Wilson Chance,2005,
4,Man-Thing,2005,14
5,The Sea Wolf,2005,100
6,Dark Assassin,2005,
7,Extreme Dating,2005,28
8,Sahara,2005,38
9,A Sound of Thunder,2005,6
10,Kingdom of Heaven,2005,40
11,Kung Fu Master,2005,
12,The Great Raid,2005,38
13,Lung do kei yuen,2005,
14,xXx: The Next Level,2005,
15,Mirror Wars: Reflection One,2005,32
16,Diamond Zero,2005,
17,Nowhere Man,2005,43
18,Beauty and the Beast,2005,82
19,Sledge: The Untold Story,2005,27
20,Strike the Tent,2005,
21,Hostage,2005,35
22,Unleashed,2005,66
23,The Brothers Grimm,2005,38
24,The Crow: Wicked Prayer,2005,0
25,Mr. & Mrs. Smith,2005,60
26,Elektra,2005,11
27,Into the Sun,2005,27
28,Constantine,2005,46
29,King Kong,2005,84
30,The Unknown,2005,13
31,The Myth,2005,20
32,Revolver,2005,15
33,Lethal,2005,20
34,Bal-Kan-Kan,2005,
35,Dinner with an Assassin,2005,-
36,Alone in the Dark,2005,1
37,Tetsujin niju-hachigo,2005,
38,Forbidden Warrior,2005,9
39,Batman Begins,2005,85
40,Der Clown,2005,
41,Underclassman,2005,6
42,Turetskiy gambit,2005,
43,Little Chicago,2005,
44,Anniyan,2005,90
45,Into the Blue,2005,21
46,Left for Dead,2005,3
47,Caught in the Headlights,2005,-
48,Target of Opportunity,2005,29
49,Serenity,2005,82
50,Back in the Day,2005,58
51,Dead Fish,2005,38
52,Slipstream,2005,35
53,Vet hard,2005,
54,Die Bluthochzeit,2005,
55,Planetfall,2005,11
56,BloodRayne,2005,4
57,Stealth,2005,
58,Miss Congeniality 2: Armed & Fabulous,2005,
59,Crash Landing,2005,28
60,Fainaru fantajî sebun adobento chirudoren,2005,
61,Dust to Glory,2005,60
62,The Vault,2005,22
63,The Legend of Zorro,2005,28
64,River Queen,2005,40
65,Transporter 2,2005,52
66,Killing Cupid,2005,
67,The Girl from Monday,2005,41
68,Deck Dogz,2005,71
69,Edison,2005,11
70,The Last Eve,2005,29
71,Brick,2005,80
72,The Pacifier,2005,21
73,Pit Fighter,2005,28
74,Shadowboxer,2005,17
75,Game Over,2005,80
76,Throttle,2005,38
77,Assault on Precinct 13,2005,59
78,The Island,2005,40
79,The Indie Pendant,2005,
80,Ambulancen,2005,
81,Lord of War,2005,62
82,The Man,2005,12
83,A History of Violence,2005,88
84,Beowulf & Grendel,2005,50
85,Æon Flux,2005,9
86,Chok-Dee,2005,
87,L'empire des loups,2005,
88,The Helix... Loaded,2005,
89,The Cave,2005,12
90,Supercross,2005,
91,Chaos,2005,57
92,State Property 2,2005,14
93,Zathura: A Space Adventure,2005,
94,Lorelei,2005,90
95,La sombra del sahuaro,2005,
96,War of the Worlds,2005,76
97,The Second Front,2005,36
98,Fugitive Hunter,2005,
99,Munich,2005,78
100,Wrong Turn,2005,40
101,Soul Searcher,2005,
102,Return of the Living Dead: Necropolis,2005,16
103,Black Days,2005,
104,Brutal Incasso,2005,
