,0,1,2,3,4,5,6
51,-,Angela Wold,"['Rebekah Cook', 'Timothy Jones', 'Mark Kozelek']","Telfer thought he had everything he wanted as a contract hit man. When a routine job lands him face-to-face with a figure of his past, he is forced to make a choice. Deception, truth, motives, and choices race against time as the lives of characters collide. It's a story of the redemption God gives to those looking for Him.",-,refuge,2015
52,-,Evan Combs,Evan Combs,-,-,get ready to die,2015
53,-,Evan Combs,Evan Combs,-,-,time to kill some fools: hitman,2015
54,-,Evan Combs,Evan Combs,-,-,i hate my birthday!!!!,2015
55,-,['Luke Van Mol'],-,"After finding a hidden dojo in the forest, Jori is caught by ninja guards and taken to their sensei to ultimately be trained as a ninja.",-,the training of a ninja,2015
56,-,"['Tyler Hickman', 'Brennan Scott']","['Tyler Hickman', 'Brennan Scott']","A lone sniper takes pleasure in picking off escaping refugees from war torn Slovenia in the 90's. That is, until, a lone gunman decides to stand up to him.",-,fight of phantoms,2015
57,-,['Kevin K Watts'],['Kevin K Watts'],An unstable detective seeks revenge after the murder of his wife.,-,after she's gone,2015
58,-,Nicholas Acosta,-,"CHOOSE YOUR OWN ADVENTURE: Are you ready for a Theme Video unlike any other? Well get ready to think like a spy, because it's your job to pick the story. How will the Agent complete his mission?",-,covert,2015
59,-,Forrest Whaley,-,"Captain America battles against Nazi Zombies from Hell, summoned by the Red Skull. He also has to fight The Winter Soldier. Things start going bad for Cap until The Avengers arrive to help in the fight against the undead Nazi menace.",-,lego captain america 3: nazi zombies,2015
60,4.2,['Jo Juan Johnson'],"['Brendan Barney', 'Jo Juan', 'Johnson Jonarazzii']","Dylan hopes to enjoy his summer vacation with his best friends, but his friends have all gone to summer camp or with their family, when suddenly a mysterious purple circle appears in the sky of GoAnimate City.",-,dylan 3: school's out,2015
61,-,Daniele Spadoni,"['Eric Chahi', 'Daniele Spadoni']",-,-,another world/out of this world - fan movie,2015
62,-,Nick Song,Nick Song,-,-,assassin game,2015
63,-,Jacob Shrimpton,Jacob Shrimpton,-,-,cars stop-motion,2015
64,6.9,-,-,"820 years ago, Mujaka, the lord of werewolves finally visits Raizel after a long journey. But the werewolf Maduk interferes in a war of human plotting some scheme.",-,noblesse: the beginning of destruction,2015
65,7.9,Paul Kowalski,"['Paul Kowalski', 'Daniel Gentile']",A Polish neurosurgeon is derailed by the haunting memories of his wife's death.,-,breathe,2015
66,-,Laurent Bouzereau,Colin Trevorrow,-,-,ingen innovations,2015
67,-,Connor White,Connor White,"With Jon Black in a coma, after being shot for saving her life as a child, Agent Val Calloway goes on a mission to find a missing H-Bomb stolen by the same man that had once kidnapped her, Vinny The Butcher Van Cleef.",-,swag royale,2015
68,-,['Amir Ovadia Steklov'],"['Avner Cohen', 'Amir Ovadia Steklov']",A poor teenager is trying to get some money to fuel his fathers addiction to gambling by selling lighters. His journey to the Jerusalem Market will shock him and will led him to revenge his father.,-,hmudi,2015
69,-,Gugun Arief,Gugun Arief,"Knowing that his daughter was taken as hostage by an unidentified group, SUBROTO was panic. The group knows the exact amount of money SUBROTO had illegally taken. They ask some money in exactly the same amount as he had taken. In that critical time, GARDA, one of the hostage-takers betrays his group. He plans to help SUBROTO's daughter to escape. But GARDA is asking S... Leer todo",-,sandera,2015
70,-,Smith Co,Smith Co,-,-,all da videos,2015
71,-,"['S Ez', 'Max Jones']","['Steve Ditko', 'Max Jones']",-,-,avenging spider-man,2015
72,-,['Taj L Cooper'],Sachiko Ishida,"While working late, a young woman on her lunch break encounters strange and bizarre circumstances to fight for her life.",-,aya's mirage,2015
73,,,,,,what?,2015
74,,,,,,blood,2015
75,-,Brent Curran,Brent Curran,-,-,2121,2015
76,-,Hannah Beadman,-,-,-,at the center of the world,2015
77,-,Shigehito Kawada,-,"Bell and Aida are scouting the zone around Towasanga, when they're attacked by Mask Squad. Mask is piloting a new unit, a pitch black Phenex.",-,gundam g no reconguista from the past to the future,2015
78,-,Ariel Luque,Ariel Luque,Brunella and Abril try to escape the husband of the woman they murdered. But the thirst for revenge is quenched with blood,-,dropin (no matarás),2015
79,-,Tripp Pickell,-,-,-,dark cover,2015
80,-,['David Mc Cracken'],['David Mc Cracken'],"Robert Oppenheimer, the real-life creator of the atomic bomb, travels back in time to prevent himself from detonating it.",-,i am become death,2015
81,-,Joshua Durham,"['Joshua Durham', 'John Patrick Hayden']",An aspiring boxer must face the shadows that haunt him before he can step inside the ring.,-,shadowboxing,2015
82,-,"['Harrell D', 'Williams Sr', 'Harrell Williams']","['Harrell D', 'Williams Sr', 'Harrell Williams']","A young man is hit with the realization that his father is going to remarry a woman who is all wrong for him. He then goes into panic mode, carrying out a dangerous deadly plan to get rid of her.",-,they lost it,2015
83,,,,,,such appetite,2015
84,,,,,,honor,2015
85,-,['John Wyatt Dossey'],['John Wyatt Dossey'],A young woman is attacked while Christmas shopping and a bystander comes to her aid.,-,altruist,2015
86,-,Francesco Bovinò,Francesco Bovinò,Professionals criminals are hired by a mysterious organization which considers a duty to put remedy on worldwide corruption and economic decay using extreme measures. The selected group of criminal's task is to eliminate supporters of illegality with the intent to re enter new liquidity of money into market and give oxygen to the international economic system.,-,"murder, inc. - pilot",2015
87,-,Matt Hoyt,Matt Hoyt,"A comedic saga that follows Preston, a disenfranchised Southern Californian, who accepts a job manning a landfill in Antarctica to finish writing his novel free from distractions. Preston soon realizes that life on the icy continent is anything but peaceful and desolate, as Dougie and Knosh guide him through his first days on the job. Written & Directed by Matt Hoyt(T... Leer todo",-,antarctic... huh?,2015
88,7.1,['Gary H Lee'],['Gary H Lee'],"A powerful multi-national corporation, Aden, must deploy a bounty hunter in order to stop an unseen creature forged from a child's imagination.",-,aden,2015
89,8.0,"['Reed Clare', 'Mike Donis']",Reed Clare,"It is 50 B.C. A Roman invasion of Celtic lands hangs on the knife's edge of success as the chieftain Ambiorix (REED CLARE) wages war against the Roman general Eydis. A deadly battlefield blow costs Ambiorix the life of his son, Conall, resulting in the unceasing deterioration of his soul and sanity. In his dying moments he is haunted and fractured as he relives the ep... Leer todo",-,valor's dawn,2015
90,-,Sean Lawless,Sean Lawless,An FBI agent investigates a possible mole leaking out classified information from a Federal Bank.,-,compromise,2015
91,7.4,Fabien Martorell,"['Fabien Martorell', 'Michael Marshall Smith']","Two men meet in a park. It's Christmas Eve. Kane is an assassin, on his way to do a job that means more to him than the usual killings he is paid to do. This time it's personal.",-,unbelief,2015
92,-,Rod Johns,"['Rod Johns', 'Tonci Pivac']",A journalist has been targeted for assassination by an underground organization. The hit woman has a sudden dose of conscience and decides to help him instead.,-,moral prerogative,2015
93,-,Danny Miguel,Danny Miguel,An Ex-federal agent withholds information during a criminal search.,-,discredit,2015
94,-,Daniel Shojaei,"['Robin Barker', 'Daniel Shojaei']",-,-,breaking the law,2015
95,6.8,Gregg Meller,Gregg Meller,"Shot and left for dead by the commune of murderers and thieves who raised him, an 18-year-old pure-bred killer must trek across the lawless desert waste to exact his revenge and rid the world of their evil.",-,a killer of men,2015
96,-,['Gil O Brien'],['Gil O Brien'],The Final Table is being robbed.,-,the final table,2015
97,-,Pavan Sharma,"['Pavan Sharma', 'Pranav Sharma']","The witnesses to a horrific high school shooting, sweethearts Jen and Ted are both on the run after having robbed a bank. As they escape the city it becomes obvious that not everything is fine in this perfect love story.",-,in the pin we trust,2015
98,5.3,Bryn Pryor,Bryn Pryor,"Cowboys & Engines is a steampunk western short that stars Richard Hatch (Battlestar: Galactica) and Libby Letlow (Masked Rider). Set in an alternate 1876, Cowboys & Engines follows Cade Ballard, the former Texan ambassador, as he encounters Guinivere Wheeler, a sexy gunslinger and con artist.",-,cowboys & engines,2015
99,5.6,Hwang Wook,Hwang Wook,"There are 'dogs' that target Koreans while they're on vacation abroad. Hyeong-sin and Ji-hoon kidnap and kill these people without a drop of guilt. While they are in Korea for a period of time, the family of the people killed, chase after them,Like dogs that never let go once they bite. Doo-jin, who is abandoned by Hyeong-sin's gang, kidnap a new victim alone. A middl... Leer todo",-,dog eat dog,2015
100,-,"['Ben Adler', 'Carter Baker']",Ben Adler,"Jim is a hit man looking to get out of the game. He is tasked with taking the bosses kid, Tyler, on a job with him, in order to teach him a thing or two.",-,at the bottom of everything,2015
