,0,1,2,3,4,5,6
0,-,['Daniel Hernández Torrado'],['Daniel Hernández Torrado'],-,-,mundo de locos,2010
1,-,"['Jane Clarkson', 'Monette Lee']",['Bob Galley'],A lone woman isolates herself in the desert with her madness and conspiracy theories. Along comes a man wanting to relax on the beach. Or does he??!!,7,deserted beach,2010
2,-,['Bin-Han To'],['Bin-Han To'],-,-,noise pollution,2010
3,-,['Christopher Pruitt'],['Christopher Pruitt'],-,8,i smell dead people,2010
4,-,['Yuki Otsuka'],['Yuki Otsuka'],-,-,the killer,2010
5,7.4,['James Renfroe'],-,"In a desperate attempt to make friends, lonely girl decides to have a party at her place. Things unfortunately don't go as expected, as the guest count continues to grow.",-,lonely girl,2010
6,-,['Antonio Palomino'],['Antonio Palomino'],"This short film, recorded in Malaga, takes place in the middle of the Spanish Civil War. The story tells the social, political and religious confusions that are experienced in each of the sides and how the protagonist is suddenly submerged in the field of battle. We can say that in this short film the fundamental idea that wants to express society is the ideals of an ... Leer todo",-,el ambidiestro,2010
7,-,['David Sidorov'],"['Billy Domineau', 'Sean Ireland', 'Jenny Jaffe']",-,-,now! that's what i call dad,2010
8,-,"['Leandro Naranjo', 'Ramiro Sonzini']",-,-,28,escuela,2010
9,8.2,['Abdulmohsen Aldhabaan'],['Abdulmohsen Aldhabaan'],What relevance does a string of crimes committed in the past have in the present? The film depicts a story of past crimes leaving a fresh impression on our time today.,35,incomplete chronicles of a folk tale,2010
10,-,"['Travis Bradley', 'Skyler Caleb', 'Stephen D. Little']","['Skyler Caleb', 'Stephen D. Little']",Be careful what you say when setting up a date with a lady.,4,the misunderstanding,2010
11,-,"['Skyler Caleb', 'Sanford Holsapple']","['Skyler Caleb', 'Sanford Holsapple']",The only way to settle an argument.,5,kiss fight,2010
12,-,['Doug Underwood'],['Doug Underwood'],Detectives Fowler and The Z are decades apart in personality and appearance but Detective Z goes missing Detective Fowler won't stop until he finds and saves his partner in solving crime.,2,fowler and the z retro,2010
13,-,['Juan Ignacio Martín Blázquez'],['Juan Ignacio Martín Blázquez'],-,3,connection jam,2010
14,-,['Juan Ignacio Martín Blázquez'],['Juan Ignacio Martín Blázquez'],-,2,deliciae,2010
15,-,['Alex Stickroth'],"['Nick Gagnon', 'Alex Stickroth']",-,-,oh arizona,2010
16,-,['David M. Night Maire'],['David M. Night Maire'],-,-,p00p,2010
17,-,['Michael Thordarson'],['Michael Thordarson'],When a deadly magical virus infects anime girls and turns them into zombies. It is up to a lone Lobster to fight and battle the evil anime zombie girls. He manages to make some friends along the way though to help in his fight.,-,resident girls apocalypse,2010
18,-,['Richard Pizon'],['Richard Pizon'],"Mister PICO, a torturer, receives a visit from his chief, Mister RUMBA, in the midst of a work session.",6,bucco faciale,2010
19,-,['Drew Barclay'],"['Drew Barclay', 'John Bivens']",-,-,cookie,2010
20,-,['Amanda Ross'],['Amanda Ross'],-,-,tontine,2010
21,-,['Matthew Ballen'],"['Matthew Ballen', 'H Spencer Young']",-,6,upper cut: alright,2010
22,-,['Lindsay Bane'],['Lindsay Bane'],-,-,while you were evicted,2010
23,-,['Spanky Aguirre'],['Spanky Aguirre'],-,-,why me?,2010
24,-,['Luis Carlos Hueck'],['Luis Carlos Hueck'],-,-,she is the one,2010
25,-,['Tero Peltoniemi'],['Tero Peltoniemi'],"Constrained to his wheelchair, a man lives in a hospital with his loved one. Every night, as she sleeps, he writes her a goodbye letter and sneaks out of their room. He rushes through the hallway toward a mysterious door in the other end, as two nurses chase him.",4,hospital break,2010
26,8.9,['Irena Skoric'],['Irena Skoric'],"Next to the largest city dump in Zagreb, lies a flea market, where the poor come to sell their goods. This is the final resting place of numerous products of Socialism and Yugoslavia. One of the symbols of that country which was destroyed in war was the Zastava 101, a car built in the Serbian city of Kragujevac.",14,demon iz kragujevca,2010
27,-,['Forrest Whaley'],['Forrest Whaley'],-,-,lego batman: the ridiculous cape,2010
28,-,['Vonne Patiag'],-,One man's quest of love to meet Lady Gaga.,7,chasing gaga,2010
29,-,['Vonne Patiag'],-,"When Bec is accidentally blinded by Linda with a foam sword, she embarks on a quest of revenge to kill Linda and all the characters she embodies within a theatrical production.",5,linda must die,2010
30,-,['Vonne Patiag'],-,"A man hears weird noises outside, and soon finds his room infected by the image of Julia Morris, leading to a metamorphosis, or rather, a meta-MORRIS-phosis.",3,metamorrisphosis,2010
31,-,['Andrew Lum'],"['Jeremy Cavner', 'Andrew Lum', 'Chelsea Rustad']","Zamburger, a director, has a record of obtaining blockbuster success, even with unorthodox techniques, pressure from the studios, and despite his overuse of green screen action and cheesy effects.",7,the zamburger effect,2010
32,-,['Jonathan Wilhelmsson'],['Jonathan Wilhelmsson'],An offbeat documentary about society's unsung heroes: the lampposts.,7,a light that never fades,2010
33,-,['Jacqueline Wright'],"['Jordan Long', 'Alice Lowe', ""Barunka O'Shaughnessy""]",-,13,junglophilia,2010
34,-,['Matteo Banfo'],-,-,-,the coach,2010
35,-,['Charles J Gibson'],['Charles J Gibson'],-,10,blind date,2010
36,-,['Rebecca Ghareeb'],['Steve Millikin'],"Confessions of a Catman is one man's stark admission that he lives a double life. He gives an account of how his ""normal"" life conceals his secret and lurid life on the underside of society as a feline impersonator.",6,confessions of a catman,2010
37,-,['Michael Thordarson'],['Michael Thordarson'],"The sleepover begins with Tausha, Rikki and Molly. Tausha is excited to kick things off by making a list, but when Rikki ask's for the snacks, things seem to go downhill. Things get worse as Michael crashes the sleepover. The girls threaten to beat him up, but Michael has a trick up his jacket. Michael opens up his jacket to reveal a magical substance which can contro... Leer todo",-,chocolate malady,2010
