puntuacion_imdb,direccion,guion,argumento,genero,duracion,titulo,anio
-,Ricardo F. Gonzalez,Ricardo F. Gonzalez,"Paul and Martin Bland finally had enough of their boring, uninspired, drawn out lifestyle. Paul, a tired and once highly regarded graphic novelist now working as a sales clerk at a local comic book store, and his husband, Martin, a former international fashion model turned nurse ... Leer todo",105,Comedia,meet the blands,2022
4.7,Judd Apatow,"['Judd Apatow', 'Pam Brady']",-,126,Comedia,nella bolla,2022
5.5,Hyun-Sung Moon,Sua Shin,-,138,Comedia,seoul vibe,2022
5.0,"['Matt Danner', 'Justin Lovell']","['Ray De', 'Laurentis', 'William Schifrin', 'Milan Trenc']",-,77,Comedia,night at the museum: kahmunrah rises again,2022
4.3,"['Marshall Fels Elliott', 'John C. Donkin']","['Jim Hecht', 'William Schifrin', 'Ray De', 'Laurentis']",-,82,Comedia,the ice age adventures of buck wild,2022
6.1,Jérôme Commandeur,"['Jérôme Commandeur', 'Xavier Maingon', 'Checco Zalone']",-,83,Comedia,irréductible,2022
3.9,Marta Ferencova,Eva Urbaníková,-,111,Comedia,v lete ti poviem,2022
6.5,Tom George,Mark Chappell,-,98,Comedia,see how they run,2022
4.7,Anil Ravipudi,"['Anil Ravipudi', 'G. Adi Narayana']","Venky and Varun, who try to come up from financial problems. But what will happen when they meet Pragathi Family who are greedy for money?",148,Comedia,f3: fun and frustration,2022
6.2,Carey Williams,K.D. Dávila,-,105,Comedia,emergency,2022
8.0,Juan Zelaya,"['Elmis Castillo', 'Juan Zelaya']",-,90,Comedia,sancocho presidencial,2022
4.9,Matej Balcar,Matej Balcar,Film adaptation of a stage play about a therapy group for male sex-addicts.,89,Comedia,pánský klub,2022
7.1,Ameen Aslam,"['Ashif Kakkodi', 'Zakariya']","A lower middle class family, where the man, despite his financial hardships, brings his wife and children to live with him in the UAE. It looks at their struggles, but is a mix of poignant and happy moments.",103,Comedia,momo in dubai,2022
4.4,Chiqui Carabante,"['Chiqui Carabante', 'David Orea', 'Salvador S. Molina']",-,-,Comedia,la fortaleza,2022
-,Ciro Orlando,"['Claudio Marchetti', 'Ciro Orlando']","Prepare yourself to learn about the childhood and origins of Cyrus, a young boy found and adopted by Jim Mikishimo. His life takes a turn when he begins practicing karate under Jim's guidance.",-,Comedia,cyrus legacy,2022
6.5,Shin Yamaguchi,"['Fujio F. Fujiko', 'Dai Satô']","During summer vacation Nobita picks up a small rocket containing Papi, a palm-sized alien president escaping rebels on his home planet Pirika.",108,Comedia,doraemon the movie: nobita's little star wars 2021,2022
-,"['Parvinder Singh Wraich', 'Harkiran Kaur Wraich']",Parvinder Singh Wraich,Used car bought by a girl does not start whenever she buys Vanilla flavor ice cream,-,Comedia,vanilla car,2022
6.8,Sameer Saxena,Biswapati Sarkar,-,167,Comedia,jaadugar,2022
5.6,Indra Kumar,"['Aakash Kaushik', 'Anders Matthesen', 'Samuthirakani']","An egoistic real estate broker in huge debts, meets with an accident.God appears in front of him and informs him that he will have to play a ""GAME OF LIFE"". If he win, he will be sent back to earth and if not, he will be sent to hell.",121,Comedia,thank god,2022
6.3,Paolo Virzì,"['Paolo Giordano', 'Paolo VirzìFrancesca Archibugi']",-,97,Comedia,susza,2022
6.6,Christoffer Sandler,"['Christoffer Sandler', 'Lina Åström', 'Jessika Jankert']",-,91,Comedia,så jävla easy going,2022
5.8,Louis Leterrier,"['Stéphane Kazandjian', 'Pierre Le Coz', 'Franck Gastambide']",-,119,Comedia,loin du périph,2022
-,Ben Shockley,Ben Shockley,Detectives Saxon and Steel are back. After being moved to a different part of the country this time they must find a gang of vigilantes who are killing off all the known local criminals...even before they can.,-,Comedia,bucking magnums,2022
-,Marcus Vitali Kashuk,Marcus Vitali Kashuk,It takes an unlikely hero to turn hate into love. A comedy. The first film ever by a deaf cast.,75,Comedia,i love you silently,2022
6.0,Elissa Down,"['Annie Barrows', 'Jeff Stockwell', 'Kathy Waugh']",-,56,Comedia,ivy + bean,2022
6.0,Álex de la Iglesia,Jorge GuerricaechevarríaÁlex de la Iglesia,-,99,Comedia,el cuarto pasajero,2022
-,Rolf Lyssy,Rolf Lyssy,RUBEN KATZ - a beautiful (semi) autobiographical story about the last film by the famous Swiss director Rolf Lyssy.,-,Comedia,der katz,2022
6.2,Michael Krummenacher,"['Matthias Pacht', 'Otfried Preußler']","When the robber Hotzenplotz steals a grandmother's coffee grinder, Kasperl and his friend Seppel set out to get it back from him.",106,Comedia,der räuber hotzenplotz,2022
5.1,Massimiliano Bruno,"['Alessandro Aronadio', 'Andrea Bassi', 'Massimiliano Bruno']","After having fled from 1982 to return to the present, the shabby gang of Moreno and his companions suddenly finds themselves in Italy on 8 September 1943, one of the most dramatic days in the history of the nation.",100,Comedia,c'era una volta il crimine,2022
3.2,Fatih Mutlu,Fatih Mutlu,Nalan is a successful TV Host. One day she had a traffic accident and every sentence that came out of her mouth started to mean different meanings.,113,Comedia,nalan,2022
5.3,Irena Pavlásková,"['Marek Matousek', 'Rudolf Merkner', 'Irena Pavlásková']","Three families, three festive stories. Uninvited guests, new love, and a quest for the perfect winter. 'A Christmas Tale' weaves humor and holiday spirit into a heartwarming journey through the ups and downs of the season.",-,Comedia,vánocní príbeh,2022
6.7,Sophie Linnenbaum,"['Sophie Linnenbaum', 'Michael Fetter Nathansky']",-,124,Comedia,the ordinaries,2022
5.2,Rick Jacobson,Holly Hester,-,96,Comedia,the royal treatment,2022
