,puntuacion_imdb,direccion,guion,argumento,duracion,titulo,anio;;;;;
"33,5.6,""['Scott Alexander', 'Larry Karaszewski']"",""['Scott Alexander', 'Larry Karaszewski']"",""A chauffeur kidnaps his rich boss's dog to hold it for ransom, but when she accidentally gets the dog back, she thinks that it's the chauffeur who's been kidnapped."",81,screwed,2000";;;;;
34,5.9,John Forte,John Forte,A Catholic high-school student trying to perfect his soccer timing by practicing dance falls in love with his dance partner.,92,mad about mambo,2000;;;;;
"35,5.4,""['Måns Herngren', 'Hannes Holm']"",""['Måns Herngren', 'Hannes Holm']"",A story of three sisters and parenthood.,114,det blir aldrig som man tänkt sig,2000";;;;;
"36,3.7,Brian Levant,""['William Hanna', 'Joseph Barbera', 'Deborah Kaplan']"",-,90,the flintstones in viva rock vegas,2000";;;;;
"37,7.3,Christopher Robin Hood,Christopher Robin Hood,""Rob's successful life is interrupted when he crosses paths with smart beautiful Leslie. After being suddenly and mistakenly arrested, Rob begins a city-wide search for the woman of his dreams unsure of her last name or where to find her."",90,coping,2000";;;;;
"38,6.9,Patrik-Ian Polk,Patrik-Ian Polk,""The tale of 4 gay African-American friends in L.A: shy, virginal photographer Marcus, outgoing Lothario Hill, hot-to-trot rich kid newbie Dante, and fabulous drag diva Crystal."",91,punks,2000";;;;;
"39,4.9,Michael Browning,Michael Browning,""A series of mishaps and misfortunes over $1 million in cash leads to murder, mayhem and greed."",92,more dogs than bones,2000";;;;;
"40,5.9,Stephen Kessler,""['Mike Wilkins', 'Stephen Kessler']"",A notorious B-movie director tries for a comeback by seeking out the film rights to the life story of a serial killer who wants his biography film to be a musical.,81,the independent,2000";;;;;
"41,4.8,""['Philip Charles Mac', 'Kenzie']"",Nestor Carbonell,""A famous Latin actor loses his wife and job but hopes he can still ride on his sitcom fame. However, when he appears at the grand opening of a Kmart, his dreams are dashed when most of his fans are stolen by a maniacal upstart pretty-boy."",87,attention shoppers,2000";;;;;
"42,4.0,Bill Fishman,""['Nicole Coady', 'Halle Eaton', 'Abbe Wool']"",""Lily is a twenty-something aspiring writer who receives an invitation to attend a wedding reception with Jonathan, a handsome entomologist who also happens to be the man of her dreams. The only problem is that she's in San Francisco and the wedding is in L.A. Lily is therefore forced to enlist the aid of her friend Frances, an unrepentant party girl who has the L.A. n... Leer todo"",94,desperate but not serious,2000";;;;;
"43,6.8,""['Rod Mc', 'Call']"",""['Rod Mc', 'Call']"",-,-,slice & dice,2000";;;;;
"44,5.6,""['Mc', 'G']"",""['Ryan Rowe', 'Ed Solomon', 'John August']"",-,98,charlie's angels,2000";;;;;
"45,4.7,Ralph E. Portillo,""['Paul Chilsen', 'Heath Mc', 'Laughlin', 'Jim Kreutzer']"",""A kid, his new friend who's a girl, his grandmother and their old neighbor who used to work as a driver for a gangster, search for the treasure supposedly hidden nearby by the gangster long time ago, to help the neighbor keep his house."",89,the last great ride,2000";;;;;
