,puntuacion_imdb,direccion,guion,argumento,duracion,titulo,anio;;;;;
"743,3.9,Harry Shearer,Harry Shearer,""Teddy Bears Picnic covers an annual encampment of prominent male leaders at the Zambezi Glen, a thinly-veiled reference to the Bohemian Grove."",80,teddy bears' picnic,2001";;;;;
744,6.5,Daniel Minahan,Daniel Minahan,A TV program selects people at random to kill one another for fame and their freedom.,86,series 7: the contenders,2001;;;;;
"745,6.4,Julie Davis,Dan Bucatinsky,""""""All Over The Guy"""" is a contemporary romantic comedy about the quest to find the """"one"""" when """"the one"""" doesn't know he's the """"one."""" It explores the unlikely pairing of two 20-somethings thrown together by their respective best friends in hopes of igniting their own romance. They do everything they can to NOT fall in love, but finally they overcome the dysfunction of th... Leer todo"",95,all over the guy,2001";;;;;
746,6.3,Gary Hardwick,Gary Hardwick,-,106,the brothers,2001;;;;;
"747,6.8,Saul Metzstein,Jack Lothian,""An upbeat, oddball, after-hours comedy about the ups and downs of sex and shelf-stacking in the 21st century."",91,late night shopping,2001";;;;;
748,6.3,Terry Green,Terry Green,A story about a man trying to overcome mistakes and past events in his life.,92,almost salinas,2001;;;;;
"749,5.7,""['Tom Di', 'Cillo']"",""['Tom Di', 'Cillo']"",-,93,double whammy,2001";;;;;
"750,6.7,Gregor Jordan,""[""""Robert O'Connor"""", 'Gregor Jordan', 'Eric Weiss']"",-,98,buffalo soldiers,2001";;;;;
"751,4.8,Stefan Ruzowitzky,""['Digby Wolfe', 'Joseph Manduke', 'June Roberts']"",""A mismatched team of British Special Services agents led by an American must infiltrate, in disguise, a female-run Enigma factory in Berlin and bring back the decoding device that will end the war."",99,all the queen's men,2001";;;;;
"752,4.7,Rob Pritts,""['David Garrett', 'Jason Ward']"",The loser son of a Mafia honcho must go undercover for the FBI.,86,corky romano,2001";;;;;
"753,6.5,Philippe Harel,""['Olivier Dazat', 'Philippe Harel', 'Benoît Poelvoorde']"",""In the 70s, there was Merckx and there were the others. Ghislain Lambert was one of the others. This is his story, a quite simple one. The story of a modest Belgian bike racer. His greatest ambition in life? To become a champion. His greatest tragedy? Not having the legs his heart deserves."",119,le vélo de ghislain lambert,2001";;;;;
"754,6.4,J.B. Rogers,""['Adam Herz', 'David H. Steinberg']"",-,108,american pie 2,2001";;;;;
"755,5.2,Doug Finelli,""['Doug Finelli', 'Mitch Galane']"",""Two friends are about to learn that they are """"Grownups."""""",85,my best friend's wife,2001";;;;;
756,6.2,Roman Coppola,Roman Coppola,-,88,cq,2001;;;;;
"757,6.0,Hervé Le Roux,Hervé Le Roux,""Fanfan leaves his friend Charles and thinks he can be accommodated by his friend, Joss. However, at the same time, Joss abandons the marital home. Fanfan and Joss have only to knock on the door of Manu, Fanfan's sister, who gathers them until Mytch, Manu's companion, throws everyone out. The three young women find themselves in the street and continue their run, while... Leer todo"",107,on appelle ça... le printemps,2001";;;;;
"758,4.0,Tom Zuber,Tom Zuber,""In the first scene of this dark comedy, defense lawyer Jake Jorgenson learns of his wife's infidelity when he hears her orgasmic escapades on an audio tape made by a former client. As Jake tries to reclaim the life he covets by killing his wife's lover, his carefully constructed life begins to unravel. His decision to ask the former client for help brings three amateu... Leer todo"",80,lansdown,2001";;;;;
"759,7.0,Ricardo Carrasco,""['Ricardo Carrasco', 'Gerardo Cáceres']"",-,94,negocio redondo,2001";;;;;
"760,6.7,Maria Ripoll,""['Hui-Ling Wang', 'Ang Lee', 'James Schamus']"",-,102,tortilla soup,2001";;;;;
"761,7.0,Roman Kachanov,""['Fyodor Dostoevsky', 'Roman Kachanov', 'Ivan Okhlobystin']"",""The plot is set in modern Moscow, in the 1990s, with """"New Russians"""", Hummer H1 jeeps, bribery, violence, truck fulls of tinned stew as a dowry, etc."",95,daun haus,2001";;;;;
"762,4.9,Moody Shoaibi,""['Moody Shoaibi', 'Mark Tonderai']"",A kidnap caper of a dog to make some much needed cash to pay off some outstanding debts goes wrong...with not so hilarious consequences.,93,dog eat dog,2001";;;;;
763,-,-,-,A 17-year-old male virgin pursues a supermodel during summer vacation.,-,every seven minutes,2001;;;;;
764,5.4,Tony Grounds,Tony Grounds,The Martins live across from a shopping centre. Dad Robert is unemployed and hasn't really grown up - still blaming others for his failures. Things get really serious when he holds a gun for a friend.,87,the martins,2001;;;;;
"765,3.5,Murray Fahey,""['Ian Coughlan', 'Murray Fahey']"",""A mom of 3 buys a cheap, old house. The backyard cubby-house is cursed with pure evil that took the previous owner's 2 kids."",89,cubbyhouse,2001";;;;;
"766,6.2,""['Brendan Malloy', 'Emmett Malloy']"",Jon Zack,-,92,out cold,2001";;;;;
"767,6.7,Miquel García Borda,""['Miquel García Borda', 'Toni Martín']"",""Longtime friends Angel and Edu share a flat. Angel is a pretty boy, but a very straight arrow sort of young man. He's planning his upcoming wedding. As the wedding date approaches, Edu - a punk rocker and jealous friend, tries to stop the ceremony in several ways";" apparently unwilling to lose his long time flat mate. Meanwhile, in the flat downstairs, the young lesbia... Leer todo"",108,todo me pasa a mí,2001";;;;
"768,6.3,""['Alan Cumming', 'Jennifer Jason Leigh']"",""['Jennifer Jason Leigh', 'Alan Cumming']"",Love is complex and relationships deteriorate.,115,the anniversary party,2001";;;;;
"769,7.0,Edwin Brienen,Edwin Brienen,""The film tells the story of six mental cases, trying to get rid of society's norms and values by kidnapping Gerard van Dongen, a well-known TV host. During an improvised TV show, the terrorists confront this Van Dongen with their darkest thoughts and emotions, resulting in violent excesses and extreme sexual behavior."",103,terrorama!,2001";;;;;
770,6.7,Woody Allen,Woody Allen,-,103,the curse of the jade scorpion,2001;;;;;
"771,5.8,Clare Peploe,""['Marivaux', 'Clare Peploe', 'Marilyn Goldin']"",-,112,the triumph of love,2001";;;;;
"772,6.1,Bruce Sweeney,Bruce Sweeney,""Three couples in Vancouver navigate their relationships: first jobs, first crises, professional jealousy, an affair, and lack of communication. Noah and Zipporah marry after a brief courtship. She wants to be a singer and stalls out when she fails. He's working hard at a business that may go under. Sarah and Shane are architects";" he can't handle her success at a downt... Leer todo"",100,last wedding,2001";;;;
"773,6.7,Alain Guiraudie,Alain Guiraudie,""A chronicle of the last days of a factory that is about to shut down. Among the workers forced to idle away until the end of the week, Jacques, a young technician is busy dismantling a machine while, without noticing it, turning on some of the men around him!"",51,ce vieux rêve qui bouge,2001";;;;;
"774,5.3,Keenen Ivory Wayans,""['Shawn Wayans', 'Marlon Wayans', 'Buddy Johnson']"",-,83,scary movie 2,2001";;;;;
"775,4.4,Ken Hastings,Ken Hastings,""A young woman is in Orlando visiting her ailing mother. During the course of her stay, she discovers the true nature of her fiancé, which propels her into a state of dismay. Her only refuge is a local pet shop owner who steals her heart with his natural charm and his lovable inventory."",88,olive juice,2001";;;;;
"776,7.0,Lieven Debrauwer,""['Jacques Boon', 'Lieven Debrauwer']"",""Pauline is a 'little girl of 66 years old'. She is intellectually disabled and been cared after by her sister Martha. When Martha dies, her two younger sisters, Paulette and Cecile have to make a decision on the best place for Pauline to be looked after. Neither of them is ready to take care of her. Paulette has a shop to look after and Cecile has her Albert. But acco... Leer todo"",78,pauline & paulette,2001";;;;;
"777,6.3,Bruno Podalydès,""['Bruno Podalydès', 'Denis Podalydès']"",""During the summer vacation of a french family, the father goes through a mid-life crisis. To cope with it, he ends up buying a boat, which turns out to be a not-so-good idea."",107,liberté-oléron,2001";;;;;
"778,4.8,Luke Greenfield,""['Tom Brady', 'Rob Schneider']"",-,84,the animal,2001";;;;;
"779,6.4,Paul Harather,""['Susanne Freund', 'Gerda E. Grossmann', 'Paul Harather']"",""When Trixi's first husband says she can only continue to bet at the racetrack """"over his dead body"""", she takes him literally. Trixi then goes on to find wealth and happiness by poisoning more husbands to inherit from them."",93,die gottesanbeterin,2001";;;;;
"780,7.7,""['Iván Kapitány', 'Péter Rudolf']"",""['Gábor Olivér Buss', 'Hilda Hársing', 'Iván Kapitány']"",""This film tells the story of a few uneventful days in the life of six pals. Lali, a great fan of America, owns a sandwich stand on the side of the road, called The Glass Tiger. Gaben pinches cars"; Fox is a petty swindler; Sanyi a half-wit homeless; Coco can't shut up about getting some dough and going to America;" Slimmy keeps playing the saxophone, despite the others'... Leer todo"",100,üvegtigris,2001";
"781,6.7,Bruce Cacho-Negrete,""['Bruce Cacho-Negrete', 'Johnny Clarke']"",""A man pines for a woman for years, but is afraid to tell her, finally enlisting the help of his friends to win her love."",99,liars club,2001";;;;;
"782,5.5,Robert Vernon,Robert Vernon,""A couple come into contact with stolen mob money, gamble it away, and end up on the run from gangsters."",89,road to redemption,2001";;;;;
"783,6.0,Franziska Buch,""['Erich Kästner', 'Franziska Buch']"",Emil goes to Berlin to see his grandmother with a large amount of money and is offered sweets by a strange man that make him sleep. He wakes up at his stop with no money. It is up to him and a group of children to save the day.,111,emil und die detektive,2001";;;;;
"784,5.5,""['Abbas Alibhai Burmawalla', 'Mastan Alibhai Burmawalla']"",""['Shyam Goel', 'Javed Siddiqui', 'Neeraj Vora']"",A prostitute agrees to get impregnated and then give the baby to a couple (Raj and Priya) in exchange for a million rupees. Everything changes when she develops feelings for the baby and Raj.,165,chori chori chupke chupke,2001";;;;;
"785,6.0,""['Bobby Farrelly', 'Peter Farrelly']"",""['Sean Moynihan', 'Peter Farrelly', 'Bobby Farrelly']"",-,114,shallow hal,2001";;;;;
786,6.4,Santiago Segura,Santiago Segura,-,99,torrente 2: misión en marbella,2001;;;;;
"787,5.3,""['Pascal Arnold', 'Jean-Marc Barr']"",""['Pascal Arnold', 'Jean-Marc Barr']"",-,96,being light,2001";;;;;
"788,5.3,Dennis Gansel,""['Maggie Peren', 'Christian Zübert', 'Colette Burson']"",""Inken (Diana Amft) is an eighteen-year-old girl, frustrated for not having had an orgasm yet with her boyfriend. Her two best friends are Vicky (Felicitas Woll), who is in the same situation as Inken, not knowing the pleasure of an orgasm, and the still virgin Lena (Karoline Herfurth). Inken and Vicky try to find a man or woman able to give pleasure to them while Lena... Leer todo"",90,mädchen mädchen!,2001";;;;;
789,5.3,Louis C.K.,Louis C.K.,-,81,pootie tang,2001;;;;;
"790,5.7,Blair Hayes,""['Cinco Paul', 'Ken Daurio']"",-,84,bubble boy,2001";;;;;
"791,2.8,Zachary Snygg,""['Michael Raso', 'Joseph Ned', 'Zachary Snygg']"",Two teams have been assembled and taken to a remote island to compete in a series of tasks to determine the winner of Erotic Survivor. The Hey-Hu-Nanni tribe against the all lesbian Pu-Nanni tribe.,97,erotic survivor,2001";;;;;
"792,7.0,Alain Guiraudie,Alain Guiraudie,""On a hot Sunday morning, Nathalie Sanchez, an unemployed hair stylist, walks across the Causses plateau in search of a shepherd. When she finds one, he tells her that he has lost his flock. They walk together and while chatting they meet several times a shepherd's son turned outlaw, Carol Izba. The latter, despite being pursued by a famous bounty killer, Pool, proves ... Leer todo"",55,du soleil pour les gueux,2001";;;;;
"793,5.2,Jonas Elmer,Nikolaj Peyk,""Mona is taken hostage at a bank robbery, then chased by the love sick bank robber. Her cocaine sniffing boss makes her days miserable until he ODs and she takes over."",85,monas verden,2001";;;;;
794,6.7,Nicole Holofcener,Nicole Holofcener,Self-esteem and insecurity are at the heart of this comedy about the relationship between a mother and her three confused daughters.,91,lovely & amazing,2001;;;;;
"795,6.0,Marcello Cesena,""['Thomas Bahmann', 'Marcello Cesena', 'Annamaria Morelli']"",""A businessman is leaving for his family vacation in the South Pacific when he finds out that a rival has emptied his bank account. To save face he and his family lock themselves in the house, pretending to have gone on their trip, but it is not so easy to hide from the outside world."",100,mari del sud,2001";;;;;
"796,7.9,Jeremy Lerman,Jeremy Lerman,""In Omaha, Nebraska, three buddies--all sub-par French majors--start a business that should not succeed on the vast Great Plains: a bicycle courier service. Through absurd adventures, personal challenges, and while charging only two dollars per 120-mile delivery, their business becomes a resounding success. But will success ruin their friendship? And what's a teriyaki ... Leer todo"",75,nebraska supersonic,2001";;;;;
"797,5.7,Charles Nemes,""['Kader Aoun', 'Ramzy Bedia', 'Eric Judor']"",Two brave but brainless window cleaners try to escape the Montparnasse tower in Paris during a hostage situation.,92,la tour montparnasse infernale,2001";;;;;
"798,6.0,Giulio Manfredonia,""['Valentina Capecci', 'Giulio Manfredonia', 'Annamaria Morelli']"",""Three discontent men magically switch existences with one another, each with the person he most envied, but they do not turn out to be as happy as they had hoped."",101,se fossi in te,2001";;;;;
"799,5.2,Céline Baril,Céline Baril,""Serge has been madly in love with Alice since childhood. Alice loves Leon, who loves only music. She sings in her group. When Alice understands that Serge might not always be waiting for him, he is less than one at the clock of his eighteen years."",85,du pic au coeur,2001";;;;;
"800,7.2,Christian Zübert,Christian Zübert,""Stefan and Kai have good going business, self-grown cannabis screened as pizza delivering service. For now they only have to deal with aphids."",93,lammbock,2001";;;;;
"801,7.7,Yah-Ming Ding,Hui-Ling Wang,""Fong, a Taiwanese woman has relocated to Canada with her husband Kwok. Fong suspects that Kowk is cheating on her on his regular business trips to Taiwan."",111,hou niao,2001";;;;;
"802,6.8,Artus de Penguern,""[""""Jérôme L'hotsky"""", 'Artus de Penguern']"",""Grégoire Moulin, a shy accountant, sets up a blind date with a dance teacher at a bar. What he needed to do was just to cross the road. But it didn't happen to be as easy as it seems especially because of the final game of French soccer championship the very same night!"",93,grégoire moulin contre l'humanité,2001";;;;;
"803,8.4,Hans Noel,Christopher Wieland,""It's Friday afternoon, and Dave McGuiness has a problem. Last night, his longtime girlfriend, Karen, told him that she wants to get married. She'd like an answer by Monday, but Dave's not sure he's ready to propose. As Dave starts to share his feelings with family and close friends on the pros and cons of getting married, he learns that the rumor mill is two steps ahe... Leer todo"",-,the rest of your life,2001";;;;;
804,5.9,David Caesar,David Caesar,A dark-sheep type of man returns to his hometown after a prolonged absence. While he's been gone ludicrous rumours have spread about his whereabouts. Is he a big footy player or is he a film star. Turns out he's still the same lovable but not likable sort of fellow he was when he left. He wants his old girlfriend back even though she is married to his brother now and ... Leer todo,89,mullet,2001;;;;;
"805,5.5,Michael Polish,""['Mark Polish', 'Michael Polish']"",""Sunny Holiday, an aspiring singing star, abandons his wife and young baby to set off on a nine-month tour of bleak western towns. He takes off with his road manager in a pink Chrysler in search of their own version of the American Dream: a country loving audience."",97,jackpot,2001";;;;;
"806,4.1,Claude Zidi,""['Didier Kaminka', 'Simon Michaël', 'Claude Zidi']"",""Five childhood friends, who live in a small provincial town, were excluded from the only nightclub in the region. Feeling idle, they plan to open a competing nightclub in the garage of the father of two of them."",100,la boîte,2001";;;;;
"807,4.3,Álvaro Sáenz de Heredia,Marga Mareo,""Luis must pass himself off as a woman when he is discovered at the home of one of his lovers. In his role as a woman he meets another woman, with whom he strikes up a friendship or something more."",91,corazón de bombón,2001";;;;;
"808,5.9,""['Michael Covert', 'Tracy Fraim']"",Michael Covert,""When the mother of Junior and his younger brother Scooter, twenty-something, dies, they realize they need a woman around the house, since they haven't a clue how to cook or keep house. Their first attempts, with hookers and strippers, are disastrous. But when they kidnap DeDe from the grocery store, they find someone that's eager for an excuse to leave her abusive hus... Leer todo"",102,dirt,2001";;;;;
"809,6.6,Ellie Kanner,""['Scott Baio', 'Jeffrey Gurian']"",-,-,face to face,2001";;;;;
"810,5.3,Dmitriy Astrakhan,Oleg Danilov,""Popular TV journalist Sergey Kupriyanov recently became the main TV personality of the country and began making his own program. But success, money and fame cannot fill the void in a marital relationship. Sergey's wife Irina lacks his love and warmth, and Sergey himself is looking for novelty, which he finds in the arms of a charming colleague Lena when Irina leaves f... Leer todo"",-,podari mne lunnyy svet,2001";;;;;
"811,6.3,""['Ari Margolis', 'James Morley III']"",""['Ari Margolis', 'James Morley III']"",""The classic story of """"angst ridden artist meets psychotic misanthrope"""" takes a grisly, yet esoteric turn in this darkly comedic exploration of the film noir genre."",80,black days,2001";;;;;
"812,6.4,Karen Shakhnazarov,""['Aleksandr Borodyanskiy', 'Karen Shakhnazarov']"",""The theater actor Oleg Volkov is worried about his wife's unfaithfulness. He meets a pensioner, Ivan Petrovich, who advises poisoning his unfaithful wife and her lover."",106,""yady, ili vsemirnaya istoriya otravleniy"",2001";;;;;
"813,3.1,Patrick Levy,""['Daive Cohen', 'Patrick Levy', 'Fabien Suarez']"",""Tony is crazy about video games. But he is arrested during a hold-up which failed, and he goes to prison for eight months. When he gets out, he contacts Valery, GameStar's boss, and offers her a new video game concept."",92,gamer,2001";;;;;
"814,7.2,""['Mikhail Agranovich', 'Oleg Yankovskiy']"",Nadezhda Ptushkina,""Before New Year Eve the windows of vast city are glowing from within by colored Christmas lights. It seems that behind each of these windows carefully stored favorite holiday.It seems that each of them are waiting for the New Year's wish fulfillment...By the silhouette of an elderly woman at one of the windows of the old house in Moscow, neighbors in the yard probably... Leer todo"",102,prikhodi na menya posmotret,2001";;;;;
"815,3.3,Zdenek Troska,""['Zdenek Troska', 'Evzen Gogela']"",""In the kingdom, Hannes and Margareta have taken on the role of the royal couple. You are expecting a child. Her friends are advisors and helpers to her. But her enemies - Magareta's sister, Brambas, the former king and his daughter Eufrosine - won't let her get back to normal life. But in the end this fairy tale ends like all of them."",102,z pekla stestí 2,2001";;;;;
816,6.8,Kevin Smith,Kevin Smith,-,104,jay and silent bob strike back,2001;;;;;
"817,5.8,Roger Cantin,Roger Cantin,""Every summer war games are played out between the rich kids and the not-so-rich. To assure a possible win, war leader Marc decided to add another tactic to these games--terrorism."",95,la forteresse suspendue,2001";;;;;
"818,5.8,Arliss Howard,""['Larry Brown', 'Jim Howard', 'Arliss Howard']"",""Barlow is a hard-drinking, heavy-smoking, long-haired, and deeply unhappy aspiring writer who pulls a dozen rejection slips out of his mailbox every day while trying to get through his life with some semblance of purpose."",111,big bad love,2001";;;;;
819,4.6,Justin Zackham,Justin Zackham,Loner freshman Jake Taylor is forced to join the wildest fraternity on campus...,90,going greek,2001;;;;;
"820,4.9,Gil Junger,""['Darryl Quarles', 'Peter Gaulke', 'Gerry Swallow']"",-,95,black knight,2001";;;;;
"821,5.7,Joe Roth,""['Billy Crystal', 'Peter Tolan']"",-,102,america's sweethearts,2001";;;;;
"822,6.8,Ralf Huettner,""['Silke Neumayer', 'Ralf Huettner', 'Barbara Oslejsek']"",""To call or not to call? For young Cora it's not a question. In fact, after the first date you may never call the guy, even if it was the best sex of your life. It's him who must beg for a meeting - and not later than 72 hours after. Otherwise - delete it from memory."",93,mondscheintarif,2001";;;;;
"823,4.9,Matthew George,""['Lachy Hulme', 'Matthew George']"",""Christopher Skase. He ruled Australia and stole a fortune, fleeing to the coast of Spain. No one could touch him. No one could stop him. Until Peter Dellasandro and a small force of men swore they'd bring him down."",96,let's get skase,2001";;;;;
"824,6.6,Billy Morrissette,""['William Shakespeare', 'Billy Morrissette']"",""In a modernized retelling of """"MacBeth"""" set in 1970s suburban Pennsylvania, Joe McBeth, an unambitious hamburger stand employee, is driven to success by his scheming wife."",104,""scotland, pa"",2001";;;;;
825,5.5,Chris Morrissey,Chris Morrissey,A fame seeking pink haired L.A. party girl named Taffy and her kooky male sidekick Dodge try to stop an evil female scientist from taking over the world with an army of dangerous female robots.,106,lipgloss explosion!,2001;;;;;
"826,7.2,George Hunlock,George Hunlock,""Set in a fictional law school and written by a California attorney, the independent comedy feature The Socratic Method follows the exploits of three first-year law students as they stagger their way through the pressure cooker that is legal education in America. Terry King is a laid-back college graduate who applied for law school because he wanted to prolong the acad... Leer todo"",104,the socratic method,2001";;;;;
"827,4.7,Eric Fourniols,Eric Fourniols,""Chantel is happy: her son's away at school playing soccer, she and her husband get along, her neighbor Agnès is her best friend, and her job at a government office is easy. When her husband is laid off and she wonders for how long, her office pal Jackie recommends Alban, a psychic (and compulsive gambler), who promptly tells Chantel of a curse on her that will take th... Leer todo"",90,voyance et manigance,2001";;;;;
828,7.3,Mira Nair,Sabrina Dhawan,-,114,monsoon wedding,2001;;;;;
"829,4.9,Nouchka van Brakel,""['Nouchka van Brakel', 'Edwin de Vries']"",""Two friends meet again in the autumn of their lives. They have not seen each other for years but soon find their renewed friendship put to the test when one of them falls ill and the other loses his newfound love. The city of Rotterdam provides the background for this story, which specifically aims to entertain senior citizens in terms of it's extremely mild humor, ge... Leer todo"",108,de vriendschap,2001";;;;;
"830,6.9,Gabriele Muccino,Gabriele Muccino,""Carlo's life is thrown into a tailspin when his longtime girlfriend Giulia announces she's pregnant. As Carlo faces up to his anxieties about adulthood, his buddies Paolo, Adriano and Alberto reluctantly grapple with their own responsibilities."",115,l'ultimo bacio,2001";;;;;
831,2.0,Adam Rifkin,Adam Rifkin,A young woman deals with her first heartbreak after a relationship ends.,90,without charlie,2001;;;;;
832,4.6,Craig Clyde,Craig Clyde,A man accidentally gets mixed up in a conspiracy on some important numbers.,93,dumb luck,2001;;;;;
"833,7.0,Coline Serreau,Coline Serreau,""One night by accident, a young prostitute barges into the lives of a bourgeois, modern-but-conventional couple. Hounded down, beaten up, threatened, she will continue to struggle, with the help of a well-off lady, first for her survival--her resurrection--then for her dignity and freedom. Stormy encounters are forecast for everyone involved."",109,chaos,2001";;;;;
"834,5.6,Sam Irvin,""['Cassandra Peterson', 'John Paragon']"",Spooky high jinks abound when Elvira finds herself spending the night in a mysterious castle en route to 1851 Paris.,90,elvira's haunted hills,2001";;;;;
"835,4.5,Claudio Bigagli,""['Claudio Bigagli', 'Simona Izzo', 'Angela Scarparo']"",-,85,commedia sexy,2001";;;;;
"836,3.0,György Balogh,György Balogh,""So what is this film? Its style is mostly surreal or rather eclectic, something between the surreal past and the surreal future. An urban road-movie, an unrequited love story. Words that catalyzed our fantasy while making this film were: pizza, red, cheese, the eclipse, a 68' Mustang, sky-scraper, ocean, waves, palm trees, surf, beach, old-school, high-techno, art dec... Leer todo"",102,pizzás,2001";;;;;
"837,7.6,Wes Anderson,""['Wes Anderson', 'Owen Wilson']"",-,110,the royal tenenbaums,2001";;;;;
"838,6.6,Charles Herman-Wurmfeld,""['Heather Juergensen', 'Jennifer Westfeldt']"",-,97,kissing jessica stein,2001";;;;;
"839,6.3,Anurag Mehta,Anurag Mehta,""Sureel is a young first-generation Indian American. All he wants is to be like his American friends, but his strict immigrant parents keep a tight rein on his life. Will he realize his dream of performing rock-and-roll music?"",92,american chai,2001";;;;;
"840,6.8,Lisandro Duque Naranjo,""['Lisandro Duque Naranjo', 'Gabriel García Márquez']"",A young boy and his friends attempt to become invisible to get closer to the girls they desire. They must steal the magic recipe and its ingredients without getting caught to perform the ritual.,90,los niños invisibles,2001";;;;;
"841,5.7,Ben Verbong,""['Paul Maar', 'Ulrich Limmer']"",""One day a nerdy middle-aged small-town man gets an exotic companion who can make wishes come true. Because the creature looks funny and behaves in an obnoxious way, he encounters all kinds of funny and embarrassing situations."",102,das sams,2001";;;;;
842,-,Kurt W. Oehlschläger,Albert Sandner,-,-,geregelte verhältnisse,2001;;;;;
"843,6.7,Brett Ratner,""['Ross La', 'Manna', 'Jeff Nathanson']"",-,86,rush hour 2,2001";;;;;
"844,5.2,Alexis Miansarow,-,""Crystal is a twice reincarnated girl who survived an attempted suicide with an electric razor. She reads the future in a Nescafé and discovers the man of her life: Marc. However, he doesn't have the same feelings for her. He's a depressed lawyer assigned to defend a killer named Julian who dismembered his wife into 25 pieces. And he lives with Greg, who loves musicals... Leer todo"",-,bad karma,2001";;;;;
"845,5.5,Gabriel Pelletier,""['Gabriel Pelletier', 'Yves Pelletier']"",""Following the first Karmina, all the vampires need to take the special potion to be humans. The potion is made by Ghislain Chabot and sent to Transylvania for the others vampires. Chatbot's wife isn't a vampire yet and she wishes to be one. Ghislain doesn't want that, because of all the rules and responsibilities of being a vampire, so she throws Ghislain out of the h... Leer todo"",97,karmina 2,2001";;;;;
"846,6.5,Chuck Sheetz,""['Paul Germain', 'Joe Ansolabehere', 'Jonathan Greenberg']"",T.J. and the gang must save summer vacation from disappearing forever.,82,recess: school's out,2001";;;;;
"847,5.7,Bruno Chiche,""['Bruno Chiche', 'Alain Layrac', 'Fabrice Roger-Lacan']"",""Barnie lives in Calais but works in London. Every day, he takes the Eurostar to go to his office. Although he is married to Lucie, Barnie has two lovers in London: Margot, a young and fresh advertising executive, and Mark, a hot 35 year old auctioneer. Everything could work out fine like that, until Margot, Mark and Lucie separately offer Barnie the same birthday pres... Leer todo"",80,barnie et ses petites contrariétés,2001";;;;;
"848,8.3,-,""['Wil Castillo', 'Jason C. Morgan', 'Kipp Tribble']"",Rivalries are renewed and love is rekindled when a group of old friends return to the U.P. for their high school reunion.,-,""up, michigan!"",2001";;;;;
"849,4.4,Franco Amurri,Franco Amurri,""Two penniless cousins have a common passion: to be inventors, but they never managed to make money out of their patents. Their only hope is represented by their hateful and rich uncle."",95,amici ahrarara,2001";;;;;
"850,5.2,Kelley Cauthen,Leland Zaitz,""The story of a Hollywood star who, tired of his lifestyle, one night encounters his doppelganger leading to a role switch so the star can slip away for some alone time leaving the double to indulge in his fantasies."",99,hollywood sex fantasy,2001";;;;;
"851,6.5,Michael Parker,Michael Parker,""Tong and April are married, but have been estranged since she moved to Vancouver three years ago to pursue her career. Tong decides to go look for her because he thinks she's having an affair."",94,lunch with charles,2001";;;;;
"852,7.2,Bob Morrow,""['Chuck Borghese', 'Bob Morrow']"",-,-,barstow 2008,2001";;;;;
"853,6.1,Leszek Burzynski,""['Max Enscoe', 'Annie De', 'Young', 'Glen Stephens']"",A sheep rancher's visit to the big city triggers a mischevious adventure with his teenage computer-whiz grandson.,99,wooly boys,2001";;;;;
854,5.9,Jacques Doillon,Jacques Doillon,Alex becomes caught in a love triangle with two young girls in Paris.,97,carrément à l'ouest,2001;;;;;
"855,6.1,John A. Davis,""['John A. Davis', 'David N. Weiss', 'J. David Stem']"",-,84,jimmy neutron: boy genius,2001";;;;;
"856,6.4,Mark Joffe,""['Don Watson', 'John Clarke', 'Patrick Mc', 'Carville']"",-,97,the man who sued god,2001";;;;;
"857,4.7,Francesc Betriu,""['Rafael Azcona', 'Carmen Rico-Godoy']"",""Three women need to escape, one from a stressful job, the second from a divorce and the third from a grey and boring life. They all look for the same thing: a love affair in a distant land. Their destiny is Tunisia, where they start a great journey alongside a group of strange and interesting characters."",95,el paraíso ya no es lo que era,2001";;;;;
858,4.1,Alex Wright,Richard Steen,A mob enforcer is hired to recover a shipment of Viagra gone awry.,92,the shipment,2001;;;;;
"859,5.4,Miguel Santesmases,""['Lucía Etxebarría', 'Miguel Santesmases']"",-,99,""amor, curiosidad, prozak y dudas"",2001";;;;;
"860,6.4,Yvan Attal,Yvan Attal,""A """"normal"""" guy who is married to a hot actress gets worried that she is involved with her costar. This worry turns into jealousy and causes problems in their relationship. This is a story about trust and a comedy about the actions between men and women."",95,ma femme est une actrice,2001";;;;;
"861,6.9,Claude Miller,""['Claude Miller', 'Ruth Rendell']"",""Novelist Betty Fisher enters a dark depression after her young son Joseph dies. Hoping to bring her out of it, her mother Margot arranges to kidnap a boy named Jose to replace the son Betty lost. Although she knows that it's wrong, Betty accepts Jose as her new son. Meanwhile, Jose's mother Carole is searching for her son with help from her boyfriend Francois--and som... Leer todo"",103,betty fisher et autres histoires,2001";;;;;
"862,3.4,""['Jan Glud', 'Lars Norberg']"",""['Jan Glud', 'Lars Norberg']"",""Jacob and Amanda are getting married, and Amanda is subjecting Jacob to a final fidelity test."",82,jacobs frestelse,2001";;;;;
"863,6.3,Pål Sletaune,""['Jonny Halberg', 'Pål Sletaune']"",""Jan's fast-food business is going bankrupt, his girlfriend has left him, and he is being exploited by his live-in father. Therefore, he has nothing to lose when he gets mixed up in the kidnapping of famous rock star Iver Mo. But Jan has never been able to do anything right his whole life, and there are others who want to get their hands on the ransom money."",88,amatørene,2001";;;;;
"864,4.7,Alain Soral,Alain Soral,""In the streets of Paris, an idle student learns the art of seduction from an inveterate flirt, who does not skimp on cynicism or vulgarity."",90,confession d'un dragueur,2001";;;;;
