,0,1,2,3,4,5,6
1293,8.3,Joseph Winter,Joseph Winter,"A small-town cop of the 1970's pursues the burglar that stole his car, shot his arm, and bruised his pride.",-,cop vs. robber,cop vs. robber
1294,9.6,Ryan Mulvaney,Paul James Houghton,"Eugene is a misunderstood romantic, whose passion for playing Skill Crane machines is questioned by his girlfriend and friends.",7,skill crane,skill crane
1295,-,Steve Clack,Steve Clack,"Conquistadork is the comic story of Stanley, a nerd who struggles with the ruthlessness of New York City dating culture, the abuse of drugs for sexual dysfunction, and the chauvinistic influences of his new found mentor, pick-up artist Vasco Guerrero.",-,conquistadork,conquistadork
1296,8.3,Stacey Palmer,Stacey Palmer,"JK LOL is a short narrative film shot in the style of reality TV, about Brandon Campbell, a struggling stand-up comedian, as he competes in a three day comedy competition. While the camera crew follows him throughout the contest, we catch a glimpse into his life as a recovering alcoholic, meet his family and friends, and see the important role humor has played in his ... Leer todo",28,jk lol,jk lol
1297,8.6,Rob Connolly,"['Rob Connolly', 'Joe Meno']",Bob Underwood's mundane life manufacturing plastic lawn-ornament deer is disrupted by an enchanting Georgian (the country) refugee whom Bob decides to rescue--whether she needs it or not.,16,our neck of the woods,our neck of the woods
1298,-,Jools Vergne,-,-,-,barbecue bash!,barbecue bash!
1299,-,Jarkko Altsi Toiviainen,"['Mikko Laine', 'Jarkko Altsi Toiviainen']","A career man loses himself to a self help program. In the process he succeeds in upsetting his employer, his wife and ultimately powers far bigger than he could have imagined.",8,lesson from the man,lesson from the man
1300,-,Nolan Wang,Nolan Wang,-,-,normal people,normal people
1301,7.3,James Demo,James Demo,"The unintended consequences that sometimes come from acting on our deepest impulses. Peter is a middle aged man who has had recent set backs both personally and professionally. His latest personal failure with recent girlfriend Maggie leads him to try a popular erectile dysfunction drug. In his desperation for things to work out, Peter takes too many pills and finds h... Leer todo",14,first time long time,first time long time
1302,-,David Reon Nguyen,David Reon Nguyen,A group of men share there experiences trying to overcome a mutual addiction.,6,rehab,rehab
1303,6.5,Magne Pettersen,Magne Pettersen,-,14,parat,parat
1304,8.0,Alex Beh,"['Alex Beh', 'Ryan Mullins']",-,12,the laundry,the laundry
1305,-,Eric Naughton,Eric Naughton,"""Cross-Eyed Dinner Theater Presents!"" is a comedic mockumentary that dares to venture behind-the-scenes of a dinner theater production of ""Death of a Salesman"" in which all the actors perform cross-eyed. On Opening Night, a group of cross-eyed protesters shows up to protest and try to shut down the show.",12,cross-eyed dinner theater presents!,cross-eyed dinner theater presents!
1306,5.2,Brian Krinsky,Brian Krinsky,"Emo kids Israel and Louie walk around their east Los Angeles neighborhood dishing about their high school classmates. After listening to Louie boast about his sexual escapades, Israel decides he has some catching up to do.",15,dish,dish
1307,-,Albert M. Chan,Albert M. Chan,"Two strangers, a guitarist and an introspective young woman, cross paths at an empty concrete bench and, with the help of eight additional strangers, discover that they have something special in common.",12,fate scores,fate scores
1308,8.3,Paul Pedreira,Tara Emerson,"When Nyutsek, a self-help guru struggling in the shadow of his truly enlightened wife Gangly, conducts a spiritual seminar teaching participants to ""let go"" and ""free themselves from their egos,"" he is suddenly faced with the realization that it may be him who really needs to do the letting go.",24,enlightened!,enlightened!
1309,-,Brooke Hanson,Brooke Hanson,"College student Elena Torres has developed an expert system for surviving in a world she cannot afford. As long as she remains anonymous, she'll be alright - and all alone. But when she meets an unlikely ally in conservative politico Jason Whitsell, can she trust him with her secrets?",17,borderless,borderless
1310,8.1,"['Joe La', 'Rue']","['Robert Omnibozoologist La', 'Rue']","The darkly comic tale of a young Philippina, Delia, living in Boulder, Colorado. Constantly threatened by neighborhood dogs and their irresponsible owners while on her daily jogs, Delia endures one confrontation too many. Enraged by her clueless neighbors, Chad and Allan, she plots revenge - a delicious revenge that exploits a culinary stereotype of the Philippines.",13,adobo,adobo
1311,5.7,Alex Richanbach,Alex Richanbach,-,-,stealing second,stealing second
1312,8.0,Steve Edmiston,Steve Edmiston,"The Day My Parents Became Cool is a modern costume-comedy - and every teenager's worst nightmare. When the one-thousand-year comet crosses the night sky, a brave new world is created where adults instantly adopt every teen trend in attire and body image. Emo, Goth, Skater, Jock, Metal - tattoos, piercings, thongs, and sagging jeans. On every adult, everywhere, planet-... Leer todo",16,the day my parents became cool,the day my parents became cool
1313,6.4,Jonathan Browning,Jonathan Browning,"Thomas Kearney, a desperate Realtor, goes to any length to sell a home...any home.",3,the sale,the sale
1314,-,Marc Wondolowski,Marc Wondolowski,-,11,just a dream,just a dream
1315,-,Erik Santiago,"['Celeste Santiago', 'Erik Santiago']",-,10,roommate wanted,roommate wanted
1316,8.0,Reed Hall Clément,"['Reed Hall Clément', 'Josh Garrell']",-,12,winston: an informal guide to etiquette,winston: an informal guide to etiquette
1317,-,Al Vicente,Al Vicente,"When nine year old Dominic moves to a quiet suburb from a big city he has a hard time fitting in, until he befriends a neighbor who has double the problems.",-,summer of the cicada,summer of the cicada
1318,-,Afi Ekulona,"['Afi Ekulona', 'Christopher Holder', 'Zachary James Rukavina']",Brett Tanner goes to great lengths to 'find himself' the best way a man knows how.,7,the man,the man
1319,6.6,Xavier Tatarkiewicz,"['Szymon Karpinski', 'Xavier Tatarkiewicz']",When Stefan (a depressed accountant) suspects his girlfriend is cheating on him he decides to visit his neighbor (a retired prostitute) for advice.,-,vodka and women,vodka and women
1320,6.7,Magne Pettersen,Magne Pettersen,-,9,søpla,søpla
1321,-,Richie Mitchell,Richie Mitchell,"While attending a banquet in his father's honor, Stephan becomes obsessed with the idea of smoking inside the hotel's walls. The hotel receptionist however has different plans for Stephan's evening, enforcing a strict mantra: No Smoking.",9,smoking tonight,smoking tonight
1322,-,Willy Laszlo,Allen Yates,-,-,quinceanera crashers,quinceanera crashers
1323,-,Ryan O'Laughlin,Ryan O'Laughlin,"Melancholamorbus is a quirky drama/comedy about one man's absurdly funny quest for happiness. Everyone wants to be happy, right? Well, so does Max, a depressed young man who seeks the help of an experimental psychologist, Dr. Durindolf, to find the happiness he lost. The only problem is Max has a terrible disease; melancholamorbus: a rare condition in which severe sad... Leer todo",14,melancholamorbus,melancholamorbus
1324,-,David Ngo,David Ngo,"A workplace comedy that centers on the life of Kenny, a man who unwillingly becomes the keeper of all his co-workers' deepest darkest secrets.",7,go to kenny,go to kenny
1325,-,"['Patrick Vanden', 'Bussche']","['Patrick Vanden', 'Bussche', 'Douglas Wagner']","Six Impossible Things' is a story about our beliefs, especially those of children still attempting to understand the world we live in. Growing up, we find ourselves struggling with what we should, can, and don't believe. This system of beliefs we have when we are young is a product of our situation, peers, and parenting, The film is a vision of drama, magic, and reali... Leer todo",13,six impossible things,six impossible things
1326,5.3,Paul Hendry,Paul Hendry,"Jason has been on the run for so long he isn't even sure what he's running from. Caught in a shadowy world of assassins, double agents, and lost loves, fate offers deliverance in the form of a drive-thru cheeseburger.",7,the re-bourne identity,the re-bourne identity
1327,-,Joel Schoenbach,Joel Schoenbach,A man gets lost on an island trying to meet his friend at Denny's.,5,the unfortunate story of a lost soul 2,the unfortunate story of a lost soul 2
1328,-,Peter Stass,Peter Stass,"American businessman DONALD CAVANAUGH is caught in a web of deceit, trapped in a deadly game of cat and mouse and buried under several other melodramatic clichés by European criminal mastermind SCHLESSINGER, whom has kidnapped Cavanaugh's wife for a million dollars ransom. But then again, this could all be a prank. But then again, maybe it isn't. This is the story of ... Leer todo",12,an elaborate plan,an elaborate plan
1329,5.4,Mike Corey,Mike Corey,"When David's wife Carol decides to quit smoking, they come up with an unusual incentive to help her. The more she smokes, the more sexual favors she has to perform. After Carol quits immediately, David devises a plan to make her relapse.",12,the tab,the tab
1330,8.1,Brendan Ferrer,Brendan Ferrer,The story of a daydreaming underwear inspector who must learn to stand up for himself and what is right in order to win the heart of a newly discovered co-worker.,26,number nine,number nine
1331,-,Daniel Marks,Daniel Marks,Sam goes on a late-night mission for his girlfriend.,7,milked,milked
1332,-,Izidore K. Musallam,-,"The journey of a Palestinian Donkey's return from the Diaspora of an Occupied Village in the West Bank to his family's home in Haifa, Israel.",33,hadutha saghira,hadutha saghira
1333,-,Amy Neswald,Amy Neswald,Boy meets girl at a two-for-one happy hour with free buffet; boy loses girl because he is wearing a suit; boy finds true love while dumpster diving for a new tie.,8,freegan love,freegan love
1334,-,Sophia Robbins,"['Anna Orkoulas', 'Sophia Robbins']",Kate spots the man of her dreams one afternoon in the park.,7,my lucky day,my lucky day
1335,-,Tucker Dryden,-,A Man smashes his piggy bank for some fast cash but soon has regrets.,5,piggy bank,piggy bank
1336,-,John Stronach,Brent Tarnol,"A teenage girl's decision to lose her virginity to her boyfriend out of spite of her father, leads to a unexplainable, highly accelerated birth.",-,freight train,freight train
1337,5.9,Vicky Wight,Vicky Wight,"COFFEE is a story about Sarah, a woman whose relationship has fallen apart. She is waking up on this particular morning to a disheveled house, half packed in boxes. Sara goes about her morning in a daze. Innocuous little things affect her. When she wants to be upset about bigger issues, she simply feels numb. Coffee might help.",8,coffee,coffee
1338,7.2,Tom Everett Scott,"['Tom Everett Scott', 'Michael Mc', 'Millian']",A comedy where a new secret agent must try to survive his co-workers that are all named after guns.,11,glock,glock
1339,-,Nicolas Wendl,-,"When Ellen's car breaks down on the day of her birthday, she is forced to walk home. As she does, she passes by a restaurant which serves her favorite food, which ends up getting her into a smelly situation.",17,there's something in the air...,there's something in the air...
1340,8.8,Russell Whaley,"['Susan Armstrong', 'Russell Whaley']","A young Men's Magazine Journalist seeks out more than he has become. His most recent project revolves around a group of women who discuss sex for a living and call themselves licensed therapists. His dream job is to work for the Daily Tribune under supervision of Vance; the brash, arrogant CEO type who underpays his staff and still thinks everyone loves him. Has this ... Leer todo",8,life between interviews,life between interviews
1341,-,Richard Paro,"['Richard Paro', 'Cyra K. Polizzi']",-,2,"allison, my love","allison, my love"
1342,7.4,James P. Gannon,James P. Gannon,-,8,cochran,cochran
1343,8.5,Michael Chaves,Joseph Arnone,"Sometimes dates go bad. Horribly, horribly bad.",4,worst date ever,worst date ever
