puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
-,Angela Wold,"['Rebekah Cook', 'Timothy Jones', 'Mark Kozelek']","Telfer thought he had everything he wanted as a contract hit man. When a routine job lands him face-to-face with a figure of his past, he is forced to make a choice. Deception, truth, motives, and choices race against time as the lives of characters collide. It's a story of the redemption God gives to those looking for Him.",26,Accion,refuge,2015
-,Evan Combs,Evan Combs,-,10,Accion,get ready to die,2015
-,Evan Combs,Evan Combs,-,9,Accion,time to kill some fools: hitman,2015
-,Evan Combs,Evan Combs,-,10,Accion,i hate my birthday!!!!,2015
-,Luke Van Mol,-,"After finding a hidden dojo in the forest, Jori is caught by ninja guards and taken to their sensei to ultimately be trained as a ninja.",9,Accion,the training of a ninja,2015
-,"['Tyler Hickman', 'Brennan Scott']","['Tyler Hickman', 'Brennan Scott']","A lone sniper takes pleasure in picking off escaping refugees from war torn Slovenia in the 90's. That is, until, a lone gunman decides to stand up to him.",6,Accion,fight of phantoms,2015
-,Kevin K. Watts,Kevin K. Watts,An unstable detective seeks revenge after the murder of his wife.,2,Accion,after she's gone,2015
-,Nicholas Acosta,-,"CHOOSE YOUR OWN ADVENTURE: Are you ready for a Theme Video unlike any other? Well get ready to think like a spy, because it's your job to pick the story. How will the Agent complete his mission?",-,Accion,covert,2015
8.8,Forrest Whaley,-,"Captain America battles against Nazi Zombies from Hell, summoned by the Red Skull. He also has to fight The Winter Soldier. Things start going bad for Cap until The Avengers arrive to help in the fight against the undead Nazi menace.",6,Accion,lego captain america 3: nazi zombies,2015
4.2,"['Jo', 'Juan Johnson']","['Brendan Barney', 'Jo', 'Juan Johnson', 'Jonarazzii']","Dylan hopes to enjoy his summer vacation with his best friends, but his friends have all gone to summer camp or with their family, when suddenly a mysterious purple circle appears in the sky of GoAnimate City.",40,Accion,dylan 3: school's out,2015
-,Daniele Spadoni,"['Eric Chahi', 'Daniele Spadoni']",-,11,Accion,another world/out of this world - fan movie,2015
-,Nick Song,Nick Song,-,-,Accion,assassin game,2015
-,Jacob Shrimpton,Jacob Shrimpton,-,2,Accion,cars stop-motion,2015
