puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
15,6.3,Guy Ritchie,"['Luc Besson', 'Guy Ritchie']",-,111,Accion,revolver,tt0365686
20,2.7,Dustin Rikert,"['Jeff Wright', 'Robert Yap']",A sexy and lethal female mercenary takes on an international syndicate of weapons smugglers run by the Russian Mafia.,90,Accion,lethal,tt0366711
,7.7,Darko Mitrevski,Darko Mitrevski,"A Macedonian military deserter and his Italian blood-brother are searching for a dead grandmother wrapped up in a stolen carpet, all over the Balkan's criminal underworld.",89,Accion,bal-kan-kan,tt0369258
-,3.8,Bobby Guions,Bobby Guions,"Mark is a young assassin hired to take out members of a large drug syndicate. But, he bumps into a mysterious woman and falls for her. Instead of just doing his job Mark throws caution into the wind and breaks all the rules of an assassin to meet her. Now, he finds himself caught between love and a group of assassins hired to take him out.",90,Accion,dinner with an assassin,tt0369366
1,2.4,Uwe Boll,"['Elan Mastai', 'Michael Roesch', 'Peter Scheerer']",-,99,Accion,alone in the dark,tt0369226
,5.3,Shin Togashi,"['Hiroshi SaitôKôta Yamada', 'Mitsuteru Yokoyama']",-,119,Accion,tetsujin niju-hachigo,tt0371310
9,3.5,Jimmy Nickerson,"['Sholom Gelt', 'Glen Hartford']",The warrior is really forbidden.,91,Accion,forbidden warrior,tt0371675
85,8.2,Christopher Nolan,"['Bob Kane', 'David S. Goyer', 'Christopher Nolan']",-,140,Accion,batman begins,tt0372784
,4.3,"['Sebastian Vigg', 'Roland Leyer']",Timo Berndt,A crime fighter dressed as a clown has helped out the police. The now retired clown returns when the German gold reserve is robbed by a criminal gang.,104,Accion,der clown,tt0373762
6,4.4,Marcos Siega,"['Brent Goldberg', 'David Wagner', 'Nick Cannon']",A young detective goes undercover at an elite private school to destroy an international stolen car ring.,95,Accion,underclassman,tt0373416
,6.9,Dzhanik Fayziev,Boris Akunin,The film is based on the second book from the Adventures of Erast Petrovich Fandorin series of novels written by the Russian author Boris Akunin. The film takes place in 1877 during the Russian-Turkish war. Erast Fandorin has just escaped from Turkish prison and is trying to get on the Russian side as soon as possible to give important information about the upcoming a... Leer todo,208,Accion,turetskiy gambit,tt0374298
,7.9,Richard Clabaugh,Scott Thomas,"With its high murder rate, the town of Gastonia, N.C., has earned itself the nickname ""Little Chicago."" Cal returns home to Gastonia after college to find his childhood best friend Andre in deep with a local drug dealer.",90,Accion,little chicago,tt0374826
90,8.3,S. Shankar,"['Gopal Ram', 'S. Shankar', 'Sujatha']",-,181,Accion,anniyan,tt0376127
21,5.9,John Stockwell,Matt Johnson,-,110,Accion,into the blue,tt0378109
3,2.8,Ross Boyask,"['Ross Boyask', 'Adrian Foiadelli', 'P.l Hobden']","Left For Dead is a revenge thriller set in a city called Hope, where a crimelord called Kincaid rules with an iron fist. Williams, a former hitman for Kincaid is attacked and left for dead when he tries to leave the organisation. He teams up with Kelso, a kickboxer who had his hands smashed by Kincaid, and together, they seek revenge.",105,Accion,left for dead,tt0378238
3,2.8,Ross Boyask,"['Ross Boyask', 'Adrian Foiadelli', 'P.l Hobden']","Left For Dead is a revenge thriller set in a city called Hope, where a crimelord called Kincaid rules with an iron fist. Williams, a former hitman for Kincaid is attacked and left for dead when he tries to leave the organisation. He teams up with Kelso, a kickboxer who had his hands smashed by Kincaid, and together, they seek revenge.",105,Accion,left for dead,tt0918645
-,3.5,Gavin Wilding,"['Deborah Brock', 'Jerry Lambert']","A federal agent, Kate Parker arrives in a small rural town to extradite Claire Scott, a young woman suspected of murdering a government scientist. Kate is prevented from delivering her prisoner as the mysterious John Lawson, a rouge agent, now selling classified information on the black market, wants what Claire has - a deadly biological formula. Claire, unaware that ... Leer todo",-,Accion,caught in the headlights,tt0377607
29,3.8,Danny Lerner,Les Weldon,Two former CIA operatives must test the bonds of their childhood friendship when one of them is accused of stealing state secrets and jailed in a foreign prison.,88,Accion,target of opportunity,tt0378854
82,7.8,Joss Whedon,Joss Whedon,-,119,Accion,serenity,tt0379786
58,4.4,James Hunter,"['James Hunter', 'Michael Raffanello']","Reggie tries to escape his sordid past only to be pulled back for one more heist. When the heist goes bad, it leaves a reverend dead with Reggie left to sort out what happened.",103,Accion,back in the day,tt0380201
