,titulo,anio,puntuacion_rotten
213,Definition Please,2020,95
214,Madison,2020,31
215,Two Paths One Road,2020,
216,Las Furias,2020,
217,Silent Notes,2020,
218,A Christmas Hero,2020,
219,The Shift,2020,37
220,Bedridden,2020,
221,Zona Seyl,2020,
222,Party Hard,2020,
223,Bounce Back: A Story of Dance,2020,
224,Di yi lu xiang,2020,
225,Asa ga kuru,2020,
226,Sanguinetti,2020,
227,Eden,2020,-
228,111 the Force,2020,
229,Limbo,2020,93
230,I'm Not Really Here,2020,
231,Nartai,2020,
232,Sorido eopsi,2020,
233,Las niñas,2020,
234,Carmen Vidal Mujer Detective,2020,
235,Un Domingo de Julio en Santiago,2020,
236,Biz Böyleyiz,2020,
237,The Nowhere Inn,2020,
238,The Life Peddler,2020,
239,La bonne épouse,2020,
240,Reunion,2020,92
241,She Paradise,2020,88
242,Ernesto,2020,
243,Saturday School,2020,-
244,The 24th,2020,79
245,Nine Days,2020,89
246,She's the Eldest,2020,
247,Uppercase Print,2020,83
248,Akash ongshoto meghla,2020,
249,Bound,2020,87
250,Été 85,2020,
251,Present Still Perfect,2020,
252,Horizon: Here,2020,
253,Scorpio,2020,59
254,Podsolnukh,2020,
255,Whirlpool,2020,92
256,Palindrome,2020,40
257,Teddy,2020,77
258,Miles Away Under the Moon,2020,
259,Crónica de una tormenta,2020,
260,Lxs chicxs de las motitos,2020,
261,STWFA,2020,
262,Historias incompletas,2020,
263,The Road to Cabazon,2020,-
264,My Sisters,2020,
265,Kholodno,2020,
266,Deathwell,2020,
267,Beware of Dog,2020,
268,Mayar Jonjal,2020,
269,The Lion Rock,2020,
270,The Trip to Greece,2020,88
271,The Lamp of Truth,2020,
272,The Atlantic City Story,2020,
273,My Parents and Me,2020,
274,Danny. Legend. God.,2020,89
275,Opposite Direction,2020,
276,Sage of Time,2020,
277,König der Raben,2020,
278,Inland,2020,50
279,Just Different,2020,
280,Sangre,2020,
281,Selfish Son,2020,
282,Topside,2020,81
283,Krasnyy prizrak,2020,
284,Desterro,2020,
285,Gold Coast Lounge,2020,
286,Revenge Ride,2020,
287,Silence Is Compliance,2020,
288,Les Vieux Chums,2020,
289,Ma Rainey's Black Bottom,2020,97
290,Like a House on Fire,2020,100
291,Central Standard,2020,
292,Steel Rain 2,2020,
293,Half Brothers,2020,37
294,The Invisible Man,2020,92
295,De slag om de Schelde,2020,
296,Outside California,2020,
297,Serebryanye konki,2020,
298,Resemblance,2020,
299,Nikah Yuk,2020,
300,Queen of the Trap House,2020,
301,Dramarama,2020,100
302,La donna dello smartphone,2020,
303,Halkara,2020,
304,Josep,2020,100
305,The Midnight Sky,2020,49
306,Song of the Tree Frogs,2020,-
307,Ginny Weds Sunny,2020,10
308,Lifelines,2020,63
309,Muz se zajecima usima,2020,
310,Fu*king Idiots,2020,
311,Dara iz Jasenovca,2020,
312,Unpregnant,2020,92
313,"Berlin, Berlin",2020,
314,Commandos: The Mission,2020,
315,Still the Water,2020,52
316,Marcus,2020,92
317,Non-living,2020,
318,The Racists,2020,
319,Vikend sa caletom,2020,
320,Oaza,2020,
321,The Feather The Agatha Tiegel Hanson Story,2020,
322,Desaparecer,2020,
323,Uçurum Çiçegi,2020,
324,Sweet Sunshine,2020,93
325,Vita,2020,
326,Thorp,2020,
327,Eat Wheaties!,2020,69
328,Finding My Stiletto's,2020,
329,Dear Younger Me,2020,
330,Profession du père,2020,
331,Psy 3: W imie zasad,2020,
332,South Side Sushi,2020,
333,Mafia,2020,
334,The Lost Recursion,2020,
335,Wake Up: Stories from the Frontlines of Suicide Prevention,2020,100
336,We Can Be Heroes,2020,74
337,Hunting Horse,2020,
338,Gullregn,2020,
339,The Crossroad,2020,
340,Ana,2020,-
341,Golondrinas,2020,
342,In the Defense Against Tyranny,2020,
343,One Night in Miami...,2020,
344,It Plays Like Love: Restaged Edition,2020,
345,Zaijian shaonian,2020,
346,Seurapeli,2020,
347,Mank,2020,83
348,La guerra a Cuba,2020,
349,#Saraitda,2020,
350,Influence,2020,78
351,Effacer l'historique,2020,
352,La vita davanti a sé,2020,
353,Hannan xia ri,2020,
354,Minari,2020,98
355,Razilee and Elijah: Part 2,2020,
356,Mangga Muda,2020,
357,Contar el amor,2020,
358,The Forty-Year-Old Version,2020,99
359,Guru-Guru Gokil,2020,
360,Selva,2020,
361,Toko Barang Mantan,2020,
362,The Exocet,2020,
363,Shylock,2020,
364,Safety,2020,
365,Passou,2020,
366,Gekijo,2020,
367,E.14,2020,
368,Indha Nilai Maarum,2020,-
369,Dreams of Paper & Ink,2020,
370,The Road to Freedom,2020,
371,Between Waves,2020,-
372,The Last Shift,2020,
373,Rest Area,2020,
374,Into the Beat - Dein Herz tanzt,2020,
375,Duo guan,2020,
376,The Passenger,2020,71
377,Saezuru Tori Wa Habatakanai: The Clouds Gather,2020,
378,Mica,2020,
379,La nuée,2020,
380,A Queda,2020,
381,Miracle on Highway 34,2020,
382,Un Crack,2020,
383,Chlap na strídacku,2020,
384,Keman Agitlari,2020,
385,Palasa 1978,2020,
386,Moments in Spacetime,2020,-
387,Vriend of vijand?,2020,
388,Ponmagal Vandhal,2020,-
389,Are We Lost Forever,2020,80
390,Anveshanam,2020,
391,After Love,2020,94
392,Always with you,2020,
393,Rumbo al Mar,2020,
394,The Killing of Two Lovers,2020,93
395,Love Stage!,2020,
396,The Trial of the Chicago 7,2020,89
397,Feel the Beat,2020,-
398,Retrato de mujer blanca con pelo cano y arrugas,2020,
399,My Brothers' Crossing,2020,94
400,Animales Humanos,2020,
401,The Parcel,2020,
402,Rooftops,2020,10
403,Broken Vows,2020,5
404,Nadie Sabe Que Estoy Aquí,2020,
405,"I love you, I swear",2020,
406,Zeitreise durch den Odenwald Teil 2 - sagenhafte Frauen im Spiegel der Zeit,2020,
407,His,2020,
408,Modo Avião,2020,
409,Hayalet: 3 Yasam,2020,
410,Bawari,2020,
411,Lost in Paradise,2020,58
412,Erna i krig,2020,
413,Pattas,2020,
414,Vigilante,2020,
415,Digger,2020,70
416,Lost in Midnight,2020,
417,Wyzwanie,2020,
418,By Days End,2020,
419,Teenage Girl: First Wheels,2020,-
420,Jab,2020,
421,Seduction,2020,
422,Nubes grises soplan sobre el campo verde,2020,
423,El Cóndor Colombiano,2020,
424,Blast Beat,2020,61
425,Sarileru Neekevvaru,2020,
426,Nanti kita cerita tentang hari ini,2020,
427,Anak Garuda,2020,
428,Obscurity,2020,
429,Dwitiyo Purush,2020,
