,puntuacion_imdb,direccion,guion,argumento,duracion,titulo, anio
0,6.3,Andrzej Czarnecki,Mikhail Shelekhov,-,80,istota,2000
1,,,,,,for the cause,2000
2,6.8,Michael New,-,"Florentino is a young horseman and singer, a free spirit living in the open world without restrictions, in the Venezuelan plains. He confronts the devil in a duel of improvised verses. As time passes, these unspoilt plains start to change. Through Florentino's voice and actions, the plains cannot be conquered. Its culture defies the devil in the eternal fight between ... Leer todo",-,florentino y el diablo,2000
3,3.7,Rakesh Roshan,"['Sachin Bhowmick', 'Ravi Kapoor', 'Sagar Sarhadi']","Wealthy Rajiv Sinha and middle-classed Amar Saxena are two childhood friends, with similar likes, and tastes. Their similar habits lead them to being in love with the same woman - Seema, who loves Amar, and is willing to marry him no matter what. Rajiv attempts to offer money to Sapna's guardian so that he can marry her, in vain though. When Rajiv attempts to convince... Leer todo",-,karobaar: the business of love,2000
4,6.2,Mazhar Khan,-,"After falling prey to underworld, four friends jeopardize their personal lives with point of no return.",167,gang,2000
5,7.7,['Samer Al Asadi'],-,-,91,consequence,2000
6,,,,,,fa yeung nin wah,2000
7,6.3,George Bazala,"['George Bazala', 'Patrick Clarke']","A young Irishman enters the US illegally with his wayward friend Seamus. Landing in New York the pair start out with dreams of striking it rich but soon find themselves in dead-end jobs and drifting apart. As Seamus pursues various get-rich schemes, the more cautious Patrick finds himself devoting time to looking after Tom, an Irish author down on his luck, and courti... Leer todo",96,beyond the pale,2000
8,7.1,Al Pacino,Ira Lewis,"Harry and Jake, two unsuccessful writers, spend a cathartic evening arguing about money, aesthetics, their friendship, and Harry's new manuscript.",99,chinese coffee,2000
9,5.4,Bruno Nuytten,Bruno Nuytten,"Faustine,now an adult ,wants to know all about her father's death;she learns he was once in love with a fifteen-year-old girl ,Alice .",104,passionnément,2000
10,5.0,Adrian Fulle,"['Adrian Fulle', 'David J', 'Miller Daniel Bingley']","A group of raucous college buds living the Dorm life, decide to have a blowout while most of their friends are away for the Thanksgiving holiday. With LOVE 101 being the toughest course this semester, will they pass the final exam?",86,love 101,2000
11,6.6,Dorian Ramírez,Dorian Ramírez,-,75,pushing the envelope,2000
12,6.3,Adam Davidson,"['Yule Caise', 'Jess Mowry']","Based on the award-winning best seller by Jess Mowry, ""Way Past Cool"" is a coming-of-age story told in reverse, for it is the story of a group of young black kids and their fight to reclaim their childhood.",96,way past cool,2000
13,6.7,David Mamet,David Mamet,A movie crew invades a small town whose residents are all too ready to give up their values for showbiz glitz.,-,state and main,2000
14,5.2,Bryan Johnson,Bryan Johnson,A man who performs as a children's birthday party clown tries to piece his life back together after being gang-raped.,87,vulgar,2000
15,6.0,['Shirley Mac Laine'],David Ciminello,-,108,bruno,2000
16,,,,,,lured innocence,2000
17,4.7,N. Chandra,"['N Chandra', 'Rajeev Kaul', 'Praful Parekh']","Filled with vengeance, a simple man turns into a hardcore criminal in order to avenge the destruction of his family.",160,shikari,2000
18,,,,,,capitães de abril,2000
19,,,,,,sånger från andra våningen,2000
20,5.7,Wim Wenders,['Nicholas Klein Bono'],-,-,the million dollar hotel,2000
21,6.9,-,"['Peter Lord', 'Nick Park']","Every escape attempt by the chickens on evil Mrs. Tweedy's farm goes awry until Rocky, a smooth talking All-American rooster, crash lands into the coop. It doesn't take long for Rocky to teach his new friends that chickens really can fly.",-,chicken run,2000
22,,,,,,the highwayman,2000
23,6.6,Henry Burrows,Henry Burrows,"Four students sharing a house in Manchester are rudely interrupted one evening when their pizza-delivery man is attacked and taken over by couple of aliens that have crash-landed their spacecraft, and then the aliens decide that all witnesses to their existence must be eliminated...",78,foiled,2000
24,,,,,,return to me,2000
25,,,,,,waking the dead,2000
26,8.1,Lamar Card,['J W Myers'],The underbelly of a dark Los Angeles becomes the hunting ground for Terry Kiser's character in search of his soul and his meaning. He finds both as he walks in on an AM/PM heist and chooses to take a .38 slug for a four-year-old child.,-,flamingo dreams,2000
27,5.6,-,-,"Based on Disney's Dinosaur (2000), Aladar, and his friends live on the Lemur Island. When their island is destroyed by a meteor, they flee to the mainland, where they encounter a herd of dinosaurs led by the ruthless Kron.",-,dinosaur,2000
28,,,,,,duets,2000
29,,,,,,fallen arches,2000
30,6.3,Tom Shell,"['Nicholas Wilson', 'Elizabeth Hansen']",The 1854 Wyoming historical drama is based on Tom Shell's adaptation of the true life memoirs of Pony Express rider Nick Wilson.,97,wind river,2000
31,5.7,Adrian Pasdar,Justin Monjo,"What's the bond between partners, between brothers, and between spouses? In L.A., Bill Holt handcuffs Sean Rickhart inside a rebar frame for a freeway pillar at a construction site; Bill's going to bury Sean in quick-drying cement. Guided by the narration of Nin, Bill's coke-snorting partner, we go back and forth over the past 48 hours to find out what brings Bill and... Leer todo",97,cement,2000
32,6.5,Barry Berman,Barry Berman,A mother flees to her hometown after her son gets into trouble.,95,waterproof,2000
33,7.2,['Doug Ten Napel'],['Doug Ten Napel'],"An earlier movie about the legendary character, The Mothman. This was filmed on location at two different places that he supposedly was seen.",-,mothman,2000
34,,,,,,the yards,2000
35,6.5,Douglas Green,Mitch Giannunzio,"A son visits his aging mother and sees tragic, intermittent signs of senility, but she pleads with him not to send her to a sanitarium.",97,the hiding place,2000
36,7.0,Pedro Costa,-,-,171,no quarto da vanda,2000
37,,,,,,isn't she great,2000
38,5.4,['Agneta Fagerstr Olsson'],"['Peter Birro', 'Agneta Fagerstr Olsson']","""Plutten"" is a former European champion in boxing who tours in northern Sweden, Finland, Norway and Russia as a country musician with his manager ""Råttan"". ""Plutten's"" big problem is handling the fact that his career is finished and that he has got to start on something completely new.",110,knockout,2000
39,-,John Mathews,John Mathews,-,-,committed,2000
40,7.6,Mary Harron,"['Bret Easton', 'Ellis Mary', 'Harron Guinevere Turner']",-,-,american psycho,2000
41,,,,,,thirteen days,2000
