,0,1,2,3,4,5,6
0,6.4,"['Raúl Ruiz', 'Valeria Sarmiento']","['Raúl Ruiz', 'Omar Saavedra Santis']",-,70,el tango del viudo y su espejo deformante,2020
1,6.3,Dana Offenbach,Dana Offenbach,"LOVE & ORGASMS is a dramatic comedy about women's relationships that explores the emotional challenges of healing a broken heart and the importance of sexual pleasure for women. After a heartbreaking experience, advertising executive Donna Greenberg throws herself into her work. ... Leer todo",82,love & orgasms,2020
2,7.7,Abbi Lake O'Neill,Abbi Lake O'Neill,"Kate McCarthy, a former teen sitcom star who trashed her life through drug abuse, is forced to live, fresh out of rehab, on the one remaining piece of property, her business manager, Charlie has kept out of foreclosure - a run-down apartment building in east L.A. With her one rem... Leer todo",-,surviving in l.a.,2020
3,-,Hector Echavarria,"['Brad Bode', ""Fuad C'Amanero"", 'Hector Echavarria']","1967 China, A young boy (Dax) is left to survive on his own in the middle of no were, after his missionary parents were murdered by rebels. He is found and Raised by a Shawling Temple Monk and becomes skilled in Martial arts. 25 Years later, in Los Angeles he meets a long time fr... Leer todo",-,duel of legends,2020
4,4.7,William Olsson,Catherine Hanrahan,-,97,lost girls and love hotels,2020
5,7.0,Piotr Domalewski,Piotr Domalewski,-,98,jak najdalej stad,2020
6,4.7,Janis Rafailidou,Janis Rafailidou,"In a big city somewhere in the south of Europe, a couple takes care of dead animals and abandoned roadkill as an act to give meaning to their life. Kala azar is a meditation on the paradox of life-circles among beings of different species.",91,kala azar,2020
7,5.7,Dave Franco,"['Dave Franco', 'Joe Swanberg', 'Mike Demski']",-,88,the rental,2020
8,5.8,Bernard Stora,"['Pascale Robert Diard', 'Bernard Stora']",-,103,villa caprice,2020
9,5.4,"['Rathina Shiva', 'Swami Rajalingam']",Rathina Shiva,A guy from a small-town takes on a ruthless criminal lawyer for his friend and sister(s).,123,seeru,2020
10,5.4,Danielle Arbid,"['Danielle Arbid', 'Annie Ernaux']",-,99,passion simple,2020
11,5.9,Kayode Kasum,Adaora Udeh,"....is a narrative that takes place over the life span of a married couple, their adorable love story starting from how they meet as youths, become friends, their courtship, their marriage and the difficulties they encounter.. they can't imagine their lives without each other unt... Leer todo",86,sweet face,2020
12,5.6,Paul Solet,"['Paul Solet', 'Adrien Brody']",-,94,clean,2020
13,4.7,Imtiaz Ali,"['Imtiaz Ali', 'Wajid Shaikh']",-,142,love aaj kal,2020
14,4.9,Kristin Peterson Kaszubowski,"['Kristin Peterson Kaszubowski', 'Martin Kaszubowski']",-,80,ringolevio,2020
15,6.7,Ruthy Pribar,Ruthy Pribar,-,85,asia,2020
16,5.6,Karlton Parris,Karlton Parris,"A gritty Northern LGBTQ comedy drama. Blackpool 1953. Two young gay Yorkshire miners, Eddy and Tommy, on their annual holiday there, meet transvestite James Elbridge who is summoning up the courage to do the fabled walk from pier to pier.",105,once a year on blackpool sands,2020
17,5.9,Carlos Sedes,"['Ramón Campos', 'Javier Chacártegui', 'Salvador S. Molina']",-,119,el verano que vivimos,2020
18,7.2,Alfonso Quijada,Alfonso Quijada,"Set in the coffee fields of Latin America, the movie unfolds through the eyes of Josefina Moreno, an 18 year-old coffee picker, with a rare and amazing sense of smell.",93,el suspiro del silencio,2020
19,6.7,Hugo Pinto,Andreia Azevedo Moreira,-,19,a escritora,2020
20,8.2,Sydney Taivavashe,Sydney Taivavashe,"How do you survive in an isolated village with a small human population and an even larger wildlife one? For Zulu, a rural, cultured man, it is a constant battle for survival. He lives a fantasy of an acclaimed musician. In reality, he is a broken-hearted drunk. He must figure ou... Leer todo",100,gonarezhou: the movie,2020
21,5.3,Zeina Durra,Zeina Durra,-,85,luxor,2020
22,6.1,Troy Ruptash,Troy Ruptash,A Ukrainian farmer living in Alberta loses his wife in a tragic accident. Guilt and grief send him into an emotional spiral where mysterious and inexplicable events force him to relive traumatic incidents from his childhood in Ukraine.,88,they who surround us,2020
23,5.2,Moritz Bleibtreu,Moritz Bleibtreu,-,96,cortex,2020
24,-,Nat Wolff,Nat Wolff,"A young girl who recently lost her father bonds with one of her older sibling's friends at a high school house party. When she experiences her first heartbreak, she takes matters into her own hands.",-,youngest,2020
25,3.5,Robert L. Parker III,"['Crystal Harris', 'Robert L. Parker III']","Four single women reunite together after not seeing each other in so many years. When they meet they discover that they haven't changed much. While together they have wild parties, drinking, dancing and other fun activities. Starring Kaymecia Garvins, Marie Richards, Robin Lee Ni... Leer todo",111,girlfriend's reunited,2020
26,-,António Borges Correia,António Borges Correia,"Hugo, a teenager, imagines a movie about his loneliness.",91,lonesome boy,2020
27,5.4,Ruchi Narain,"['Atika Chohan', 'Kanika Dhillon', 'Ruchi Narain']","When a college heartthrob is accused of rape by a less popular student, his girlfriend navigates various versions of the story in search of the truth.",119,guilty,2020
28,5.8,"['Gerard Bush', 'Christopher Renz']","['Gerard Bush', 'Christopher Renz']",-,105,antebellum,2020
29,7.1,Eduardo Wannmacher,Leo Garcia,"Three completely different women have one thing in common: they loved and were connected to the same man. From the point of view of these women, through an intricate structure moving back and forth in time, Raul enters the story.",98,depois de ser cinza,2020
30,8.0,Masayuki Kojima,"['Akihito Tsukushi', 'Hideyuki Kurata']",-,113,made in abyss: fukaki tamashî no reimei,2020
31,7.0,"['Nándor Lörincz', 'Bálint Nagy']","['Nándor Lörincz', 'Bálint Nagy']","Based on true events, 'As far as i know' tells the story of a couple and their challenges after a rape, from the husband's perspective.",123,legjobb tudomásom szerint,2020
32,6.8,Thatchaphong Suphasri,"['Apichet Kamphu', 'Kiat Songsanant']","In a love triangle that miraculously mirrors her mother's romance years ago, a young woman lets her heart lead.",123,classic again,2020
33,4.7,Xu Zhanxiong,Xu Zhanxiong,"In the 1990s, the two girls and a boy who first entered the society tested the incredible destiny they experienced in the pursuit of a new life. In the flourishing 1990s, they rose up with the dream and they survived.",112,wild grass,2020
34,6.1,Joachim Hedén,Joachim Hedén,-,82,breaking surface,2020
35,5.4,Paul Manate,"['Cécile Ducrocq', 'Paul Manate']","While Teivi is just a ambitious young man from the Tahitian golden youth, his distant cousin Yasmina is a full-blooded Maori owner of a mysterious gift that isolated her from the world. Their paths will clash.",89,l'oiseau de paradis,2020
36,-,Achyut Prashast Singh,Achyut Prashast Singh,A young man starts to prank his masked archenemy with a fake sniper gun and runs into trouble when a man believing him to be an actual sniper assigns him a job.,45,range of sniper,2020
37,-,Tejas Dhhanraj,Tejas Dhhanraj,-,-,adbhoot - ek dhandal saira vaira,2020
38,5.2,Julien Leclercq,"['Julien Leclercq', 'Jérémie Guez', 'Matthieu Serveau']",-,80,la terre et le sang,2020
39,6.2,Kelly Oxford,Kelly Oxford,-,94,pink skies ahead,2020
40,6.5,Dalei Zhang,"['Rui Xiao', 'Dalei Zhang']","Released from prison on New Year's Eve, Ma Biao returns to a freezing border town between China and Russia. He searches for former lover Karinna, but unwittingly gets dragged again into a gangland conflict from years ago.",146,lan se lie che,2020
41,5.6,Jun Geng,"['Jun Geng', 'Bing Liu']",-,118,manchurian tiger,2020
42,-,Zhanna Issabayeva,-,"Azat, is a 19-year-old villager who comes to a big city of Almaty to work in the construction team of his elder brother. In the city there will be the ""crossroad of fate"" which determines how things will unfold in Azat's life.",-,sudba,2020
43,5.1,Henri Wong,"['Wenwen Fan', 'A. Lee Martinez', 'Yahe Wang']","Ji Mo is regarded as an outlier because she can see monsters. One day, she sees a monster in the supermarket and meets a monster hunter, Meng. She discovers that there really are monsters in the world, and she is involved in a new storm.",104,guai wu xian sheng,2020
44,8.6,Feng Mei,Feng Mei,"Love Song 1980 tells a story of love and hatred between several young men and women in the 1980s. It covers family relationships, friendship, love and three-dimensional characters with touching stories.",127,lian qu 1980,2020
45,6.0,Charlotte Dauphin,Charlotte Dauphin,An intimate portrait of a woman's mental confrontation and drifting between dream and reality after experiencing loss.,77,l'autre,2020
46,6.1,Natalie Spence,Natalie Spence,A soldier is haunted by ghosts of the past as he wrestles with those of the present.,76,sunray,2020
47,7.1,Bryan Wizemann,Bryan Wizemann,-,-,you mean everything to me,2020
48,6.3,Ramon Térmens,"['Daniel Faraldo', 'Ramon Térmens']",-,119,la dona il·legal,2020
49,4.9,Michael Nell,Michael Nell,-,83,blindfire,2020
50,6.4,Marian Crisan,"['Gabriel Andronache', 'Marian Crisan']","A high-profile politician running for the EU Parliament meets a tractor driver, teaming up during the election campaign in a small Romanian town.",93,berliner,2020
51,-,Lyuben Kanev,Lyuben Kanev,-,58,the forgotten,2020
52,6.8,Christos Nikou,"['Christos Nikou', 'Stavros Raptis']",-,91,apples,2020
53,7.3,Eduardo M. Clorio,"['Paco Arriagada', 'Karla Coronado', 'Idalia Damián Azcoitia']",-,97,conversaciones,2020
54,6.6,Leonie Krippendorff,Leonie Krippendorff,-,99,kokon,2020
55,-,Kjetil Engh Aasen,Kjetil Engh Aasen,"The life of a mother and son is turned upside down, when the man they thought they knew is suspected for unspeakable crimes against children.",-,askedager,2020
56,6.7,"['Stéphanie Chuat', 'Véronique Reymond']","['Stéphanie Chuat', 'Véronique Reymond']","Lisa has bid goodbye to her ambitions as a playwright and the Berlin arts scene and now lives in Switzerland with her husband, who runs an international school. When her twin brother falls ill, she returns to Berlin.",99,schwesterlein,2020
57,6.7,Júlio Alves,"['Júlio Alves', 'Mário de Carvalho']","Can a turtle, the most pacific animal on earth, start a range of significant events that are going to forever change a couple's life? After dividing all their assets, Arnaldo e Barbara still have one decision to make before they formalize their separation: what to do with the tur... Leer todo",91,a arte de morrer longe,2020
