,0,1,2,3,4,5,6
33,5.1,Monika Mitchell,"['Frank Cassini', 'John Cassini']","A talented, but struggling actor is willing to go to any length to get a job - including ""break a leg""... especially those of other actors.",98,break a leg,break a leg
34,6.4,Wayne Wang,"['Kate Di', 'Camillo', 'Joan Singleton']",-,106,because of winn-dixie,because of winn-dixie
35,6.9,Eduardo Mignogna,"['Graciela Maglie', 'Eduardo Mignogna']","After the funeral of his daughter Ema, Frank Osorio travels for the first time to Buenos Aires to tell his granddaughter Alina about her mother's death. But Frank has two big secrets: the first one is about the identity of Alina's father and the second one is related to a crime.",92,el viento,el viento
36,6.5,Mike Mills,"['Walter Kirn', 'Mike Mills']",-,96,thumbsucker,thumbsucker
37,6.1,Atilio Perin,"['Jimmy La', 'Valle', 'Juan Carlos Muñiz']","Four retirees inexperienced in the art of crime, plan to kidnap a businessman for ransom.",88,dar de nuevo,dar de nuevo
38,7.3,Ridley Scott,William Monahan,-,144,kingdom of heaven,kingdom of heaven
39,2.8,Daniel Fridell,"['Daniel Fridell', 'Liam Leon', 'Grace Maharaj']",30-year-old Jon is released after seven years in prison and decides to put all his criminal activities behind him and start a new life.,90,blodsbröder,blodsbröder
40,-,Óscar Aizpeolea,Óscar Aizpeolea,-,115,el fuego y el soñador,el fuego y el soñador
41,6.4,Alejandro Hartmann,Alejandro Hartmann,-,95,clon,clon
42,6.8,Ruba Nadda,Ruba Nadda,"One day, when Sabah least expects it, she falls in love with the wrong man. She's Muslim, he's not. Unbeknownst to her family, she goes on a whirlwind affair before both culture and love collide.",86,sabah,sabah
43,6.5,Tizuka Yamasaki,Tizuka Yamasaki,"In 1908, Titoe leaves her country, Japan, to try her luck in Brazil. Her intention is just to get rich and return in five years. But life has other plans for her.",131,gaijin - ama-me como sou,gaijin - ama-me como sou
44,5.0,Jay Anania,Jay Anania,"Two strangers refuse to leave the seaside home of a couple, which leads to sexual tension and crime.",85,her name is carla,her name is carla
45,6.6,John Dahl,"['William B. Breuer', 'Hampton Sides', 'Carlo Bernard']",-,132,the great raid,the great raid
46,5.3,Michael Parness,Michael Parness,A suicidal comedy about two young lovers who get married and escape from a mental institution in search of new ways to die...and the white light.,115,my suicidal sweetheart,my suicidal sweetheart
47,5.3,Akbar Khan,"['Mohafiz Hyder', 'Akbar Khan', 'Fatima Meer']","The story of Shah Jahan...the love of his life...the life of his love...and his monument to love, the Taj Mahal.",164,taj mahal: an eternal love story,taj mahal: an eternal love story
48,6.2,"['Bobby Farrelly', 'Peter Farrelly']","['Lowell Ganz', 'Babaloo Mandel', 'Nick Hornby']",Lindsay is stuck in the middle of her relationship with Ben and his passion for the Boston Red Sox.,104,the perfect catch,the perfect catch
49,7.7,Jordi Torrent,Jordi Torrent,-,97,l'est de la brúixola,l'est de la brúixola
50,5.8,Michael Phillip Edwards,Michael Phillip Edwards,"When Christopher confronts his own violent temper which threatens his wife and children, he flies home to Jamaica and engages in an exorcism of the spirit, from his memories of his abusive, philandering, and hard-living father Henry, whose name for his only son was ""Runt"".",-,runt,runt
51,3.0,Vasiliy Chiginskiy,"['Oleg Kapanets', 'Alex Kustanovich']","Its codename is Sabertooth, a top-secret Russian stealth fighter jet that could tip the world's military strategic balance. But when someone begins assassinating the project's top test pilots, maverick C.I.A. boss Henry York (Armand Assante) launches a surveillance of international arms dealer Dick Murdock (Malcolm McDowell).",109,mirror wars: reflection one,mirror wars: reflection one
52,7.4,Goran Gajic,"['Danielle Durini', 'Aleks Lyons', 'Tommy G. Warren']",When a woman is faced with her greatest fear...her husband and friends and affected in ways they had never expected.,88,the inner circle,the inner circle
53,4.8,John Irvin,"['Andrew Charas', 'Robert Malkani']",A detective tries to hunt down a serial killer who broadcasts his murders live on the internet.,87,dot.kill,dot.kill
54,5.1,Stu Pollard,Stu Pollard,"In the perfectly normal town of Louisville, KY, there is a perfectly normal man living the perfect life. David Dailey is a man who has it all: A great career, a community that adores him, and an enduring marriage. But beneath the surface, David's idyllic world is crumbling. He's haunted by a series of mysterious notes that warn of an imminent fall from grace. His sult... Leer todo",94,keep your distance,keep your distance
55,4.1,"['Tim Mc', 'Cann']","['Tim Mc', 'Cann']",A desperate man ventures into a dangerous and sordid underworld of crime and pornography in search of his severed genitalia which is held for ransom by his disgruntled former girlfriend.,78,nowhere man,nowhere man
56,4.9,Tony Fisher,Tony Fisher,"After a failed romance, Matt dates a string of women and falls for his mate?s girlfriend in his quest to understand the opposite sex.",80,the trouble with men and women,the trouble with men and women
57,6.9,Christian Alvart,Christian Alvart,-,127,antikörper,antikörper
58,5.1,Katrina Holden Bronson,Katrina Holden Bronson,-,100,daltry calhoun,daltry calhoun
59,6.3,Anand Tucker,Steve Martin,"A film adaptation of Steve Martin's novel about a complex love triangle between a bored salesgirl, a wealthy businessman and an aimless young man.",106,shopgirl,shopgirl
60,5.3,"['Julian Adams', 'A. Blaine Miller']","['Julian Adams', 'Weston Adams', 'Joshua Lindsey']","The true love story of the conflict between Captain Robert Adams' dedication to the south, and his love for Eveline McCord, his beloved from the north. Produced, written, and directed by the descendants of Robert and Eveline, this American Civil War tale is an explosive, richly detailed saga of fierce combat, honor and the will to risk all that's precious for love or ... Leer todo",96,strike the tent,strike the tent
61,6.5,Thomas Vinterberg,Lars von Trier,-,105,dear wendy,dear wendy
62,8.1,Topher Straus,"['Smith Glover', 'Topher Straus']",-,-,krush,krush
63,7.2,Lars von Trier,Lars von Trier,-,139,manderlay,manderlay
64,6.5,Florent-Emilio Siri,"['Robert Crais', 'Doug Richardson']",-,113,hostage,hostage
65,4.7,Lars Johansson,Lars Johansson,"Eskil is forty years old and loads luggage at Arlanda airport. At home in the small town where Eskil grew up, however, everyone believes that he is a doctor.",86,halva sanningen,halva sanningen
66,7.0,Louis Leterrier,Luc Besson,-,103,unleashed,unleashed
67,5.7,Monty Lapica,Monty Lapica,A pill-popping mom has her drug-abusing teen son abducted into a private intervention facility that means well.,107,self medicated,self medicated
68,7.9,Rob Nilsson,Rob Nilsson,"NEED is film #6 in the nine film 9@ Night cycle. A cinema portrait of 40-50 inner city characters living in the San Francisco Tenderloin circa 2001-2005 cast from the Tenderloin yGroup Actor's Ensemble. NEED goes into the shady alleys and smoky bars explored in many films with ""noir"" pedigree and genre intentions but takes a different tack. It tries to avoid the stere... Leer todo",95,need,need
69,6.2,"['Stephen Quay', 'Timothy Quay', 'Weiser Quay']","['Alan Passes', 'Stephen Quay', 'Timothy Quay']",Dark fairy-tale about a demonic doctor who abducts a beautiful opera singer with designs on transforming her into a mechanical nightingale.,99,the pianotuner of earthquakes,the pianotuner of earthquakes
70,6.5,Andy Garcia,"['Guillermo Cabrera Infante', 'D. Daniel Vujic']",A wealthy Havana club owner and his family are torn apart by the violent sociopolitical upheaval brought about by the transition from the dictatorial regime of Batista to the Marxist revolution led by Fidel Castro in 1950s Cuba.,144,the lost city,the lost city
71,7.6,Klaus Härö,"['Veikko Aaltonen', 'Heikki Hietamies', 'Jimmy Karlsson']","During World War II, more than 70,000 Finnish children were evacuated to neutral Sweden to avoid the conflict. From the award-winning Klaus Härö (Elina - Som om jag inte fanns (2002)), ""Mother of Mine"" tackles that painful patch of history in a tale of 9-year-old Eero, a child who increasingly feels abandoned by his biological Finnish mother and yet not attached to hi... Leer todo",111,äideistä parhain,äideistä parhain
72,6.7,Alan Berger,Alan Berger,"Presented with an ultimatum by the Mrs. (she wants another child; Tom thinks one's enough, especially since their brood is in rehab: ""What are you going for, group discount?""), Tom finds himself out in the world, alone. Tom's life goes in a tailspin as he juggles alimony and rehab payments while his job goes south, courtesy of his corrupt partner Mike. Yet he manages ... Leer todo",78,halfway decent,halfway decent
73,6.5,Ketan Mehta,"['H. Banerjee', 'Farrukh Dhondy', 'Ranjit Kapoor']",This is a film about the leader of the 1857 mutiny and his fight against the British rule.,150,mangal pandey: the rising,mangal pandey: the rising
74,4.2,Bob Decout,"['Bob Decout', 'Thierry Forte']",-,94,les gens honnêtes vivent en france,les gens honnêtes vivent en france
75,6.7,"['Leslie Mc', 'Cleave']","['Leslie Mc', 'Cleave']","Two exes take a dual-purpose road trip: allow Margaret (Catherine Kellner), a freelance photographer, to complete her assignment to check up on toxic waste sites along the U.S.-Canadian border, and deliver Jay (Ebon Moss-Bachrach) home to his mother's house in Detroit. The trip takes a turn for the weird as they begin to suspect they are trapped.",92,road,road
76,6.1,David Mackenzie,"['Patrick Mc', 'Grath', 'Patrick Marber', 'Chrysanthy Balis']",-,99,asylum,asylum
77,7.0,Lasse Hallström,"['Mark Spragg', 'Virginia Korus Spragg']",-,108,an unfinished life,an unfinished life
78,6.2,Colette Bothof,Arend Steenbergen,"Two passionate people, Marleen and Vince, embark on a scorching love affair. They are sucked down by the fierceness of their feelings..",95,zwarte zwanen,zwarte zwanen
79,7.6,Shyam Benegal,"['Atul Tiwari', 'Shama Zaidi']",-,208,netaji subhas chandra bose: the forgotten hero,netaji subhas chandra bose: the forgotten hero
80,8.0,Ron Howard,"['Cliff Hollingsworth', 'Akiva Goldsman']",-,144,cinderella man,cinderella man
81,3.9,Eric G. Johnson,Eric G. Johnson,"Tweek City is a week in the life of Bill, a potentially closeted, half-Latino, small-time speed dealer in San Francisco's Mission District. Bill is stuck on an endless walk from one empty experience to the next. Only Bill's friend Jerm has the ability to connect and ground him in reality. When Jerm makes an ill-advised stage dive, Bill plunges into a downward spiral t... Leer todo",86,tweek city,tweek city
82,7.3,Mark Mueller,"['Virtic Brown', 'Rajan Shandil']",-,93,will unplugged,will unplugged
83,6.5,Nikolaj Feifer,Nikolaj Feifer,"Karen is a young girl living in an orphanage. She has a hard time accepting the death of her only brother, and every night she talks about the world she thinks he is really living in; a special world where he may be able to trick death and come back to her.",50,solopgang,solopgang
84,7.1,Catherine Hardwicke,Stacy Peralta,-,107,lords of dogtown,lords of dogtown
