INDICE,puntuacion,direccion,guionista,descripcion,mes_estreno,titulo,anio
532,-,"['Jack Mc', 'Loughlin']","['Jack Mc', 'Loughlin']","After telling his parents he's dropping out of university, Billy goes to see his friend Eddie who has a few problems of his own.",5,dropouts and kids,2016
533,-,Alexander Jariwala-Waldemar,Tobias Henley,"Eleven-year-old girl gets jealous when her father is enticed by an attractive woman in his favorite pub and puts on make-up like she has seen other women do, to get his attention back",10,make up,2016
534,-,Misia Pawlowska,-,-,8,frosty.warm,2016
535,-,Hugo Will-Boissonat,Hugo Will-Boissonat,She devours. She lives from men and fresh death. Will she find the Strangler?,7,calypso,2016
536,-,Marko Magdic,Marko Magdic,-,-,pijuni,2016
537,-,Ricardo Liut,Ricardo Liut,-,23,merk. sny. stoor.,2016
538,6.9,Alain Bourret,"['Alain Bourret', 'Yevgeni Zamyatin']","One thousand years after the One State's conquest of the entire world, the spaceship Integral is being built in order to invade and conquer extraterrestrial planets.",29,the glass fortress,2016
539,-,Pieter du Plessis,Pieter du Plessis,-,24,arts,2016
540,-,Gleb Gorobchenko,Gleb Gorobchenko,-,9,even roses,2016
541,-,Mohit Nirmala Nirmal,"['Mohit Nirmala Nirmal', 'Shahnawaj Ansari']","The film 'NANAKI' is based on Social Awareness topic, The film revolves around a 15 year's old boy who had difficult times coping with his life while he is working as a labour. This film is based on real life stories and true events. The major character in this film, a 15 year old boy is sexually exploited by his co-worker(age 55), while he working in the restaurant(d... Leer todo",22,nanaki,2016
542,-,"['Barbara Nell Beery', 'Glenn Conner Johnson']",Barbara Nell Beery,Dr. Joyce Hart needs her tea. Lilly Altman needs her therapy. An elevator upends it all. A short film about facing your worst fear.,14,tea & therapy,2016
543,-,Beto Rosero,Beto Rosero,"1972: the peak of the hippie movement and drug trafficking in the tropical city of Barranquilla, Colombia. It tells the story of a man who lives the life of a lonely and discreet mechanic by day and a professional assassin by night.",-,blues 72,2016
544,-,"['Pierre Gregory', 'Susan Gregory']","['Pierre Gregory', 'Susan Gregory']",-,27,human exposure,2016
545,-,Abigail Prade,Abigail Prade,The fifteen year old old Dutch-Chinese goth Li-An is struggling to find her own identity while growing up between the Dutch and Chinese culture. The film was produced for the CinemAsia Film Festival in 2016.,11,ghost,2016
546,-,Omid Pourhashemi,Omid Pourhashemi,"It's closing time. A man and a woman sit at a table in a restaurant. They drink their last wine, while listening to the waitress back in the kitchen, cleaning up and humming a melancholic song. What has happened?",9,closing time,2016
547,-,"['Blake Bowen', 'Zade Dardari']","['Blake Bowen', 'Zade Dardari']","A struggling high school student meets with his psychiatrist to delve into life, relationships, and the tribulations of being in high school.",26,overkill,2016
548,-,Chris Razniak,"['Lauren Brems', 'Roberto Pino']",-,-,for julian,2016
549,-,Rajiv Menon,"['Feroz Ismail', 'Mahesh Murali', 'Yuvaraj Pandian']",-,-,we are vegans,2016
550,-,Denise Sganzerla,Denise Sganzerla,-,-,destino - canal mosaico,2016
551,-,Em Johnson,Em Johnson,-,-,chip n' salsa,2016
552,-,Balázs Mészáros,-,A talented young boy must find the courage to fight the bullies and other pressures to make something of his life.,-,bus stop,2016
553,-,Li-Ling Hsieh,Li-Ling Hsieh,"Upon discovering that her mother hung herself on the day she prepares to celebrate Mother's Day with her little sister, as her father makes travel plans with his new wife, she suppresses her horror and continues preparing the celebration dinner with her little sister.",20,happy mother's day,2016
554,-,Wes Sutton,"['Alvin Hysong', 'Wes Sutton']","A new day, a perfect family, a new job, it all begins and ends with Waking up.",7,wake up,2016
555,-,Po-Tsang Huang,-,"Hong, Ah Yi, and Rocky are members of the boxing team, but Hong and Ah Yi give vent to their feelings of bitterness and boredom upon the weaker Rocky.",23,rocky's sightline,2016
556,-,Chih-Keng Chuang,"['Yi-Jian Chen', 'Chih-Keng Chuang']","Jessie is going to be 18, a grown-up. After Jessie's father left them, her mom wants to start a new life and ends the gas service store they own. Mom wants to erase anything about her husband. She even wants to throw away the motorcycle which helped them carrying the gas tank. To Jessie, gas service store is not only a gas service but the whole picture of family. Moto... Leer todo",30,7 seconds in a life time,2016
557,-,Laura Mielczarek,Laura Mielczarek,-,12,maja,2016
558,-,Alberto Van den Eynde,"['Alberto Van den Eynde', 'Joris-Karl Huysmans']",-,5,les temps modernes,2016
559,-,Duda Gorter,Duda Gorter,"It is the Laura's history, a middle-aged woman, unsatisfied with her reality and marriage. She knows a new piano student and all the enthusiasm of his arrival enlightens her life.",20,fantasie impromptu - a prologue,2016
560,-,"['Sravan Gajabhinkar', 'Soumya Sukumar']",Sravan Gajabhinkar,-,27,mehboob 143,2016
561,-,Jui-Liang Hsu,Jui-Liang Hsu,"The fifty years funeral home was folding. To save his company, Chang, the funeral home's owner, decided to make a commercial video. Due to the lack of crew, Chang had to play the dead himself for the video. The commercial shooting got on; however, the fatal final stage cancer came to Chang at the same time. Chang crawled into a coffin, as practicing his own funeral to... Leer todo",29,my funeral,2016
562,-,Jemma van Loenen,-,-,10,falling,2016
563,-,Kristen Brookman,Kristen Brookman,-,8,one step,2016
564,-,Lyubomir Pechev,Lyubomir Pechev,-,25,credit,2016
565,-,Aris Koulaidis,Mike Savvidis,-,-,the cradle of icarus,2016
566,-,Marita Liulia,Marita Liulia,-,16,swan song,2016
567,-,Jason Delsignore,Maureen Delsignore,"As nature calls, two strangers have a possible life changing conversation.",8,chit chat,2016
568,-,Andrija Petkeviciute,Shawn Queirolo,-,-,bad coffee,2016
569,-,Vihaan Natarajan,-,-,-,vishala hrudayada kannadigaru,2016
570,-,U.V. Eranna,-,-,-,ee shruthi lo,2016
571,-,Sam Hardy,Sam Hardy,"Conor Tate is a man living life on the edge and he owes his boss Frankie a vast amount of money. With tensions running high between the two of them, Conor ends up going off the rails and spirals out of control.",-,off the rails,2016
572,-,Avinash Natarajan,-,-,-,naimisham,2016
573,-,Abhishek Amarnath,-,-,-,to my hero,2016
574,4.5,Marion Guerrero,Marion Guerrero,-,27,finir ma liste,2016
575,-,Jackson A. Abohasira,Jackson Abohasira,-,-,just a cup of coffee,2016
576,-,Ben Goldman,"['Jake Arbit', 'Ben Goldman']",-,-,memories of a lifetime,2016
577,-,Nerijus Sirvys,Nerijus Sirvys,This short film is about a surprise a man is preparing for a girl. But this is not an ordinary man and not an ordinary girl. It's a desperate search for happiness. There will be a surprise.,-,staigmena,2016
578,-,Joep Lommerse,"['Joep Lommerse', 'Rutger Lommerse', 'Jan van Rijthoven']","The Jewish Jacob Urbach is in hiding for the German invader. He has found his own way of living in an abandoned factory. After discovering some weird happenings, Jacob decides to leave the factory. He then finds himself in a changed world.",16,voor de vijand,2016
579,-,Ricard L. Befan,Ricard L. Befan,-,-,falling apart,2016
580,-,Rajesh Tailang,Rajesh Tailang,Rohit and Riya think this is the last time they are meeting. But mostly the last meeting is never the last meeting.....Some things are better unsaid in love and poetry.,-,between,2016
581,-,Joseph M. Teminsky,Joseph M. Teminsky,A young man struggles with his demons.,5,tremble,2016
582,-,"['Andrew Spach', 'Matthew Spach']",-,"Two oddball friends embark on a day-hike, followed by a mysterious extra companion. They each are faced with different insecurities when they get split up in the forest.",17,guys like us,2016
583,-,Ben Salavati,-,"After crashing her car, a young woman wakes in a locked cell and must battle to escape an increasingly nightmarish scenario.",7,inside,2016
584,-,"['Vincent De', 'Marco']","['Vincent De', 'Marco', 'Sevin']",-,5,come home,2016
585,-,Igor Fernández,"['Ángela Andrada', 'Igor Fernández']",-,-,"adiós, hermano",2016
586,-,Laura Lozano,Laura Lozano,-,-,corazón,2016
587,-,Pauline Mabille,Pauline Mabille,-,-,right here or over there,2016
588,-,Sara Traba,Sara Traba,-,15,as vacas de wisconsin,2016
589,-,Cesar B. Solla Jr.,Cesar B. Solla Jr.,"Estranged sisters meet to deal with their past, present, and future.",-,the sister i keep,2016
590,-,Sandeep Kumar Rana,Sandeep Kumar Rana,-,-,auzaar,2016
591,-,Nathan Mathews,Nathan Mathews,A man ponders on what appears to be a simple life decision.,-,left or right,2016
592,-,Tania Quiroz,Tania Quiroz,"Following the recent split of Gloria, a young career driven marketing exec and Gregg, a free spirited band-photographer, their angsty 12-year-old daughter Charlie is mortified when Gregg abruptly moves out. Weeks of hardly any communication with her father, Charlie finds out that their all time favorite band The WOW. will be performing locally over the summer. Charlie... Leer todo",13,the wow!,2016
593,-,Zahra Faraji,Zahra Faraji,-,8,the seahorse,2016
594,-,Sebastian Galvis,Sebastian Galvis,-,-,de barrio,2016
595,-,Ksenia Naughton,Ksenia Naughton,A young woman despaired for money gives up her aspirations to be a concert violinist and ends up selling it to a young man who plays it very well.,7,the secret of the violin,2016
596,-,Nori Mizukami,-,-,-,samurai two,2016
597,-,Mikayla Hirsch,"['Mikayla Hirsch', 'Hannah Keller']",Meg lives in a small town against the backdrop of the Great Depression. Can a town dance finally restore Meg's relationship with her estranged father?,-,"lead me, father",2016
598,-,"['Amelia Gilley', 'Corey Lipscomb']","['Corey Lipscomb', 'Max Scovil']",-,7,living the dream,2016
599,-,Amin Pourbarghi,Amin Pourbarghi,-,14,a place to stay,2016
600,6.2,Lindsey Luske,-,-,-,coma,2016
601,-,Febrian Andhika,Moh. Azry,A father who lives with his son for years after his wife passed away is now hoping on his only son to look after him. The son has got to leave the father and work outside of town to make ends meet. After a month of working the son send a mobile phone as a present to his father to take him out of depression and be in touch with him. They always ring each other to talk ... Leer todo,10,the letter,2016
602,6.2,Oliver Rondon,-,Two young men meet in a park. Apparently they haven't seen each other in a long time. They talk about how much they miss each other and how much they mean to each other. It is obvious that the two are close friends. Or is it even love? But it is only at the end of their conversation that the poignant drama of their relationship is revealed.,5,y yo a ti,2016
603,-,Oliver Rondon,-,-,3,en tus pupilas,2016
604,-,Grzegorz Paprzycki,Grzegorz Paprzycki,-,17,glód,2016
605,-,Yimeng Yuan,Yimeng Yuan,-,6,the shadow,2016
606,-,Vera Vodynski,Vera Vodynski,-,-,vedma,2016
607,-,Agustinus Dwi Nugroho,"['Agustinus Dwi Nugroho', 'Himawan Pratista']",Mr. Bejo found an ancient statue in his yard and shared the story with his wife. He decided to sell the statue after the discussion with his wife. The village people received the news when the wife started to share the secret with her close friends. The whole village started digging to find more statues and earn.,24,reco,2016
608,-,Austin Hamilton,Austin Hamilton,A short film about a man's undying obsession to reunite with the woman he loves.,-,one beautiful morning,2016
609,-,Javier Correa Cáceres,Javier Correa Cáceres,"Gabriela is nervous. She waits for the most important visit of her life, a long-delayed meeting. The bell rings. She goes to the door, takes the door handle, sights anxiously, and finally opens it.",-,renée,2016
610,-,Gülnigar Ralph-Nurhikim,Gülnigar Ralph-Nurhikim,-,5,chess,2016
611,-,Minhngoc Do,Minhngoc Do,-,-,souls,2016
612,-,Victor Outón,"['Victor Outón', 'Norberto Trujillo B.']",-,4,from inside,2016
613,-,-,-,"The Son of Wind blows a handful of flour off a peasant's palm. The old man then asks the Wind for the flour back. The Wind gifts the man with a goat, a table and wit. Now the old man and the old woman may live a happy life.",34,"paista, paista, päivänen!",2016
614,-,Victor Outón,"['Isabel Klein', 'Alexander Love', 'Victor Outón']",-,3,1954,2016
615,-,Samara Cuadrado,"['Samara Cuadrado', 'Victor Outón']",-,8,luminiscencia,2016
616,-,Jurriaan Kamps,-,-,-,kyra,2016
617,-,Alve Lindenbaum,Alve Lindenbaum,"Mie is in a gray area between love that's died and a new one that hasn't begun. Goes out for parties, picks up clothes at the ex, flees off to the countryside. A film about those small situations when you just want to move on.",17,mie,2016
618,-,Prince Jacob,-,-,-,wicked counsellor,2016
619,-,Stephen Ohl,-,-,-,valetudinarian,2016
620,-,Nader Farahwaschy,"['Nader Farahwaschy', 'Amin Seqatchi']","In the middle of a film project Amins camera gets lost in a bank, or did someone steal it? Together with his cameraman he undergoes a bureaucratic procedure to get hold of the CCTV footage, gets his camera back and decides to make up the time he lost, by making a new movie in one take. He makes himself on the search for a suitable actor, who's name, without further th... Leer todo",19,"the river, a 48 hour episode in the life of a filmmaker",2016
621,-,Damian Jenkins,Ainsley Jenkins,-,10,dirt,2016
622,-,Meredith Koch,-,-,-,reach,2016
623,-,Nader Farahwaschy,"['Nader Farahwaschy', 'Amin Seqatchi']","In search for the graveyard of his grandfather, situated north of Tehran, Amins journey consits of a labyrinth of roads, adresses, questions, dubious answers and people, guiding his way to the place he had been as a child. After his journey seems to have finally reached its goal, he is confronted with a disturbing discovery: the area of the graveyard has been turned i... Leer todo",-,phase eight,2016
624,-,Michelle Foster,Michelle Foster,"After being coerced by his old flame, Riley, to help with a blackmail scheme, Graham discovers that she is just as much a victim.",27,exposed - love hate blackmail,2016
625,-,Rena Dumont,Rena Dumont,"During WWII, a bunch of children, with 11-year old Anton and his younger brother Rudi in the middle, meet up at a wall at the cemetery. They regularly have tests of courage. As it is Rudi's turn, he makes his way, armed with a knife, to the grave of a child murderer, where the night ends in terror.",19,test of courage,2016
626,-,Sarah Slywchuk,Sarah Slywchuk,A story of the beauty in world that we miss when our heads are stuck in our phones.,2,look up: a mini film,2016
627,-,Eric Jacquelin,Eric Jacquelin,-,17,jour de chance,2016
628,-,Alex Furnas,Alex Furnas,Tim's new job gets off to a rocky start.,9,first day at work,2016
629,-,"['Rodrigo Menen', 'Miguel Ángel Muñiz']",Miguel Ángel Muñiz,-,-,la oportunidad,2016
630,-,Chris Hozempa,-,-,-,carcer,2016
631,-,Hyesung Jeon,Hyesung Jeon,"A young couple celebrates their anniversary, but it's complicated.",16,anniversary,2016
632,-,Gavin Tran,Gavin Tran,"On the run with limited resources, a man begins a search for his loved one after being separated by an uncontrollable riot.",3,the woods,2016
633,-,Mark Ledbetter,Cameron Cross,"A young boy looks to buy his fighting parents a gift, putting his life in jeopardy.",-,one click away,2016
634,-,"['Ali Jenaban', 'Amin Pourbarghi']",Amin Pourbarghi,-,13,hailstone's dance,2016
635,-,Vace Halastaras,Vace Halastaras,A young man spends every day making children happy in memory of his dead little brother.,5,orange,2016
636,-,Erika Oregel,Erika Oregel,-,-,domingo,2016
637,-,Alex Shipman,Brendan Duggan,"Aideen, a young teenager, takes on the brutal sport of boxing to prove to herself, an intense coach and everyone around her that she can be the next Fighting Irish.",12,the fighting irish,2016
638,-,Vid Steh,Vid Steh,Roman is a worthless drug dealer on the run. His only way out is to borrow money from his estranged brother Janez.,11,pravila igre,2016
639,-,Gila Fisher,Gila Fisher,-,5,the cost of happiness,2016
640,-,Hanung Bramantyo,-,-,-,love is trap,2016
641,-,"['Christian Candelaria', 'Edsel Uy']",Christian Candelaria,"A teenager brings his grandfather, who is diagnosed with dementia, around Kamphaeng Phet in Thailand, in hopes of bringing back his grandfather's memories.",7,khun pu,2016
642,-,Elle Hutchens,Jessica Kelsey,"Lucy hasn't been the same since suffering a personal crisis, but will a malfunctioning robot help her regain her sense of what it is to be human?",-,aa503,2016
643,-,Elias Märk,"['Nikolai Liskutin', 'Elias Märk']","Viktor and Annika just want to do their job to eliminate the tensions between their and the rival organization. But when the planned deal suddenly fails, they are faced with the biggest decision of their lives.",3,tensions,2016
644,-,Ross Yau,-,"Chung's sister pleaded him to tend to their dementia mother while she was laboring in the hospital. Chung, hated and refused to see his eccentric mother for years, unwillingly escorted her to a medical appointment. However, she wandered away midway.",13,under the chinese banyan,2016
645,-,Ewa Kochanska,"['Ewa Kochanska', 'Danuta Sabat']",A Ukrainian woman cleans the home of a young couple in Warsaw. A forced ritual of everyday activities leads to the escalation of tensions and emotions. An incident ultimately destroys the old order of things.,13,wypowiedzenie,2016
646,-,Riley Wong,Riley Wong,-,-,watch this space,2016
647,-,Gary Brooks,Gary Brooks,"Melville, a civil war solider travels to the future and search for his girlfriend, Bella.",18,the button,2016
648,-,Ivan Snezhkin,Ivan Snezhkin,-,13,three comrades,2016
649,-,Mykola Yeriomin,Mykola Yeriomin,An attempt to answer an important question with footage and intertitles.,1,how can education best prepare you for your future?,2016
650,-,"['Manue Anu', 'Ram']","['Manue Anu', 'Ram']","The confusions that a 23 year old ""Harsha"" has in his life. What are his confusions? Will he be able to come out of them? Will he be successful in life? You have to watch this film if you want to know the answers.",18,ippathmuru 23,2016
651,-,Joakim Scheidegger,Joakim Scheidegger,-,-,quelle vie!,2016
652,-,Bo Ye,Bo Ye,-,-,tom king,2016
653,-,Joseph Daly,Joseph Daly,Vincent suffers for his art and so do his subjects. portrait; is a study on the loop of lust and the scars left forever.,7,portrait,2016
654,-,Rachel Bass,-,"A quiet, imaginative black teenager begins work at an after-school program and transforms craft-time into brown-friendly activities. She falls into conflict with her white supervisor who disapproves of her actions, and must summon up the courage-either through magic or willpower-to defend her beliefs even when her job is on the line.",11,black magic,2016
655,-,Daniella Hobbs,-,-,-,the city of good neighbors,2016
656,-,Christina Liao,-,-,-,my grandma's house,2016
657,-,Kevin Giles,-,A music industry hopeful and former gang member interviews to be in the Witness Protection Program.,15,the blaise ep,2016
658,-,-,-,Reparto principal,-,backpack,2016
659,-,"['Seth Mc', 'Tigue']","['Seth Mc', 'Tigue']",-,16,mans best,2016
660,-,-,-,Ver la información de la producción en IMDbPro,-,goo/gags of officepur (tv series),2016
661,-,Anna Sophia Stadler,-,-,9,conatus,2016
662,-,Shareese Mason,Shareese Mason,"It is about a man, Ramone ""Riyadh Rollins"", who tries to move on after being betrayed by his best friend, Moses ""Mike Smalls"", and girlfriend Cyn, ""Shareese Mason"". Ramone is a talented musician who has difficulty being a leader of his band. His best friend Moses notices his weakness and seizes the opportunity to gain control of the band with the help of Cyn.",14,aftermath,2016
663,-,Noël Barlow,-,-,11,blame,2016
664,-,Nicholas Mullins,Nicholas Mullins,"Periwinkle is the story of 16 year old Emile and his group of friends during a trip that proves to be the most important and consequential of his life. After learning that a terrible illness has overtaken his body, Emile chooses to hide it from his friends as they set off on a camping trip. While isolated, Emile begins to suffer from side effects of the illness, while... Leer todo",19,periwinkle,2016
665,-,Epriliana Fitri Ayu Pamungkas,Epriliana Fitri Ayu Pamungkas,-,26,mata,2016
666,-,David S. Murga,David S. Murga,"A dance as a secret, as a declaration.",-,there is a figure in the mirror,2016
667,-,Shane Ramirez,"['Matt Ramirez', 'Shane Ramirez']",-,27,one of twins,2016
668,7.4,Louise Kärsbo Svanerud,"['Erica Jansson', 'Emma Johansen', 'Louise Kärsbo Svanerud']",-,12,total entropi (total entropy),2016
669,-,Iago Barrado,Julia Castro,-,-,chakra,2016
670,-,Krzysztof Satola,"['Agnieszka Satola', 'Krzysztof Satola']","Watching the love of his life dying out of a terminal and painful illness, Mike slowly grows to make a decision to end her suffering.",6,a short story about love,2016
671,-,Alejandra Cuberos Gómez,Alejandra Cuberos Gómez,-,10,alicia,2016
672,-,Jing Jessie Guo,Jing Jessie Guo,-,-,super dad,2016
673,-,"['Gabby Moore', 'Marie Moore']","['Gabby Moore', 'Marie Moore']",-,-,the story of marie,2016
674,-,Adriano Cerroni,Serena Aronica,-,5,piccola storia di donna,2016
675,-,Iñigo Cobo,Iñigo Cobo,-,42,playa de las mujeres,2016
676,-,Austin Kite,Samantha Silvay,-,-,coming home,2016
677,-,Damien Foley,-,-,-,trembling waves,2016
678,-,Chris Paradice Daniels,Chris Paradice Daniels,Two step brothers are forced to reunite in an attempt to find closure after the death of their father.,-,greater lengths,2016
679,-,Trico Fullerton,Trico Fullerton,-,-,the life,2016
680,-,"['Vic Kings', 'Guilherme Pulga']","['Vic Kings', 'Guilherme Pulga']","Roberto Ronan is a musician and piano teacher who receives the news that his father is sick. He returns to his home town and spends some time in the house where he grew up. There the conflict that Roberto has with his younger brother, Henrique, grows at the same time as revelations about his family history are exposed.",20,dissonante,2016
681,-,Paul Joosse,Paul Joosse,A Muslim man visits a church but is hesitant to meet the priest.,12,all under heaven,2016
682,-,Andrzej Mankowski,"['Oriana Kujawska', 'Janusz Rudnicki']",-,30,pan rudnicki i samochody,2016
683,-,Aynoa Alvarez-Wautiez,Aynoa Alvarez-Wautiez,Adaptation of the Little Match Girl by C. Andersen.,10,a wonderful light,2016
684,-,Michelle Roginsky,Michelle Roginsky,Two street urchins get mixed up with a big-city finance bro and his paranoid criminal activity.,-,reptilia,2016
685,-,Vic Kings,"['Vic Kings', 'Marcos Ventura']","In the middle of the urban chaos, a simple man has his first day in a big city.",4,concreto,2016
686,-,Stefan Litvin,-,-,-,get out of frame,2016
687,-,Tómas Víkingsson,Tómas Víkingsson,"Alex is revisited by his childhood friend, Jóhann, who's ignored Alex for years after becoming a famous music producer. Jóhann wants to take Alex along with him into a cabin in the country to catch up but everything is not what it seems.",19,falskar nótur,2016
688,-,Manahar Kumar,Rakshit Sinha,-,4,the sensible indian,2016
689,-,Jeff Grdina,Jeff Grdina,A short experimental film about feeling unwanted.,-,voices,2016
690,-,Hal Haixu Liu,Hal Haixu Liu,"During the 1960's China's cultural revolution, the nine-year-old boy, Hai, receives an obscure comic book from an unknown homeless man. Hai gets attracted by the magical world depicted in the book, not knowing there's something else hidden in its story.",27,beyond the curtain,2016
691,-,Thiago Zé Ferreira,Thiago Zé Ferreira,"Uirá is a Brazilian indigenous who will undergo a journey, addressing the 'grileiros' issue and environment neglect, the greed caused by money and body exploration, coming in collision with the transformed legends that bring back the rites of his ancestry.",20,bandeira,2016
692,-,Lucas Marques,Lucas Marques,"The universe of a lonely man who lives isolated from the world in a country farm. While he was travelling to the city, he runs over a woman on the road. Under his care, she becomes the fruit of an imaginary passion.",30,imerso em teu regaço,2016
693,-,Dario Caballero,Dario Caballero,"Pheasant legend is an iconic piece o Maya oral tradition. And this story tells us about two brothers and a bond that transcends borders and it becomes something deeper, hard to understand even after death.",-,el faisán y el venado,2016
694,-,-,-,Reparto principal,-,fortellingen,2016
695,-,Jorge Cadena,"['Li Aparicio', 'Jorge Cadena']","Battered by incessant winds, this community welcomes Antonia with a ritual of stripping bare the stories she embodies. Being recalcitrant to established orders and endowed with a beauty that defies the widespread poverty, she is the protagonist of a visionary tale for today's Colombia.",30,el cuento de antonia,2016
696,-,Mohit Pal,"['Mohit Pal', 'Chetan Uniyal']",-,-,gudiya,2016
697,-,Henrique Guerreiro,Henrique Guerreiro,"A young poet suffering from a heartbreak, embarks alone on a journey in search of his happiness.",11,bicicleta,2016
698,-,Henrique Guerreiro,Henrique Guerreiro,"Rafael is a 20 year old who lives in the past, remembering it through old recordings.",10,apatia,2016
699,-,David Casademunt,"['David Casademunt', 'Gus Wallin']",-,-,compta amb mi,2016
700,-,Daniel SanzÁlvaro Sarró,"['Hugo López', 'Daniel SanzÁlvaro Sarró']",-,20,cánticos,2016
701,-,Alexander Hoggard,Alexander Hoggard,-,-,life on paper,2016
702,-,Tariq Bhat,T. Manwani Anand,Jaago Re (wake up now) is an inspirational film about hate in two religions in India. The film has very strong message which teaches us the true value of the democracy. Director Tariq Bhat producer Sona Manwani and writer T Manwani Anand's Jaago re is most needed subject of the time.,-,jaago re,2016
703,-,Ariel Tamir,Ariel Tamir,A boring first date that gets kinky and will never be forgotten.,8,and love me,2016
704,-,Ellie Lee Stayner,"['Morgan Osborne', 'Ellie Lee Stayner']",-,-,glass shell,2016
705,-,Pablo Bautista,"['Pablo Bautista', 'Erika Gómez Fernández']",-,-,ló,2016
706,-,Alex Seradj,Alex Seradj,-,-,wild fire,2016
707,-,Miguel A. Garcia,Miguel A. Garcia,"When tragedy strikes his family, Jack sets to create a time machine to restore his life, while dealing with the concerns and skepticism of his family.",21,under the sun,2016
708,7.5,Barbara Hammer,-,"Barbara Hammer's first and only multi-channel video installation, that tackles deeply personal subjects of her life.",10,evidentiary bodies,2016
709,-,Lucas Marques,Lucas Marques,A monologue about the worries and insecurities of love.,7,o elogio da loucura,2016
710,-,Andre Chambers,Danny Lewis,-,5,thomas,2016
711,-,-,George Leontakianakos,-,14,i klopi,2016
712,-,Mert Güncüer,Mert Güncüer,The last two days of a couple who are experiencing a communication breakdown.,10,vetric,2016
713,-,Carlos Marin Fernandez,Carlos Marin Fernandez,-,-,necrolatria,2016
714,-,Léa Soler,Léa Soler,-,-,thread,2016
715,-,Robin Bukhamseen,Robin Bukhamseen,Ludvig reflects on his body while taking a shower.,-,i duschen tänker jag på det som mest,2016
716,-,Gatis Ungurs,-,-,20,ludis,2016
717,-,Bita Elahian,Bita Elahian,-,12,beautiful dream,2016
718,-,Gabor Verebelyi,Gabor Verebelyi,-,-,parkoló,2016
719,-,Fawzi Yahya,Fawzi Yahya,"This short film by Bayyinah Institute tackles the questions of women's choices in education, career and home-building, and double standards that often exist in people's treatment of daughters and sons. So we asked: how would it feel to hear the same type of questions being asked to a male figure instead?",-,buried daughter,2016
720,-,Shubham Mehta,-,"An unofficial, South African adaptation of George Morikawa's Hajime no Ippo. Jabu is the story of a young timid boy's journey to become a great boxer.",11,jabu: the beggining,2016
721,-,Quentin Nzoulani,Quentin Nzoulani,The conflicting relations between two Parisian teenagers between laughter and tears.,11,1h35,2016
722,-,Kane Gaundar,Kane Gaundar,"A man kills his pet dog, his family and then himself.",3,the house at the end,2016
723,-,Manahar Kumar,Manahar Kumar,A short film about a mother - son relationship.,8,bhindi yaad rakhna,2016
724,-,Arthur Gonzales,Arthur Gonzales,A girl experiences social anxiety at a social event.,4,#socialparty,2016
725,-,Norbert Pfaffenbichler,Norbert Pfaffenbichler,-,-,camera (notes on film 10),2016
726,-,Bonifacio Angius,"['Bonifacio Angius', 'Marina Satta']",-,18,domenica,2016
727,-,Gal Gonen,"['Shir Caspi', 'Gal Gonen']","Aya is an inconceivable woman, and that's how she comes off to the dismay of the school principle, when she sends her daughter, Ziv, to school dressed up as Tinkerbell, on a regular school day. Upon being summoned by the Principle, Aya arrives to everyone's surprise, dressed up as Tiger Lily (another character from ""Peter Pan""). The movie follows Aya and Ziv through t... Leer todo",10,tiger lily,2016
728,-,Deepak Sawakhande,"['Deepak Sawakhande', 'Arman Shaik']",Synopsis This is the story of Vandana who is very shy by nature but she immediately believes in someone. She is married but husband and wife are constantly arguing for one reason or another. Husband is very annoying.Vandana is very sad because of this daily trouble. One day a young man named Bharat comes into her life. Vandana goes to Bharat's house.She does not think... Leer todo,20,vandana,2016
729,-,Matt Kinsman,"['Jon Chan', 'Matt Kinsman']",-,-,charlie doesn't order pizza,2016
730,-,Dominic Goodie,Dominic Goodie,-,3,don't stop,2016
731,-,Prabir Kundu,Prabir Kundu,"A director who made many films and got several award but he did not get help for his family, he lost his wife. He refused the world of cinema and hide himself from the present world. After many years a young talented director got best award for his first film. The old director visit the young director's house and encourage him.",30,atmiyo - the soulmate,2016
732,-,Christopher Ortiz,Christopher Ortiz,"A Chinese-American girl and her white boyfriend fail to earn the blessing of the latter's racist parents in order to marry, but when he feels pressured to please them, they must see if a relationship is possible at all. When Nate reveals that once he tutored a student in poverty who regardless had serviceable parents, he's convinced marriage isn't necessary when being... Leer todo",4,tug,2016
733,-,Halley Albert,Halley Albert,-,-,rememory,2016
734,-,Lachie Allemand,-,"On the way to her fathers second wedding, Audrey's car breaks down. Audrey sees this as an opportunity to avoid going to the wedding she already disapproves of, and hopefully stop the ceremony all together.",-,i don't,2016
735,-,Izabela Kiszczak,"['Paulina Antolak', 'Izabela Kiszczak', 'Olga Tokarczuk']",-,13,glicynia,2016
736,-,Daniele Pini,"['Giuseppe Brigante', 'Claudia De Angelis']",-,10,l'autista,2016
737,-,MJ Kiego,MJ Kiego,"Set in Alaska, this abstract film toys with various images that portray oblivion as the means of passing time on a daily basis. But it begs the question: what does it take for someone to come to terms with their real circumstances?",7,oblivion,2016
738,-,Jiayi Li,Jiayi Li,"The unmarried couple Alleyn and his fiancee Chen encounters some difficulties in life. Chen wants to convince Alleyn to accept living with her single father after marriage, but he refuses Chen because of busy work, preparing for the wedding and some unspeakable reasons. There is a crack between them.",-,way out,2016
739,-,Elzat Eskendir,Elzat Eskendir,"An elderly shepherd and his wife are at the center of this tale of winter survival and disconnection, unfolding over the course of one fateful day and night, swirling around a group of solitary characters that only ever cross paths physically.",-,off-season,2016
