INDICE,puntuacion,direccion,guionista,descripcion,mes_estreno,titulo,anio
78,-,Ricardo Urueta,Ricardo Urueta,A daughter taking care of her father who is ill but very abusive.,-,cariño mío,2015
79,-,Ismayil Zeynalov,"['Ramiz Rovshan', 'Ismayil Zeynalov']",-,-,23: sen cavabla,2015
80,-,Peng Wang,Peng Wang,A destitute father has no choice but murdering a person. At the moment when he thinks the problems has gone he realize there is another choice which is waiting for him to make.,9,the moment,2015
81,-,-,-,Reparto principal,-,"like father, like son.",2015
82,-,Björn Schagerström,Björn Schagerström,"When two business partners meet up in a parking garage, small talk turns quickly into serious conversations that takes an unexpected turn. A multi-layered-dialogue-scene where there is a lot boiling under the surface.",9,bullshit,2015
83,-,Rodrigo Reinhardt,"['Fernanda Denuzzo', 'Rodrigo Reinhardt']",-,-,o curto adeus,2015
84,-,Rahma Nurlindasari,Rahma Nurlindasari,The film depicts the daily life of a grandmother in the kitchen cooking with a traditional furnace. The grandmother impaired health because of smokes that often inhaled while cooking. She felt ill and soon after being hospitalized died. The Granddaughter felt lonely and lost after grandmother's death. She put some flowers at the furnace in the memory of her grandmothe... Leer todo,5,grandma's stove,2015
85,-,Edward Rieber-Mohn,Edward Rieber-Mohn,"During the Holocaust, 50,000 gay men were placed in the Concentration Camp, identified by a Pink Triangle on their chest. After the war, the arrest orders were sent out to all of the ""Allied Countries"" resulting in their freedom being taken away once again. This film is dedicated to those who were arrested and in the memory of those who died.",-,the return of the pink triangle,2015
86,-,Rebecca Selle,Rebecca Selle,-,23,tag x,2015
87,-,Balendra Kaler,Balendra Kaler,-,-,i am rebel,2015
88,-,Victor Araneda Jure,Victor Araneda Jure,Sarah is an ordinary woman with a surprising new job. She accidentally got herself hired as a hostage interrogator and her first assignment is not forthcoming. Her inexperience will make this interrogation go from bad to worse.,9,debut,2015
89,-,Alix Lepienne,"['Alix Lepienne', 'Hubert Selby Jr.']","The most notorious of the stories in Hubert Selby's ""Last Exit to Brooklyn"", published in 1964, is that of the young prostitute, Tralala. Born into Brooklyn's underclass, a tragic lost woman, who roam the streets, the hoods and the bars, for a grain of attention. She totally fails to recognize her one hope of salvation when it's staring her in the face.",5,tralala,2015
90,-,Philip Asaad,Philip Asaad,-,-,proud,2015
91,-,Alve Lindenbaum,Alve Lindenbaum,A narrow hallway at a home party and a desperate search for contact. A short story about creating an independent space when you're totally focused on getting someones attention.,7,steg,2015
92,-,Jianna Maarten Saada,Leif Eric Johnson,-,-,ghost star,2015
93,-,Agustina Sánchez Gavier,Agustina Sánchez Gavier,"""The Storm"" - Feli and Lali prepare and act out an improvised performance in a limited space.",6,das gewitter,2015
94,-,Marcos Seneor,Marcos Seneor,-,8,macapá,2015
95,-,Sheung-shing Chan,Sheung-shing Chan,"Ma is about to close the Angela laundry shop for the day when a young man Sham appears. With a handful of dirty clothes from his stay at the street during the Umbrella Movement, Sham needs his clothes washed.",25,angela,2015
96,-,Ray Goldberg,"['Ray Goldberg', 'Paige Wood']",-,-,dragging it out,2015
97,-,Kam Hei Chan,"['Kam Hei Chan', 'Wing-Yiu Wong']","In order to fulfill the expectation of her mom and her grandpa, Nam is raised as a boy since she was born. She dresses like a boy every day before going to school, gets changed back to a girl's uniform, and puts on a boy's outfit before heading home. Her hysterical mom anticipates the return of her husband, which is a dream never come true. Nam finds her only shelter ... Leer todo",24,conditioned,2015
98,-,Sin Yan Law,Sin Yan Law,"What constitutes a ""disadvantaged youth""? Man Hang did have noble and lofty goals for his life after graduation, but they were quickly crushed by the harsh reality of life. Working an unglamorous job at a warehouse along a colleague with autism, Man Hang was bullied by his boss with unreasonable demands. His mind wanders back to his school days especially when he was ... Leer todo",25,and afterwards,2015
99,-,Kin-Ho Poon,Chung-Yan Szeto,"Angela has no doubt that ""one of these days, father will come back from the outer space to take her away because he is an alien."" This thought was instilled by Angela's mother who committed suicide due to severe mental illness. Ever under the watchful eyes of her grandmother and psychiatrist, Angela starts to hear voices from the sky. Weary and scared, the grandmother... Leer todo",20,an indigo,2015
100,-,Mei-Fung Lui,"['Mei-Fung Lui', 'Kwan-Sin Shum']","Lai Ha, once a notorious mob boss, has always been strategically planning the career of her only son Yan. It is however never in Yan's intention to follow her mother's footsteps - instead he aspires to be a filmmaker. As a mob, Yan is highly incompetent, and his disappointing performance already messed up a simple drug deal. Lai Ha desperately tries to save her most s... Leer todo",24,where's the head?,2015
101,-,Ka-Yan Lee,Ka-Yan Lee,"Japanese band Aomori Hensou is the only thing that makes Mei Bo feels alive in this mundane city until she meets Lily, her new neighbour. It happens that Lily is also a huge fan of the band so they start to get along with each other like twin sisters. They wander around the city, from second-hand CD shops, to goldfish market, and other secret spots that nobody knows. ... Leer todo",25,two of us,2015
102,-,Lih Janowitz,"['Lih Janowitz', 'Anja Tuckermann']",-,6,am bahnhof zoo,2015
103,6.0,Karin Pennanen,Karin Pennanen,-,19,om vägar,2015
104,-,-,-,Reparto principal,-,the curfew,2015
105,-,Vid Steh,"['Rok Sifrer', 'Vid Steh']",Two brothers try to fix their broken relationship after their parents death.,7,sporazum,2015
106,-,Bonnie Discepolo,Kathleen Roy,-,8,disconnected,2015
107,-,Peter Lilly,-,"Anna a mother of two struggles to figure out what illness is afflicting her son Robbie as he is constantly being hospitalized. However, things may not be as they seem.",11,proxy,2015
108,-,William Vale,William Vale,-,-,froggy night,2015
109,-,Emily Diana Ruth,Emily Diana Ruth,-,20,cold,2015
110,-,Karen Withem,"['Bina High', 'Karen Withem']",-,7,a rude awakening,2015
111,-,Katherin Hussein,Katherin Hussein,An older brother uses his imagination to shield his younger sister from their toxic family dynamic.,12,go far,2015
112,-,Sergey Arutynyan,"['Sergey Arutynyan', 'Andrey Rubanov']",-,18,secret video,2015
113,5.3,"['Rosanna Reccia', 'Alberto Vianello']","['Rosanna Reccia', 'Alberto Vianello']",An Italian couple who emigrated to France is facing an unexpected situation.,10,domani,2015
114,-,Amit Aanand,-,This is the story of a boy who lives in the city and his mother lives in the village.,-,maa,2015
115,-,Meja L. Shoba,Meja L. Shoba,14yr old Tumi searches for manhood in the wrong places. His bad luck quickly changes after running into Pearl.,14,dear pearl,2015
116,-,Isaiah Stratton,Isaiah Stratton,-,-,stay,2015
117,-,Noël Barlow,-,"Alice, an exemplary employee, is overlooked for a promotion at work in favor of her colleague Elliot. But is everything in Elliot's life as glamorous as it appears? Or does success depend on perspective? Let us see what happens.",-,picture perfect,2015
118,-,David S. Murga,David S. Murga,-,13,exánimes,2015
119,-,Konstantinos Giannakopoulos,-,-,9,stegna,2015
120,-,Jing Jessie Guo,Jing Jessie Guo,-,-,love at first sight,2015
121,-,Hai Rihan,Hai Rihan,"When a broken family is caught up with breaking news, teenage angst can mean serious danger.",5,breaking news,2015
122,-,Iago Barrado,Julia Castro,-,-,cartas a la memoria,2015
123,-,Iago Barrado,-,-,-,madre,2015
124,-,Trent Welstead,"['Kyle Mc', 'Laughlin', 'Trent Welstead']","Sam and Colin embark on a mission to end mass shootings, but their tactics feature a rather unconventional approach to resolving the escalating, societal crisis.",39,a glory revealed,2015
125,-,Trico Fullerton,Trico Fullerton,-,-,midnight brawl,2015
126,-,Federico Tamburini,Federico Tamburini,-,-,other side,2015
127,-,Inbar Horesh,-,"Three sons as three queens portraying their three mothers - reveal the various facets of their lives in a political-comic documentary which exposes the tensions between drag performance and real life. Elias, Aviram and Oz are a trio of Jerusalemite drag- queens who perform together in underground queer parties called ""Jerusalem is Burning"". But as Oz has decided to le... Leer todo",40,crossing,2015
128,-,Humberto Vallejo,Humberto Vallejo,-,21,mi memoria está llena de gatos,2015
129,-,Luciano Chungong,-,-,-,the glance,2015
130,-,"['Garth Mc', 'Carthy']","['Garth Mc', 'Carthy']","A love triangle, involving two brothers, has tragic consequences.",7,"blink, a tragic tale",2015
131,-,Omar Moujaes,Omar Moujaes,"An old woman, LAYLA (70), encounters a hallucination of her dead brother, MARK (18), who persists on annoying her with his fascination with the planet Saturn. He describes the beauty of the planet to her through playful tricks like walking on water, while trying to loosen Layla's conservatism. Disillusioned, Layla plays along, accepting the reality that her brother is... Leer todo",27,enceladus,2015
132,-,"['Alex Gabassi', 'Rafael GrampáManuel Nogueira']",Felipe Braga,-,-,romeo reboot,2015
133,-,Marc di Domenico,"['Chloe Pangrazzi', 'Marc di Domenico']","Lila, Boris, Simon and Chiara live like all the young French people of their generation. Between lack of perspective and space, they seek to make a living with the small pieces they find.",26,housewarming,2015
134,-,Omar Moujaes,Omar Moujaes,"After AYZEBEL is denied entrance to eleven hospitals, her family finds an elderly home. Her lungs have inflated, and due to her insurance status, she is unable to receive any oxygen. Her parents, ELIAS and MARIAM, conflicted with what the best option is, encounter AMAL, the head nurse at the elderly home, and must convince her to help their daughter. As the story unfo... Leer todo",15,ayzebel,2015
135,-,Sydney Wattiez,Sydney Wattiez,"At a party, Joanna, a young stripper, meets a rich client, but she is not at the end of her surprises.",19,joanna,2015
136,-,Irina Octavia Andronic,Irina Octavia Andronic,-,-,"find me, keep me, love me",2015
137,-,Ann Britt Pedersen,Ann Britt Pedersen,-,-,et gammelt piano,2015
138,-,Majid Farhad,-,-,-,sleepless,2015
139,-,Lauren Tamke,Lauren Tamke,-,34,haunters,2015
140,-,"['Ste Bergin', 'Gabby Ellison', 'Lukas Vitkauskas']","['Ste Bergin', 'Gabby Ellison', 'Lukas Vitkauskas']",-,-,revolution c,2015
141,-,James D. Meyer,James D. Meyer,Can we see behind the homeless face to have compassion for the person who finds themselves living on the street?,11,diamond in the rough,2015
142,6.1,Robert Aquino,Robert Aquino,"Kevin, a recently single twenty-something living in Brooklyn, spends his days and nights drowning out his thoughts with booze and sex. He cruises through the neon-drenched nights looking for stimulation and closure, only to find that everything reminds him of his previous failed relationship, one he can't shake due to his inability to understand how it all came crashi... Leer todo",20,catharsis,2015
143,-,Saskia Sá,Saskia Sá,-,-,exílio,2015
144,-,Cody Andrew Whealy,Cody Andrew Whealy,"A low-income man is just trying to enjoy his day off on an epic winter snowy day, but then his boss calls. What unfolds is the worst morning ever.",10,syringa,2015
145,-,"['James D. Meyer', 'Sara Meyer']","['Ted Cox', 'James D. Meyer', 'Ivana Simova']",-,42,the lost sons,2015
146,-,Ian Walker Hendry,"['Ian Walker Hendry', 'Michael Nimmo']",A tourist takes an audio guide tour of the iconic city of Carcosa.,6,carcosa,2015
147,-,Richard Greenwood Jr.,Richard Greenwood Jr.Collin Watts,Milo is forced to discover the truth of his betrayal in this twisted Groundhog Day scenario.,8,engrossed,2015
148,-,Fernanda Sales Rocha,Fernanda Sales Rocha,"In an upper-class gated community, a boy was violently attacked by the dog of a couple of residents. Therefore, his parents discuss the need to apprehend or sacrifice the animal.",15,mancha de sangue no porcelanato,2015
149,-,Mila Prates,Mila Prates,-,-,o voo da borboleta,2015
150,-,Geovany Hercules,Geovany Hercules,"Eduardo is a film student who undergoes internal changes and in the interim life and death interfere with his plans with his girlfriend, Ana. He is then plagued by his memories.",15,fora de quadro,2015
151,-,Ximin Yu,Ximin Yu,-,-,a dog day night,2015
152,-,Florin Calin,-,-,25,evenimentul zilei,2015
153,-,Daniel SanzÁlvaro Sarró,Hugo LópezÁlvaro Sarró,-,20,renacimiento,2015
154,-,Colin Rivera,Allison Hawkins,Christina finds out that her boyfriend is seeing another woman and decides to confront him about it.,-,the artist,2015
155,-,Luca Rovello,"['Julie Besnier', 'Ethan Boury', 'Samuel Helfrik']",-,15,"c'est rien, je suis tombée",2015
156,-,Gabriel Anthony Herndon,Gabriel Anthony Herndon,"On the edge of a mental collapse, an employee struggles to get a raise for her medication.",-,neurotic,2015
157,-,Conrad Mericoffer,Conrad Mericoffer,"Victor Rebengiuc is an unknown actor from Bucharest. He is called to audition for a ""miracle lotion"" commercial. A satire about the actors' problems in Romania.",12,casting call,2015
158,-,José Negrete,José Negrete,-,-,mensajes de antonio,2015
159,-,Valeria Rios Castro,Valeria Rios Castro,-,-,punto de partida,2015
160,-,Inbar Horesh,Inbar Horesh,"Inbar takes a taxi from Jaffa to Tel Aviv central bus station. Everyday conversation with the driver raises many questions, some of which were hidden beneath the surface.",5,taxi,2015
161,-,Gabriel Savignac,-,-Louise loves her son and will do anything to protect him until tension between him and an older work colleague threatens their relationship.,10,ma lionne,2015
162,-,Wislan Esmeraldo,Wislan Esmeraldo,-,22,para minha mãe,2015
163,-,"['Gabriel Ariza', 'Carlos Marin Fernandez']","['Noemí Guerra', 'Elisa Vicedo']",-,-,osculum mortis,2015
164,-,Finian Robbins,Finian Robbins,Two young men from a small town in the Irish Midlands agree to meet at the local Railway station in order to take a train to a better place.,7,railway,2015
165,-,Brian Lawes,Brian Lawes,"After giving up on his family, an estranged son seeks to reconnect with his father and brother.",26,home again,2015
166,-,Ashutosh Jha,Ashutosh Jha,-,-,dushchakra: vicious circle,2015
167,-,Fortunato Valente,"['Marco Ballarin', 'Fortunato Valente']","Andrea is in love of a girl Mia, met at the party, they hang out together till Mia feel oppressed.",12,mia,2015
168,-,Stephen Portman,-,-,3,bon-zo,2015
169,-,Tatyana Dogileva,Tatyana Dogileva,-,-,horizont,2015
170,-,Daniel Stilst,-,-,-,infidèle,2015
171,-,Pratik Hamand,-,"Days in the life of a happy-go-lucky youth who strives to fight a haunting, unpleasant memory.",24,five days,2015
172,-,Danni He Ault,Danni He Ault,"A middle aged Chinese business man Mr Zhang decides to come to Australia to visit his recently graduated daughter Annie. Is he ready to know his daughter is in a relationship with an Australian man, Michael? On a dinner table, Annie's secret is no longer hidden. And, as Annie had predicted, Mr Zhang couldn't possibly accept Michael - someone who isn't the traditional ... Leer todo",11,mr zhang comes to australia,2015
173,-,Patrik Krivanek,Patrik Krivanek,-,-,maminko,2015
174,-,Jonathan van Tulleken,-,-,2,date #1: heart,2015
175,-,Mário J.R. Matos,Mário J.R. Matos,Never take things as they are - all can change in a moments' notice.,3,forgotten,2015
176,-,Luo Min,"['Luo Min', 'Sun Jia Wen']","In a Chinese remote village, old people start to commit suicide.",20,black mountain,2015
177,-,Derek Morales,-,-,-,kalakal,2015
178,-,John Giordano,John Giordano,Two friends embark on a journey of senses by blending with the edges of nature.,4,falling as we grow,2015
179,-,Angie Antoine,"['Angie Antoine', 'Ben Fenton']",-,8,the butterfly,2015
180,-,Pieter Verlaak,Pieter Verlaak,-,-,joey,2015
181,-,Ralph Ramos,Kristoffer Bradley Cruz,A voice helps a teenage boy cope with the loss of his girlfriend.,12,relapse,2015
182,-,Sterling Knight,"['Analu Cruze', 'Sterling Knight', 'Maia Posten']",-,-,morpheum,2015
183,-,Walt Hermosa,Walt Hermosa,A young boy tries to get a job as a movie critic.,15,edad ante mente,2015
184,-,Rahul Chakraborty,-,"Sometimes in life, you just have to be strong. This is what the song tells you about, with the Singer Neerja Joshi and Music Director Rajatabh Banerjee.",-,soch,2015
185,-,James Rath,James Rath,"Sometimes reoccurring thoughts linger and you find yourself unable of letting go of what ever has been holding you back. You can't over think the past, or change it in anyway. It's a learning experience, you need to accept and grow from it, then move.",-,moments,2015
186,-,Justin Blake Webber,Justin Blake Webber,"After a tragic loss, a young man can not let go of his imaginary friend. Until one day, he meets the person who change all of that for him.",8,imaginary friend,2015
187,-,Homa Bazrafshan,Homa Bazrafshan,-,-,sound of silence,2015
188,-,Chris Chapman,Chris Chapman,"A cinematographic exploration of defiance and solidarity in the face of gender normativity. A hard-hitting film by Chris Chapman, now showing in a limited run across the south of England.",-,purple,2015
189,-,Sean Addo,Sean Addo,"In a search for a mate, a grim reaper finally meets his equal but must pay a deadly price for a chance at love.",5,a grimm tale,2015
190,-,Amos Le Blanc,Amos Le Blanc,-,-,the gates,2015
191,-,Timmi Davis,-,-,13,ont est ensemble,2015
192,-,Victor Lopez,Victor Lopez,-,14,cenycienta 2014,2015
193,-,Daniel Suárez Rubini,Daniel Suárez Rubini,A poetry story about the homesickness of being far from home.,-,tornar,2015
194,-,Louis Cox,Louis Cox,-,-,i'm trying vol. 1,2015
