puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
-,Paul Saintillan,"['Manoline Beautier', 'Michael Proehl', 'Paul Saintillan']",A young man comes home completely drunk. He's lost his keys. He curls himself up on the doormat and falls asleep. The nightmare begins.,10,Drama,cauchemar du perdeur de clés,cauchemar du perdeur de clés
7.7,Matthew Gordon,Brad Ingelsby,"The Honeyfields is the story of two brothers, Robbie and Benji growing up in a poor, rural California town. Raised only by their bitter grandmother, the boys create their perfect world in the nearby wheat fields. Life as they know it changes forever when older brother Robbie meets his first love, Mary Beth.",34,Drama,the honeyfields,the honeyfields
7.0,Olivier Bouffard,Olivier Bouffard,-,26,Drama,ce que je vous dois,ce que je vous dois
6.9,Russ Emanuel,Emile Haris,A female assassin's personal and professional life collide.,14,Drama,girl with gun,girl with gun
-,Vanessa Ly,Vanessa Ly,-,17,Drama,high winds,high winds
-,Guillaume André,Guillaume André,-,23,Drama,le moindre souffle,le moindre souffle
7.0,Stéphane Barbato,"['Stéphane Barbato', 'Kamel Miloudi']",-,18,Drama,play the game,play the game
-,Valérie Moncorgé,Valérie Moncorgé,-,40,Drama,forcené,forcené
-,Michael Dörfler,Michael Dörfler,-,12,Drama,rauskommen,rauskommen
7.3,Robert Sucato,Scott Hopkins,"Jimmy Baker, an aging Jazz singer, is at the end of his rope. At midnight on the last day of his life he meets 'Picasso', a man with just one mission, to get Jimmy Baker.",19,Drama,real gone cat,real gone cat
7.3,Tommi Seitajoki,Tommi Seitajoki,An absurd tale about John Franc and his desperate endeavour to find his place in a corrupt and desolate world.,30,Drama,transport,transport
-,"['Ralf Beckert', 'Chris Rubino']",Chris Rubino,-,30,Drama,basti,basti
7.6,Mauricio García Castellanos,"['Mauricio García Castellanos', 'José Miguel Núñez']",-,10,Drama,caso terminal,caso terminal
4.7,Jackson Waite,"['Keith Meeney', 'Derek Puleston', 'Jackson Waite']",-,10,Drama,sense memory,sense memory
6.9,Fritz Böhm,"['Fritz Böhm', 'Tomi Ungerer']",Based on the classic picture-book by Tomi Ungerer this award-winning live-action fairy-tale tells the story of the Man in the moon's voyage to earth.,29,Drama,mondmann,mondmann
8.3,Angela Elayne Gibbs,Angela Elayne Gibbs,"Inspired by the true story of Sandra Daniels, who used abuse to motivate her success. Daniels started her journey to freedom at sixteen when she was forced to live in her car. The film looks at how child abuse plagues the adult, threatening their happiness until they are willing to cut ""The Ties That Bind."" It's a short film is about courage. It asks, ""How does one br... Leer todo",27,Drama,the ties that bind,the ties that bind
-,Peter Sands,Anna Simone Scott,"In the autumn of her life, Vivian Barry, star of stage and screen, muses upon the prospect of making her final film when she is visited by a stranger with a secret from her past.",9,Drama,the red scarf,the red scarf
6.3,Ivica Zubak,Ivica Zubak,A farewell gets prolonged for different reasons.,9,Drama,avsked,avsked
3.8,Deniz Gamze Ergüven,"['Deniz Gamze Ergüven', 'Nadège Trebal']",A father and daughter come out of a restaurant. The father is drunk. A taxi driver accepts them in spite of the father's provocations and a fight. Inside the car the atmosphere is highly charged during the drive.,12,Drama,mon trajet préféré,mon trajet préféré
7.7,Jesse Dykstra,Jesse Dykstra,"Handed a life of money and power, a promising young man leaves a party and chases after a girl.",7,Drama,green season,green season
7.1,Juana Macías,"['Juana Macías', 'Juan Moreno']","Three men talking to three women we never see, three men arguing, three men claiming no one understands them. ""Frozen souls"" is a deep insight in the every day life of three isolated characters, a quick glance into the drama hidden behind the anonymous faces we see on the streets any given day.",14,Drama,almas congeladas,almas congeladas
6.9,"['Guy Nattiv', 'Erez Tadmor']","['Guy Nattiv', 'Erez Tadmor']","One fence, four fans, and the game of their lives. This is a story about 4 men and a radio.",7,Drama,offside,offside
-,Christophe Chudy,"['Pierre-Adrien Thevenet', 'Christophe Chudy']",-,3,Drama,poignée de main,poignée de main
8.1,Sibel Guvenc,"['Sibel Guvenc', 'Franz Kafka']","A woman explorer is invited to a penal colony to investigate its justice system, where the condemned is executed without any defense.",24,Drama,in the penal colony,in the penal colony
6.9,Veiko Õunpuu,"['Mati Unt', 'Veiko Õunpuu', 'Rain Tolk']","A young intellectual, Mati, engineers himself into a situation where he has to spend a weekend with his wife Helina and her lover Eduard. The trio goes to Eduard's summer house, surrounded by the majestic scenery of big forests and an empty beach. Mati, either out of jealousy or pride, has decided to win back his wife and will do anything his introverted and inert min... Leer todo",40,Drama,tühirand,tühirand
-,Pedro Freire,Pedro Freire,A boy who's never known his mother suddenly receives news of her death.,12,Drama,ver a laura,ver a laura
7.3,"['Risa Machuca', 'Fanny Veliz Grande']","['Risa Machuca', 'Fanny Veliz Grande']",2 women find out they're in love with the same man. They confront each other as they reflect on the decisions they're about to make...All in the front seat of a car,17,Drama,shortstop,shortstop
5.8,Eelko Ferwerda,"['Eelko Ferwerda', 'Marcel Visbeen']",-,9,Drama,american dreams,american dreams
8.0,Sam Friedlander,Sam Friedlander,"Lucid is the story of two men, Case and Drake, who share one consciousness, connected by their dreams. When Case dreams, he dreams he is Drake, and vice-versa. When Case starts to experiment in his dreams, he soon realizes the consequences may be real. Soon, the two meet, and they must reckon with their unique situation.",15,Drama,lucid,lucid
6.1,Frederic Eger,Frederic Eger,"Ronny, a dramatically self-centered and over self-indulgent yuppie, makes a stupid joke to his Cindy, a liberated XXIst executive woman type. No matter what Ronny will try for the sake of reconquering his love : the hate will now only grow stronger and stronger until the inevitable happens.",24,Drama,ronny & cindy,ronny & cindy
-,"['Debra Felstead', 'Philip Ross Mc', 'Kie']","['James Grainger', 'Philip Ross Mc', 'Kie']",-,-,Drama,richard is beautiful,richard is beautiful
4.1,Stein Elvestad,Stein Elvestad,-,10,Drama,credo,credo
