,puntuacion_imdb,direccion,guion,argumento,duracion,titulo, anio
2033,6.4,Ranjit Jeyakodi,Ranjit Jeyakodi,The relationship between a guy and a girl becomes complicated when the latter gets tired of the former's impatient behaviour.,153,ispade rajavum idhaya raniyum,2019
2034,6.5,Raimundas Banionis,"['Raimundas Banionis', 'Renata Serelyte']","During World War II a young Jewish boy, Josef, was taken away from his family and sent to Russia. When war was coming to an end, a 19-year-old Josef returns home, hoping to find his parents. However, the atmosphere of war is still there: the central part of his native small town is controlled by the Soviets, while the surroundings are controlled by partisan fighters. ... Leer todo",106,the purple mist,2019
2035,6.8,Qasim Khallow,"['Sumit Gupt', 'Qasim Khallow']",-,110,gone kesh,2019
2036,8.2,"['Eduardo P. Moreira', 'Silvio Toledo']",Eduardo P. Moreira,Leon finds a clue left by his missing father and departs in search to unravel the mystery about the past of his family.,105,incursão,2019
2037,-,Tyree Lundy,Chica Casey,"HAVE YOU EVER JUMPED INTO A RELATIONSHIP BECAUSE YOU FELL IN LOVE AND YOUR PARTNER'S LUKEWARM ACTIONS MADE YOU CONFUSED AS TO IF YOU WERE MEANT TO BE TOGETHER? A young married women who seeks to find love in spiraling relationships has so much growing up to do. In the most trying times of her life, Tasha Knight (Julian Johnson) ends up assaulted and incarcerated all i... Leer todo",94,sucker for love,2019
2038,6.8,Gunparwitt Phuwadolwisid,-,A former psychiatric patient seeks vengeance and aims to take down a gang of underworld criminals after a tragic accident sees his beloved family killed.,89,nemesis,2019
2039,7.0,Selvakannan,Selvakannan,"An unemployed youngster is at the crossroads, puzzled about choosing between family and love.",-,nedunalvaadai,2019
2040,5.7,"['Stephen R. Reynolds', 'Ash Liegh Virdell']","['Stephen R. Reynolds', 'Ash Liegh Virdell']","It begins with Jonathan Harker, a young American lawyer, as he travels to Transylvania. Harker plans to meet with Count Dracula, a client of his firm, in order to finalize a property transaction. When he arrives in Transylvania, Dracula sees a picture of Mina Murray, Jonathan's fiancée and as the story progresses the two become linked. Dracula journeys to St. Louis an... Leer todo",-,dracula,2019
2041,-,Somalatha Herath Menike,Somalatha Herath Menike,Apurva loves nature and animals and likes to live in his own world. But his dislike on formal education troubles his parents.,80,katha karana heena,2019
2042,-,Francisco Raposo,Francisco Raposo,A lumberjack's long-lasting solitude is disrupted once a man shows up at his house asking for water.,45,jack lives alone,2019
2043,6.4,Luis Pérez García,Luis Pérez García,"Two friends spend their time making rap music. One night they find a weapon, while a girl loses her dog. Although seemingly unrelated, these stories are intimately linked, telling the difficult passage from adolescence to adulthood.",102,piola,2019
2044,5.6,Mia Engberg,"['Mia Engberg', 'Claes Lundberg', 'Myra Neander']","Vincent is working long nights in the Paris underworld. He has long since stopped dreaming of another life, but when he unexpectedly has to take care of his teenage daughter, Adina, his world starts to change.",76,lucky one,2019
2045,7.9,Pritha Chakraborty,-,"Mukherjee Dar Bou is a story based on a modern dysfunctional family revolving around the complex and intricate yet caring relationship of a mother-in-law and daughter-in-law. The story revolves around a Bengali home maker whose name is not known till the end of the film, and who is mostly referred as ""Mukherjee Dar Bou"". Mukherjee Dar Bou (Aditi) is married for more t... Leer todo",127,mukherjee dar bou,2019
2046,-,Alberto D'Onofrio,Kyle Gregor-Pearse,"When a depressed hitman's zest for life is rekindled by his unexpected friendship with an optimistic young man, he is offered a last chance to redeem himself when forced to choose between continuing along his grim path, or risking it all by shirking his boss and abandoning his assignment. Shot entirely in Hudson and the surrounding areas, and featuring a strong local ... Leer todo",71,death of a traveling life insurance salesman,2019
2047,-,Nasser Bakhti,Nasser Bakhti,"Explore the daily lives of those who remain with their pain after the loss of a child and give them a voice. These bereaved people reveal themselves and their difficult experiences. Dealing with loss, repressing, forgetting and healing to get to grips with their life again. There are also relatives and friends who act awkwardly, expressing themselves with unfortunate ... Leer todo",92,a fast passing angel,2019
2048,-,Emilio Aguilar Pradal,-,-,87,los atardeceres rojos,2019
2049,-,Robert L. Parker III,-,-,-,delta byrd sings,2019
2050,-,Ritchie Johnston,Ryan Enever,-,-,killer's whisper,2019
2051,5.8,Prakash Kunjhan Moorayil,Haneef Kechery,-,136,old is gold,2019
2052,-,Ajit Devle,Armaan Dhillon,-,-,flatmates,2019
2053,-,Jassu Gurung,Roshan Gurung,-,-,mle kyu,2019
2054,-,Ambujakshan Nambiar,Lekha Ambujakshan,-,122,muttayikkallanum mammaliyum,2019
2055,-,"['Rosa Fairfield', 'Joe Gaffney']",Rosa Fairfield,"The film contains six different stories, told from the perspectives of six different mindsets: Tiredness, exaggeration, loneliness, obsession, heartbreak and hallucinations.",47,perspectives of the mind,2019
2056,-,Quraisy Mathar,Quraisy Mathar,"Aso who has a passion for watching football at the stadium every time his favorite team competes, is put into a pesantren (Islamic boarding school) by his parents. The condition of the pesantren causes Aso to no longer be able to freely channel his hobby of watching it to the stadium. Aso then becomes friends with Dul, Yos, and Sultan, who came from different regions.... Leer todo",84,suporter masuk pesantren,2019
2057,7.2,"['Anders Østergaard', 'Erzsébet Rácz']","['Martin Goldsmith', 'Anders Østergaard']","Martin Goldsmith never knew what happened to his parents before they escaped from Germany in 1941. Over a weekend, he confronts his father and we are brought back to the complex and confusing 1930s when the parents were young musicians.",87,vinterrejse,2019
2058,6.2,Jason Paul Laxamana,Jason Paul Laxamana,"While on vacation in Japan, a Filipina actress meets a young Filipino man.",107,between maybes,2019
2059,-,Tulga Bayarkhuu,Buyandelger Bilegdemberel,An autistic man sets out on a journey to keep a promise he made to a girl he loved.,95,butsaagui amlalt,2019
