,puntuacion_imdb,direccion,guion,argumento,duracion,titulo, anio
0,7.0,-,-,"Revealing the entrepreneurial ingenuity, paranoia and bloodshed behind the cocaine trade, in the true story of smuggler, Zachary Swan, who ran rings around police and customs officials in the early 70s.",-,snowblind,2015
1,5.9,Guilherme Fontes,"['João Emanuel Carneiro', 'Guilherme Fontes', 'Matthew Robbins']","The story of Assis Chateaubriand, the first magnate of communication in Brazil. Due to his influence during the late 1930s up to the early 1960s, he has come to be called The Brazilian Citizen Kane.",102,chatô: o rei do brasil,2015
2,6.6,Luis Aller,"['Luis Aller', 'María José Garcia', 'María José García']","Passers-by is a constructivist, multiple, fragmented and cosmic film... a cinematographic Big Bang resulting from a thorough conception and edition work by Director Luis Aller. Passers-by exposes us to ephemeralness inside hundreds of human beings' lives in their particular evolutions, and allows us to watch them as though we open a wide window over the city of Barcel... Leer todo",94,transeúntes,2015
3,6.8,Kyle Patrick Alvarez,"['Tim Talbott', 'Philip Zimbardo']",-,122,the stanford prison experiment,2015
4,5.5,Ben Wheatley,"['Amy Jump', 'J.G. Ballard']",-,119,high-rise,2015
5,7.2,Matt Brown,"['Robert Kanigel', 'Matt Brown']",-,108,the man who knew infinity,2015
6,6.4,Don Cheadle,"['Steven Baigelman', 'Don Cheadle', 'Stephen J. Rivele']",-,100,miles ahead,2015
7,7.1,Tom Hooper,"['Lucinda Coxon', 'David Ebershoff']",-,119,the danish girl,2015
8,5.6,Sukhwant Dhadda,"['Sukhwant Dhadda', 'Harinder', 'Vivek Kumar']","Chooriyan is the story of Simran (Gracy Singh), an orphan who has always dreamt of being a part of a family. Her dream finally comes true when Army Office Aman (Sudanshu Pandde) asks her to marry him and she lives happily as part of Aman's family. Aman and Simran cherish every moment before he returns back to his army duty. Before he leaves, Simran makes a vow to him ... Leer todo",-,chooriyan,2015
9,-,Razul Alam,-,-,-,dangebaaz,2015
10,6.4,Felipe Restrepo,Felipe Restrepo,"Lorenzo is a musician who moves to the city to start over. There, he meets Eugenia and falls in love. One day, she is kidnapped by a sinister man who is wants the money he is owed. Lorenzo will try to rescue her no matter how hostile the obstacles. A love story in a concrete context.",90,de hormigón armado,2015
11,-,Huu Muoi Nguyen,Minh Tuan Doan,-,94,trên dinh bình yên,2015
12,8.0,Dinh Thai Thuy,-,-,100,my nhân,2015
13,-,Dang Thai Huyen,"['Nguyen Thu Dung', 'Dang Thai Huyen']",-,110,nguoi tro vê,2015
14,-,Samudra Das Gupta,Samudra Das Gupta,"Social media creates havoc in the lives of 3 high school teenagers. Years later, one of them dies mysteriously at a birthday party.",93,aakhri pal,2015
15,5.5,Halil Özer,Halil Özer,"Orhan ve Ali are siblings who lost their parents in a car accident and living far from the district in a small cabin built at the skirts of a mountain. They are earning their lives by pursuing their late father's job. Their daily routine changes with arrival Bahar, who met Orhan previously but had to marry to the younger brother Ali.",102,firak,2015
16,7.6,Han Dong-ho,-,"Ji-woon has a bad impression of men because of her father, but her mother convinces her to pay tuition to an art student, Jung-woo. He is surprised by her coolness, but at the same time there are tensions between them.",106,bad class,2015
17,-,Yu-Shan Huang,"['Hsiao-Yun Chiang', 'Shing-Ming Ho', 'Yu-Shan Huang']","Different styles of dining can also be portrayed as different types of life. Restaurant hostess, Liu Fen-Fang, prepares a feast for the new opening of her restaurant. Deep in her heart, however, she also experiences her most bitter moment. Her family is shattered when she hears news of her husband's affair. Fen-Fang considers marriage as her forever refuge. She never ... Leer todo",105,taste of life,2015
18,2.0,Arjin Uppal,"['S. Baldev Singh', 'Afiq Zulhelmi']","Syahana is a very religious girl who has a dream of becoming a Muslim model due to the influences of modeling videos on social media. Syahana then seeks for help from Fandi, a guy she met on the Internet who claims that he can help Syahana achieve her dreams. When her father and brother object to her decisions, she runs away to Kuala Lumpur to meet Fandi alone. Upon r... Leer todo",80,darah panas,2015
19,6.4,Daniel Espinosa,"['Richard Price', 'Tom Rob Smith']",-,137,child 44,2015
20,-,Lin Jia,-,-,-,jie di liang,2015
21,-,Lei Su,-,-,-,a place where the dream begins,2015
22,-,Anandram,Anandram,"The film is based on the true story of a brave woman from Dhule in Maharashtra. The incident had taken place 30 years ago. Pashbandh presents the woman's fight against all the trouble she faced in her life, to rise up respectfully in society.",112,pashbandh,2015
23,-,Bambang Drias,Endik Koeswoyo,-,-,erau kota raja,2015
24,6.1,David Gordon Green,"['Rachel Boynton', 'Peter Straughan']",-,107,our brand is crisis,2015
25,-,"['Ji-na Kang', 'Woo Moon-gi', 'Yeon-Shick Shin']","['Ji-na Kang', 'Woo Moon-gi', 'Yeon-Shick Shin']","A collected-works compilation featuring three short films, ""Geu-ge a-ni-go/Not That"", ""Hear My Song"", ""Seul-peun ssin/Sad Song"", by contemporary South Korean filmmakers and produced by fashion magazine W Korea on its 10th year anniversary.",-,"yeo-ja, nam-ja",2015
26,-,Hana Matsumoto,Hana Matsumoto,-,75,manatsu no yume,2015
27,-,Shailendra Sen,M. Dahek,-,146,tere ishq mein qurbaan,2015
28,-,Igor Parfenov,-,An epic drama about events on EuroMaidan and the WAR in Ukraine.,98,"of humans, horses and heinous...",2015
29,-,Óscar González,-,-,88,con mis propias manos,2015
30,-,Matt Enos,Matt Enos,An escalation of violence erupts between two small town criminals as a result of stolen money and a broken jaw.,73,trouble down east,2015
31,6.7,Chunze Dong,Chunze Dong,"Li Guofu and his son lean on each other for life support. Li is busy not only on looking for job and wife for the son, but also on leading a square dance team.",95,quan neng jiong ba,2015
32,-,Ying-Ting Tseng,"['Ying-Ting Tseng', 'Che-Kai Yang', 'Chun-Han Shih']","Trying to save his high school love from an unhappy marriage, Weida ask voice actor Wu for help. But their feelings might get in the way of their mission and start a hole new problem.",81,double date,2015
33,-,Kumaar Aadarsh,Kumaar Aadarsh,SOS TALK is a movie from the franchise of Secrets of Sex directed by Kumaar Aadarsh under the banner of U V Talkies. This movie is talking about sexual problems. This is India's first movie having real stories with real people.,132,sos talk,2015
34,-,András Kécza,András Kécza,-,-,magánterület,2015
35,-,Kosuke Fukuyama,Yohei Hoshina,-,-,dab+,2015
36,-,Thomas Keumurian,-,-,52,the maze,2015
37,-,Juan Pablo Milán,-,Shows the working day of a prostitute.,-,el cuarto,2015
38,-,Antonio Canitano,-,-,-,heartbeat,2015
39,-,Bhanu Kiran Challa,-,"Panchamuki is a scientific psychological thriller. It narrates 5 thrilling stories in the life of dr Vikas (Madala Ravi) and how each story is linked to each other. The link to all five thrilling stories is Dr. Vikas a psychiatrist and scientific professor in paranormal activity. Starring Aryan Rajesh Madala Ravi Suman, Krishnudu, Uttej and Chinna. Directed by Challa ... Leer todo",-,panchamukhi,2015
40,5.4,Aparna Sen,-,"A married couple takes refuge in a dilapidated house during a stormy night. An old man, who stays in the house, plays an uncanny host, and draws out their secrets and shares his life theories with them.",83,saari raat,2015
41,-,Avdotya Aleksandrova,Avdotya Aleksandrova,-,-,gryaz,2015
42,-,"['Jonas Julian Köck', 'Paul Rose']",-,-,57,die wilderin,2015
43,-,Satyen Verma,"['Vimal Bharvad', 'Rohit Raj']",-,137,pratishodh,2015
44,7.3,Dexter Fletcher,"['Simon Kelton', 'Sean Macaulay']",-,106,eddie the eagle,2015
45,-,Seezan Ali,"['Mahdi Ahmed', 'Ahmed Zareer']",A police officer looking for a fresh start after the death of his pregnant wife is assigned to a remote island as their police in-charge but soon ended up in the middle of a political clash between two prominent figures of the community.,-,ahsham,2015
46,-,Subba Bishal,Bishal Subba,"It revolves around the story of four friends in their youth. Carefree, nonchalant, confident and a bit arrogant in their attitude, they represent a majority of each and everyone of us; past, present and future. The movie portrays how every youth perceives their life and how they want it to be amidst all the confusion, desperation, pressure and greed that eventually ov... Leer todo",135,youngster: nepali film,2015
47,7.5,Sonia Chamkhi,Sonia Chamkhi,"While Mehdi is torn between his secret gay affair and the perspective of getting married, his sister Hind struggles to face her present and to reveal the secrets of her past kept in the dark.",90,aziz rouhou,2015
48,-,Manab Mukherjee,-,-,-,hridoy haran,2015
49,6.6,Yuriy Popovich,Yuriy Popovich,"At the end of World War II, two boys meet in a dilapidated house - the German Peter, who lost his mother, and the Russian Pasha, who escaped from captivity. Having made friends, they together wait for the onset of peace.",90,pro petra i pavla,2015
50,4.9,Jason P. Schumacher,"['Jason P. Schumacher', 'Wes Tank']","The Telephone Game is an indie drama/comedy about the chaos of trying to put a play together and about a relationship that develops amidst that chaos, between Marco the director, and Zelphia the lead actress.",93,the telephone game,2015
51,2.2,Arash Sanjabi,Arash Sanjabi,"Ayoob is in two relationships out of his marriage. When the two find out about each other, they decide to punish Ayoob.",69,bogzarid mitra bekhabad,2015
52,8.6,"['Valdir Baptista', 'Antonio Ciambra', 'Clery Cunha']","['Valdir Baptista', 'Antonio Ciambra', 'Clery Cunha']",-,84,memórias da boca,2015
53,-,-,-,Reparto principal,-,ablepsia,2015
54,-,Morgan Hamilton-Lee,Morgan Hamilton-Lee,-,-,falling apart,2015
55,-,Sebastian Choe,"['Sebastian Choe', 'Jeff Mclean', 'Erica Rogers']",Follows the real-life couple Jeff and Erica. The two avoid a court date by playing music in basements and exploring violence in the rain forests and ice caves of Washington State.,67,the prince of love,2015
56,-,-,-,"When a corrupt police officer helps a fake godman exploit women in the city, a young and courageous lady sets out to expose him.",152,daroga chale sasural,2015
57,-,Baljeet Singh,-,-,165,saajan ki bahon me,2015
58,-,Ajay Singh,-,-,139,dil aur deewar,2015
59,-,Ajay Kumar Jha,-,-,167,hero no. 1,2015
60,-,Balkar Singh Bali,-,-,142,saiyan jigarbaaz,2015
61,1.5,"['Ravi H. Kashyap', 'Randeep Shantharam Mahadik']",-,Indian Bhojpuri film directed by Ravi H. Kashyap and Randeep Shantharam Mahadik.,155,laagi tohse lagan,2015
62,-,Ravi Bhushan,-,-,154,baaj gayeel danka,2015
63,-,Aslam Sheikh,Aslam Sheikh,-,160,aurat khilona nahi,2015
64,-,Rk Shukla,-,-,134,baagi bhaile sajna hamar,2015
65,-,Jagdish A. Sharma,K Manoj Singh,-,122,lagi nahi chhute rama,2015
66,-,Prashant Jammuwala,-,-,142,pandit ji batai na biyah kab hoi 2,2015
67,-,Sujit Kumar,-,-,154,jaan tere liye,2015
68,6.7,Frank Lotito,"['Anjul Nigam', 'Paul Quinn', 'Gregory Scott Houghton']",-,102,good ol' boy,2015
69,-,Subba Rao Gosangi,-,-,163,pyar ke bandhan,2015
70,5.2,Kenji Hanyû,-,A female office worker grows tired of her popular and attractive colleague's love affairs. She releases explicit footage of the on-goings at the office.,80,ribenjiporuno love is dead,2015
71,-,Kwezi Kaganda,"['John Bosco Kyabaggu', 'Musa Luswata']",-,63,situka,2015
72,-,Aleksandr Muratov,-,-,-,dostali!,2015
73,-,Tran Trung Dung,Hà Anh Thu,-,85,siêu quây lên chùa,2015
74,-,Tuan Vu Dinh,Trinh Luu Dieu Thuy,-,100,trên dinh núi phía tây,2015
75,-,Fortune Ejim Kezi,-,-,-,the wind,2015
76,-,Rongguang Yu,-,-,-,du long zhi zi gao de rong,2015
77,-,Yang Zhen,Xianming Meng,-,-,hai ou lao ren,2015
78,-,"['Yu Pan', 'Dasheng Zheng']","['Yu Pan', 'Bin Wu']",-,-,shi zhi shuang tian xiao jiao,2015
79,-,Parag Patil,"['S.K. Chauhan', 'Rakesh Tripathi']",-,142,prashasan,2015
80,-,Yue Miao,-,-,-,re gan mian de wei dao,2015
81,7.5,Feroz Kader,"['Feroz Kader', 'Syamnuriezmil']","Aleeya Azmeen willingly went to London with her boyfriend five years ago only to get dumped by him in the end. Things became worse when she was thrown out of London's college. Left with nothing, she had no choice but to return to Malaysia. But how will she explain what has happened to her family and friends? A fated meeting at Heaththrow airport with Zariel Daniel, wh... Leer todo",124,suamiku encik perfect 10!,2015
82,6.2,Faisal Ishak,Alfie Palermo,"Directed by Faisal Ishak, the film is the sequel to the first ""Juvana"", it focuses more outside of school ground as Daim and the gang have graduated from Wira Bakti High School.",98,juvana 2,2015
83,-,Xuan Cuong,"['Van Le', 'Le Van Thao']",-,94,duong xuyên rung,2015
84,7.0,"['K.C. Amos', 'Dale Stelly']","['K.C. Amos', 'Dale Stelly']",-,-,tamales and gumbo,2015
85,-,Sunil Agesar,Dnyanesh Alkute,-,-,nayayaam,2015
86,-,Manjul Thakur,-,-,135,vijaypath,2015
87,6.7,Roberto Girault,"['Olivia Núñez', 'Juan Ignacio Peña', 'Roberto Girault']","A group of people dedicated to make the people dreams come true. An old man requests their service to make the dream of his wife come true. They have to act as her grandson and his wife, because she wants to see him again as her last wish.",90,ilusiones s.a.,2015
88,-,-,-,Reparto principal,-,tholipata,2015
89,6.0,Natalie Portman,"['Natalie Portman', 'Amos Oz']","The story of Amos Oz's youth, set against the backdrop of the end of the British Mandate for Palestine and the early years of the State of Israel. The film details the young man's relationship with his mother and his beginnings as a writer, while looking at what happens when the stories we tell become the stories we live.",95,a tale of love and darkness,2015
90,-,Joanna O'Connor,Joanna O'Connor,"Summer Light's take on Fyodor Dostoyevsky's psychological classic with just three actors. Dostoyevsky said that 'life is in ourselves and not in the external'. 'Crime and Punishment' is a compelling study on what can happen to a person whose focus becomes deeply negative. Watch for the characters that bring him light, for their compassion and resilience, and for Rasko... Leer todo",136,crime & punishment,2015
91,-,Hemantha Kumar,Hemantha Kumar,-,-,3 1/2,2015
92,-,Guga Coelho,Guga Coelho,-,90,a saga da alma de um poeta,2015
93,-,-,Tapan Mukherjee,-,-,phire aasboi,2015
94,-,Wyatt Steacy,-,"Perception follows the lives of three young unlikely best friends after high school, J.C, Mason and Seth. The three learn a lot about friendship and more about life as they deal with their individuals struggles of bullying, drug addiction and abuse at home. Somehow through all of this, they manage to find time to laugh and enjoy life together.",115,perception,2015
95,-,Yosuke Yamashita,"['Kôji Segawa', 'Yosuke Yamashita']","When mutilated body parts are found by the riverside in a small town and the search for a serial killer begins, an elementary school boy believes the actual culprit is a big white crocodile and sets about building a trap for it.",80,maboroshi,2015
96,-,Yasumasa Konno,Yasumasa Konno,-,95,yuki ka no nemuri,2015
97,-,Mari Kawakita,"['Mari Kawakita', 'Kazune Okada']",-,63,matsuri no hajimari,2015
98,6.2,Sanjeev Kumar Rajput,-,"Blood Relation is an Indian 2015 film, starring Jitendra Chahar, Divyanshi Bhadauriya, Sunny Thakur and is directed by Sanjeev Kumar Rajput.",-,blood relation,2015
99,-,Jorge Mencos,"['Everest Landa', 'Jorge Mencos']",-,-,atarraya,2015
100,-,Peter Watkins-Hughes,Peter Watkins-Hughes,"When a low-level cocaine dealer has his stash stolen and is forced into debt, he finds himself befriending a cocky and naive teenager to help pay off his overheads and shift a new batch of product.",-,the good drug dealer,2015
101,8.3,Jay Sukmo,"['Johansyah Jumberan', 'Sam Maulana']","Sam Maulana (Muhadkly Acho), Sobari (Ajun Perwira), Ajeb (Abdur Arsyad) promised to graduate together. But, it turned out that only Sam had not yet completed the final project (thesis).",107,catatan akhir kuliah,2015
102,-,Darasen Richards,"['Niran Aderogba', 'Conscian Morgan']","A classic story of grass to grace, Dare, must battle the powers that be, while grappling with the politics of the financial sector as he rises through the ranks to rival his former masters.",90,getting rich in lagos,2015
103,7.1,Guntur Soeharjanto,Cassandra Massardi,"Carrie (Mentari De Marelle) now is a tour guide in her favorite city, Verona. However, the past continues to chase him. Suddenly he got a mysterious letter from Romeo, who invited him to meet in Venice during the Carnivale event.",82,ldr 2: where is my romeo,2015
104,7.1,Guntur Soeharjanto,Cassandra Massardi,"Carries (Mentari De Marelle) dream to go to Verona, Juliet's city residence, has been answered. From childhood, Carrie had fallen in love with the story of Romeo and Juliet. Carrie believes, there must be a Romeo for her.",90,ldr,2015
105,6.1,Ardy Octaviand,"['Nataya Bagya', 'Ardy Octaviand']",Three men have something in common: womanizer and no respect for women. Their lives change when they meet with a woman who condemned their behavior. They search for redemption that brings them to the reality that they have never imagined.,86,3 dara,2015
106,7.2,Raymond Handaya,"['Raymond Handaya', 'Away Martianto', 'Hilman Mutasi']","After rescuing a nursing home from bomb threats, Gito (Deddy Mahendra Desta) and Rojak (Judika Sihotang) became acquainted with Abdur (Abdur Arsyad). They met again when they were given the task of fostering prospective firefighters, under the leadership of Commander Dicky (Bucek Depp).",99,si jago merah 2: air & api,2015
107,6.7,Hestu Saputra,"['Aguk Irawan M.N.Rahabi Mandra', 'Ainun Najwa']",A designer falls in love with a graduate student in Yogyakarta.,119,air mata surga,2015
108,-,Jack Dalton,"['Jack Dalton', 'Sammie Dibbern']","Mortalitus has climbed back to power. Now, Elizabeth Tucker must join the remaining Conservators and uncover the secrets of the past in order to battle against Mortalitus and his growing army of Dark Spirits in the Sacred Realm.",164,conservators iii: light & darkness,2015
109,7.1,Claudio Caligari,"['Claudio Caligari', 'Giordano Meacci', 'Francesca Serafini']","Vittorio and Cesare are brothers for life, but their friendship is put to the test in their search for wealth.",103,non essere cattivo,2015
110,7.0,Jean-Marc Vallée,Bryan Sipe,-,101,demolition,2015
111,6.4,Ken Kwapis,"['Michael Arndt', 'Bill Holderman', 'Bill Bryson']",-,104,a walk in the woods,2015
112,9.6,Awi Suryadi,"['Priesnanda Dwisatria', 'Fauzan Indra Adisuko', 'Agnes Danovar']","For Rasya, nothing matters more than following the track laid down by his father: be good in school, get into a good college, be a good civil servant. That is the way to happiness and anything else are merely distractions. However, after one misadventure to a red-light district and chance meeting with a free-spirited sex worker named Eva, Rasya begins to question his ... Leer todo",106,bidadari terakhir,2015
113,-,Wisnu Adi,"['Priesnanda Dwisatria', 'Rio Sutanto', 'Ichwan Persada']",-,119,miracle: jatuh dari surga,2015
114,-,Oguz Gözen,Incilay Özdemir,-,85,yagmurlu gecede,2015
115,-,Carlos Amorales,Carlos Amorales,-,-,el no me mires,2015
116,9.0,Werner Fritsch,Werner Fritsch,-,-,faust sonnengesang ii,2015
117,5.2,Chae Gil Byoung,-,Twenty year-old Ki-Chan lives alone with his father. One day his stepmother comes to live with them. She tries to be friendly with Ki-Chan but he approaches her as a woman and after that Their relationship turns into something dangerous.,95,jeolmeun eomma 3,2015
118,-,"['Samantha García', 'Emanuel Montijo']",Anett Oros,-,-,intermitencia,2015
119,-,Parameshwar,Parameshwar,"A group of four friends live life on their own terms and spend a major part of their lives in a tea stall. However, a local gangster wreaks havoc in their lives.",155,maamu tea angadi,2015
120,-,Pauline Harris,Karen Brown,-,45,the mark,2015
121,-,Jared Goudsmit,"['Eli Boshara', 'Jared Goudsmit', 'Sam Puryear']",A mysterious ethicist hires a blunt representative to help four troubled teens.,47,the ethicist,2015
122,-,Celia de Wolff,Paul Dodgson,-,45,the mermaid of zennor,2015
123,-,Pablo de Antuñano,José Luis Trejo,"Genaro Basurto is a good employee in his position as a financial advisor, at 45 he discovers that he is trapped in the monotony of work and family. Realizing that his life is slowly slipping away from him, he meets Nina, a beautiful young woman, outgoing, cheerful and with a desire to live without ties to something or someone, quite the opposite of how his life has be... Leer todo",-,la huésped,2015
124,8.2,G.A. Villafuerte,G.A. Villafuerte,-,72,"awra: taong mapanira, isip ay sira!",2015
125,-,Liza Rachenko,-,A young girl accidentally hears a conversation between two FBI agents and discovers that she might be the only one who holds the key to saving the United States from an atomic bomb.,-,the eavesdropper,2015
126,-,Roosevelt Jackson,Roosevelt Jackson,-,-,life according to rasheada,2015
127,-,Declan Clarke,Declan Clarke,-,-,the most cruel of all goddesses,2015
128,-,Mustafa Boukertas,"['Oudjana Hammou', 'Hachehouch Nacer']",-,-,tisret nimazouar,2015
129,6.5,Stephen Herek,"['David Paterson', 'Katherine Paterson']",12-year-old wisecracking Gilly Hopkins finds herself shuffled from foster home to foster home until she meets Maime Trotter.,99,the great gilly hopkins,2015
130,-,Andrew Proctor,William Shakespeare,"Scotland PLC is the most financially powerful business firm in the country. Under the governing rule of Queen Duncan, who through the corporate victories of Macbeth and Banquo, stands unopposed after quelling a civil dispute within the company. She now grants Macbeth a promotion to, Thane of Cawdor however, he has already been informed of this proclamation by three we... Leer todo",105,macbeth,2015
131,4.8,Glenn Chan,David L. Chang,-,70,two boys and a mermaid,2015
132,5.5,"['K.C. Amos', 'Dale Stelly']","['K.C. Amos', 'Alonzo Douglas']","Runaway Tracy is snatched from a dangerous L.A. neighborhood by sadistic thugs while searching for her homeless boyfriend. Her police detective mom races against time to rescue Tracy from the big money, high crime world of sex trafficking.",91,mercy for angels,2015
133,8.3,Elanor Togliatti,-,Omar Ney is a 200-year-old sorcerer doing good works for humanity. He is powerful; but can he fend off great challenges to his purpose here and meet his destiny before his time on earth runs out?,-,the sorcerer,2015
134,-,-,-,Reparto principal,-,urban street,2015
135,-,Mahendra Gour,Murari lal Pareek,"Mero Badloo film is based on portrays a drug mafia in Rajasthan. in this movie, Mahendra Gaur Is the lead actor and director of this movie. this movie launched only in Rajasthan cinemas.",-,mero badloo,2015
136,7.2,"['Harold Reitman', 'Bernard Salzmann']",Harold Reitman,"When Rachel Lehrer (Darby Stanchfield of ABC's hit TV show ""Scandal""), a young girl challenged with undiagnosed Asperger's Syndrome (ASD), leaves her overprotective parents for the freedom of college at prestigious Somerton Tech University, her hopes for a future in the field of mathematics are high. Instead, her college life is turned upside down by a two-faced roomm... Leer todo",90,the square root of 2,2015
137,4.6,Rouzbeh Heydari,Jamshid Heydari,"A young couple named Maryam and Saeed, with minimal facilities and income, live the first eight months of life with difficulty and without financial support. Saeed is looking for a good job, but he is having problems",90,together again,2015
138,5.4,Cameron Crowe,Cameron Crowe,-,105,aloha,2015
139,8.0,Jhulan Krishna Mahanta,"['Dharmajyoti Baruah', 'Jhulan Krishna Mahanta', 'Rontu Mahanta']",A small group of friends through their upstream journey along the Brahmaputra in a small ship from the smallest to the largest river island.,111,nodi mathu boi,2015
140,-,Otto Schenk,-,-,149,fidelio,2015
141,-,Xu Hongjun,Min Cui,-,98,ju zi de tian kong,2015
142,-,Joel Lamangan,"['Ricky Lee', 'Joel Lamangan']",Sekyu (The Guard) is a story about an ordinary and simple man who tries to live with his family in a less complicated manner but within the bounds of what is right and correct despite the temptation of doing otherwise.,105,sekyu,2015
143,-,Toni Te,G.A. Villafuerte,-,93,haplos,2015
144,5.9,Mika Kaurismäki,"['Michel Marc Bouchard', 'Linda Gaboriau']",-,106,the girl king,2015
145,-,Sergei Borchukov,-,-,-,za chuzhie grekhi,2015
146,-,Mozhgan Bayat,Mozhgan Bayat,-,84,child of earth,2015
147,-,Jilani Saâdi,-,"On tour, Ali, the singer and Chiraz, the dancer, as they travel Tunisia, they open the way to their forbidden love, but their relationship must remain secret, Ali is married and father of a child, he deceives his wife who stayed in Tunis. The illegitimate couple is torn on all sides.",105,dans la peau,2015
148,-,Yoon Dong-Hwan,Yoon Dong-Hwan,-,79,dogpa,2015
149,3.9,Seok-ho Kyeong,-,-,94,hasugjib,2015
150,5.7,Kapil Chazhoor,Radhakrishnan,-,-,kerala today,2015
151,-,Kasper Faulkner Lewis,Kasper Faulkner Lewis,-,-,pimp,2015
152,-,Dhamma Surya,Sidharth Sahebrao Hiwrale,-,145,bhima cha wagh,2015
153,6.0,Craig Richards,Mark Donnell,"With The endless availability of information over the internet, it has turned the business sour and dealerships are closing their doors nationwide. Now the sleazy car dogs are going to use any kinky way to fire up some sales by any means possible.",92,extremely used cars: there is no hope,2015
154,-,Alonso O. Lara,"['Angie Chavez', 'Faustino Martinez']",-,-,el trailer de la muerte,2015
155,6.4,Afonso Poyart,"['Sean Bailey', 'Ted Griffin']",-,101,solace,2015
156,-,"['Danny Torres', 'Matthew Dyer']",Matthew Dyer,"After crossing the US border, two undocumented immigrants must run for their lives while being hunted by two vigilante minutemen.",72,mano a mano,2015
157,6.3,Ali Ghavitan,Ali Ghavitan,Sara and her son Amir live in dry and harsh mountains and face hardship and obstacles while trying to preserve their coal mine.,82,aseman-e abi-e madaram,2015
158,-,Ernesto Solis,-,-,-,longe demais não é suficiente,2015
159,-,Sameer Athalye,-,Based on life of Shepard community the hardships they face in today's fats growing modern life with cast and creed discrimination.,-,dhangarwada,2015
160,-,K. Munisankar,-,-,-,kizhakke udhiththa kaadhal,2015
161,-,K.S. Vijayabalan,K.S. Vijayabalan,-,121,vettaiyadu,2015
162,-,Ali Akbar,-,-,-,appavi kateri,2015
163,-,Raghavendra,-,-,145,vishayam veliye theriya koodadhu,2015
164,3.8,Senthil Sel Am,Senthil Sel Am,-,119,thiru.vi.ka.poonga,2015
165,-,Sri Arun,-,-,-,thavarana pathai,2015
166,-,Agni,Agni,-,118,manitha kadhal alla,2015
167,-,Vincent Jayaraj,-,-,-,aroopam,2015
168,-,Jayantan,-,Patra tells the story of an innocent youth who gets caught between the politics of two gangsters and how smartly he overcomes the same. This is an action-thriller that promises an explosive climax.,110,patra,2015
169,-,Vinubharati,-,-,143,mooch,2015
170,-,Mani Bharathi,Mani Bharathi,-,125,vethu vaettu,2015
171,-,Annadurai,M.S. Anna Durai,-,113,k3,2015
172,-,Konda Rajesh,-,-,-,mandodari,2015
173,-,K. Bhaskar,-,-,128,kaala kattam,2015
174,-,Yuki Kuwazuru,Yuki Kuwazuru,"This is a story of brothers in Japan. The younger brother hires a girl to help the disabled older brother with jacking off, but when both of them fall in love with the helper.",62,(not) perfect human,2015
175,-,M.D. Sukumaran,M.D. Sukumaran,"Kathamma elopes with her lover Sakthi, against the wishes of her parents and they settle in a hilly village, Nagamala. They live happily and make a livelihood as dhobis. Sakthi's elder brother Selvam comes to live with them. This is followed by tragic incidents in their life. Sakthi gets killed in an uncanny circumstance and Kathamma is forced to marry his brother Sel... Leer todo",132,kathamma,2015
176,-,Rajanish,-,"The story of the film revolves around Pandi (Karunas), who is sincere in his work, even when provoked. It is a comedy caper, which carries a message for the audience.",117,lodukku pandi,2015
177,-,P.C. Anbazhagan,-,-,150,nathikal nanaivathillai,2015
178,-,K.P. Ganesh,-,-,114,dhegam sudukuthu,2015
179,-,Sri Mahesh,-,-,106,sarithiram pesu,2015
180,-,Igore,Igore,-,148,vandha mala,2015
181,-,Gobu Balaji,-,-,-,paranjothi,2015
182,-,Radha Bharathi,Radha Bharathi,-,140,nanbargal narpani mandram,2015
183,-,Vinodh Kumar,-,"Sanjay, the lead character, buys a mysterious house in a village. He gathers his friends and sets off on a mission to find out the hidden truth. The house is haunted, and Sanjay is curious to know why. Meanwhile, two of his friends are killed during their stay in the house. The quest to identify the murderer continues.",118,maharani kottai,2015
184,-,Janaa Venkat,Janaa Venkat,-,142,manadhil oru maatram,2015
185,-,Anand .B.,Anand .B.,-,113,guru sukran,2015
186,-,Mohan .P.,Mohan .P.,-,146,oru thozhan oru thozhi,2015
187,-,Santhosh Gopal,Santhosh Gopal,-,140,orae oru raja mokkaraja,2015
188,-,R.K. Parasuram,-,-,128,kalai vendhan,2015
189,-,Anbu .G.,Anbu .G.,"The film revolves around a college student, named Kaushik. The perception of love by today's youth is revealed through his life span of five years from schooling to graduation. The story unfolds through the protagonist and the four girls he comes across in his life during that period.",116,iruvar ondranal,2015
190,-,N. Pathu,N. Pathu,-,128,needhane en kovil,2015
191,-,Samy Manithan,-,-,112,azhage illatha azhagana kathai,2015
192,-,Syed Ibrahim,-,-,-,puriyadha anandam puthithaga arambam,2015
193,-,S.R. Balakrishnan,S.R. Balakrishnan,-,161,kadhal ilavasam,2015
194,-,P. Paneer Selvam,P. Paneer Selvam,-,132,iru kadhal oru kadhai,2015
195,-,M.B. Rajadurai,M.B. Rajadurai,-,97,nirayutham,2015
196,-,J. Rithan,J. Rithan,-,-,illaignar paasarai,2015
197,7.4,R. Saravanan,-,-,-,kaththukkutti,2015
198,-,V.S. Praba,V.S. Praba,-,125,viraivil isai,2015
199,-,Bala Srinivasan,Bala Srinivasan,-,135,iniya ulavaga,2015
200,-,S. Saha,-,-,130,injimarappa,2015
201,-,Suresh Saran,Suresh Saran,-,-,akila muthalam vaguppu,2015
202,-,Rahul,Rahul,-,92,kring kring,2015
