,titulo,anio,puntuacion_rotten
201,"Travaux, on sait quand ça commence...",2005,
202,"Stress, Orgasms, and Salvation",2005,
203,Rumor Has It...,2005,
204,Miracolo a Palermo!,2005,
205,The Indie Pendant,2005,
206,Dead Meat,2005,37
207,Duane Hopwood,2005,55
208,Down and Derby,2005,22
209,Slapdash,2005,
210,Je préfère qu'on reste amis,2005,35
211,Herbie Fully Loaded,2005,
212,Out on a Limb,2005,20
213,The Man,2005,12
214,The Ice Harvest,2005,47
215,Take Out,2005,100
216,Som man bäddar...,2005,
217,Chanthupottu,2005,-
218,Brooklyn Lobster,2005,47
219,The Baxter,2005,32
220,Bab el web,2005,
221,C.R.A.Z.Y.,2005,100
222,Say Uncle,2005,16
223,"Tu vas rire, mais je te quitte",2005,
224,Hating Alison Ashley,2005,51
225,The Big White,2005,30
226,The Helix... Loaded,2005,
227,Avant qu'il ne soit trop tard,2005,
228,The Great New Wonderful,2005,73
229,Csak szex és más semmi,2005,
230,Ivkova slava,2005,
231,Iznogoud,2005,16
232,Casanova,2005,45
233,The Sisterhood of the Traveling Pants,2005,82
234,Rose Woes and Joe's,2005,
235,Solkongen,2005,
236,The Lady from Sockholm,2005,
237,Roll Bounce,2005,66
238,The Ape,2005,26
239,Everything Is Illuminated,2005,66
240,Sky High,2005,73
241,Shut Up and Shoot Me,2005,
242,Suits on the Loose,2005,53
243,The 40 Year Old Virgin,2005,
244,Nearing Grace,2005,48
245,The Moguls,2005,
246,Zathura: A Space Adventure,2005,
247,Wit's End,2005,
248,El amor - primera parte,2005,78
249,Barfuss,2005,
250,Skrítek,2005,
251,The Chumscrubber,2005,37
252,Dobro ustimani mrtvaci,2005,
253,Transamerica,2005,77
254,Szöke kóla,2005,
255,Dirty Deeds,2005,7
256,The Truth About Love,2005,0
257,Sílení,2005,
258,Pooh's Heffalump Movie,2005,80
259,Príbehy obycejného sílenství,2005,
260,Complete Guide to Guys,2005,
261,Kamenák 3,2005,
262,Csudafilm,2005,
263,The Life and Hard Times of Guy Terrifico,2005,67
264,Le souffleur,2005,
265,Voksne mennesker,2005,
266,Knetter,2005,
267,Les poupées russes,2005,
268,Espace détente,2005,
269,Shi cha qi xiao shi,2005,
270,Guy X,2005,42
271,Marilyn Hotchkiss' Ballroom Dancing & Charm School,2005,
272,Bad News Bears,2005,48
273,Love Wrecked,2005,14
274,Hrubes a Mares jsou kamarádi do deste,2005,
275,Kids in America,2005,17
276,On a Clear Day,2005,69
277,Broken Flowers,2005,87
278,Return of the Living Dead: Necropolis,2005,16
279,One Day in Europe,2005,61
280,Mi Mejor Enemigo,2005,
281,Return of the Living Dead: Rave to the Grave,2005,16
282,Breakfast on Pluto,2005,58
283,Tout pour plaire,2005,
284,Vinnare och förlorare,2005,
285,Brice de Nice,2005,
286,L'antidote,2005,
287,Brutal Incasso,2005,
288,Quartier V.I.P.,2005,
289,Little Manhattan,2005,77
290,Seven Days of Grace,2006,
291,Viúva Rica Solteira Não Fica,2006,
292,Live Freaky Die Freaky,2006,73
293,Death of a Saleswoman,2006,
294,Funny Money,2006,43
295,How to Go Out on a Date in Queens,2006,22
296,Mothers and Daughters,2006,18
297,Ozzie,2006,
298,Obsluhoval jsem anglického krále,2006,
299,The Worst Day Ever,2006,
300,Free Jimmy,2006,10
301,Raising Flagg,2006,23
302,Happily N'Ever After,2006,6
303,Waitin' to Live,2006,0
304,Cars,2006,75
305,Neil's Party,2006,
306,Over the Hedge,2006,75
307,The Creature of the Sunny Side Up Trailer Park,2006,
308,1972,2006,
309,Goose on the Loose,2006,
310,Meteoro,2006,
311,Arthur en de Minimoys,2006,
312,Life on Mars,2006,100
313,The Science of Sleep,2006,70
314,"Wood & Stock: Sexo, Orégano e Rock'n'Roll",2006,
315,The Quest,2006,25
316,Lurking in Suburbia,2006,
317,Love Hollywood Style,2006,
318,Scary Movie 4,2006,34
319,Tenacious D in The Pick of Destiny,2006,
320,Art School Confidential,2006,36
321,Shortbus,2006,69
322,Happy Feet,2006,76
323,Superhero Excelsior,2006,
324,Mi fiesta de casamiento,2006,
325,Astérix et les Vikings,2006,
326,American Scary,2006,50
327,Gray Matters,2006,8
328,I'll Believe You,2006,21
329,A-List,2006,
330,The Naked Ape,2006,
331,Kisses and Caroms,2006,40
332,The Penalty King,2006,
333,Curious George,2006,70
334,The Pink Panther,2006,21
335,Love Comes to the Executioner,2006,50
336,Zoom,2006,4
337,Accepted,2006,38
338,Sajtóvadászat,2006,
339,Monster House,2006,75
340,Idiocracy,2006,71
341,My First Wedding,2006,0
342,Matti,2006,26
343,The West Wittering Affair,2006,44
344,Click,2006,34
345,Swarm of the Snakehead,2006,-
346,I Want Someone to Eat Cheese With,2006,73
347,Forget About It,2006,18
348,Sportman van de Eeuw,2006,
349,The Shaggy Dog,2006,26
350,The Ugly Duckling and Me!,2006,
351,Catch and Release,2006,22
352,Egyetleneim,2006,
353,Arizona sur,2006,
354,Just My Luck,2006,14
355,Suspiros del corazón,2006,
356,My Bollywood Bride,2006,31
357,Cattle Call,2006,
358,Grad Night,2006,
359,Avril,2006,
360,Open Season,2006,49
361,"Paris, je t'aime",2006,86
362,A Good Year,2006,26
363,Comme tout le monde,2006,
364,Americanese,2006,
365,Think Tank,2006,57
366,Rang De Basanti,2006,89
367,Irish Jam,2006,42
368,The Wild,2006,19
369,Southland Tales,2006,41
370,Cloud 9,2006,67
371,The House,2006,97
372,Pucked,2006,
373,Full Grown Men,2006,44
374,Last Holiday,2006,55
375,East Broadway,2006,
376,Prachy delaj cloveka,2006,
377,Taxidermia,2006,81
378,Grilled,2006,21
379,The Alibi,2006,-
380,Thanks to Gravity,2006,-
381,29 Reasons to Run,2006,
382,Delirious,2006,83
383,Barnyard,2006,
384,Peregon,2006,
385,Mr. Fix It,2006,37
386,Keeping Up with the Steins,2006,36
387,Charlotte's Web,2006,79
388,Talladega Nights: The Ballad of Ricky Bobby,2006,71
389,Kalamazoo?,2006,80
390,Bandidas,2006,56
391,Pledge This!,2006,
392,Comedy Hell,2006,
393,Unbeatable Harold,2006,
394,The Surfer King,2006,21
395,Der rote Kakadu,2006,
396,Novel Romance,2006,-
397,En soap,2006,
398,"Jeste ziju s vesákem, plácackou a cepicí",2006,
399,The Latin Legends of Comedy,2006,
400,Living the Dream,2006,0
401,A Prairie Home Companion,2006,81
402,Phir Hera Pheri,2006,67
403,Goldene Zeiten,2006,
404,Pittsburgh,2006,48
405,Find Me Guilty,2006,63
406,"Sexo, amor y otras perversiones",2006,
407,Stranger Than Fiction,2006,73
408,The Marine,2006,17
409,Screaming Blue Murder,2006,
410,Bickford Shmeckler's Cool Ideas,2006,
411,Man About Town,2006,38
412,Big Momma's House 2,2006,5
413,The Guatemalan Handshake,2006,
414,Hatchet,2006,57
415,The Oh in Ohio,2006,23
416,American Blend,2006,
417,Flushed Away,2006,73
418,Leabet el hob,2006,
419,Clerks II,2006,63
420,Mini's First Time,2006,54
421,Fifty Pills,2006,33
422,Outsourced,2006,76
423,Trailer Park Boys: The Movie,2006,57
424,Play It by Ear,2006,100
425,Employee of the Month,2006,20
426,Relative Strangers,2006,31
427,Confetti,2006,57
428,Failure to Launch,2006,23
429,Just Another Romantic Wrestling Comedy,2006,20
430,Hui Buh: Das Schlossgespenst,2006,
431,Hollywood Dreams,2006,39
432,Il caimano,2006,
433,The Darwin Awards,2006,25
434,Shaadi Karke Phas Gaya Yaar,2006,
435,Toute la beauté du monde,2006,
436,Little Man,2006,12
437,Waltzing Anna,2006,0
438,Der Räuber Hotzenplotz,2006,-
439,Aquamarine,2006,52
440,Stick It,2006,32
441,Rock House,2006,
442,Sandwich,2006,39
443,Rabbit Fever,2006,35
444,Sejtanov ratnik,2006,
445,The Ant Bully,2006,62
446,Nitro,2006,
447,Finding Preet,2006,60
448,Live Free or Die,2006,40
449,Jak se krotí krokodýli,2006,
450,Everyone's Hero,2006,41
451,Material Girls,2006,4
452,El don de la duda,2006,
453,Dios los junta y ellos se separan,2006,
454,Wrinkles,2006,93
455,Shut Up and Shoot!,2006,68
456,Late Night Girls,2006,
457,Friends with Money,2006,72
458,The Last Kiss,2006,46
459,Beur blanc rouge,2006,
460,Creatures from the Pink Lagoon,2006,-
461,Nina's Heavenly Delights,2006,16
462,Return of the Jackalope,2006,
463,East Side Story,2006,56
464,Something New,2006,61
465,Pacala se întoarce,2006,
466,Behind the Mask: The Rise of Leslie Vernon,2006,76
467,The Benchwarmers,2006,13
468,These Foolish Things,2006,46
469,Fat Girls,2006,32
470,Snuppet,2006,
471,Ice Age: The Meltdown,2006,56
472,Jopog manura 3,2006,
473,Irma Vap: O Retorno,2006,
474,Cyxork 7,2006,0
475,Slither,2006,87
