,0
0,Kees Scholten
1,Michael O'Neill
2,Emily Woof
3,Davide Dragonetti
4,Tracey Walter
5,Judith Kaplan
6,Antoine Chappey
7,Luciano Virieux
8,Tom Wisdom
9,Jackie Martling
10,Laura Cerón
11,Chad Lindberg
12,Kim Murphy
13,Cristos
14,Carlos Julio Molina
15,Mikhail Krylov
16,Mitre
17,Lyudmila Aleksandrova
18,Eva Fisher
19,Jorge Richter
20,Stelio Savante
21,Rona Hartner
22,Lucia
23,Gary Cruz
24,Silvester Bozic
25,Valeri Ross
26,Philippe Harel
27,Sofia Bertolotto
28,Tara Ellis
29,Brendan Fletcher
30,Valter Skarsgård
31,Andreas Beckett
32,Bastian Trost
33,Scott Caan
34,Jennifer McComb
35,Maria Emília Correia
36,Janan Raouf
37,Barry Papick
38,Jeanne Tripplehorn
39,Mark Christopher Collins
40,Bharat Dabholkar
41,Leslie France
42,Angéline Tischi
43,Pierre Bokma
44,Laurence De Greef
45,Zdenek Rauser
46,Rob Mallard
47,Susanne Walbaum
48,Thomas Jay Ryan
49,Björn Kjellman
50,Luchisha Evans
51,Moritz Alioto
52,Chris Fisher
53,Valérie Stroh
54,Kim Travis
55,Karen LaKritz
56,Wayne Blair
57,Juston McKinney
58,Teresa Roby
59,Martin Feifel
60,Adam Goldberg
61,Rance Howard
62,Craig Armstrong
63,Reine Brynolfsson
64,Koen De Bouw
65,Reg Evans
66,Walking Woman
67,Karoline Teska
68,Veronica Duffy
69,Gracy Singh
70,Isaiah Washington
71,Carrie Fisher
72,Matthew Settle
73,Sarah Jones
74,Orlando Costa
75,Jamie Sweeney
76,Sólveig Arnarsdóttir
77,Igor Mirkurbanov
78,Michel Galabru
79,Miquelina Barros
80,Jack Noseworthy
81,Tatu Friman
82,Lisa Werlinder
83,Jaason Simmons
84,Kris Park
85,Olivier Nilson
86,C. Anthony Jackson
87,Annie Abbott
88,Mónika Berke
89,Tomás Novotný
90,Alexander Roos
91,Cécile Reigher
92,Lindley Joyner
93,Cy Carter
94,Lilia Barsegian
95,Christopher Moynihan
96,Katja Riemann
97,Krissy Shields
98,Laurent Spielvogel
99,Russell Porter
100,Jarvis W. George
101,Michelle Carano
102,Melanie Doane
103,Wilson Cruz
104,Jon Lange
105,Karl Oscar Törnros
106,Franck Khalfoun
107,Elkin Díaz
108,David Holt
109,Larisa Oleynik
110,Stewart
111,Florent Pagny
112,Sam Dobbins
113,Otto Tausig
114,Yasiin Bey
115,Christophe Sermet
116,Bruce McGill
117,Estella Warren
118,Olga Merediz
119,Rideaux Baldwin
120,Adam LaVorgna
121,Surekha Sikri
122,Wayne Armstrong
123,Brooke Marie Bridges
124,Prem Kumar's mom(as Rima)
125,Dilip Joshi
126,Nelson Gonçalvez Criança
127,Isabelle Huppert
128,Belle
129,Ivana Bolanca
