puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,6.4,Chris Sendrowski,Chris Sendrowski,"""He was a doctor...a soldier and an unwitting murderer."" ""Down That Road and Back"" is an epic story that unravels over many years, from the war-torn countryside to the decimated suburbs of America. After a massive earthquake devastates the west coast, a battle for land ensues, where East versus West in a second civil war; each side struggling for safe ground. It's a t... Leer todo",39,Accion,down that road and back,tt0388902
,-,Zeyad Alhusaini,"['Zeyad Alhusaini', 'Michael Leo Shea']","In the world of organized crime and contract killers, Guy #1 is about to do his first big job. Triggered by anxiety his mind blurs the line between what is real and what is imagined, catapulting him into a hyper-kinetic action trip.",33,Accion,the pure,tt0400754
,5.6,Kôichi Ôhata,Daisuke Okamoto,"In this non-canonical entry in the Resident Evil/Biohazard franchise, five members of the U.B.C.S. are sent to Racoon City to trace Dr. Cameron and, foremost, her research. However, the horrors they encounter are beyond their imagination.",19,Accion,biohazard 4d: executer,tt0460411
,-,"['René Gyldensten', 'Jacob Weinreich']",-,"While watching football on the telly with a friend, three youngsters win a large bet. One of the friends grab the coupon and runs off. Now the other two wants revenge - and their part of the money.",20,Accion,dongsters,tt0470041
,-,Shane Boroomand,-,"Zak and his girlfriend Stella work at an upscale Italian Restaurant. But today is anything but normal, as Zak gets himself in hot water with a group of shady customers. The chase is on as Zak fights the rude customers inside and outside the fine eatery. ''If you can't stand the heat, get out of the kitchen!''",-,Accion,an italian take-out,tt0759921
,-,Razor Rizzotti,Razor Rizzotti,-,-,Accion,lucha libre life,tt10855508
,-,Derek Barclay,Derek Barclay,"University Media Tech short film from the year 2000. HIDDEN TIGER is the story of a Karate student who gets mugged while jogging in a forest and finds his Karate no match for his opponent's martial arts street fighting. Disillusioned with Karate, he joins a Jeet Kune Do school where Master Lee teaches him to free himself from the limitations of his style. Later on he ... Leer todo",-,Accion,hidden tiger,tt10942172
,-,"['Michael Cruickshank', ""Will O'Loughlen"", 'Kaleo Quenzer']","['Michael Cruickshank', ""Will O'Loughlen"", 'Kaleo Quenzer']","Blown Again, the sequel to our first short, Blown, follows the continuing action-filled life of Joe, (played by FGF's Kaleo Quenzer) the rock-and-roll modern-day gangster. In this installment, Joe attempts to recover a briefcase full of money from a new gang - and this time the hot chicks aren't all on Joe's side. More karate kicks, car chases and gun-play than you co... Leer todo",10,Accion,blown again,tt11996952
,-,Marcel Belledin,Marcel Belledin,-,2,Accion,legolomo die 2te,tt12384248
,-,Marcel Belledin,Marcel Belledin,-,2,Accion,legolomo,tt12384242
,7.3,Ivan Petrovic,"['Ivan Petrovic', 'Nikola Zavisic']",-,11,Accion,srbokap,tt1293826
,-,Peter Van Lengen,Peter Van Lengen,"In 1902, two bandits rob a train. It gets out of control when the dollar bills they stole get used as ordinary paper.",-,Accion,el dolarado,tt13173904
,-,Mark Philipp Espina,Mark Philipp Espina,Steadi's has 10 hours to repay the Gypsy Gang Boss Geezah what he is owed or he will be fed to the dogs.,18,Accion,steadi,tt13321492
,-,Gary Hawkins,-,-,-,Accion,boy and dog,tt1381536
,-,Scott Meyer,Michael Posniak,-,20,Accion,crossings,tt1437421
,-,-,-,Ver la información de la producción en IMDbPro,2,Accion,millionaire,tt15035780
,-,Ross Boyask,Ross Boyask,A young fighter turns against his mobster boss and is determined to fight for his freedom.,20,Accion,six grand slam,tt1757858
33,-,Olivier Chateau,Olivier Chateau,-,10,Accion,chase,tt1773334
,-,Manos Schetto,Manos Schetto,-,-,Accion,fygi,tt1929251
,-,"['Ryan Mc', 'Donald']","['Ryan Mc', 'Donald']",-,-,Accion,the smell of napalm,tt1994583
,-,Kouichi Irikura,-,-,-,Accion,chinpira,tt2007359
,-,John Placencia,"['John Placencia', 'Brandon Talbert']",A group of wise guys plot to heist an armored truck. Their plans change once a rat is discovered.,-,Accion,"the canary who could sing, but he couldn't fly",tt2113790
