puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,6.7,['Ágnes Kocsis'],"['Ágnes Kocsis', 'Andrea Roberti']",-,136,Drama,pál adrienn,tt0146592
,4.6,['Miklós Jancsó'],['Miklós Jancsó'],-,100,Drama,oda az igazság,tt0154039
,6.9,['Bence Miklauzic'],"['Balázs Maruszki', 'Bence Miklauzic', 'Gábor Németh']",-,89,Drama,a zöld sárkány gyermekei,tt0162942
,8.9,['R.J. Adams'],"['Diane C. Adams', 'R.J. Adams', 'Paul Kirby']",-,-,Drama,the final journey,tt0230212
13,5.5,['Allen Wolf'],['Allen Wolf'],A sleepwalking sexaholic masseur wakes up covered in blood next to a bloody knife with cops ringing his doorbell.,104,Drama,in my sleep,tt0326965
-,7.7,['Frankie J. Mosca'],"['Frankie J. Mosca', 'Sal De', 'Lucia', 'Ande Cira']","Awakening from a near fatal overdose, Chris embraces a second chance at life. Required to enroll into a 12-Step Program, and mandated to state psychiatrist appointments, Chris is forced to revisit his chaotic past; a history that revolves around his friend Ande and her autistic brother Frankie. Follow Chris as his past and present converge revealing a deranged cocktai... Leer todo",99,Drama,this wretched life,tt0331312
,7.2,['Douglas A. Raine'],"['Jimmy Lifton', 'Paulette Victor Lifton', 'Virginia Perfili']",-,-,Drama,blind sided,tt0337882
,5.8,['Jerome Elston Scott'],['Jerome Elston Scott'],"Nick Anderson, Kevin Daniels, and Tracey Green do everything together. They are the best of friends, and yet they couldn't be more different. Neighbors from adolescence, they finish each other's thoughts and sentences, joys and pains, happiness and tears. Using Nick's house as their own members only clubhouse, they escape into their own world of contentment. Yet the i... Leer todo",98,Drama,anderson's cross,tt0393049
,6.9,['Carsten Brandt'],['Carsten Brandt'],An original story about a broken desperate film director.,280,Drama,den milde smerte,tt0396123
46,-,-,-,Ver la información de la producción en IMDbPro,-,Drama,capture the flag,tt0402887
