puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,-,Marcos Manhães Marins,Marcos Manhães Marins,-,15,Drama,chateaubriand - cabeça de paraíba,tt0115874
,-,Ayanna Floyd,Ayanna Floyd,An unhappy country music disc jockey's life changes when she meets a man in a convenience store.,23,Drama,nights,tt0138655
,6.0,Christopher Gotschall,-,"Jamie, an aspiring photographer and clumsy romantic, falls for his friend William, a pre-med student who's involved in a long-term relationship with an older man. Shared dance lessons and shared wine lead to shared beds. William wants Jamie but won't leave his partner. Confronting William and confronted by William's partner, Jamie begins to sort out the difference bet... Leer todo",21,Drama,caught,tt0142155
,-,"['Sebastián Lelio', 'Marialy Rivas']","['Sebastián Lelio', 'Marialy Rivas']","Technoculture and social restrictions, in Santiago de Chile, at the end of the millenium.",-,Drama,smog,tt0144613
,6.6,S. Leo Chiang,S. Leo Chiang,"The Kid has no money, no place to live and nowhere to go. He's done more than he cares to admit just to survive on the streets.The Man has lost the one he loved. He is losing his eyesight. He's selling all his possessions so nothing will be left to lose. Both are trapped, each alone until Fate brings them together one windy autumn night.",15,Drama,safe journey,tt0188189
,7.4,Trac Vu,Trac Vu,-,18,Drama,among others,tt0191782
-,6.2,Grant Barbeito,Grant Barbeito,A man prepares his suicide up to the point of perfection.,6,Drama,ruben,tt0194319
,5.0,Pedro Caldas,Jorge Silva Melo,-,7,Drama,o pedido de emprego,tt0195979
,6.2,Phillip Barker,Phillip Barker,-,22,Drama,soul cages,tt0202592
100,7.0,Mitch Levine,Arthur Lorenz,"Joshua and his father are among the Jewish prisoners in a concentration camp. When the assistant leader of their work crew is gunned down by mistake, the sadistic leader offers Joshua his place. He takes it, but at what price to his heritage and family?",24,Drama,shadows,tt0201919
