puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,7.7,Abbi Lake O'Neill,Abbi Lake O'Neill,"Kate McCarthy, a former teen sitcom star who trashed her life through drug abuse, is forced to live, fresh out of rehab, on the one remaining piece of property, her business manager, Charlie has kept out of foreclosure - a run-down apartment building in east L.A. With her one remaining trendy friend, Claire, who's still an addict and trapped in a loveless marriage, th... Leer todo",-,Comedia,surviving in l.a.,tt0446792
94,5.4,Robert Zemeckis,"['Robert Zemeckis', 'Kenya Barris', 'Guillermo del Toro']",-,106,Comedia,the witches,tt0805647
,7.0,Piotr Domalewski,Piotr Domalewski,-,98,Comedia,jak najdalej stad,tt10004368
,9.2,Tye Banks,"['Bo Alambis', 'Ampston Hews', 'Brian Isley']",Liquor House Comedy presents the Big 3 featuring stand up comedians Brian Isley (New York's Apollo Theater) Bo Alambis and Ampston Hews. None of these three comedians are a like. They all bring a unique style of stand up comedy.,46,Comedia,the big 3,tt10015802
,5.3,Jan Kounen,"['Fabrice Roger-Lacan', 'Jan Kounen', 'Vincent Lindon']",-,104,Comedia,mon cousin,tt10023150
,5.2,Moa Gammel,"['Henrik Engström', 'Mattias Grosin', 'Martin Widmark']",Lasse and Maja have had their detective agency shut down by the police chief when a customer ask for help to prove her father is innocent of the train robbery he was convicted of. Lasse and Maja now see their great chance to show off.,82,Comedia,lassemajas detektivbyrå - tågrånarens hemlighet,tt10039354
,4.7,Theodore Boborol,"['Daisy Cayanan', 'Marionne Dominique Mancol']",It follows Pat Reyes who is a hardworking hostel manager and online vegetable seller who trains her boss' hardheaded and exiled grandson as a hostel employee.,107,Comedia,james & pat & dave,tt10049262
0,4.4,Sam Macaroni,"['Sam Macaroni', 'Sean Bishop', 'Troy Duffy']",-,84,Comedia,guest house,tt10054316
22,6.9,Johannes Naber,"['Oliver Keidel', 'Johannes Naber']",-,108,Comedia,curveball,tt10051088
,3.5,Robert L. Parker III,"['Crystal Harris', 'Robert L. Parker III']","Four single women reunite together after not seeing each other in so many years. When they meet they discover that they haven't changed much. While together they have wild parties, drinking, dancing and other fun activities. Starring Kaymecia Garvins, Marie Richards, Robin Lee Ni... Leer todo",111,Comedia,girlfriend's reunited,tt10054604
100,8.7,Andrew Putschoegl,Sam Harris,"A live recording of Sam Harris's award-winning one-man musical performance, tracing his rise to stage stardom.",113,Comedia,ham: a musical memoir,tt10060772
,6.4,Icíar Bollaín,"['Icíar Bollaín', 'Alicia Luna', 'Lina Badenes']",-,97,Comedia,la boda de rosa,tt10077544
