puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,5.3,Crispin Glover,Crispin Glover,"What Is It? is a bewildering, unnerving, surreal, blackly comic film from the visionary mind of Crispin Glover that tells the inner and outer struggles of a young man facing villains and demons on multiple planes.",72,Drama,what is it?,tt0118141
,7.4,"['Tim Burton', 'Mike Johnson']","['Tim Burton', 'Carlos Grangel', 'John August']",-,77,Drama,corpse bride,tt0121164
67,4.6,Mikey Jackson,Mikey Jackson,"Neil, a punk rock vegetarian, is being forced to go into the family butcher business. He decides to save the world instead.",76,Drama,shooting vegetarians,tt0146272
29,5.3,William Kaufman,"['Holt Boggs', 'William Kaufman', 'Matt Beckham']","""The Prodigy"" tells the story of small-time enforcer Truman Fisher's vicious conflict with a sadistic assassin who has chosen the unwilling Truman to be his successor. The assassin, who goes by the alias Rains and whose exploits have become the source of legend among Truman's underworld colleagues, drives Truman, through the pressure of constant violence and grief, to... Leer todo",-,Drama,the prodigy,tt0160706
,7.2,Murad Gumen,Murad Gumen,-,-,Drama,eve's preyer,tt0187838
,6.4,Gabriela Tscherniak,Gabriela Tscherniak,One night in Berlin approaching the year 2000 - a portrayal of the city's youth experiencing the excesses of the Berlin nightlife.,45,Drama,berlin nights,tt0195551
,-,Derek Lebrero,Derek Lebrero,"At the end of his first love, Pace leaves on a road trip with his buddy and discovers that not even Thousands of Miles can clear his conscience.",-,Drama,thousands of miles,tt0196155
,-,Edward G. Norris,Edward G. Norris,Four narratives all dealing with infidelity. The husband who discovers his late wife had led a double-life; the cheating husband who can't bear the thought of his own wife's affair; an old man who dreams of the married woman who got away.,76,Drama,death-defying acts,tt0195565
49,5.0,Steve Balderson,"['Steve Balderson', 'Clark Balderson']","A young boy who lives in a dysfunctional home went to the carnival and met a singer. Shortly after, a murder took place. The town's sheriff is seeking answers. The singer is trying to escape her environment so is the boy. But both has to face their own horror.",112,Drama,firecracker,tt0204322
37,6.0,Roger Spottiswoode,"['Patricia Highsmith', 'William Blake Herron', 'Donald E. Westlake']",Professional swindler hides the death of a famous artist in order to earn money by selling pictures on his own behalf.,101,Drama,ripley under ground,tt0219171
,8.1,Robert Fleet,"['Robert Fleet', 'Stephan Szpak-Fleet']","A homeless dying veteran, trying to find a Unicorn he believes lives in the mountains above Los Angeles, convinces a Latina immigrant to join his quest, provoking a tragic-comic chase as they are followed by the Border Patrol and her Lowrider cousins.",97,Drama,last mountain,tt0234084
91,7.7,Deepa Mehta,"['Deepa Mehta', 'Anurag Kashyap']","Set in colonial India against Gandhi's rise to power, it's the story of 8-year-old Chuyia, who is widowed and sent to a home to live in penitence; once there, Chuyia's feisty presence deeply affects the lives of the other residents.",117,Drama,water,tt0240200
,7.2,Bashar Shbib,Bashar Shbib,"What's a girl to do when her biological clock is ticking, yet marriage and a husband are the furthest thing from her mind? SILENT MEN follows the trials and tribulations of one very modern-minded young woman, Patricia, as she tries to plan out her motherhood. With the enlisted help of her best friend Liam she interviews on video dozens of men to find a suitable potent... Leer todo",87,Drama,silent men,tt0242882
75,5.6,Chris Jaymes,Chris Jaymes,"The youngest son of a legendary Hollywood producer, a Robert Evans type, accepts a bribe from his father to document his death.",96,Drama,in memory of my father,tt0251744
20,4.9,W.W. Vought,W.W. Vought,"In the tradition of V for Vendetta, Underworld and X Men, Johnny Virus takes place in the Chicago Underworld of futuristic 1940's.",100,Drama,johnny virus,tt0263495
,7.9,Jeff Kennedy,Jeff Kennedy,A peek through the keyhole into a world tinged with mental instability. A place where patients and doctors help heal one another through shared faith and friendships.,115,Drama,heaven's neighbors,tt0279121
,7.0,Kraig Kuzirian,"['Raffi Alexander', 'Kraig Kuzirian', 'Anahid Nazarian']",Two cousins who were best friends as boys in Beirut reunite in Los Angeles 17 years later.,95,Drama,pomegranate,tt0279683
,6.9,Gustavo Corrado,Gustavo Corrado,"A young man murders a tango singer and, oppressed by guilt, begins a sinuous and obsessive path of redemption that will lead him to finally occupy the place left empty by the artist.",91,Drama,garúa,tt0283354
45,5.5,Barbara Kopple,"['Stephen Gaghan', 'Jessica Kaplan']",-,85,Drama,havoc,tt0285175
,6.9,David E. Rice,David E. Rice,A group of long time friends discover they are not who they thought they were on an evening out in the city.,94,Drama,lava lounge,tt0289275
,-,Néstor Lescovich,-,-,99,Drama,corazón voyeur,tt0288484
,6.7,Tristán Bauer,"['Tristán Bauer', 'Miguel Bonasso', 'Edgardo Esteban']",-,100,Drama,iluminados por el fuego,tt0288569
47,6.8,Chris Columbus,"['Jonathan Larson', 'Stephen Chbosky']",-,135,Drama,rent,tt0294870
41,6.0,Kayvan Mashayekh,"['Belle Avery', 'Kayvan Mashayekh']","Kamran is a 12-year-old boy in the present day who discovers that his ancestor is 11th-century mathematician, astronomer, and poet of Persia Omar Khayyam. The story has been passed down in his family from one generation to another, and now it is his responsibility to keep the story alive for future generations. The film takes us from the modern day to the epic past wh... Leer todo",95,Drama,the keeper: the legend of omar khayyam,tt0294806
41,5.1,Henry Jaglom,"['Victoria Foyt', 'Henry Jaglom']",A clothing designer tries to save her struggling boutique store by having a tumultuous weekend sale of her shop's inventory by playing on the addictions of shopping for the women of Beverly Hills.,106,Drama,going shopping,tt0295605
69,6.2,David Beaird,David Beaird,"After a series of bad relationships, a man orders a mail order bride and receives more than he bargained for.",107,Drama,the civilization of maxwell bright,tt0299135
,5.9,Dan Pita,Radu F. Alexandru,-,105,Drama,second-hand,tt0302189
39,3.3,Nick Gregory,"['Nick Gregory', 'Kirk Aanes']","Two married couples are about to give new meaning to the phrase Love Thy Neighbor. When these best friends become more than just friends, one simple game leads to another. A twisted comedy about relationships, deception, and consequences.",89,Drama,love thy neighbor,tt0304356
97,5.4,Raul Inglis,Raul Inglis,Life in the 50's with the hopper family !,-,Drama,better days,tt0308028
17,4.5,Elizabeth Dimon,Elizabeth Dimon,"Although reluctant to do so, island recluse Tess offers her home to two strangers, Sam and Nigel, allowing them to heal their wounds but desperate to get them out of her home.",-,Drama,terror island,tt0310022
43,4.8,Peter Wade,Peter Wade,"The true story of a suburban teenager whose one mistake leads to a life changing punishment. Peter Madigan, a 15-year-old from the suburbs commits a senseless act, causing a commuter train to derail killing the engineer.",92,Drama,tracks,tt0310243
67,8.6,Christopher Glatis,Christopher Glatis,"An intense and emotional one-day journey in the life of Hollywood down-and-out actor, as he descends into despair and revenge.",81,Drama,callback,tt0315354
0,4.4,Jordan Walker-Pearlman,Jordan Walker-Pearlman,A painter living in exile returns home where his family endured generations of racial violence. There he begins to fantasize the people around him as a series of portraits in order to bury the pain and find something beautiful to feel.,96,Drama,constellation,tt0315431
67,5.1,Monika Mitchell,"['Frank Cassini', 'John Cassini']","A talented, but struggling actor is willing to go to any length to get a job - including ""break a leg""... especially those of other actors.",98,Drama,break a leg,tt0315323
55,6.4,Wayne Wang,"['Kate Di', 'Camillo', 'Joan Singleton']",-,106,Drama,because of winn-dixie,tt0317132
,6.9,Eduardo Mignogna,"['Graciela Maglie', 'Eduardo Mignogna']","After the funeral of his daughter Ema, Frank Osorio travels for the first time to Buenos Aires to tell his granddaughter Alina about her mother's death. But Frank has two big secrets: the first one is about the identity of Alina's father and the second one is related to a crime.",92,Drama,el viento,tt0318765
71,6.5,Mike Mills,"['Walter Kirn', 'Mike Mills']",-,96,Drama,thumbsucker,tt0318761
,6.1,Atilio Perin,"['Jimmy La', 'Valle', 'Juan Carlos Muñiz']","Four retirees inexperienced in the art of crime, plan to kidnap a businessman for ransom.",88,Drama,dar de nuevo,tt0319250
40,7.3,Ridley Scott,William Monahan,-,144,Drama,kingdom of heaven,tt0320661
,2.8,Daniel Fridell,"['Daniel Fridell', 'Liam Leon', 'Grace Maharaj']",30-year-old Jon is released after seven years in prison and decides to put all his criminal activities behind him and start a new life.,90,Drama,blodsbröder,tt0321463
,-,Óscar Aizpeolea,Óscar Aizpeolea,-,115,Drama,el fuego y el soñador,tt0322346
,6.4,Alejandro Hartmann,Alejandro Hartmann,-,95,Drama,clon,tt0321722
,6.8,Ruba Nadda,Ruba Nadda,"One day, when Sabah least expects it, she falls in love with the wrong man. She's Muslim, he's not. Unbeknownst to her family, she goes on a whirlwind affair before both culture and love collide.",86,Drama,sabah,tt0325191
