puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,anio
5.1,Rob Cohen,W.D. Richter,-,121,Accion,stealth,2005
5.1,John Pasquin,"['Marc Lawrence', 'Katie Ford', 'Caryn Lucas']",-,115,Accion,miss congeniality 2: armed & fabulous,2005
3.7,Jim Wynorski,"['Jim Wynorski', 'William Langlois', 'Paul A. Birkett']",-,88,Accion,crash landing,2005
7.2,"['Tetsuya Nomura', 'Takeshi Nozue']","['Kazushige Nojima', 'Brian Gray', 'Yoshinori Kitase']",-,101,Accion,fainaru fantajî sebun adobento chirudoren,2005
7.3,Dana Brown,Dana Brown,"A documentary on the Baja 1000, an annual off-road race held in Baja, Mexico that attracts hundreds of racers, their souped-up machines, and thousands of fans.",97,Accion,dust to glory,2005
2.4,Ric Moxley,"['Sean Atkins', 'Cauri Jaye', 'Sam Crystal']","A band of mercenaries overtake the city's largest museum to steal its most prized possession, ""The Star of Nefertiti."" However, they didn't expect a notorious jewel thief to be there for the same job.",87,Accion,the vault,2005
5.9,Martin Campbell,"['Roberto Orci', 'Alex Kurtzman', 'Ted Elliott']",-,129,Accion,the legend of zorro,2005
5.9,Vincent Ward,"['Vincent Ward', 'Toa Fraser', 'Kely Lyons']",An intimate story set during the 1860s in which a young Irish woman Sarah and her family find themselves on both sides of the turbulent wars between British and Maori during the British colonization of New Zealand.,114,Accion,river queen,2005
6.3,Louis Leterrier,"['Luc Besson', 'Robert Mark Kamen']",-,87,Accion,transporter 2,2005
5.3,Michael Worth,Michael Worth,"When Valenitine, a lifelong assassin, tries to leave her old life behind, she enters a world that may be stranger than the one she just left. Searching for the son of a man she has killed she finds the road paved with good intentions can sometimes still have potholes...",101,Accion,killing cupid,2005
5.2,Hal Hartley,Hal Hartley,A comic drama about a time in the near future when citizens are happy to be property traded on the stock exchange.,84,Accion,the girl from monday,2005
4.8,Steve Pasvolsky,Steve Pasvolsky,"Poker, Spasm and Blue Flame, are trying to escape the law, school, parents, their demons and a couple of criminals to realise their burning ambition; to meet world class skating champion, Tony Hawk and compete in his skating competition.",90,Accion,deck dogz,2005
5.3,David J. Burke,David J. Burke,-,99,Accion,edison,2005
5.3,Young Man Kang,"['Young Man Kang', 'Richard B. Phillips', 'Tony T.L. Young']","""The Last Eve"" is a film that takes the audience on an emotional adventure through history. In a way never before seen, the story of Eve is shown from front to back. We start in the future and ride all the way back to the loss of all innocence. Our ride through time shows us three greatly contrasting tales that in their own unique ways reveal the dark tragedy at the h... Leer todo",88,Accion,the last eve,2005
7.1,Rian Johnson,Rian Johnson,-,110,Accion,brick,2005
5.6,Adam Shankman,"['Thomas Lennon', 'Robert Ben Garant']",-,95,Accion,the pacifier,2005
4.3,Jesse V. Johnson,Jesse V. Johnson,-,83,Accion,pit fighter,2005
