,puntuacion,datos_direccion,datos_guion,argumento,duracion_minutos,nombre_peli,anio_peli
0,6.5,Mike Kuchar,-,"Shy Pop artist Wendel Samson (played by real Pop artist Red Grooms) can't work up the nerve to break up with his boyfriend, so he has anonymous trysts with other men. Meanwhile, when his female friend Margaret pressures him into an intimate relationship, it sends Wendel spiraling into a nightmare world where he's violently punished for his sexuality.",33,the secret of wendel samson,2005
1,-,Christian Pichler,Christian Pichler,"Seth Argento is a well known name in the underground, known as one of the fastest, most merciless assassins. But even though living as a legend in his profession, he wants to quit and decides to do one last job... in Los Angeles. As he returns back home he encounters occurences, far beyond his imagination.",16,haunted,2005
2,-,Markham Cook,Markham Cook,-,29,the last illusion,2005
3,,,,,,sweetnightgoodheart,2005
4,7.9,"['Keith Adler', 'Sabrina Rubin']","['Keith Adler', 'Sabrina Rubin']","Twenty-year old Trevor has trouble talking about his past: his military father who was never home, the early death of his mother. As he reaches adulthood, he's found a way to be at once a part of the group and distanced from it. His last relationship disintegrated when he wasn't able to communicate and connect. He joins his friends on a trip to the desert to conduct a... Leer todo",22,television,2005
5,-,Anna Condo,Anna Condo,Life is a game. Katja plays.,4,candid,2005
6,-,Laurent Bouhnik,-,-,4,deux l,2005
7,6.2,Barnabás Tóth,"['Szil Podmaniczky', 'Barnab T']",-,29,szerelem meg hal,2005
8,,,,,,up,2005
9,8.7,Liselle Mei,Liselle Mei,An adolescent girl experiences the contrast between the excitement and power of her sexuality as she walks past the neighborhood basketball courts.,38,lower east side stories,2005
10,9.6,Morten Joersum,Morten Joersum,-,-,i en villa,2005
11,-,['Rune Kalle Bjerk'],['Rune Kalle Bjerk'],-,17,stabat mater,2005
12,7.9,Nicholas Panoutsopoulos,"['Leslie Norris', 'Nicholas Panoutsopoulos']",-,17,blackberries,2005
13,7.0,Ted Wallach,"['Jesper Laursen', 'Jesper Grubb Laursen']",-,27,bøje,2005
14,6.2,['Caroline Sascha Cogez'],['Caroline Sascha Cogez'],-,21,les amours perdus,2005
15,4.9,Scott Slone,Scott Slone,"Living alone and isolated in his own private world, Old Man spends his days immersed in a fantasy of concert halls and music. One fateful afternoon during his standard routine, tragedy strikes and Old Man is forced to go about his daily life without the most important thing in the world to him - His music.",22,old man music,2005
16,,,,,,worse,2005
17,8.1,Alex Sabeti,Alex Sabeti,Rita Felt never thought changing a tire would change her life.,12,flat tire,2005
18,6.0,"['Ron Braverman', 'Christopher Heltai']","['Ron Braverman', 'Christopher Heltai']","Interviewing various women in and around Los Angeles, Arbie is followed by a documentary film crew that capture his attempts of grasping the female psyche. What unfolds is something beyond anything he ever anticipated.",30,adjusting arbie,2005
19,5.5,Corinna Faith,Corinna Faith,A boy and his estranged father are thrown together for the day when they have a family duty to perform.,10,ashes,2005
20,8.6,['Mads Nygaard Hemmingsen'],"['Timothy Ellis', 'Mads Nygaard Hemmingsen']",-,15,bondefanget,2005
21,,,,,,i hate you,2005
22,8.6,['Mads Nygaard Hemmingsen'],"['Timothy Ellis', 'Mads Nygaard Hemmingsen']",-,15,far-vel,2005
23,7.5,Chris Eyre,"['Scott Garen', 'Joy Harjo']",The lives of four Native Americans take a significant turn as they confront the crises that arise in a single day.,42,a thousand roads,2005
24,-,Kræsten Kusk,Kræsten Kusk,-,16,glashus,2005
25,6.2,Benjamin Holmsteen,Benjamin Holmsteen,"A man carries his dead wife to the trunk of a car in front of their 4-year-old daughter. All together they drive to a lake far into the forest, where the father plans to dump the body and end the lives of himself and his daughter. However, everything is not what it seems...",19,lille lise,2005
26,7.4,Roberto Minervini,Roberto Minervini,"Voodoo dolls are feared and mysterious. The title character in this film short starts out with the same mystique even if, like a doll, he is strangely docile. The lawless gang he is peripherally part of engages in various acts of crime and self-abasement arranged and instigated by the leader, Pope, who implies that the real rainmaker is Voodoo Doll. Tagging along with... Leer todo",22,voodoo doll,2005
27,8.4,Eme Guitron,Joey Jameson,-,9,the boss,2005
28,6.9,James Burkhammer,James Burkhammer,Two brothers develop a sexual attraction to one another amid the unkind world around them.,15,starcrossed,2005
29,,,,,,i?,2005
30,7.2,Rene Mohandas,Rene Mohandas,"A true story featuring the boy who lived it. An Indian beggar boy thief with huge, deformed feet tries to escape his harsh city life in Mumbai. Inspired by a photograph of a mountain, he embarks on a spiritual journey of penance and hope.",26,elephant boy,2005
31,5.6,['Signe S Bech'],['Signe S Bech'],-,30,sommerfuglekvinden,2005
32,6.2,Stuart Lessner,Chumahan Bowen,"Jeff Hannon (Wilk) from the forever away world of Cincinnati, Ohio has stumbled upon what he believes to be a 25 year old murder in a small Texas town. His ceaseless nightmares compel him to drive to the middle of nowhere town of Bueford, Texas to enlist the local authorities (Asner, Keenan) to help solve the murder mystery and forever put an end to the voices that ha... Leer todo",25,sleeping dogs lie,2005
33,5.8,Emma Balcázar,"['Emma Balc', 'Stine Lauritzen', 'Larsen Elsebeth Nielsen']",-,25,deadline,2005
34,8.0,Ferenc András,Péter Dobai,-,35,morfium,2005
35,7.0,Bálint Kenyeres,"['B Kenyeres', 'Gy R']","Before dawn, people will rise and other people will take away their hope.",13,before dawn,2005
36,7.4,Warwick Thornton,Warwick Thornton,An Australian Aboriginal DJ realizes that his job at the country radio station is about more than just playing music,27,green bush,2005
37,7.5,Monica Huntington,Monica Huntington,"20 Minutes is an eternal love story with a super-natural twist. It relates to anyone who has ever loved deeply, and anyone who ever wants to. It is about eternal love; and will make you think about life, love, and the hereafter. It is one man's emotional journey through love, loss, and peace.",20,20 minutes,2005
38,5.5,['Mads Kamp Thulstrup'],"['Nikolaj Tarp', 'Mads Kamp', 'Thulstrup Jacob Weinreich']",-,34,danmarks sjoveste mand,2005
39,-,Paul Ratner,['Mark De Whitt'],Brian Orlando faces his wife's impending death and temptation from a beautiful cellist.,19,encore,2005
40,7.6,['Rebecca Perry Cutter'],['Rebecca Perry Cutter'],-,13,eating,2005
41,7.7,Gil Kruger,Gil Kruger,"It is the last day of high school swim class, and scrawny Eric Rudbart may finally remove his T-shirt.",8,flutter kick,2005
42,8.2,Gary Watson,"['Richard Alvarez', 'Gary Watson']","Bookish Jen Frazier seems an unlikely choice to be a freedom fighter, but when a theocratic new order occupies the state of Texas, Jen is pushed into action carrying contraband for the underground. In the backroom of a closed antique shop Goldman, the proprietor, charges Jen with the task of delivering a mysterious package to an unnamed underground. But the religious ... Leer todo",34,after twilight,2005
43,8.2,Gary Watson,"['Richard Alvarez', 'Gary Watson']","Bookish Jen Frazier seems an unlikely choice to be a freedom fighter, but when a theocratic new order occupies the state of Texas, Jen is pushed into action carrying contraband for the underground. In the backroom of a closed antique shop Goldman, the proprietor, charges Jen with the task of delivering a mysterious package to an unnamed underground. But the religious ... Leer todo",34,are you the favorite person of anybody?,2005
44,7.0,Joshua Leonard,"['Joshua Leonard', 'Loren David Marsh']",A young couple confronts a painful future by looking to the past.,12,the youth in us,2005
45,-,Saleh Nass,"['Campbell Lauder', 'Saleh Nass']",-,-,phone call,2005
46,7.0,Justin Dickel,"['Adrienne Bertoli', 'James Dormer']",-,-,the welcome committee,2005
47,9.8,Tara Samat,Tara Samat,-,-,"portrait of a man and a woman: los angeles, c. 2004",2005
48,6.4,Sterlin Harjo,Sterlin Harjo,Two young men have a life-changing encounter with an elder in the waiting room of an Indian Health Service clinic.,14,goodnight irene,2005
49,,,,,,in the morning,2005
50,6.9,Liza Johnson,Liza Johnson,-,12,desert motel,2005
51,6.0,Bertrand Bonello,Bertrand Bonello,-,15,cindy: the doll is mine,2005
52,7.3,Toby Wilkins,"['Paul Sopocy', 'Toby Wilkins']","When a fortune teller refuses to reveal her vision of a Clay's future, he becomes so obsessed with learning the truth that he unwittingly fulfills his fate.",-,staring at the sun,2005
53,5.4,Jasmin Hermann,Jasmin Hermann,-,27,tage aus nacht,2005
54,5.4,Jasmin Hermann,Jasmin Hermann,-,27,freundinnen,2005
55,2.7,Cam Archer,Cam Archer,-,15,american fame pt. 2: forgetting jonathan brandis,2005
56,-,Christiane Hector,Christiane Hector,-,16,kom som du er,2005
57,7.2,Don Hertzfeldt,Don Hertzfeldt,"The evolution of humanity, through countless eons.",12,the meaning of life,2005
58,9.4,['Gary James Martin'],"['Roger Beckett', 'Gary James Martin']","When Emma Lassiter's boyfriend dumps her, she decides to make a video diary documenting her quest to get him back. A selection of abortive ideas later, she opts for the radical path of cosmetic surgery, but when the price proves to be prohibitive, Emma takes things into her own hands.",10,fade to black: emma,2005
59,8.1,Brad Barnes,"['Brad Barnes', 'Todd Barnes']",-,12,choked,2005
60,6.0,Arnaud Bigeard,Arnaud Bigeard,"It is eleven past nine p.m. Thomas Grandin would like to sleep but he is disturbed by some unpleasant noises. Although he can't see anything he soon realizes pricking up his ears that what is going on is attempted murder. Someone else has witnessed the scene that night. As a result,Thomas becomes the victim of this stranger as well of the police and the assailants.",15,21h11,2005
61,7.0,['John C Lyons'],['John C Lyons'],"A story of deception, lies, and betrayal. Jake decides to take Steve up on his offer to spend a weekend away at a hunting camp with the hope of putting his past behind him. During the course of their stay we learn that not all is as it seems and their journey takes a fatal turn.",38,hunting camp,2005
62,,,,,,office,2005
63,7.6,Hany Tamba,Hany Tamba,-,26,beyrouth après-rasage,2005
64,,,,,,war,2005
65,6.6,Per Hanefjord,"['Per Hanefjord', 'Jan Sigurd']","At a desolate railroad crossing, a middle-aged man's planned suicide, gets distracted by a lonesome farmer.",16,en god dag,2005
66,7.4,Phil Donlon,Larry Wilson,-,23,a series of small things,2005
67,7.3,Aurora Guerrero,Maritza Alvarez,A young Xicana searches for ways to heal maladies of the heart.,-,pura lengua,2005
68,7.3,Beck Cole,Beck Cole,A woman living in a deserted mining camp might not be the only person hiding out there.,28,plains empty,2005
69,6.6,"['Matt Duffer', 'Ross Duffer']","['Matt Duffer', 'Ross Duffer']","During the Great Plague of 1666, an affluent family flees to the countryside, only to be haunted by those they left behind.",24,we all fall down,2005
70,5.1,Kevin Powis,['Michael A Hunter'],"A filmed poem, about the journey of a man through the city streets after dark, and the way it makes him feel...",2,nightwalk,2005
71,-,"['Jason Lewis', 'Pornsak Pichetshote']",Pornsak Pichetshote,"An urban fable about people looking for colors... told entirely in black and white. In a city with 16 million eyes, a photographer, a filmmaker and an almost-doctor can't trust anything they see, but it's one wrong glance that might bind them tightly together.",18,color of a doubt: an urban fable,2005
72,7.7,Olaf Saumer,Olaf Saumer,A lonesome boy finds his love at Christmas eve in a video-shop...,15,stille wasser,2005
73,8.5,Erik Courtney,Erik Courtney,"Three days before his death, Abraham Lincoln dreamt of his assassination. Shot in real-time, this film portrays the last conscious moments of Lincoln's life.",4,the persistence of dreams,2005
74,-,"['Chad Bring', 'Eric Dwight', 'Kevin O Neill']","['Chad Bring', 'Eric Dwight', 'Kevin O Neill']","Our normal daily lives are routine, dull, and black & white. Occasionally, we see something which reminds us of a moment in our past that molded who we have become. Most of the time we dream of a more colorful life, but then hesitate, only to remain black & white.",10,aisle to aisle,2005
75,-,Yvonne Farrow,Yvonne Farrow,-,29,i'd rather be dancing,2005
76,-,"['Jesse Alba', 'Mathew Klickstein']","['Jesse Alba', 'Matty Carvajal', 'Fabian Castillo']",The world-famous Kids of Widney High --a group of young adults with developmental disabilities in a unique rock band-- improvise a series of fascinating and hilarious vignettes over a two-hour dinner at a posh Beverly Hills restaurant. Topics of conversation run the gamut between earthquakes and eyebrow fetishes.,17,dinner time,2005
77,6.6,Jubin Joseph,Jubin Joseph,-,15,the 73 virgins,2005
78,9.1,['Justin Huntington Benson'],['Justin Huntington Benson'],"A beautiful sunset fills the sky above an empty coastal highway. Momentarily disturbing the scenic landscape, a vintage Cadillac barrels past. Inside the Cadillac Harlan, a visibly distraught, fatigued young man, cracks open a bottle of beer. He looks like a famished vampire. Scattered about the car are the makings of a suicidal drug binge: A cocaine smeared CD, A bot... Leer todo",17,almost romeo,2005
79,5.4,Conor Dooley,"['Matthew Boyd', 'Conor Dooley']","At the height of summer, a young man is visited by the mammoth. Bringing with it another ice age, the mammoth haunts the man throughout his life, despite the man's many attempts to leave it behind.",8,mammoth,2005
80,8.4,Tiffani Thiessen,Dean Johnson,"Misunderstood, but wise beyond his years, a young boy learns that salvation and redemption can be found in the most unexpected places. And in the most unexpected people.",21,just pray,2005
81,7.8,Mattias Sandström,Mattias Sandström,-,14,jag bara undrar,2005
82,7.4,Kori Bundi,Kori Bundi,A look into the world of a worm farmer and his dedicated wife.,6,worms,2005
83,3.4,Antonio Hébrard,"['Antonio H', 'Catherine Paill']",-,12,naissance de l'orgueil,2005
84,-,['Christopher Mc Kenzie'],['Christopher Mc Kenzie'],"Carla Woods, a young reporter for the Washington Tribune, stumbles upon corruption and scandal in the White House. As she fights to get to the bottom of the story, she discovers that her biggest obstacle is in her own newsroom.",13,all the reverend's men,2005
85,-,Michael Albert,Michael Albert,"20 year old Maria, a young hispanic girl, falls in love with Jason who shortly leaves for Iraq. After his departure, she reaches out to his family and is completely rejected. A surprise awaits her as she revisits their home with important news.",7,twenty,2005
86,-,"['Christopher Bolton', 'Peter Edgar']","['Christopher Bolton', 'Peter Edgar', 'M A Williams']","Kyle Varn is suffering from amnesia, caused by his violent arrest. Government Agent Juliette Hamilton shocks him with evidence that he is a ruthless freelance assassin who she suspects has planted a chemical bomb somewhere in the city. Believing Varn - his psychotic personality erased - is her only hope of locating the bomb, Juliette breaks Varn out of prison. As they... Leer todo",10,countdown,2005
87,8.3,Maya Kuttan,Maya Kuttan,"Shades of Crimson is the tale of a painter, Sam, a young woman who is struggling to find recognition for her art. The story follows her inner turmoil about 'selling out' and all that it entails both as an artist and as a woman. Befriending a handsome, artistic neighbor allows Sam to dream of a hope that may not exist. She stumbles through a world of art galleries and ... Leer todo",12,shades of crimson,2005
88,7.7,"['John Mitchell', 'Jeremy Kipp Walker']",John Mitchell,"When a cynical old man is forced to share his hospital room with a stranger, he discovers through the power of friendship that it's never too late to change your outlook on life.",19,goodnight bill,2005
89,7.8,Jeremiah Zagar,Jeremiah Zagar,"Documentary becomes dream as artist Isaiah Zagar sits in a diner, reminiscing on his childhood as he draws a picture of a bird. His looping pen strokes come to life, carrying us back into a childhood memory of him and his mother at the beach in Coney Island. A mix of 35mm film, digital video, and animation.",4,coney island 1945,2005
90,6.4,Stephanie Busby,Stephanie Busby,"Lyrically abstract in style, The Silent Question is based on the American gothic short story The Yellow Wallpaper by Charlotte Perkins Gilman.",15,the silent question,2005
91,-,Zeiad Hussein,['Robert X Golphin'],Two people have hours to detox their friend or else risk losing him forever.,12,track marks,2005
92,-,Erica Jordan,-,"""On tha Wise"", a faith-affirming romantic drama, chronicles the troubled relationship between a woman and her less-than-perfect boyfriend.",-,on tha wise,2005
93,9.1,Steve Burton,"['Steve Burton', 'Sean Cameron']",Scott get's over his head while trying to pay off his bookies and ends up in a downward spiral.,16,laws of gambling,2005
94,3.9,Petter Jakobsen,Petter Jakobsen,-,6,"timene som har gått, deler jeg med deg",2005
95,8.2,"['Robert Alford', 'Nancy Cheryll Davis']","['Robert Alford', 'Sheri Bailey']",A young woman struggles to hold on to her hard won sense of peace when the one true love of her life returns after a long absence,35,summer dreams,2005
96,6.6,['James P Gleason'],['James P Gleason'],"Lois Ambro has just received some terrible news. The body of her husband, Matin, has been found in the Los Angeles River. She is about to receive some even more startling news! The detectives are at a loss to explain it. The medical examiner has never seen anything like it. The Ambro family has no idea what has happened, how it happened, who did it, or why, and are ha... Leer todo",17,antebody,2005
97,7.7,Iris Almaraz,Iris Almaraz,-,-,la puta,2005
98,8.2,Rudy Luna,Rudy Luna,"When a new reality dating show starts slipping in ratings, the executive producer takes things in her own hands. Monica pushes her contestants into a hot steamy date, but when the male contestant takes it as a green light to do anything and the date goes way too far, she has to decide does she film it or stop it?",12,attract opposites,2005
99,5.7,Carlo Treviso,Carlo Treviso,"Psychology intern, Vincent Victor, discovers that his patient, Edward, seems to be experiencing a mythical psychological disorder he calls the Vitruvian Lapse. It is a disorder where a given victim sees everything backwards, as if looking into mirror. Vincent says Leonardo DaVinci was the first documented individual to show symptoms of this disorder, claiming it to be... Leer todo",22,the vitruvian man,2005
100,5.0,Jorge Torregrossa,"['Gisela Benenzon', 'Jorge Torregrossa']",-,12,manchas,2005
101,7.5,['Duncan M Rogers'],['Duncan M Rogers'],-,-,the reader,2005
102,7.1,"['Lisa Chang', 'Newton Thomas Sigel']","['Lisa Chang', 'Newton Thomas', 'Sigel Alison Smith']","A bittersweet tale of Alice, her vagina and the infinite nature of the tundra.",20,the big empty,2005
103,-,Ole Bendtzen,Ole Bendtzen,-,10,udenfor verden,2005
104,-,Donavan Lambert,Donavan Lambert,"A young writer discovers that he has cancer. Instead of telling his friends, he sets up a weekend reunion. A year later after attending his funeral, his friends receive a letter he wrote to them explaining his reasons for keeping things a secret.",30,i will...,2005
105,-,['M Shantale Maurice'],['M Shantale Maurice'],Two unlikely New Yorkers find peace and love again after dealing with unhealthy family and personal relationships.,37,interrupted motion,2005
106,6.7,John Besmer,John Besmer,"Lifelike is a story of life, death, and taxidermy. Quiet and quirky, it's a character-based drama about personal loss and one man's long process of recovery.",18,lifelike,2005
107,-,['Matt Lo Guercio'],['Matt Lo Guercio'],"""powerful short film promoting social change in a society that believes change has gone as far as needed and that the racial playing field has been leveled. This short film examines politically incorrect conversations in today's corporate culture. The provocative film poses the issue of racism in America. Is political correctness anything but window dressing? Who will... Leer todo",6,the more things change...,2005
108,6.2,Chris Perkel,"['Chris Perkel', 'Georgie Roland']","Before leaving town, a young woman pays a final visit to a lonely truck stop diner, sparking an emotional tug-of-war between two estranged brothers.",11,truck stop diner,2005
109,,,,,,in the park,2005
110,6.5,['Roberta Marie Munroe'],['Roberta Marie Munroe'],"Dani is very suspicious and jealous of Alice, and lashes out continually, forcing Alice to face the fact that their relationship must end, even if Dani thinks otherwise, and wants to deflect the blame for her outburst.",11,dani and alice,2005
111,-,Tim Boisvert,"['Tim Boisvert', 'Mac Williams']",-,21,the sleepless night,2005
112,8.0,"['James Israel', 'Jeff Israel']",James Israel,"A woman afraid to leave her Brooklyn apartment makes a puzzling discovery as she struggles with her dreams, memories and the mundane.",15,the tourist,2005
113,7.1,Danishka Esterhazy,Danishka Esterhazy,"When the real world turns sour, ten-year old Talia finds shelter in a fantasy world of ice and snow. But as life becomes more and more difficult, Talia's daydreams become less protective and more menacing. An NSI ZeD Drama Prize film.",11,the snow queen,2005
114,8.3,['Corey Giann Antonio'],['Corey Giann Antonio'],"Frank, a 70-year-old golfer and avid baseball fan, suffers a heart attack on the golf course. He's hospitalized, giving his family an opportunity to say goodbye. His condition worsens and Frank succumbs to his ailment. The family honors Frank's dying request by gathering for a large feast and spreading his ashes on his favorite golf course. Ash Wednesday is a touching... Leer todo",23,ash wednesday,2005
115,8.4,Pete Guzzo,Paul Guzzo,"The Mob's most notorious and legendary hitman has grown old and senile and the Mob is worried he may spill his secrets to the wrong people. To protect these secrets, the Mob sends their new stud hitman to take out the legend. But, if the legend is being taken out, he plans on going out on his own terms.",25,the dance,2005
116,9.2,Nathan Collett,"['Nathan Collett', 'Njuguna Wakanyote']","In present-day Kenya, the legacy of the Mau Mau is kept alive, never to be forgotten.",23,the oath,2005
117,4.4,Matthias Emcke,Matthias Emcke,"Oliver and his family visit a photography exhibit at a museum in Berlin. While looking at one of the photographs, Oliver hears the narrator's voice from the Audio-Tour's headset interrupted by that of a young woman - apparently the girl in the photograph. She says she's been waiting for him. Oliver moves closer and closer to the photo until he finds himself inside the... Leer todo",15,"ich sehe was, was du nicht siehst...",2005
118,8.7,Niki Drozdowski,Niki Drozdowski,"Wilfried Neuss has been on the quest for the perfect sound of Robert Schumann's ""Dreaming"" since his childhood. But when he finally finds the ultimate hifi-system, a tinnitus destroys his hopes and drives him towards insanity.",19,wilfried neuss - eine sinfonie in fünf sätzen,2005
119,7.6,Alex Volovich,Alex Volovich,-,10,hasta que la muerte los separe,2005
120,-,['Meghan Ciana Doidge'],['Meghan Ciana Doidge'],"Josephine sets the mood; music, candles, and a steamy hot tub for a romantic evening with her boyfriend Jeffery. Unfortunately, their evening is quickly interrupted by the unexpected entrance of Josephine's Ex: Shaun. Shaun has some issues; namely he is still in love with Jo and knows that she still loves him. Jeffery, however, disagrees. An emotionally charged evenin... Leer todo",13,josephine?,2005
121,7.2,Tim Hoover,Tim Hoover,"Eighteen year old James Harris longs to be as free and as beautiful as a butterfly. Instead he lives a sad and lonely existence. Facially deformed since birth, James uses masks to hide his face from the world. He fears he may be utterly alone if his only friend, his ill mother, dies. In this suspenseful and spiritual drama, events unfold leaving James face to face wit... Leer todo",24,the divine,2005
122,7.2,Ali Benkirane,Ali Benkirane,"Amal is a 12 year old girl who lives in the Morocco countryside. Serious and passionate pupil, her dream is to become a doctor.",17,amal,2005
123,-,Lourdes Rébora,Lourdes Rébora,-,15,la vida y obra de john h.,2005
124,8.0,Josh Hyde,Josh Hyde,"""Chiclé,"" (pronounced 'CHEE - CLAY'), the Spanish word for chewing gum, addresses the innocence and incorruptibility of a young boy trying to remain on the path to morality in an impoverished third-world community, despite the depraved actions of those around him .",14,chicle,2005
125,5.6,Margaret Corkery,Margaret Corkery,A glimpse at the agonies and boredom associated with recuperation on the beaches of the Irish coast.,9,killing the afternoon,2005
126,7.6,['Mikil Lee Rullman'],['Mikil Lee Rullman'],"The Road That Bind Us is a bittersweet, dark Comedy that follows three separate, but interweaving, stories. It is a poetic, humorous and uniquely suspenseful film, that will captivate you as the characters move toward their tangled destiny--and a powerful conclusion--on the outskirts of a sleepy, little town.",39,the road that binds us,2005
127,4.1,Alex Ferrari,"['Alex Ferrari', 'Jorge F Rodriguez']","A gun blast, a flash of light, and a young woman awakens to the comfort of her own bed. Bonnie Clayton has it all, a great relationship, a challenging career, and the burden of a dream that grows more vivid and disturbing with each passing night. But when Bonnie is abducted by a sadistic stranger and his colorful entourage, she discovers that the key to her survival l... Leer todo",19,broken,2005
128,6.9,['Edford Banuel Jr'],['Edford Banuel Jr'],An imprisoned father makes a final attempt to reconnect with his son through a videotaped message. But is it too late?,-,a message from pops,2005
129,-,['Ramon Vasquez Jr'],['Ramon Vasquez Jr'],"Derek and Paul have been best friends since way back. They had been living the illegal life for way too long. After running into a few spots of bad luck, they decide to call it quits. But after giving in to temptation they meet someone that offers them a gig. This time the stakes are much higher, but so are the consequences.",30,empty,2005
130,-,['Matt Mc Usic'],['Matt Mc Usic'],-,5,revere,2005
131,-,Nicolás Melini,Nicolás Melini,-,8,hijo,2005
132,7.1,Dennis Todorovic,"['Melanie Andernach', 'Dennis Todorovic']","After the death of his young bride, Nenad (Branko Tomovic) travels to Montenegro with his father-in-law (Pedja Bjelac) to her funeral and faces a different approach to life.",-,amor fati,2005
133,8.0,['I Michael Toth'],['I Michael Toth'],"In this sumptuously shot short film from writer-director I. Michael Toth, a disillusioned man's chance encounter with a hitchhiker and his dog forces him to reconsider the possibilities of his life.",39,cast in gray,2005
134,-,Antonio Arellano,Antonio Arellano,-,11,se viste con puñales,2005
135,-,['Alejandro Guzm Alvarez'],-,-,27,el otro josé,2005
136,-,Paola Chaurand,Paola Chaurand,-,18,el viejo,2005
137,-,Martin Hardly,-,-,28,manitas sudadas,2005
138,7.0,"['Robert Cochrane', 'Robert David Cochrane']","['Robert Cochrane', 'Robert David', 'Cochrane Stephen King']",A down-on-her-luck chambermaid in a ramshackle Carson City hotel gets a quarter for a tip. What she doesn't realize is it's a 'Luckey' Quarter.,12,luckey quarter,2005
139,-,-,-,Reparto principal,16,después del invierno,2005
140,-,Gabriel Diazmercado,"['Gabriel Diazmercado', 'Antonio Flores Orozco']","Alex is contacted by Elissa, a woman he thinks he doesn't know. Leo, Alex best friend, tries to stop the encounter, aware of the past. But Leo is accidentally killed, and Elissa loses her memory, giving them the chance of a new start.",20,if,2005
141,-,Raviranjan Maitra,-,-,-,mantra,2005
142,-,['C Guti Miranda'],['C Guti Miranda'],-,12,cronologia de una ausencia,2005
143,-,['J M Cravioto'],['J M Cravioto'],-,14,razor dream,2005
144,-,Arleen Lopez,-,-,-,jayson,2005
145,7.3,Pouria Montazeri,Pouria Montazeri,"A young man's longing for truth is answered by an unseen force, which indirectly takes him through the journey of discovery in this exciting yet surreal day of his life.",15,the tulip grower,2005
146,7.9,Natalie Sutherland,-,"Desperate to break free from his life in rural NSW, Brendan is inevitably confronted with the reality he has been trying so hard to escape",11,in the middle,2005
147,7.0,Tania Yuki,Tania Yuki,-,7,"too sunny, too cold",2005
148,-,Iyari Wertta,Iyari Wertta,-,16,las nuevas chicas superpoderosas,2005
149,7.1,"['Alex J', 'Cameron Sinclair']","['Alex J', 'Cameron Sinclair']","Karl, an inmate, sits in solitude to talks about life, sex, and the pursuit of an under aged girl to his ""cellmate"" before he ends his life.",11,sugar and shit,2005
150,6.9,Adam Salky,David Brind,"High school senior Ben secretly lusts after bad boy classmate Johnny. After Ben gives Johnny a ride home one night, the boys end up in Johnny's swimming pool and have an encounter that breaks the rules and blows Ben's mind.",16,dare,2005
151,-,Yoame Escamilla,Yoame Escamilla,"The investigation into the strange death of a young woman on a lonely beach gets complicated, when her mother , her best friend and several witnesses give differing accounts about the final hours prior to her death.",22,post mortem,2005
152,5.6,"['Issa Garc', 'Ascot Ogarrio']",['Edgar San Juan'],"During a hot summer day in Barcelona, Santiago and Peter plot to get rich at their boss' expense, but they don't know that their plans are far from coming true.",10,ayss,2005
153,8.0,Arturo Sampson,"['Dami Garc', 'Arturo Sampson']",-,14,godot,2005
154,-,Hari Sama,-,-,12,la cola entre las patas,2005
155,6.8,Belen Lemaitre,Belen Lemaitre,-,12,el gran salto,2005
156,-,Johannes Brinkmann,Johannes Brinkmann,"Roy Buchwald is a struggling musician hiding from a troubled past, having been raised in a cult. When his mother tracks him down to inform him that his father is dying, Roy must decide whether or not he can forgive him.",12,cymbals,2005
157,-,['Juan Carlos Mart'],['Juan Carlos Martin'],-,13,casi nunca pasa nada,2005
158,-,"['Roberto Aguilera', 'Roberto Aguilera Araiza']","['Roberto Aguilera', 'Roberto Aguilera Araiza']","A lonely man is trapped within himself and his frustration. His life is routine and he performs a monotonous job he doesn't enjoy. As a second job, he writes the love and friendship messages that appear in fortune cookies, but is painfully aware that they are not meaningful to most people, and so isolates himself more and more.",10,9 y 20,2005
159,-,Fernando Arzate,Andrea Salmerón,-,15,en el sofa,2005
160,-,Ricardo Gonzalez,-,-,10,a 2 cuadras y media,2005
161,-,-,-,Reparto principal,9,jai,2005
162,6.2,Esteban Crespo,"['Mario Casal', 'Esteban Crespo', 'Javier Ya Sanz']",A look at the moments before a change in the lives of Paco and Ana.,8,siempre quise trabajar en una fábrica,2005
163,7.4,Mahtab Ebrahimzadeh,Mahtab Ebrahimzadeh,"Meadow saffron tells a history about loneliness, strangers, misunderstanding, approach, friendship and separation. The history of two people from different cultures and generations which close in spite of her differences and conflicts, friendship and thereby escape her loneliness. In an impressive synthesis of European and Persian Bildsprache meadow saffron tells abou... Leer todo",25,herbstzeitlose,2005
164,7.3,Wayne Blair,Wayne Blair,The Djarn Djarns is the story of a friendship between four young men. The responsibility they feel for their culture and the love of a young boy has for his father.,26,the djarn djarns,2005
165,6.7,Dani Rosenberg,"['Miguel Cervantes', 'Saavedra Dani Rosenberg']","Don Quixote and Sancho Pancha arrive in Israel in the year 2005. They reach a hill on the Jerusalem by-pass road overlooking the wall, which divides Israel and the Palestinian Authority. They inspect their target. The two men are already in their 70's. Quixote is having difficulties mounting his horse and Sancho struggles with his tools. But Don Quixote is determined ... Leer todo",5,don kishot be'yerushalaim,2005
166,4.8,Peter Wade,Peter Wade,"The true story of a suburban teenager whose one mistake leads to a life changing punishment. Peter Madigan, a 15-year-old from the suburbs commits a senseless act, causing a commuter train to derail killing the engineer.",92,tracks,2005
