,puntuacion,datos_direccion,datos_guion,argumento,duracion_minutos,nombre_peli,anio_peli
655,7.9,Bo Mehrad,"['Caitlin Mia', 'Cassaro Bo Mehrad']","Josh has inherited an Irish bar in New York from Roxy, his mother, who recently passed. He's in denial: her ashes are in a box under his bed, he can't bring himself to deal with the bar's mail and bills, and he may be seeing things. A date with the woman who delivers the bar's mail ends abruptly when she cottons onto his state of mind. Can he dismiss his mother from h... Leer todo",9,thirsty,2006
656,5.9,João Nicolau,-,-,25,rapace,2006
657,6.6,['Jean Jacques Joudiau'],"['Jean Jacques', 'Joudiau Will Self']","Michael thought he'd seen his mother for the last time when she passed away in a Paris hospital, but months later she reappears in the neighborhood of Belleville, talkative as ever, and full of insight...",44,le livre des morts de belleville,2006
658,-,Paula Albuquerque,Paula Albuquerque,-,4,benção,2006
659,-,Susana Nobre,Susana Nobre,-,3,boys & girls,2006
660,5.5,Péter Hegedüs,Péter Hegedüs,-,11,hole in the wall,2006
661,9.4,Erick Fefferman,Erick Fefferman,A retired journeyman boxer forced to give it up steps back in the ring one last time.,16,lights out,2006
662,,,,,,casa,2006
663,-,['Mohammad Reza Ahanj'],Farhad Tohidi,-,100,silence,2006
664,-,Jaroslaw Konopka,-,-,-,self portrait,2006
665,7.2,Rick Larkin,Rick Larkin,-,30,triple bill,2006
666,7.7,Eddie Shieh,Eddie Shieh,Two immigrants embrace an ingenious solution while distributing restaurant menus.,15,no menus please,2006
667,-,Haolun Shu,-,"Dazhongli is one of Shanghai's oldest neighborhoods. Shu Haolun's family has lived there for three generations, enjoying a close-knit, communal way of life with their neighbors. Now Dazhongli and its surrounding neighborhoods are in the process of being demolished to make way for gleaming skyscrapers, towering apartment complexes and luxury shopping centers. In NOSTAL... Leer todo",70,nostalgia,2006
668,8.6,Renie Oxley,"['Ethan Erwin', 'Martin Musatov']",Terminal is a movie about a man being shoved through a door in terminal A train station and be teleported to an unknown world,-,terminal,2006
669,5.9,Milagros Mumenthaler,Milagros Mumenthaler,-,18,amancay,2006
670,-,Zohar Markman,"['Amir Bushari', 'Zohar Markman']","Ya'akov is the manager of Heaven's Gate, a small poor synagogue in Jerusalem, which has known better times. The big synagogue in the next neighborhood attracts all the people, and Heaven's Gate might be closed. Ya'akov arrives to the synagogue with a few people he managed to gather on his way to pray Neilah, but the door is locked and the deaf keeper is asleep inside.",15,neilah,2006
671,6.4,Paola Pelzmajer,Paola Pelzmajer,-,14,cartas,2006
672,5.8,Allen Martinez,Timothy Kernc,"In present day Miami, Colin Mathers follows a hot lead to tie up his feature story and reveal new graphic details behind closed doors in Guantanamo Bay, Cuba. His ""lead"" is a man with the story of a lifetime but also has much more ""intelligence"" than Collin had ever imagined. And things get personal. The background of this politically-charged story is based on true hi... Leer todo",18,intelligence,2006
673,5.2,Aaron Wong,Aaron Wong,A game of basketball.,29,pacific,2006
674,-,Kelsey Kleiman,Kelsey Kleiman,-,2,a short film,2006
675,-,Tracy Sagalow,Tracy Sagalow,A young Japanese woman prepares tea the morning of her wedding when a messenger arrives with important news.,10,ocha,2006
676,-,Ynze Bijl,Ynze Bijl,"Forty year old tough guy Mike likes to think he's in control of his world. But one day when he finds out that his beloved 10 year old son is not his, his world collapses. Enraged and feeling betrayed he races home with a loaded gun to get some answers.",9,snake bite,2006
677,-,Mark Gillis,Mark Gillis,-,-,a quiet drink,2006
678,7.7,Ryan Ward,"['Victoria Nestorowicz', 'Ryan Ward']","A young couple, Reid (an American soldier bound for Iraq) and Simone Douglas, unable to conceive a child resort to adoption. In desperation Simone participates in 'Rebirthing' and 'Attachment Therapy' with the young boy. Meanwhile Reid gains a new perspective on his military duties when he befriends an Iraqi prisoner in the Um Qasr prison.",21,rebirth,2006
679,7.8,Matthew Bonifacio,"['Sophia Antonini', 'Matthew Bonifacio']","After her mother's passing, a girl makes the ultimate sacrifice in order to stop her father's spiral into depression and alcoholism.",7,the watering hole,2006
680,-,Lynne Moses,Lynne Moses,"Time unfolds backwards in this lyrical tale of a love triangle with a twist. In it, a mature 19-year-old's pregnancy forces her childish young mother to grow up, but is it too late?",25,mothers be good,2006
681,6.7,Jane Campion,Jane Campion,A story through a child's eyes about living through a drought.,18,the water diary,2006
682,-,Stuart Ellis,Stuart Ellis,"Marie is celebrating her birthday with her boyfriend, Robert. The evening is perfect, until Robert's cell phone beeps at the wrong time....",7,busy night,2006
683,8.1,Mark Mollenkamp,Mark Mollenkamp,"James is a normal 13 year-old. When a cute high school girl flirts with him, he's thrown for a loop. She wants him to come back to her house for a good time, but the boy is nervous. Something just doesn't seem right.",11,lure,2006
684,6.3,Heng Tang,Heng Tang,-,20,the last chip,2006
685,-,Sven Ilgner,-,-,8,schlafgut,2006
686,7.6,Nathan Drillot,Nathan Drillot,-,12,bright lights,2006
687,8.9,Oriol Bernat,Andrew Ward,"When Jack's wife dies in an unexpected car crash - he finds a solution in heroin, which allows him to hallucinate her back into existence, into his arms, and into his life. He chases her using more and more heroine to keep her 'alive' until they are finally reunited as he OD's.",27,yesterday's dream,2006
688,8.4,['Samuel Dowe Sandes'],"['Samuel Dowe', 'Sandes Ira', 'Mc Aliley']","Deep in the woods of Vermont, three old friends come to a fork in the road during what seems to be a routine deer-hunting weekend.",31,out of the woods,2006
689,7.5,Peter Livolsi,"['Peter Livolsi', 'Matthew Schaefer']","Ben, Duncan, and Mary are the three main characters in ""Duncan Removed"", a film that asks the question, what if that little voice inside your head belonged to someone else?",21,duncan removed,2006
690,6.9,Sian Heder,Sian Heder,"Desperate to be rid of her toddler in order to have an affair, a dissatisfied Beverly Hills Housewife hires a stranger to babysit and ends up getting much more than she bargained for. ""Mother"" is a dark and funny look at neglect, and what it really means to get what we want.",15,mother,2006
691,8.1,['Malona P Badelt'],"['Malona P', 'Badelt T', 'Coraghessan Boyle']","65 Million years ago, a meteor collided with earth and erased seventy-five percent of all living species. Tonight, Ted and Maureen Biehn receive a phone call that their daughter has been hit by a car. Two tragedies begin to intertwine and the Biehn's life is about to change forever.",14,chicxulub,2006
692,-,Greg Slagle,Greg Slagle,"How does Owen Brown face a troubling boss, a pushy girlfriend and a disappointed family? Why with a slide show presentation of course.",15,the projectionist,2006
693,8.3,Bilge Ebiri,Bilge Ebiri,A hapless thief gets more than he bargained for when he starts scoping out an old woman's luggage.,10,purse snatcher,2006
694,7.6,Lucian Pintilie,"['Lucian Pintilie', 'Vasile Voiculescu']",-,39,tertium non datur,2006
695,-,['Domenica Cameron Scorsese'],['Domenica Cameron Scorsese'],-,-,spanish boots,2006
696,7.3,Mike Doyle,Mike Doyle,An old man meets a boy by the Brooklyn Bridge & they have an effect on each others lives.,13,shiner,2006
697,5.8,Telmo Martins,['Jorge Vaz Nande'],-,20,utensílios do amor,2006
698,,,,,,summer,2006
699,,,,,,home,2006
700,8.0,Burleigh Smith,Burleigh Smith,A war veteran attends a friend's funeral. The turnout is pathetic and the few people present want to get the ceremony over. But the veteran won't let them forget his friend so easily.,7,flights of angels,2006
701,7.8,['Stephen Keep Mills'],['Stephen Keep Mills'],A man withdraws to an empty beach to smoke a cigar and fantasize. An approaching storm out across the water mirrors the storm inside him as his fantasies propel him to the very edge of himself and to a surprise yearning greater than flesh or adventure.,15,a cigar at the beach,2006
702,7.6,David Brind,"['David Brind', 'Joe Pintauro']","Fifteen years ago, Star (Sandra Bernhard) and Betty (Cady Huffman) shared the stage of an off-off Broadway theatre company. Today, Betty is a New York single mom, doing voiceover work for denture commercials, and Star has just won a Golden Globe for Best Supporting Actress. When the two actresses reunite for a drink, the conversation spins from cordial chitchat to cat... Leer todo",-,twenty dollar drinks,2006
703,7.3,Michael Connors,Michael Connors,"When an Army officer helps one of his soldiers go AWOL on the eve of their deployment to Iraq, loyalties and consequences twist and turn and everybody must live with their actions.",16,recalled,2006
704,6.2,Christina Ray,Christina Ray,"A lonely recluse makes a late night phone call, confessing his obsession with a mysterious woman from a laundromat.",5,laundromancer,2006
705,6.4,Jane Shearer,"['Steve Ayson', 'Jane Shearer']",An exploration of the mind of a murderer who thinks he's gotten away with it.,10,nature's way,2006
706,-,['Andrew Burrows Trotman'],['Andrew Burrows Trotman'],-,-,amma,2006
707,8.3,Axel Brauns,Axel Brauns,-,4,frühstücken,2006
708,9.0,Fiona Pinkernell,Fiona Pinkernell,"Life is ephemeral. Love is eternal. A man takes devoted care of his sick wife. When she dies, he is left with the ultimate decision.",6,swan song,2006
709,6.7,Florence Miailhe,"['Marie Desplechin', 'Florence Miailhe']","Seven characters, who are not connected with each other, live a restless day in the district in renovation of a busting city. Each one pursues a distinct aim and nobody pays attention to the others. A rag doll passes from the hands of one character to the other's. And their ways criss-cross until they finally meet and unite.",15,conte de quartier,2006
710,-,['Anthony Von Seck'],['Anthony Von Seck'],"Floyd's life is raising pigs, with gentle care and concern on a modest farm in Lanark County, Ontario. After a routine load-in a Road King transport driver falls asleep at the wheel with horrific consequences to Floyd's pigs. Tuffy Nichols, the Road King President refuses to take any blame for the dead hogs. Over the phone he gives Floyd a vicious piece of his corpora... Leer todo",25,mercy seed,2006
711,-,['Luis M Gomes'],['Luis M Gomes'],"In the year 2070, the prisoners are the stars of a reality-show where they fight for their lives playing chess. This reality-show is transmitted through a World TV chain, live to all the homes around the globe. The family of one of those prisoners watches in great pain, one of those games. When one of the players dies, we discover that the TV show doesn't end there.",12,uroboro,2006
712,8.8,['Mari Monrad Vistven'],"['Anders Hofseth', 'Tarje Holtvedt', 'Mari Monrad Vistven']",Terje loses his wife and children under tragic circumstances. Ten years later destiny gives him an opportunity for revenge. A modern paraphrase of Ibsen's epic masterpiece.,27,terje vigen,2006
713,6.9,Mike Foodman,"['Neil Baker', 'Sebastian Passanisi']","Perplexed individuals discover their homes have been totally emptied by unseen forces and must undertake personal journeys, collaborating with neighbors they have never before met, to unearth the mystery.",11,moving,2006
714,5.7,Pablo Agüero,Pablo Agüero,"A mother and her son, refugees in a precarious and isolated hut, struggle for survival and affection. Confronting each other by their own urgency, they could die before the first snowfall.",15,primera nieve,2006
715,8.3,Kent Sanderson,Kent Sanderson,"A young boy in the 1950s re-imagines a family conflict as a rollicking, black and white outer space serial.",16,captain valedor,2006
716,6.7,Bobbie Peers,Bobbie Peers,"One morning, in a gravity-less surreal world, a ""sniffer"" at a deodorant factory, one morning has to be saved from the ceiling by his wife.",10,sniffer,2006
717,7.1,Zak Hilditch,Zak Hilditch,A young boy playing in the woods discovers a dead body by the edge of the river - leading to devastating consequences.,11,at play,2006
718,7.1,Brian Durnin,Brian Durnin,"A father and son use the Irish language to discuss their secret, of which the mother knows nothing: the father is a spy. When the son decides to help his father bring in the man he is after, things start to unravel.",12,an teanga runda,2006
719,8.6,Jerry Chan,"['Danny Amaro', 'Jerry Chan']","A young Chinatown drug dealer enlists the help of a violent gang buddy to commit his first home invasion robbery, but his pursuit of ""fast money"" yields unintended consequences that will forever change his life.",14,fast money,2006
720,-,Ian Shen,Ian Shen,-,-,joy in the mourning,2006
721,-,"['Marcus Araiza', 'David A Daniels']",Marcus Araiza,-,3,the fatal rhyme,2006
722,8.1,Ben Phelps,Ben Phelps,An encounter ends in tragedy when a Lebanese-Australian family is harassed by a group of soldiers at a checkpoint in outback Australia.,11,checkpoint,2006
723,7.3,['Emanuele Di Bacco'],['Emanuele Di Bacco'],"An extraordinary series of events, will lead a boy to understand the way of new world.",21,the place,2006
724,8.4,"['Jerrod Bogard', 'Damein Futch']","['Jerrod Bogard', 'Damein Futch']","When a young violinist witnesses his own mother's brutal murder, he is sent to live with his father and grandfather in the deep swamp. There he encounters a nightmare world of abuse and folklore. His grandfather tells him the tale of the Gatorman, a creature that prays on children who cry or disobey. The boy uses his music to escape the horrible reality around him and... Leer todo",34,gatorman,2006
725,8.5,['Jean Philippe Martin'],['Jean Philippe Martin'],-,-,lapin aux cèpes,2006
726,-,Ryan Kampe,Ryan Kampe,"""My African Giraffe"" tells the story of Adam, a seemingly well meaning boy who is in search of that extra little gift from his grandmother. His journey takes him to his grandmother's house where he startles his grandmother by showing up without his mother. What Grandma doesn't know is that she is in for a lot more than she bargained for. Along the way this dark fable ... Leer todo",11,my african giraffe,2006
727,5.6,Alber Ponte,Alber Ponte,"Filmic essay on serendipity, to find without searching, and stub of a love story in a remote village in Granada.",17,pernambuco,2006
728,-,Darrien Murphy,Darrien Murphy,"A young woman meets with her aunt for the first time since the murder of her mother two years before. They meet in a museum where a grand hall celebrating Russian art, history and the history of their family, the Romanov's, will be dedicated to her mother. At the same time she will also reveal horrible information about her mother's murder.",-,pomoge mne,2006
729,-,Rodrigo Castelhano,Thelma Guedes,-,10,o retrato da felicidade,2006
730,7.3,Víctor Erice,Víctor Erice,Spanish director Victor Erice discusses the first film he saw as a 5 year old and the impact it had on his life.,32,la morte rouge,2006
731,7.5,Maria Tornberg,Maria Tornberg,-,23,never be mine,2006
732,7.4,Katja Sambeth,Buddy Giovinazzo,-,-,fishin',2006
733,2.9,Stuart Moulds,Stuart Moulds,"Abandoned by his partner and desperate, a hapless crook prepares for an armed robbery in a shopping mall public toilet. Things take a turn for the worst when a bullet rolls into the next cubicle and a police officer starts asking questions...",9,stalled,2006
734,-,Paul Lovelace,Paul Lovelace,"Kent is an unemployed college graduate still living at home, lost and adrift. A series of vignettes unfold over the course of one of Kent's typical days: movies, friends, baseball, a new girlfriend, and some poetry. Photographed during a lush New England autumn, The Sonnets finds beauty within the confines of small town monotony.",10,the sonnets,2006
735,-,Takahiko Katayama,Takahiko Katayama,"A night club bouncer, Tony, gets off work and makes his way home where his wife, Jen, awaits his return. It was going to be just like any other Saturday night for the newlywed couple, until a gunshot rings out, breaking their routine. Down on the ground with blood pouring out and consciousness about to fade away, Tony foresees what he is truly going to miss. Inspired ... Leer todo",-,tony heard a gunshot,2006
736,8.4,Angela Hurt,Angela Hurt,A con woman poses as a damsel in distress and seduces the kind stranger who stops to save her. Leaving him penniless and shot as she drives off into the sunset to her next con.,14,walkaway,2006
737,-,Hovik Thomasian,"['Gevork Kadzhabashian', 'Hovik Thomasian']",Centers on a Magnum revolver destined to create havoc as it circulates in various hands; bringing out a roster of characters to its story.,27,cold comfort,2006
738,,,,,,(desire),2006
739,7.6,Benoît Tetelin,Benoît Tetelin,-,17,le fil des coups,2006
740,-,Rayya Elias,Rayya Elias,A 9 year-old Syrian girl's first day of school is very challenging in the late sixties when she experiences culture clash in blue-collar America.,6,the lunchroom,2006
741,-,Najla Zaidi,Najla Zaidi,-,7,the christmas tree,2006
742,-,Matthias Pick,Matthias Pick,-,29,diaries of a coloured grey,2006
743,6.4,Phillip Van,Phillip Van,An obese 11-year-old attempts to give a love letter to his elementary school crush and winds up at dinner with her intensely suburban family and her new flame.,11,dunny,2006
744,-,Adam Fike,Adam Fike,-,6,the sound of water rising,2006
745,5.9,-,-,"Two brothers, Alex and Louis Thomas, open a small restaurant in New Jersey with their mother, Rita. On their opening night, Louis sleeps with the daughter of a notorious and very ruthless mafia boss, who burns down their home and restaurant, forcing the Thomas family to flee to Los Angeles. There, Alex and Louis find work at a prestigious Beverly Hills restaurant, whe... Leer todo",-,desire,2006
746,7.7,Sascha Moll,-,A woman is being raped right on the street. Another woman comes by and witnesses the crime. How will she react?,3,heimweg,2006
747,8.5,Fredric Lean,Fredric Lean,A riptide occurs when 2 opposing natural currents collide. 'Fragile' is a non-conventional tale about a married woman who goes through a mid-life crisis and who finds self-liberation after an encounter with a photographer with a strange offer while her husband is on the hunt for a rapist.,26,fragile,2006
748,4.8,Jessica Hausner,Jessica Hausner,A young woman enters the kitchen and starts to prepare food mechanically. What first looks like a simple daily activity soon turns into obsessed preparing and eating.,47,toast,2006
749,,,,,,a.m.,2006
750,7.0,"['Andrea Fellers', 'Blake West']",Andrea Fellers,Haily is a lost alcoholic about to discover the truth.,7,twilite memories,2006
751,,,,,,in your dreams,2006
752,6.1,Valerie Kemp,Valerie Kemp,During the turbulent 60's two small town teens try to make their interracial relationship last.,17,a change is gonna come,2006
753,-,James Lawes,James Lawes,"Lady Macbeth is a twisted tale of seduction and domination, based around a speech from Macbeth and focusing on a young girls struggle to keep her family together at any cost.",14,lady macbeth,2006
754,3.6,Ahd,Ahd,"""3 Queens"" explores the anxiety between cultural and family pressures compounded by post-graduation dilemmas. In this coming-of-age story, three friends will decide their fate together, even if it means they have to part.",20,three queens,2006
755,-,Nathan Marshall,Matt Pelfrey,"When Eddie, a troubled teenager, gets into a hallway fight with a bully at his high school, the principal steps in and sends Eddie to meet with a guidance counselor. What at first seems a well-meaning lecture from the counselor shifts to become a lesson in prison etiquette, as Eddie is slowly convinced that he is on a path towards incarceration.",11,shank 101,2006
756,-,Jeannie Simms,Jeannie Simms,"The story of a young Scottish immigrant who fell in love with a priest in the early 1970s, is retold by a young woman who looks back on a past that cannot possibly be her own.",15,1974 in california,2006
757,6.7,Olympia Stone,Olympia Stone,"Director/producer Olympia Stone explores the 46-year career of her father, Allan Stone, a famed New York gallery owner and art collector, while examining Stone's obsession with art and his compulsive collecting genius.",62,the collector,2006
758,6.4,Lisa Langseth,Lisa Langseth,"About getting a pass or fail in today's society, about how far people are prepared to go and about which limits they are prepared to go beyond in order to reach their goals.",28,godkänd,2006
759,5.7,['Hanelle M Culpepper'],"['Hanelle M', 'Culpepper T', 'Ann Culpepper']",Leila's a woman who fears love. But an unlikely bond with an eccentric stranger formed through the art and passion of dance opens her heart.,13,leila,2006
760,7.9,William Stetz,Peter Crombie,"A man who loses his daughter to an accidental shooting, finds his way toward making peace with himself and his daughter's memory.",15,threshold,2006
761,5.8,Michelle Opitz,Shannon Corder,"Shelly edits sitcom laugh tracks for a living, but while at work she daydreams of sharing her life's frustrations on a comedy stage. There she explains to a strange audience that she is the sole caretaker for her mother who is deteriorating from Alzheimer's disease. Shelly is not funny, but the audience laughs anyway. Shelly is struggling to decide whether it is time ... Leer todo",25,"but seriously, folks",2006
762,5.9,Nathan Scoggins,"['James Duke', 'Nathan Scoggins']","When a spoiled British pop star is sent to the hospital before his first big tour, he meets a girl who gets him to see himself in a new light.",10,pop star,2006
