puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
20,2.7,Joseph Zito,"['Clay Mc', 'Bride']",An elite commando unit must rescue a captured peacekeeping force from a ruthless international arms dealer.,93,Accion,delta force one: the lost patrol,tt0176650
0,2.4,Rune Bendixen,"['Rune Bendixen', 'Majken Gilmartin', 'L.M. Kit Carson']",A man on the run is surprised to learn that he is a Knight Templar and that his girlfriend is a holy virgin about to give birth to a very special baby on Christmas Day.,90,Accion,bullfighter,tt0176579
46,6.5,Wolfgang Petersen,"['Sebastian Junger', 'William D. Wittliff']",-,130,Accion,the perfect storm,tt0177971
,4.5,Geoff Murphy,"['Steven Feinberg', 'Troy Neighbors', 'John Flock']",-,92,Accion,fortress 2,tt0179183
,6.1,Nicolas Wadimoff,"['Nicolas Wadimoff', 'Moussa Maaskri', 'Louis Bélanger']","Une station-service au bord de l'autoroute. Abdou, jeune fugueur, se lie d'amitié avec Georges, le pompiste Arabe. Georges profite d'une ultime et violente dispute avec son patron pour plaquer son boulot et accompagner le petit Abdou jusqu'à Marseille. L'enfant souhaite y voir un match de la coupe du monde de football. La tête pleine de rêves et les poches vides, ils ... Leer todo",100,Accion,mondialito,tt0179987
20,3.6,David Giancola,David Giancola,At the the Killington ski resort something has gone awry. Evil terrorists led by the sinister Greig have taken the resort hostage with a stolen nuclear device. It's up to Ski Patrol bum Matt Foster to save the day... and his fiancé.,90,Accion,icebreaker,tt0179861
,-,-,"['Wilt Chamberlain', 'K.C. Fulton']",-,-,Accion,the grizzly six,tt0179204
,3.3,John Putch,James Morley IIIKeoni Waxman,"When a tsunami created by a nuclear explosion capsizes a cruise ship, a special agent must help the surviving passengers reach the surface when it becomes apparent that there's a group of terrorists on board.",90,Accion,intrepid,tt0183280
47,5.7,Craig Mazin,James Gunn,The sixth or seventh best superhero team in the world pursue their rightful place in the harshly competitive world of toy tie-ins and fighting evil.,82,Accion,the specials,tt0181836
70,6.5,Gérard Krawczyk,Luc Besson,-,88,Accion,taxi 2,tt0183869
25,5.8,John Frankenheimer,Ehren Kruger,-,104,Accion,reindeer games,tt0184858
80,6.6,Tom Dey,"['Miles Millar', 'Alfred Gough']",-,110,Accion,shanghai noon,tt0184894
50,4.6,Randall Fontana,Randall Fontana,"Brigit as a young girl saw her family killed by the Karpovs, a Russian crime family, she would have been dead too, if her neighbor had not come to her house and saved her. Years later, she plans to take out all of the Karpovs, and she does. However, the Reillys, the Karpovs rival are afraid that the Karpovs will think that they are behind it. So, they grab her so that... Leer todo",90,Accion,"farewell, my love",tt0184457
78,6.5,Clint Eastwood,"['Ken Kaufman', 'Howard Klausner']",-,130,Accion,space cowboys,tt0186566
62,7.2,Roland Emmerich,Robert Rodat,-,165,Accion,the patriot,tt0187393
,4.7,Jeff Celentano,"['D. Alvelo', 'Marc Bienstock', 'Jeff Celentano']","On a personal mission to destroy his wife's killer, a Denver cop (William Baldwin) joins a rogue operation that goes bad and finds himself under suspicion of murder, yet still manages to restart his life.",91,Accion,primary suspect,tt0187750
3,2.5,Roger Christian,"['Corey Mandell', 'J.D. Shapiro', 'L. Ron Hubbard']",-,117,Accion,battlefield earth,tt0185183
,5.1,Elyse Lewin,Patrick Newall,A young man must decide between a life on the streets and a career in the theater.,95,Accion,brooklyn sonnet,tt0187761
25,6.5,Dominic Sena,"['H.B. Halicki', 'Scott Rosenberg']",-,118,Accion,gone in sixty seconds,tt0187078
