,actores
0,Tony Devon
1,Vanessa de la Rocha
2,Tony Mabesa
3,Jennifer Tung
4,Thierry Sabine
5,Darya Yurgens
6,Sofia Naranjo
7,D.J. Naylor
8,Megan Hollingshead
9,Jeremy McCurdy
10,Stephanie Sanchez
11,Siu-Ming Lui
12,Aleksey Khardikov
13,R. Sarathkumar
14,Katy Downing
15,Alexa Davalos
16,Devon Whitham
17,Tava Smiley
18,Bill Bentley
19,Alejandro Valdes-Rochin
20,Biggy van Blond
21,Gemma Marcos
22,Dora Mazzone
23,Michael Mastro
24,Richard Lee
25,Alexander Pollock
26,Shingo Tsurumi
27,Brendan Gleeson
28,Ken Bolton
29,Daniel Wu
30,Marco Antonio Gonzalez
31,Veronica Arreaga
32,Seong Chang-hoon
33,Lucio Romero
34,Frederick Flynn
35,Elisabeth Cordova
36,Rhett Giles
37,Paul Griffin
38,Lloyd Battista
39,Gamal Abdulaziz
40,Jeeva's Wife
41,Jason Church
42,Ragesh Asthana
43,Kariya
44,Bunta Sugawara
45,Djimon Hounsou
46,Patricio Castillo
47,Vincent Pastore
48,Charlie Davao
49,Jenny Kitseli
50,Irina Björklund
51,Suzy Nakamura
52,Athena Chu
53,Ralph Macchio
54,Jin-Seo Yoon
55,Seema Sidhu
56,Carolina Bona
57,Lucia Obenauová
58,Christopher Lee
59,Isha Koppikar
60,Choi Il-hwa
61,Jenna Dover
62,Dénes Ujlaky
63,Bernardo Forteza
64,Johara Farley
65,Ray Godshall Sr.
66,Minnie Aguilar
67,Julia Castagno
68,Scott Chan
69,Andrew Ableson
70,Cal Dodd
71,Lisa Dewitt
72,Satyajith
73,Jerome Ro Brooks
74,Jun Aristorenas Jr.
75,Andrei Finti
76,Shunsaku Kudô
77,Chica 2
78,Ashok Dhagewala
79,Dulcie Smart
80,Steven Baxter
81,Kenneth Mitchell
82,Shawn Elliott
83,Masahiko Hori
84,Aaayapan(as Joginder)
85,Leo Medina
86,Christie MacGregor
87,Pinky Roces
88,Lisa Furst
89,Martin McNamara
90,Harsh Nayyar
91,John Barrett
92,Jaime Fernández
93,Satsuki Yukino
94,Hideo Murota
95,Rolly Aquisa
96,Péter Faragó
97,Sang-gu Jo
98,Nick Hobbs
99,C.C. Costigan
100,Sam Lee
101,Goran Danicic
102,Mark Christopher Lawrence
103,Jean-Pierre Castaldi
104,Dragan Micanovic
105,Iben Hjejle
106,Tin-Ying Lam
107,Madhan Bob
108,John Gillespie
109,Alicja Francis
110,Milira
111,Collin Henry
112,Roma Navani
113,Nishikawa Takakazu
114,Darius McCrary
115,Fernando Casanova
116,Eric Harp
117,Murari Kumar
118,Tara Sands
119,Gokor Chivichyan
120,Tom Jansen
121,Yuliya Chicherina
122,Roxanne Coyne
123,Thomas Jefferson Byrd
124,Hitomi Miwa
125,Ashleigh Synder
126,Peter Wingfield
127,Maria Gangale
128,Cyril Mourali
129,John DiResta
130,Yueyun Liang
131,Jo Canonizado
132,Kevin Hopkins
133,Ryu Soo-young
134,Brad Hunt
135,Busta Rhymes
136,Kansai Eto
137,Peter Doyle
138,Kim Proby
139,José Luis Rojas
140,Mahmoud Kabil
141,Edith Scob
142,Kallie Heerensperger
143,Guggu Gill
144,Matthew Heiman
145,Sophiya Haque
146,Ariyasena Gamage
147,Khanngoen Nuanual
148,Frederic Forrest
149,Thomas Ungewitter
150,Tsurutarô Kataoka
151,Víctor Garibay
152,Foreign girl
153,Zorka Manojlovic
154,Ryan Weed
155,Jeet
156,Trever Keith
157,Hung Lu
158,Rick Lum
159,Scott Eyman
160,William Harold Waites
161,Ramachandra
162,Teiyû Ichiryûsai
163,Atsuko Tanaka
164,Ramon Sierra
165,Ying Liang
166,Violeta Markovska
167,Edison Chen
168,Jsu Garcia
169,Gary Voskopoulou
170,Wah Sun Ng
171,Daisuke Shima
172,Jorge Barcellos
173,Francesca Rettondini
174,Keith Coogan
175,Skinny Smith
176,Ruth Hollyman
177,Toni Gonzaga
178,Siu-Lung Leung
179,Don Williamson
180,Christoph M. Ohrt
181,Joey Yung
182,Konstantin Moreth
183,Mitsuki Saiga
184,Dolly Bindra
185,Ashokan
186,Richard Anconina
187,Luis Barba
188,Rogelio Balver
189,Brittany Calla
190,Kenan Imirzalioglu
191,Alfredo Ortiz
192,Dana Lee
193,Peter R. Bird
194,Hori Ahipene
195,Leehom Wang
196,Greta Danielle Newgren
197,Jordan Chan
198,Ivonne Montero
199,Mickey Koga
200,Lisa
201,Dom Hetrakul
202,Krishna Bhagavan
203,Angus Scrimm
204,Scott Michael Campbell
205,Kanako Higuchi
206,Amneris Gabriel
207,Markus Parilo
208,Nina Tenge
209,Keagan Kang
210,Jeong Jun-ho
211,Hugo del Valle
212,Bernhard Bettermann
213,Aruna Irani
214,Risa Kamimura
215,Yog Japi
216,Mio Takaki
217,Manisha Patel
218,Minister Devaraj
219,Toshiyuki Aoki
220,Christina Kan
221,Mark Poyser
222,Alia Avdeyeva
223,Prashant Chianani
224,Maya(English version)(voz)
225,Joren Seldeslachts
226,Robert Hansen
227,Greg Wise
228,Ka-Yan Leung
229,Olympia Dukakis
230,Phillip Salvador
231,Sam Troughton
232,Andrey Krasko
233,Göran Forsmark
234,Matthew Reithmayr
235,Cha Seung-won
236,Michel Carliez
237,Yee-Man Man
238,Hin-Wai Au
239,David Earl Waterman
240,Frédéric Cerdal
241,Sayuri Ikemoto
242,Tamela
243,Renukamma Murugodu
244,Beena Banerjee
245,Yun-bae Park
246,Nik Weston
247,Enrique Iglesias
248,Gangster
249,Heather McComb
250,Jada Pinkett Smith
251,Romuald Andrzej Klos
252,Kier Legaspi
253,Amy Jo Johnson
254,Akira Saito
255,Louie Katana
256,Paul McGillion
257,Seong Choi
258,Madison Goeres
259,Gérard Jugnot
260,Igor Livanov
261,Léon-Pierre Mondini
262,Lee Chung-Ah
263,Kristen Kautsch
264,Darryl Theirse
265,Ike Gingrich
266,Mahendra
267,Luis Heredia
268,Cam'ron
269,Natasha Henstridge
270,Roberto Bomtempo
271,Miriam Montilla
272,Mariya Poroshina
273,Edgar Ignacio
274,Melissa Dynan
275,Connie Copano
276,David Warner
277,Geoff Klein
278,Sinan Çetin
279,Owen Wilson
280,Kaveri
281,Jung Suk-yong
282,Anmol
283,Song Ji-Hyo
284,Victor Neri
285,Danny Dyer
286,Yôichi Numata
287,Chris Frank
288,Curtis Fortier
289,Georgia Brown
290,Yakan Nabe
291,Yuriy Laguta
292,Masayuki Izumi
293,Cecile Gray
294,Kenjirô Ishimaru
295,Shop Keeper
296,Anowara
297,James Barriscale
298,Gregory Patrick Karr
299,Benjamin Abelarde
300,Brendan Costello
301,Zahra Swetz
302,Kenya Mori
303,Alexis Ramirez
304,Tracy Phillips
305,Nick Valenzuela
306,Amadu Mamadakov
307,Padrote
308,Tanushree Kaushal
309,Charles Martin Smith
310,Sôichirô Kitamura
311,Ren Ôsugi
312,Master Bates
313,Michael Worth
314,Kitu Gidwani
315,Anilú Pardo
316,Paprika Steen
317,Master Suraj
318,Patrick Brennan
319,Harrison Young
320,Gun-Marie Nordling
321,Billy Connolly
322,John Cleese
323,Brandon DiCamillo
324,Jared Harris
325,Shivappa
326,Rogelio Garcia
327,Henryk Talar
328,Chris Robson
329,Hugo Rosario
330,Patrick Warburton
331,Kushal Chakraborty
332,Lucie de Saint-Thibault
333,Ed Neil
334,Heather Joy Budner
335,Christina Ulloa
336,Si Chan
337,Shailaja Joshi
338,Nicollette Sheridan
339,Ben Immanuel
340,Hai Peng
341,Rosemary Gore
342,Bala - Main Vilian
343,Gene Ruffini
344,Hugo Arana
345,Kirill Ulyanov
346,Ken Kaitô
347,Tom Guiry
348,Zerha Leverman
349,Dr. Legoy
350,Paul Campbell
351,Yaadi
352,June Lockhart
353,Maria d'Aires
354,Dian P. Ramlee
355,Anya
356,Eri Fukatsu
357,Toshiyuki Morikawa
358,Megan Parlen
359,Vinay Anand
360,Zala Hajdinjak
361,José Herrera
362,Akash Khurana
363,Emilio Diaz
364,Louis Mendoza
365,Robinson San Martín
366,Fitz
367,Nadia Farès
368,David Austin
369,Kayzie Rogers
370,Satomi Kôrogi
371,Silvia Colloca
372,Carlos Stiwell
373,Alex Mutz
374,Fat Joe
375,Tanvi Hegde
376,Spilotri
377,Fred Anderson
378,Felipe Camacho
379,Flora Saini
380,Timothy Busfield
381,Steve Harris
382,Daoming Chen
383,Vangie Labalan
384,Babu Mohan
385,Bill Hunter
386,David Wu
387,Scott L. Schwartz
388,Takeshi Kitano
389,Sean McFerran
390,Azharul Islam Khan
391,Irina Grigoreva
392,Masao Kusakari
393,Goeretti Chadwick
394,Taj Burrow
395,Shi Weijan
396,Boris Dvornik
397,Sharmil Bhatwal
398,Mikako Ichikawa
399,Yûki Kuroda
400,Brother Newz
401,Roderick Lam
402,Klaas Lageveen
403,Mark Capp
404,Sangeetha
405,Gilda Carle
406,Mubu Nakayama
407,Mark Famiglietti
408,Rigor Diaz
409,Jenna Boyd
410,Won-seok Choi
411,Martha Tenorio
412,Barry Brisco
413,Kristen Miller
414,Shaun Delaney
415,Jose Antonio Gonzalez
416,La Salle Ishii
417,Won Jin
418,Ajay Devgn
419,Lee Mun-shik
420,Ezequiel Rodríguez
421,Lukács Bicskey
422,Rodolfo de Anda
423,Joanna Taylor
424,Erik Clausen
425,Kim Hyeon-suk
426,Ankit Barot
427,Kazue Fukiishi
428,Giorgi Gurgulia
429,Lawrence Hoffman
430,Megan Cavanagh
431,Jordan Ladd
432,Ariel Blanco
433,Tyrese Gibson
434,Aaliyah
435,James Keenley
436,Gundu Hanumantha Rao
437,David Alvarado
438,Brittan Camden
439,Luchana Gatica
440,István Hangos
441,Ted Shackelford
442,Salil Ankola
443,Miki Komori
444,Ivana Mihic
445,Jai Ganesh
446,Harry Peacock
447,Jorge Casalduero
448,Eric Savin
449,Miguel Ángel Tirado
450,Detlef Bothe
451,Shane Anderson
452,David Crow
453,Wayne Crawford
454,Alan Austin
455,László Szabó
456,JD Roberto
457,Norbert Fero
458,Policía
459,Russell Bobbitt
460,Len Shliz
461,Shankar Pandey
462,Claude Duhamel
463,Yeong-mu Kim
464,Franjo Dijak
465,Nia Long
466,Ryan Francis
467,Alfred D. Herger Jr.
468,M.S. Thrippunithara
469,Krista Ranillo
470,Norman Chu
471,Doug Hutchison
472,Chow Yun-Fat
473,Ingeborga Dapkunaite
474,Leandro Cruz
475,Steve Gonzales
476,Kôichi Satô
477,Vijay Solanki
478,Aleksey Kravchenko
479,Bantul
480,Artur Dziurman
481,Klea Scott
482,Masami Hisamoto
483,Elias Hauck
484,Satyaki Misra
485,Carmen Argenziano
486,Mark Strong
487,Stephen Baldwin
488,Klara Hlouska
489,Petar Slabakov
490,Irshad
491,Craig Sheffer
492,Mary Mancini
493,Jed Allan
494,Tom Wisdom
495,Gates McFadden
496,Jon Osbeck
497,Jinky
498,Irene Montalà
499,Matt Czuchry
500,Ali Larter
501,Brandon Kealona
502,Robert Tannion
503,Randy Talens
504,Jimmy Smits
505,Daisuke Uesugi
506,Kirk Hunter
507,Manuel Navarro
508,Masaru Matsuda
509,Miyoko Akaza
510,Mark Griffin
511,Yasuaki Kurata
512,Marcelino Uribe
513,Mohammad Ali
514,Rena
515,Lucky Ali
516,Carlos Burle
517,Pedro Beitia
518,Todo Segalla
519,Ivette Chiron
520,Aiko Tachibana
521,Amrita Rao
522,Tesshô Genda
523,Gary Houston
524,Jamie Taylor
525,Alejandro Lanoni
526,Francis Magalona
527,Mark Beltzman
528,Joe Suba
529,Jay Manalo
530,Jason Simpson
531,Secret agent
532,Shiva(as Late Mahaveer Sah)
533,Chip Holman
534,Ekin Cheng
535,Leslie Nielsen
536,Marcus
537,Bijoy
538,Larry Manetti
539,Lili Monori
540,Alan King
541,Kazuyuki Asano
542,Christi Etcher
