,puntuacion_imdb , direccion , guion , argumento , duracion , titulo, anio
37,-,Zeyad Alhusaini,"['Zeyad Alhusaini', 'Michael Leo Shea']","In the world of organized crime and contract killers, Guy #1 is about to do his first big job. Triggered by anxiety his mind blurs the line between what is real and what is imagined, catapulting him into a hyper-kinetic action trip.",33,the pure,2000
38,5.6,Kôichi Ôhata,Daisuke Okamoto,"In this non-canonical entry in the Resident Evil/Biohazard franchise, five members of the U.B.C.S. are sent to Racoon City to trace Dr. Cameron and, foremost, her research. However, the horrors they encounter are beyond their imagination.",19,biohazard 4d: executer,2000
39,-,"['René Gyldensten', 'Jacob Weinreich']",-,"While watching football on the telly with a friend, three youngsters win a large bet. One of the friends grab the coupon and runs off. Now the other two wants revenge - and their part of the money.",20,dongsters,2000
40,-,Shane Boroomand,-,"Zak and his girlfriend Stella work at an upscale Italian Restaurant. But today is anything but normal, as Zak gets himself in hot water with a group of shady customers. The chase is on as Zak fights the rude customers inside and outside the fine eatery. ''If you can't stand the heat, get out of the kitchen!''",-,an italian take-out,2000
41,-,Razor Rizzotti,Razor Rizzotti,-,-,lucha libre life,2000
42,-,Derek Barclay,Derek Barclay,"University Media Tech short film from the year 2000. HIDDEN TIGER is the story of a Karate student who gets mugged while jogging in a forest and finds his Karate no match for his opponent's martial arts street fighting. Disillusioned with Karate, he joins a Jeet Kune Do school where Master Lee teaches him to free himself from the limitations of his style. Later on he ... Leer todo",-,hidden tiger,2000
43,-,"['Michael Cruickshank', ""Will O'Loughlen"", 'Kaleo Quenzer']","['Michael Cruickshank', ""Will O'Loughlen"", 'Kaleo Quenzer']","Blown Again, the sequel to our first short, Blown, follows the continuing action-filled life of Joe, (played by FGF's Kaleo Quenzer) the rock-and-roll modern-day gangster. In this installment, Joe attempts to recover a briefcase full of money from a new gang - and this time the hot chicks aren't all on Joe's side. More karate kicks, car chases and gun-play than you co... Leer todo",10,blown again,2000
44,-,Marcel Belledin,Marcel Belledin,-,2,legolomo die 2te,2000
45,-,Marcel Belledin,Marcel Belledin,-,2,legolomo,2000
46,7.3,Ivan Petrovic,"['Ivan Petrovic', 'Nikola Zavisic']",-,11,srbokap,2000
