,0,1,2,3,4,5,6
0,7.6,George Lucas,"['George Lucas', 'John Ostrander', 'Jan Duursema']",-,140,star wars: episode iii - revenge of the sith,2005
1,5.7,Tim Story,"['Mark Frost', 'Michael France', 'Stan Lee']",-,106,fantastic four,2005
2,5.8,"['Raymond L. Gunn', 'Robert Swanson']","['Raymond L. Gunn', 'Robert Swanson']","Watching this crazy gangland send-up with the ""outlandish"" commercial interuptions, makes you feel as if you are viewing a late night movie on local television, but, a t.v. station could ""never"" air anything like ""Striptease Baby Dolls From Cleveland Meet The Unkillables"", and the commercial spoofs are done the way we'd ""like"" to see them . It's zany comedy and action... Leer todo",80,striptease baby dolls from cleveland meet the unkillables,2005
3,8.1,-,Jeffrey Bunzendahl,"In the high stakes world of espionage, sometimes you've got one chance... WILSON CHANCE, secret agent for the Canadian government. He lives for the moment. He lives for excitement. He lives for danger. Actually, he just hopes he lives! What starts off as a routine surveillance assignment, turns into a deadly game of spy versus spy, as Wilson Chance becomes unwittingly... Leer todo",-,wilson chance,2005
4,4.1,Brett Leonard,"['Steve Gerber', 'Hans Rodionoff']",-,106,man-thing,2005
5,3.4,Mark Roper,Harry Alan Towers,"Jeffery Thorpe roams the Caribbean in his boat, 'The Sea Wolf'. He will take any job, no matter how suspicious the circumstances. When a mysterious woman gives him an antique gold coin, the real adventure is about to begin!",94,the sea wolf,2005
6,3.4,Jason Yee,Jason Yee,"Derek Woo is back in town to clean up the streets once and for all. But when a group of gangsters are brutally murdered by a mysterious assassin, the police target Derek as the prime suspect.",82,dark assassin,2005
7,5.1,Lorena David,Jeff Schectman,"In this action-comedy, four twenty-something friends are looking for love and having no luck. While on a ski trip, one of them finds passion with a beautiful girl after a random accident on the icy slopes. The others quickly conclude that the extreme circumstances of the accident were what caused love to bloom. They decide that the path to true love is to purposely se... Leer todo",96,extreme dating,2005
8,6.0,Breck Eisner,"['Clive Cussler', 'Thomas Dean Donnelly', 'Joshua Oppenheimer']",-,124,sahara,2005
9,4.2,Peter Hyams,"['Ray Bradbury', 'Thomas Dean Donnelly', 'Joshua Oppenheimer']",-,110,a sound of thunder,2005
10,7.3,Ridley Scott,William Monahan,-,144,kingdom of heaven,2005
11,6.5,Gordon Chan,-,-,200,kung fu master,2005
12,6.6,John Dahl,"['William B. Breuer', 'Hampton Sides', 'Carlo Bernard']",-,132,the great raid,2005
13,5.1,Antony Szeto,"['Trevor Morris', 'Yeung-Ping Sze', 'Antony Szeto']","A town is attacked by a deadly creature. The only thing that can stop it is the DragonBlade, but the one who knows where it is won't tell others, since untold peril await anyone who finds this legendary weapon.",85,lung do kei yuen,2005
14,4.5,Lee Tamahori,"['Rich Wilkes', 'Simon Kinberg']",-,101,xxx: the next level,2005
15,3.0,Vasiliy Chiginskiy,"['Oleg Kapanets', 'Alex Kustanovich']","Its codename is Sabertooth, a top-secret Russian stealth fighter jet that could tip the world's military strategic balance. But when someone begins assassinating the project's top test pilots, maverick C.I.A. boss Henry York (Armand Assante) launches a surveillance of international arms dealer Dick Murdock (Malcolm McDowell).",109,mirror wars: reflection one,2005
16,3.8,"['David Gaz', 'Annelie Wilder']","['David Gaz', 'Kevin Poore']","This is how it works: In nature, the heat and pressure of the earth turns coal into diamonds over a period of thousands of years. Industrial diamonds are created by processing coal in a machine that mimics the heat and pressure of the earth. Because coal is the carbonized remains of prehistoric plants and animals, it is made up of the same chemical components found in... Leer todo",85,diamond zero,2005
17,4.1,"['Tim Mc', 'Cann']","['Tim Mc', 'Cann']",A desperate man ventures into a dangerous and sordid underworld of crime and pornography in search of his severed genitalia which is held for ransom by his disgruntled former girlfriend.,78,nowhere man,2005
18,4.1,David Lister,Paul Anthony,"Freya is the clan princess, pursued by Sven who wants only to become king after King Thorsson dies. Freya prefers Agnar, who was lost with a boatload of clansmen on a raid. The old king longs for one more grand adventure and takes a group to an island two days journey away. The island is cursed, being the realm of a great and brutal Beast - said to be protected by Odi... Leer todo",90,beauty and the beast,2005
