puntuacion_imdb,direccion,guion,argumento,genero,duracion,titulo,anio
2.0,Terry Spears,Terry Spears,A skilled young female agent is tasked with capturing a rogue former agent before she can unleash a biological weapon starting with the wealthy and powerful purveyors of the international sex trade.,101,Accion,agent jade black,2020
4.2,David Dhawan,"['Rumi Jaffery', 'Farhad Samji']",-,134,Accion,coolie no. 1,2020
3.7,Anbarasan,Anbarasan,"A cop, who sets out to solve the mysterious death of infants in Kumbakonam, realises that a few bigwigs are behind the crime.",133,Accion,walter,2020
5.4,Ka-Fai Wong,"['Cherryyoko', 'Samson Sun']","Fuk Wor Triad member Ting (by Michael Tse Tin Wah) and Senior Inspector Tuen (by Pakho Chau) of the Regional Anti Triad Unit are moles that have been planted by the rival party. Within 10 years, Ting has risen through the ranks within the organization, but deep down he is fed-up ... Leer todo",90,Accion,wu jian xing zhe zhi sheng si qian xong,2020
4.0,Matt Eskandari,Doug Wolfe,-,90,Accion,survive the night,2020
7.9,Chûji Mikasano,"['Chûji Mikasano', 'Yoshihiro Togashi']",-,126,Accion,butai yu yu hakusho,2020
6.0,Patrice Laliberté,"['Charles Dionne', 'Nicolas Krief', 'Patrice Laliberté']",-,83,Accion,jusqu'au déclin,2020
4.6,Michael Polish,Cory Miller,-,91,Accion,force of nature,2020
5.9,"['Eshom Nelms', 'Ian Nelms']","['Ian Nelms', 'Eshom Nelms']",-,100,Accion,fatman,2020
6.0,"['Jonathan Milott', 'Cary Murnion']","['Ruckus Skye', 'Lane Skye', 'Nick Morris']",-,93,Accion,becky,2020
3.9,Balázs Lóth,"['Ákos Inotay', 'Mark Kis-Szabo', 'Balázs Lóth']","After their friend dies in an accident, Marcell, the rich but burnt-out architect and the rest of his loser childhood buddies decide to team up for the last time to fulfill their friend's last wish by smuggling his crappy painting into the most prestigious art auction of Budapest... Leer todo",104,Accion,pesti balhé,2020
-,-,-,"'LEO' is about a guy who's the son of an Indian spy in South America. He was born with a Brazilian mother and brought up in Brazil . After his father has disappeared. The Indian government finds out about this and summons him to complete the mission, where he has the mission of k... Leer todo",-,Accion,leo,2020
5.0,Anna Mastro,"['Alex Litvak', 'Andrew Green', 'Austin Winsberg']",-,99,Accion,secret society of second-born royals,2020
5.8,Douglas Attal,"['Douglas Attal', 'Melisa Godet', 'Charlotte Sanson']",-,97,Accion,comment je suis devenu super-héros,2020
2.5,"['Raghava Lawrence', 'Balakrishnan Thevar']","['Farhad Samji', 'Raghava Lawrence', 'Sparsh Khetarpal']",-,141,Accion,laxmii,2020
5.5,ALi Khan AKSharan Sharma,"['Nikhil Mehrotra', 'Sharan Sharma', 'Hussain Dalal']",-,112,Accion,gunjan saxena: the kargil girl,2020
4.0,Graham Abraham,"['Graham Abraham', 'Julie De', 'Stefano', 'Benjamin Johnson']","When a whistle-blower has been found murdered, a state police detective named Karen investigates a suburban water supply pollution scandal that a chemical company is trying to cover up in New York state.",70,Accion,trail to the reservoir,2020
-,-,-,-,-,Accion,one way out,2020
4.4,Santhanamoorthy,Santhanamoorthy,"After the police inspector Kunthavai picks up a complex murder case for investigation, she takes the help of Danny, a smart police dog, to unearth a gang of dangerous criminals involved in serial killing.",100,Accion,danny,2020
4.4,Tony London,"['Tony London', 'Cheryl Neve']",-,-,Accion,gunfight at silver creek,2020
-,Lewis Millard,Lewis Millard,"Kapz and Colt, 2 friends, sit together in their stolen car. In a flashback we see that they discovered the car unlocked, with the key in the ignition, ready to take. Kapz pockets a phone he finds in the glove box. Fed up of living a life of petty crime, we learn that they have pl... Leer todo",45,Accion,two paths one road,2020
6.9,Cédric Jimenez,"['Audrey Diwan', 'Cédric Jimenez']",-,105,Accion,bac nord,2020
4.8,Yuvaraj Subramani,Yuvaraj Subramani,This is about a life struggle of a man who's trying to become a policeman as his family members wish and forced him to become police and save their village.,123,Accion,taana,2020
4.2,Alfonso Sánchez,"['Jorge Lara', 'Fernando Pérez']",-,95,Accion,superagente makey,2020
-,Boysing Samuel,Jeffrey M. Morris,3 NYPD Detectives defuse tensions between New York Cities 5 boroughs extraterrestrial residents.,-,Accion,111 the force,2020
5.4,Conor Allyn,"['Jake Allyn', 'David Barraza']",-,114,Accion,no man's land,2020
-,Jokes Yanes,"['J. Bishop', 'Ciro Dapagio', 'Jokes Yanes']",Bondsman Voss a retired Lt Col. will dive head first into the Mexican cartels home turf to try and rescue a childhood friends daughter from a ruthless band of sex traffickers who lack any type of empathy for humanity.,-,Accion,bound,2020
6.3,Guillaume Pierret,"['Guillaume Pierret', 'Alban Lenoir', 'Kamel Guemra']",-,92,Accion,balle perdue,2020
4.6,James Balsamo,James Balsamo,"Crashing funerals, digging through corpses to find drugs, and busting big-breasted bad girls is all in a days work for Officer Rod Davis.",90,Accion,catch of the day 2: you die at dawn!,2020
3.5,Brandon Cornett,"['Sareta Cheathem', 'Ronnie Kirk']",Making the mistake of robbing a powerful drug dealer. A group of friends are forced to rob a bank to make amends.,92,Accion,code of thieves,2020
7.1,Clément Chevalier,"['Emmanuel Cavallo', 'Clément Chevalier']","The story of a friends posse who decide to have some good time and make some urban exploration inside a former industrial site. They don't know they enter inside Sam Orgasme's lair, a strange bird loving and satanist man who seems to control nuclear pigeons, these pigeons in ques... Leer todo",51,Accion,scream birds - attack of nuclear pigeons,2020
6.2,Teddy Chan,"['Fendou Liu', 'Ning Wen']",-,110,Accion,zheng tu,2020
6.2,Woo-seok Yang,-,-,132,Accion,steel rain 2,2020
5.6,Jeff Profitt,Jeff Profitt,"Kionna is a young woman with a bright future, who has fallen in love with a local drug dealer named Tyreek. When Tyreek is locked up, after one of his trap houses are raided by police, he asks Kionna for a huge favor. Tyreek asks Kionna to take over his drug empire until he gets ... Leer todo",97,Accion,queen of the trap house,2020
-,-,-,Reparto principal,150,Accion,agnee 3,2020
4.8,Jaime Eliezer Karas,"['Larry Postel', 'Zach Lewis', 'Jim Mahoney']",-,101,Accion,the main event,2020
-,-,-,Reparto principal,130,Accion,bou - the wife,2020
8.4,"['Jelle Berlijn', 'Jos van der Molen', 'Stephan Engelhardt']","['Raines Castle', 'Stephan Engelhardt', 'Jos van der Molen']","Threatened, hunted down and her mother kidnapped by Fargon. Merciless, Amber strikes back. This time with some very unexpected help. Will she survive once again? Will she find her mother? A new dangerous game starts.",-,Accion,genadeloos 2: amber,2020
6.4,Hanro Smitsman,"['Mischa Alexander', 'Boudewijn Rosenmuller', 'Jochum ten Haaf']","Six Dutch Commandos, commanded by John de Koning and stationed in Mali, are sent to Nigeria under American orders to free the son of a wealthy Nigerian oil family from Boko Haram rebels. When the team finds out that the man is not a hostage but actually working with the terrorist... Leer todo",87,Accion,commandos: the mission,2020
7.0,Chaanakya,-,"Raaj and Jessie , A newly married happy couple settled in a Private luxury house, Encounter unnatural and unbelievable situations followed by series of trouble emotionally, physically and mentally .The protagonist Raaj challenges the situations and gets his share of Revenge .",122,Accion,my name is raja,2020
-,Marquis Moore,Marquis Moore,"Nowhere to hide is about a young women who sets out for revenge who finds herself with nothing to lose, and is now going to take from her enemies the very life they stole from her when she was a little child by the man named Mr. Pabl",-,Accion,nowhere to hide,2020
-,-,-,-,-,Accion,bf 109,2020
6.2,Wladyslaw Pasikowski,Wladyslaw Pasikowski,Franz Maurer is released after 25 years in prison and finds a completely changed Poland.,126,Accion,psy 3: w imie zasad,2020
5.9,Karthick Naren,Karthick Naren,A narcotics officer engages in a cat-and-mouse chase to capture a powerful criminal kingpin not knowing that it could have a connection to the truth in his past.,113,Accion,mafia,2020
-,Katherin Hussein,Belén Orsini,"When the unjust government goes rogue, the residents of the Sucre apartment take a stand leading to the first night of terror.",-,Accion,la sucre,2020
4.7,Robert Rodriguez,"['Robert Rodriguez', 'Racer Rodriguez']",-,100,Accion,we can be heroes,2020
-,-,-,-,-,Accion,hunting horse,2020
-,-,-,Ver la información de la producción en IMDbPro,-,Accion,ashen,2020
6.3,"['Il Cho', 'Jo Il Hyung', 'Madeleine Martin']","['Il Cho', 'Jo Il Hyung', 'Chuck Mccue']",-,98,Accion,#saraitda,2020
-,Evan Allen,Evan Allen,Arex wakes from a 10 year coma into a Cyrbid Wasteland. Arex has to fight for her survival in this new world of Human Animal Cybrids.,-,Accion,cybrid wasteland,2020
-,Greg Romano,"['James Le', 'Breton']","A well-trained gangster sets out to bury the life of a crime boss, but instead digs up a painful past.",-,Accion,the marinelli family,2020
5.1,Ajai Vasudev,"['Aneesh Hameed', 'Bibin Mohan']",A ruthless moneylender must tackle a wicked man's plan to outsmart his way out of the debt to achieve what's rightfully his.,130,Accion,shylock,2020
6.2,Vicente Amorim,"['Vicente Amorim', 'Aurélio Aragão', 'Gustavo Bragança']","In the 90s, Rio de Janeiro was shaken by a wave of kidnappings. Security forces call controversial agents to help save the city from thugs and also from the police itself.",134,Accion,a divisão,2020
-,Nicole M. Brevard,Nicole M. Brevard,-,111,Accion,khalifornia,2020
5.6,Morris D. Small,Morris D. Small,"Detective Mason Jones aka Detective MJ, is a Washington DC homicide detective, who is caught in between a homicide case and a war between two gangsters that run the Washington DC underground scene.",71,Accion,detective mj: shadow of a hero,2020
-,Fausto Toribio,Fausto Toribio,"Devastation End Of Life is an over-the-top action and fiction movie written and directed by, Fausto Toribio and his co-producer, Vincent Williams. In this movie it focuses on the planet and how it was destroyed. With 5% of the people who remain alive, they are struggling to live ... Leer todo",90,Accion,devastation: end of life,2020
8.4,"['Fito Rivera', 'Christian Rodrigo']","['Sandra Ramirez', 'Fito Rivera', 'Valeska Rivera']","A seemingly ordinary girl, discovers her destiny as Scorpion Girl. Unveiling a hidden world of ancient magic, powerful artifacts, and ruthless enemies.",-,Accion,scorpion girl: the awakening,2020
7.3,Karuna Kumar,"['Tammareddy Bharadwaja', 'Nagendra Kasi', 'Karuna Kumar']","Mohan Rao and his elder brother face Pedda Shavukar and Chinna Shavukar, a political battle where low caste fights the high caste power.",144,Accion,palasa 1978,2020
-,Scott Hester,Scott Hester,"Mystery surrounds a small southwestern town as supernatural occurrences gradually escalate, particularly at one store which is owned by the local Oddball.",-,Accion,the store front,2020
5.0,Jingming Guo,Jingming Guo,"In order to complete the lash wish of Duke VI, Yin Chen (Silver), Qi Ling (Asval), Tianshu You Hua (Princess Kira) and the others decide to embark on a journey together to save the Gilgamesh, the former Duke I who has been sealed by the Silver Priest. Upon their arrival, they enc... Leer todo",-,Accion,l.o.r.d: legend of ravaging dynasties 2,2020
-,Jose David Acevedo,"['Jose David Acevedo', 'Ricky R.']",-,-,Accion,danger zone: against all odds,2020
5.0,John Valley,John Valley,-,91,Accion,duncan,2020
6.6,Omer Inal,"['Omer Inal', 'Ozkan Kucuk']","The story is about three people who have never met, facing the consequences of their choices while their lives change entirely. Aylin's, Fikret's and Cihangir's choices which seem instantaneous and insignificant, reveal unseen results in each other's lives. The lives of these thr... Leer todo",105,Accion,hayalet: 3 yasam,2020
-,Ayman el Refaie,Ayman el Refaie,-,-,Accion,the key,2020
5.6,R.S. Durai Senthilkumar,R.S. Durai Senthilkumar,"Sakthi is a petty thief in a Chennai slum, who learns the Adimurai, the ancient and oldest form of martial arts. Meanwhile, an evil man and his son challenge Sakthi for a kickboxing tournament, and Sakthi agrees to participate in it.",141,Accion,pattas,2020
7.3,Caleb Lisitsin,"['Caleb Lisitsin', 'Aiden Gale', 'Adam Corey']",-,84,Accion,vigilante,2020
4.9,Maciej Dutkiewicz,"['Arkadiusz Borowik', 'Maciej Dutkiewicz']","In the Masurian scenery, the story of two inseparable friends - policemen who, after ostentatiously leaving the service, opens a pub and a marina by the charming lake in Morag. However, their respite from challenges does not last long - they are quickly drawn into the middle of a... Leer todo",104,Accion,wyzwanie,2020
5.8,Anil Ravipudi,"['Anil Ravipudi', 'Narra Praveen', 'G. Adi Narayana']",-,169,Accion,sarileru neekevvaru,2020
3.3,Robbie Lopez,Robbie Lopez,"Richie Ramone finds himself stuck in a small Town called ""Darkmarsh"" Along side a veteran Sherriff and his Deputy with a itchy trigger finger. Town is over ran by Flesh Eating Inbred Trolls addicted to Opiates,Hillbillies and Bikers with a huge painpill epidemic on the break...th... Leer todo",70,Accion,headcheese: the movie,2020
-,Michael Nightman,"['Seth Beckson', 'X.R. Chavez', 'Charlie Diggens']","Highschooler Peter Parker, was bitten by a raidoactive spider and since his uncle Ben's death, he fights crime under the name: Spider Man.",-,Accion,the spider-man (fan film),2020
-,-,P. Vasu,-,-,Accion,magendra,2020
1.6,Nalaka Withange,Nalaka Withange,-,-,Accion,ethalaya,2020
6.0,Harsha Udakanda,Harsha Udakanda,-,-,Accion,seda mawathe,2020
7.3,Bejoy Nambiar,"['Bejoy Nambiar', 'Anjali Nair', 'Kartik R. Iyer']",-,143,Accion,taish,2020
7.4,Iki Ènèng,Iki Ènèng,A group of brave superheroes has to come together to save the multiverse from evil terrorist birds.,-,Accion,the forevers,2020
2.3,Rene Perez,"['Barry Massoni', 'Rene Perez']",A military assassin is hired to hunt down and eliminate a bloodthirsty serial killer who is committing murders in a forbidden forest.,78,Accion,cabal,2020
6.8,Omung Kumar,-,Film on Balakot air strikes 2019.,-,Accion,balakot: the true story,2020
7.3,Satoshi Morota,Nobuhiro Mouri,"In an alternative timeline of 2018, a group of high school students is pursuing their dreams. Sougo Tokiwa wants to become a king, and Keito Myokoin wants to become the judo champion while trying to impress his crush, Alpina Tsukuyomi.",64,Accion,"kamen raidâ jiô next time: geitsu, majesutî",2020
2.5,Maqbool Khan,"['Sima Agarwal', 'Yash Keswani']",Follows a taxi driver who picks up a girl while he is on the run and ends up in a crazy roller-coaster of events.,119,Accion,khaali peeli,2020
5.7,Trish Sie,Sarah Rothschild,-,100,Accion,the sleepover,2020
-,Valeri Lilov,Valeri Lilov,"When two brilliant women - Charlotte Holmes and Jame Bond face each other in a dangerous game of crime and espionage, the world begins to tremble beneath their feet.",-,Accion,bond and holmes: antiheroines,2020
-,David Kirkman,"['David Kirkman', 'Joshua Sykes']","In 1839, an alien being crashes to Earth in the deep south, taking on the form of an African-American man with supernatural abilities. Today the alien is still alive, in the guise of successful attorney Augustus Freeman. In partnership with his new friend ROCKET, they protect the... Leer todo",30,Accion,icon - a fan film,2020
6.9,Robert Peters,"['Samantha Iwowo', 'Nyaradzo Mutsauri', 'Nyaradzo Mutsauri']",Mugabe rises from being a prisoner to power as a guerrilla fighter but gradually becomes the world's top tyrant. After four decades in power his allies do the unexpected.,-,Accion,mugabe,2020
4.9,Rakesh Mehta,"['Jass Grewal', 'Anooj Kumar Sareen', 'Prince Kanwaljit Singh']",-,115,Accion,ik sandhu hunda si,2020
5.4,"['Hakan Kursun', 'Huseyin Ozden']",A. Kadir Bozkurt,The story of a group of soldiers going to Gallipoli War.,107,Accion,mendilim kekik kokuyor,2020
7.3,Nehesh Poll,Nehesh Poll,-,90,Accion,it's about choices,2020
1.6,Joy Jones,-,-,92,Accion,the coming,2020
-,-,-,"A street fighter that clearly struggles with all types of issues in life, but wont go down, certainly without willing to look after his family. He''s had many wars and sometimes the toughest are simply at home, trying to lead a normal life. A feat of many men. He an established b... Leer todo",-,Accion,angel of the north,2020
-,Chris Hampshire,Chris Hampshire,"A year has passed since the mother boxes were destroyed. Unaware to the Justice League, the boxes have released a power surge that has attracted the attention of their creator, Brainiac.",132,Accion,justice league extinction,2020
-,Mavrick Vo,Mavrick Vo,"Live-Action fan film web series of Naruto, a story about a boy and his goal to achieve and become one the greatest Shinobi facing many obstacles, to hope one day become the Hokage.",-,Accion,naruto evolution episode one: bonds,2020
4.8,Paul Leyden,"['Joseph Downey', 'Hope Bryant']",-,97,Accion,chick fight,2020
7.1,Ariel Winograd,"['Alex Zito', 'Fernando Araujo', 'Rodolfo Palacio']",-,114,Accion,el robo del siglo,2020
7.9,Ritam Srivastav,"['Akhilesh Choudhary', 'Mukesh Kumar', 'K. Rishab']","the life journey of the dreaded dacoit Shiv Kumar Patel who ruled the lands of Bundelkhand for twenty-eight years and had the entire police, administration and the politicians being obedient to him.",101,Accion,taanashah,2020
4.1,Vijay Anand,Vijay Anand,A conman tries to save an innocent girl from the clutches of a womanizer after realizing that he had fallen in love with her.,121,Accion,dagaalty,2020
-,Arthur J. Mangano,Arthur J. Mangano,-,-,Accion,brew,2020
-,S. Tynsong,S. Tynsong,"When a drunken father takes no responsibility for his family, will his wife and his son live a better life?",-,Accion,ka bor jong ka kyiad,2020
5.3,Pankaj Batra,"['Jatinder-Lall', 'Kamalpreet Singh']","Yaadi falls in love with Rehmat, an innocent and focused student. Rehmat's father decides to arrange her marriage with a law-abiding man called Yuvi which places Rehmat at a crossroad in her life.",141,Accion,jinde meriye,2020
4.3,Gabriel Sabloff,"['Tommy Blaze', 'Steven Keller', 'Gabriel Sabloff']",-,90,Accion,beckman,2020
5.3,Satish Vegesna,Satish Vegesna,"Balu loses both of his parents in his childhood and he grows up as an orphan. Because of this, he starts an organization named ""All Is Well"" to supply emotions to the needy.",152,Accion,entha manchivaadavuraa,2020
5.7,Gary Lee Vincent,Jason Campbell,"Based on a true story, Officer Carl Thomas (Jeff Moore) was fearless at going after the bad guys. But Thomas had a dark side. In Dispatched, learn how God changed the heart of a street-hardened cop into an ambassador of God's love.",76,Accion,dispatched,2020
5.3,"['Gabriel Carrer', 'Reese Eveneshen']","['Reese Eveneshen', 'Gabriel Carrer']",-,80,Accion,for the sake of vicious,2020
5.5,Yûichirô Hirakawa,"['Posuka Demizu', 'Noriko GotôKaiu Shirai']",-,119,Accion,yakusoku no neverland,2020
8.2,Haruo Sotozaki,Koyoharu Gotouge,-,117,Accion,kimetsu no yaiba: mugen ressha-hen,2020
4.9,Savage Steve Holland,"['Jed Elinoff', 'Scott Thomas', 'Savage Steve Holland']","It's summer again, and everyone's favorite Junior Rescuers, The Flounders, are back at Tower 2. With the International Junior Rescue Championships headed to Southern California, the eyes of the entire planet are on Malibu Beach. But when Team USA falls victim to a bout of food po... Leer todo",68,Accion,malibu rescue: the next wave,2020
6.2,Radoslav Iliev,Teo Chepilov,"An American action star from the 90's is shooting a movie in Bulgaria, while three of his (now grown up) fans try to meet their childhood idol. After a series of bad decisions, the three fans are between the Russian mafia, huge amount of drugs, and huge debt. So they decide to ro... Leer todo",-,Accion,action,2020
5.1,Ant Horasanli,"['Ant Horasanli', 'Ezra Sholeh']",-,91,Accion,rev,2020
6.5,"['Frederik Louis Hviid', 'Anders Ølholm']","['Anders Ølholm', 'Frederik Louis Hviid']",-,108,Accion,shorta,2020
-,"['Aaron Jacob Boys', 'Jacob P. Stout']",-,-,-,Accion,the yami's first emperor movie,2020
8.4,Tamir x Singleton,Rick Mordecon,"This story follows Drew (played by emerging musical artist, Vyse), an aspiring young rapper as he is faced with the life struggles that led to his residence in a group home while balancing his job, untamed anger, family life and the pursuit of his musical dreams. Deacon, a music ... Leer todo",-,Accion,16 bars,2020
-,Si Shu-bu,-,-,90,Accion,lady detective shadow ii,2020
-,Mercedes Sierra,Mercedes Sierra,-,-,Accion,madre anoche en las trincheras,2020
6.6,Takaharu Ozaki,"['Kumo KagyûNoboru Kannatsuki', 'Hideyuki Kurata']",-,85,Accion,goblin slayer: goblin's crown,2020
7.8,Mahendra Patel,Sanjay Prajapati,An upcoming Indian Gujarati-language action film directed by Mayur Kachhadiya and produced by Mahendra Patel under their banner of Ashadeep Cine Productions. It is the Biggest Action Entertainer film ever made in the history of Gujarati cinema. The film stars Abhimanyu Singh and ... Leer todo,-,Accion,g the film,2020
6.5,"['Teng Cheng', 'Li Wei']","['Qianying Xie', 'Zhonglin Xu']","Banished to the mortal world, a warrior has to slay a demon to return to the heavenly realm and become a god.",110,Accion,jiang ziya,2020
4.7,Ahmed Khaled,"['Mohamed Nasser Hamza', 'Tamer Ibrahim', 'Mahmood Jumaah']",The search for a lost treasure involves each of the heroes of this film in an atmosphere of suspense and excitement.,102,Accion,baghdad thief,2020
6.6,Venky Kudumula,"['Venky Kudumula', 'Gautam Siddharth']","Tired of being single, a smart-aleck meme creator has a chance to prove himself to the girl he loves when he is suddenly appointed CEO of her workplace.",150,Accion,bheeshma,2020
5.4,Tarek Boudali,"['Tarek Boudali', 'Pierre Dudan', 'Grégory Boutboul']",-,87,Accion,30 jours max,2020
-,Richard Ryan,Richard Ryan,-,-,Accion,remington,2020
8.6,Raju Parsekar,-,"The story follows a woman's journey joining the police force, excelling in exams and training, becoming an IPS officer, and earning awards for bravery fighting Naxalites.",-,Accion,ahilya: zunj ekaki,2020
-,"['Andrew Sarcone', 'Casey Wooden']","['Jimi Jones', 'Corinne Kassor', 'Andrew Sarcone']",-,-,Accion,six: one by one,2020
2.7,Kevin Ang,Kevin Ang,"When Jason's father dies, he goes on an adventure to his father's homeland, The Philippines, to honor his memory and experience the stories he grew up hearing. Soon Jason discovers himself experiencing myth and legend and is tasked with helping the mythical Magayon, or Woman in t... Leer todo",88,Accion,woman in the woods,2020
-,K.C. Bokadia,K.C. Bokadia,-,152,Accion,namaste nestama,2020
2.4,Thomas Shapiro,Thomas Shapiro,-,91,Accion,thor: end of days,2020
5.0,Adam Egypt Mortimer,"['Adam Egypt Mortimer', 'Luke Passmore']",-,90,Accion,archenemy,2020
-,Kentarô Yamagishi,Yôichi Matsumoto,"Failed musician Todo meets and falls for cute street musician Kuryu who - as it turns out - is being followed not only by a journalist, terrorists, and the police, but even by the Japanese Prime Minister himself. While trying to find out what dangerous secret Kuryu is hiding, Tod... Leer todo",121,Accion,deep logic,2020
-,Achyut Prashast Singh,Achyut Prashast Singh,A reluctant but outspoken college student imagines himself in action hero situations as he goes against the education system in an attempt to prompt an exam cancellation.,45,Accion,adhiktam,2020
6.0,Christian Theede,Dirk Ahner,"An unbeatable team of five teenage friends, the Peppercorns, unites to find out who is behind the kidnapping of a missing oceanographer who has discovered a means of getting rid of plastic waste in the ocean.",94,Accion,de peperbollen en het geheim van de diepzee,2020
-,Hari Santhosh,-,-,-,Accion,bumper,2020
4.3,"['Ryan Churchill', 'Danny Parker-Lopes']",Ryan Churchill,"In the streets off-the-strip of Las Vegas, a jaded IT Coordinator takes the law into his own hands against white collar financial criminals, by joining an underground vigilante faction, only to find out those he loves may be his real enemy. He has to decide between revenge or a r... Leer todo",90,Accion,punching and stealing,2020
1.4,Christopher Forbes,Christopher Forbes,"In one of the most dangerous missions of the war, an American B-17 pilot volunteers to fly a surrendered Messerschmidt 109 on a daring flight through the heart of Germany to try to prevent the people of London from being terrorized by the V-2 rockets. ""Rocket Hunter"" tells the st... Leer todo",86,Accion,rocket hunter,2020
3.8,Patryk Vega,"['Olaf Olszewski', 'Patryk Vega']","The rise and fall of a soccer club owner, discovering the harsh reality of the sport, often connected with crime and fraud.",135,Accion,bad boy,2020
8.0,Sachy,Sachy,"The story revolves around the clash between Ayyappan, a senior police officer who serves at the Attappadi Police Station and Havildar Koshi, who comes to the village with a motive.",177,Accion,ayyappanum koshiyum,2020
8.9,Dinesh Parihar,Dinesh Parihar,Four couples of different region living life to fullest and suddenly some people enters in everyone's life which totally change the scenario of their life in such a way that despite from different region they all get interconnected and started running for their life and on the ot... Leer todo,152,Accion,run zindagi run,2020
7.1,Deborah Cardona,Deborah Cardona,-,125,Accion,pocket full of game,2020
-,P.V. Nambi Rajan,"['Hari Kumar', 'P.V. Nambi Rajan']",-,-,Accion,sankarapuram,2020
