puntuacion_imdb,direccion,guion,argumento,genero,duracion,titulo,anio
9.8,Tom Lister,Tom Lister,The master thief Jeff Krönkermann is recruited by a mysterious businessman to steal an ancient artefact from an army of clones.,34,Accion,the unethicals,2020;
-,Austin Priester,Austin Priester,-,25,Accion,when,2020;
,,,,,Accion,,
-,Jay Nunez,Jay Nunez,-,-,Accion,jennifer: an assassin's tale,2020;
,,,,,Accion,,
8.0,Sergey A.,Sergey A.,Angry shark attack Tokyo.,4,Accion,tokyo shark attack,2020;
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
-,Jorge Silva,Jorge Manuel Silva,The family dog is kidnapped and a father goes a long way to bring it back to his family.,28,Accion,chasing paws,2020;
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
-,Kevin Barile,-,-,-,Accion,lost souls,2020;
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
-,David Ghilardi,David Ghilardi,-,-,Accion,feed the fish!,2020;
,,,,,Accion,,
,,,,,Accion,,
-,Megan Powell,Megan Powell,-,-,Accion,too slow,2020;
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
-,Zac King,Zac King,A young soldier treks through enemy territory to deliver a message to the nearest American military base with the help of a mysterious Sergeant.,-,Accion,heroes never die,2020;
,,,,,Accion,,
-,Ventura Brothers,Ventura Brothers,-,-,Accion,circus silence,2020;
-,-,-,Reparto principal,3,Accion,levels,2020;
-,Ruden Bard,Ruden Bard,Archibald Mayer's mission is to talk to some people named on his given lists and to tell them what his clients can't officially say for reasons of their own.,-,Accion,repeat after me,2020;
,,,,,Accion,,
-,Danny Miller,Danny Miller,-,2,Accion,singularity,2020;
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
-,Paul Catalanotto,Paul Catalanotto,-,-,Accion,the wrong house,2020;
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
-,Hayley Dickinson,Hayley Dickinson,-,7,Accion,excuse me,2020;
,,,,,Accion,,
-,Mirzamlk,Mirzamlk,Two Cousin brothers fighting for their ancestral property in the late hours of night.,16,Accion,dispute - ii a film by mirzamlk,2020;
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
-,Urini T. Obahor,Urini T. Obahor,A failed stuntman falls into the life of vigilante justice when he witnesses the crimes of an obsessive murder.,15,Accion,red universe,2020;
-,Satmtcak,-,-,8,Accion,kids of the round table comic 2,2020;
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
-,Miles Webster,Miles Webster,A short film actor receives a visit from his writer/director collaborator with news of their next project.,5,Accion,eyes of anger,2020;
,,,,,Accion,,
-,Charles Lo Manto,-,Two financial advisors go head to head to change the fate of the stock market.,20,Accion,merge,2020;
,,,,,Accion,,
-,Darren J. Power,Arron Gumbrell,-,-,Accion,wasted: aa,2020;
,,,,,Accion,,
-,Rex Seaton,Rex Seaton,-,-,Accion,rush: how it all started,2020;
,,,,,Accion,,
-,Antonio Cordero,-,-,10,Accion,blink: alpha,2020;
-,Marcus Aubin,Mark Aurelius-Ross Cooper,-,-,Accion,binx,2020;
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
-,William C. Simmons,William C. Simmons,-,5,Accion,righteous,2020;
,,,,,Accion,,
,,,,,Accion,,
-,Jasmine Suivi,Jasmine Suivi,A dark comedy following a reclusive comic book artist who accidentally kills his mother while preparing for a pitch.,-,Accion,drawing blood,2020;
-,Ricardo Cruz Jr.,-,-,-,Accion,warriors from the past,2020;
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
,,,,,Accion,,
-,Joey R. Marino,-,-,-,Accion,10 seconds of silence,2020;
,,,,,Accion,,
,,,,,Accion,,
12,cosmos hunters 6: retribution,2020,,,Accion,,
-,Aiman Samat,Aiman Samat,-,-,Accion,sky is heaven,2020;
-,-,Jonathan Ryan,-,-,Accion,code 14,2020;
,,,,,Accion,,
,,,,,Accion,,
-,Matus Pavkeje,Matus Pavkeje,-,-,Accion,anti-pilot,2020;
,,,,,Accion,,
,,,,,Accion,,
