,puntuacion_imdb , direccion , guion , argumento , duracion , titulo, anio
91,7.1,William González,"['Marco Antonio Lopez', 'William González', 'Matilde Rodriguez']","In 1948 the partisan violence whips the Colombian countryside. Liberals and Conservatives face up to death. South of the country in Tolima, conservative official forces brutally kill several liberal farmers, among them the husband of Rosalba Velasco. The young woman, mother of a two years old child, witnesses the massacre and suffers a psychic process of depersonaliza... Leer todo",93,la sargento matacho,2015
92,-,John Lands,Daniel Lafrentz,"A motley crew of badasses from every deadly discipline are gathered for what, at first glance, appears to be a reality show with the largest cash prize in history on the line. But when contestants start disappearing and returning along with all manner of monstrous creature it becomes clear that this is no ordinary reality show - and that one of their number may not be... Leer todo",-,monster hunters,2015
93,7.1,Eric Bugbee,"['Eric Bugbee', 'Bob Massey', 'Kevyn Bashore']",A self-focused BMX dirt rider aspires to become the next stunt champion and is forced to mentor a troubled teen.,98,heroes of dirt,2015
94,6.9,João Leitão,"['Nuria Leon Bernardo', 'João Leitão']",Follows Portugal's first fascist superhero: the ultra patriotic Captain Falcon!,106,capitão falcão,2015
95,6.5,Francis Lawrence,"['Peter Craig', 'Danny Strong', 'Suzanne Collins']",-,137,the hunger games: mockingjay - part 2,2015
96,6.4,Brad Bird,"['Damon Lindelof', 'Brad Bird', 'Jeff Jensen']",-,130,project t,2015
97,4.5,"['Al Franklin', 'Pamela J. Richardson']","['Amina Ali', 'Al Franklin', 'Glenn Plummer']","A diva actress is murdered on a set film. Meanwhile, the city's blood supply is mysteriously being depleted. Dets. Mike Hung and Sasha Colfax go undercover to crack the toughest mystery of their lives in a vampire-infested studio.",96,teeth and blood,2015
98,6.7,K.V. Anand,"['K.V. Anand', 'D. Suresh', 'A.N. Balakrishnan']","Madhu, an animator, gets thoughts about her past life, but her psychiatrist believes it to be a figment of her imagination. Madhu happens to meet Ashwin, the man she was in love with in her past life.",154,anegan,2015
99,5.4,Marcello Zamarripa,Marcello Zamarripa,One man. One night. A home invasion. From hell.,86,the cain complex,2015
100,3.9,Christian Sesma,"['Cecil Chambers', 'Christian Sesma']",-,82,awol-72,2015
101,7.3,Gavin Hood,Guy Hibbert,-,102,eye in the sky,2015
102,5.3,Ericson Core,"['Kurt Wimmer', 'Rick King', 'W. Peter Iliff']",-,114,point break,2015
103,4.4,Mauricio De Aguinaco,Mauricio De Aguinaco,Graffiti artist Tren and his girlfriend Drama are a young couple who spend their lives in a nightclub where they dance-fight with other crews. The world around them is full of drugs and violence. What does destiny hold for them?,96,aerosol,2015
104,4.7,Dustin James Leighton,Dustin James Leighton,"The year was 1973, Justin Thomas Wilson was hunting the fallen with an ax and a shotgun. Sam, his young disciple, documented their adventures with the first 8mm camera ever to record sound. The story begins but the battle rages on.",94,just the vampire hunter,2015
105,5.0,Shinji Higuchi,"['Hajime Isayama', 'Tomohiro Machiyama', 'Yûsuke Watanabe']",-,98,shingeki no kyojin,2015
106,6.3,Paco Cabezas,Max Landis,-,95,mr. right,2015
107,8.0,John Jillard Sr.Andrey Nikiforov,"['John Jillard Sr.Andrey Nikiforov', 'Andy J. Stein']","The story begins with Johnny, a loving husband and father. After losing his young daughter and his own parents in a devastating car crash, he must also reconcile his wife walking out on him when the grief is too much for her to face, as it alters his life forever. While trying to hide his pain he joins the Army. After serving his country, Johnny returns home, only to ... Leer todo",65,battle,2015
108,3.5,Y.V.S. Chowdary,"['Y.V.S. Chowdary', 'Sreedhar Seepana']",An aspiring dancer joins a Jamaican college and teams up with a local in order to win a dance competition. She meets the two-time winner who creates horrible obstacles for her.,168,rey,2015
109,4.5,Alec Asten,Joseph Young Jr.,"Orphan, con artist, crime boss, millionaire, Diamond Ruff has seen it all. Seemingly in control, his next big job has deadly consequences.",82,diamond ruff,2015
110,5.6,Chris Columbus,"['Tim Herlihy', 'Timothy Dowling', 'Patrick Jean']",-,105,pixels,2015
111,5.7,"['Murat Derman', 'Chris Roche']","['Cyril Raffaelli', 'Rahmi Turan', 'Abdullah Turhan']",-,-,kara murat: mora'nin atesi,2015
112,6.1,Brad Peyton,"['Carlton Cuse', 'Andre Fabrizio', 'Jeremy Passmore']",-,114,san andreas,2015
113,6.5,Tarsem Singh,"['Àlex Pastor', 'David Pastor']",-,117,self/less,2015
114,5.9,Gavin O'Connor,"['Brian Duffield', 'Anthony Tambakis', 'Joel Edgerton']",-,98,jane got a gun,2015
115,8.5,"['Vincent Mc', 'Lean']","['Vincent Mc', 'Lean']","A gritty tale about two odious drug dealers, Sal and Mitch, on a mission to find their stolen cocaine. Follow them on their pursuit, as they leave behind a disturbing path of Chaos, Death and Destruction.",45,bad guys,2015
116,5.8,Laron Austin,"['Martin L. Kelley', 'Eddie Davis Singleton']",-,104,blackhats,2015
117,4.7,"['Maclain Nelson', 'Stephen Shimek']","['Maclain Nelson', 'Stephen Shimek']","An evil wizard, Lord Tensley, seeks the hand and heart of the beautiful princess, Lady Ennogard. When she refuses, he locks her away and releases a deadly dragon, which he controls, to terrorize the land. He vows that, until she accepts his love, his dragon will destroy all who dare display any sign of love throughout the kingdom. Desperate to end the tyranny, she sen... Leer todo",122,dragon warriors,2015
118,5.8,Levan Bakhia,"['Levan Bakhia', 'Adrian Colussi', 'Lloyd S. Wagner']",-,105,landmine goes click,2015
119,6.6,Jaume Collet-Serra,Brad Ingelsby,-,114,run all night,2015
120,4.5,Ashok Gaekwad,Rumi Jaffery,"Present day, A cab driver lives a tough life. He meets an old friend and they remember the good old days.",-,do chehre,2015
121,5.8,Aejaz Gulab,Nilesh Girkar,A retired policeman returns to his job to fight a crime wave that was once responsible for leaving his son without a mother.,106,ab tak chhappan 2,2015
122,4.4,Anthony O'Brien,"['Steve Allrich', ""Anthony O'Brien"", 'Colin Ossiander']","In the wild, snow covered gold fields of Alaska, two brothers embark on a journey to collect a bounty in a desperate attempt to save their home: but what they find along the way is more than they bargained for.",81,the timber,2015
123,3.8,Lukasz Barczyk,Lukasz Barczyk,"Steeped in wonder and mystery, HISZPANKA (Influenz) tells the story of a group of clairvoyants committed to restoring the Polish state as World War One dwindles to an end. Gathered inside a hotel room for a special séance, the magi use their power to save Jan Paderewski, the legendary pianist and symbolic leader of a successful patriotic uprising. At the same time, a ... Leer todo",127,hiszpanka,2015
124,3.1,Drazen Baric,Damien Slevin,"Five friends, up north for three days, one creature ... NO CHANCE !",80,gitaskog,2015
125,5.6,Simon West,William Goldman,-,92,wild card,2015
