puntuacion_rotten,puntuacion_imdb,direccion,guion,argumento,duracion,genero,titulo,id_pelicula
,6.5,Tara Von Baron,Tara Von Baron,"Suki Hosukawa and her best friend Abigail are average high school sophomores, but in their minds, they are powerful samurai. They keep the ogres and demons at bay, but are powerless against the sneaky ninjas (the popular girls). Suki decides to make a move against the lead Ninja, Melody, only to have Abigail betray her. This leads the two friends to a confrontation ov... Leer todo",-,Accion,"the samurai of strongsville, ohio",tt1258783
,-,Joseph Quick,Joseph Quick,-,-,Accion,c.t.f.,tt12717330
,-,David Kenneth,-,-,-,Accion,toshiba - parkour messenger,tt12798398
,8.0,Jesse Johnson,"['Jesse Johnson', 'Nick Turnbow']","David Reeves (Fred Doss) is no one special. A mundane job as an accountant and an empty house comprise his life. Day in and day out, he goes through the same routine he has for the past five years. He feels hollow and alone. He is... nobody. Until one day a chance encounter changes everything. Now as he evades capture by the powers that be, he must fight to uncover a ... Leer todo",30,Accion,double negative,tt1284025
,-,Adrian Cordero,-,"What makes a guy want to base his pro-wrestling persona on one of the most hated professions in Australia's workforce? This character-based documentary delves into the life of an unlikely wrestling hero both in and out of the ring in preparation to compete at a live AWF event. With no real potential to earn a living purely out of pro wrestling in Australia, what drive... Leer todo",7,Accion,traffic jam,tt12937564
,-,Ryan Borgerding,-,-,-,Accion,el aeropuerto,tt13190330
,-,Landon Kazakoff,Landon Kazakoff,-,3,Accion,war torn,tt13281410
,-,James Wooldridge,James Wooldridge,-,-,Accion,el banco,tt13514526
,-,John Richter,John Richter,"Two battle-hardened marines and one military bio weapons tech are dropped via helicopter into the middle of nowhere. Their mission - to locate the whereabouts of soldiers gone missing after parachuting into the jungle on a dangerous, top secret military operation. What happened when communication was lost? Soon into their mission, the three encounter something more th... Leer todo",16,Accion,ultra,tt1357213
,-,Dana Jordan Rothschild,Dana Jordan Rothschild,A 1970s inspired exploitation-era Kung Fu short following a martial artist's journey across the west.,8,Accion,revenge of the phoenix,tt13581526
,-,-,-,Reparto principal,-,Accion,dj eurobass feat. ralf kemper - toxic lullaby,tt13667590
,-,Cheng Song,Cheng Song,-,-,Accion,devil's salvation,tt14123732
-,7.3,Nikki Taylor Roberts,Nikki Taylor Roberts,Tragedy sends a troubled street teen on a dark odyssey when she learns the power of the light of love.,22,Accion,out of the darkness,tt1427694
,-,Brandon Phillips,"['Jack Armstrong', 'Brandon Phillips']","""Zombies and Cornbread"" - a tale of some good ol' boys and zombies.",10,Accion,zombies & cornbread,tt14391600
,6.5,Dianne Thomas,Dianne Thomas,-,3,Accion,take us on,tt1454674
12,-,Matthew Page,Matthew Page,A criminal interrogates the woman he loves about her recent disappearance and receives an unexpected answer.,9,Accion,hunter's moon,tt1458462
,-,Fernando Guillén Cuervo,Fernando Guillén Cuervo,20 men and women hide trying to protect themselves from a nuclear war. Each one of them have to face the final last five minutes of human being.,6,Accion,cinco minutos para medianoche,tt1466449
,-,Emile Edwin Smith,Emile Edwin Smith,"In the world we live in, terrorism is an everyday occurrence... one that is bound to hit the United States again soon. The Grove grabs this notion, with a twist on modern, high-tech military technology.",6,Accion,the grove,tt1466513
,-,Hermann Kayode,Hermann Kayode,-,4,Accion,hedge-hands,tt14702776
,-,Jessica Dorfman,Jessica Dorfman,"The superhero world has been privatized. Good Guys Inc. and Villains Inc. compete for birthday gigs and product lines. But one Good Guy staff member dreams of being a true superhero. How will she move from staff member to superhero? And more importantly, will she be able to overcome her secret past?",12,Accion,"good guys, inc.",tt1474200
,6.8,Christine T. Berg,Chris Mandia,Private Barnes is a young Marine on his first tour in Iraq. His mission: Find the enemy that is implanting Improvised Explosive Devices on donkeys. ALL he wants: a confirmed kill.,13,Accion,get some,tt1486696
,6.8,Christine T. Berg,Chris Mandia,Private Barnes is a young Marine on his first tour in Iraq. His mission: Find the enemy that is implanting Improvised Explosive Devices on donkeys. ALL he wants: a confirmed kill.,13,Accion,get some,tt3528012
,-,"['Alon Jex', 'Alex Teller']","['Alon Jex', 'Alex Teller']",Officer Lenot in: Showtime satirizes a side of the film industry not often mentioned: Street-Level Bootleg DVD sellers. For fans of 80s action movies combined with modern day DIY indie filmmaking aesthetics.,19,Accion,officer lenot in: showtime,tt1493046
,-,Brandon Roots,Brandon Roots,"For Maria, a migrant farm worker, the greatest struggle may simply be to stay with the one she loves.",13,Accion,respiración,tt1493123
,7.9,Isabel Cueva,Isabel Cueva,A female American Soldier is held captive and is surprised by a prisoner that changes her life for ever.,17,Accion,in the name of freedom,tt1499462
,-,Ramiro Hernandez,Ramiro Hernandez,Fighter jets play chicken over the South China Sea with unexpected results.,10,Accion,phoenix down,tt1500858
,5.3,Alexa Sheehan,Alexa Sheehan,"Young Natty is an aspiring writer who works at a video store. As he writes in his time between customers, his hero/nemesis comes to life before him living out the stories that he has created.",41,Accion,videodome rent-o-rama,tt1506988
,-,Sunoki Yang,Sunoki Yang,"'Swan Lake' ballet performed by water drops on a lake in the middle of the night, where are they from? Princess Odette who turned into a white swan by magic, changes into woman in the moonlight. When Prince Siegfried sees Odette among the herd of swans in the lake, he falls in love with her. However, Odile, a black swan, tries to pull the lovers apart and Odette is ab... Leer todo",4,Accion,burning stage,tt1506946
,8.6,Jason Hawkins,"['Michael De Palma', 'Jason Hawkins']",An undercover cop tries to rip off a drug dealer in order to pay the ransom for his wife.,15,Accion,yardbyrds,tt1507393
,6.0,Jeremy Helal,Jeremy Helal,"What starts out as a simple heist, ends up being much more.",16,Accion,headwound,tt1507934
,-,Devon Lyon,"['Kevin E. Curry', 'Scott Bernard Nelson']","A documentary filmmaker, inspired by Rob Reiner and ""This is Spinal Tap,"" follows a group of women who believe they are superheroines as they infiltrate an arch-villain's lair.",8,Accion,gamma girls alpha force & the vapor ray of mayhem,tt15084868
,6.2,L. Gabriel Gonda,L. Gabriel Gonda,"In the Old West, a vampire-hunting gunslinger must confront his ex-lover, the leader of a coven of vampire prostitutes.",13,Accion,tex: vampire hunter,tt1510867
,7.2,Suda 51,Suda 51,-,9,Accion,no more heroes 1.5,tt15128832
17,-,Anton Kozikowski,"['Anton Kozikowski', 'Cyd Schulte']",A young actress's ambitious plan to be discovered by a Director backfires and turns into a deadly game of survival.,20,Accion,wild horses,tt1514082
17,-,Anton Kozikowski,"['Anton Kozikowski', 'Cyd Schulte']",A young actress's ambitious plan to be discovered by a Director backfires and turns into a deadly game of survival.,20,Accion,wild horses,tt2693710
,7.4,Erick Fefferman,Erick Fefferman,A team of technological pioneers awaken a terrifying force when their science violates the natural order.,15,Accion,typea,tt1515184
,-,A.D. Massi,A.D. Massi,"The air ain't all that's cold in the Sierra Nevada, especially just outside of 19th Century Virginia City, Nevada. For this is where the lives of a Native American couple collide with a ruthless gang. They seek revenge upon two brothers who interrupted their train robbery and escaped with the cash. The head outlaw leads his men into the snowy wilderness to finish off ... Leer todo",28,Accion,the sierra,tt1515173
,6.2,Jan Carlee,Tad Stones,"Hellboy falls into an ancient underground ruin where he descends into a mysterious doorway, through a subterranean cavern with a lake that is home to a dormant monster.",6,Accion,hellboy animated: the dark below,tt15157986
,8.0,Cory Miller,Cory Miller,"A police shooting in outer-borough Queens is examined from three distinct points of view- the deceased's best friend, a waitress in a club who interacted with all parties involved, and the police officer who fires the fatal shots.",17,Accion,allen mack,tt1517587
,4.9,Jared Drake,Nathaniel Eyde,A secret service agent yearns to be a dancer.,5,Accion,black ops arabesque,tt1517628
,8.2,Brad Mays,"['Holly Anderson', 'De', 'Lane Matthews', 'Brad Mays']","The fate of a group of government operatives - four women, DisKO, SlipKnot, Bug and HollowPoint; and one man, T-Rex - depends on their ability to fit back into regular society, following years of U.S. Military spookery on dangerous foreign soil. Having recently returned to the United States where they struggle to re-enter a new and unfamiliar culture, the group inadve... Leer todo",37,Accion,a way back in,tt1517575
,7.6,Anya Meksin,Anya Meksin,An irreverent reenactment of the real-life international media scandal that erupted when a black family found a racial slur on the label of their brand new sofa.,8,Accion,couch,tt1517659
,-,Fawn Gao,Fawn Gao,Micro thriller about a lawyer and a suspect meeting in a motel room for a secret transaction.,9,Accion,9 am,tt1520256
,7.7,"['Phil Lorin', 'Kiel Murray']","['Kiel Murray', 'Phil Lorin']","Tired of the same tedious duties, Officer Min Lee of the San Francisco Police Department jumps at the opportunity to work undercover and prove herself to her colleagues. But once undercover she and her partner, Juan, lose a kilo of cocaine. Determined to replace the kilo, but running out of time, Min must decide between her career and her morals.",39,Accion,kilo,tt1520978
,6.9,Ruben Östlund,Ruben Östlund,"An attempted bank robbery. Follows the thought process of two confused witnesses, the filmographer and the producer.",12,Accion,händelse vid bank,tt1521791
,-,Dan Prussmann,Tim Saccardo,"Scotty Kapoor is a secret shopper whose dream is to be a secret agent. In order to prove his worth to the FBI, his father/boss, and his ex-girlfriend, he must solve a case at one of his 'shop' locations before he gets fired for not focusing on his job.",15,Accion,shop secret,tt1522282
93,8.9,"['Rob Chinery', 'Scott Chinery', 'Tommy Chinery']","['Rob Chinery', 'Scott Chinery', 'Tommy Chinery']","A janitor arrives at an office building for the night shift, only to realize that all of the employees have become flesh-eating zombies.",19,Accion,night shift,tt1522200
,6.2,Cesar Raphael,Cesar Raphael,"Greed, power, innocence, tragedy. Following the path of a money bill, since its printing until its final destination, the audience is introduced to the extremes our society is made of. How far would you go for a piece of paper?",18,Accion,pedaço de papel,tt1522238
,7.5,"['Eric Mc', 'Coy']","['Eric Mc', 'Coy']",A virgin tries to lose it all on the Eve of the Year 2000.,15,Accion,carpe millennium,tt1524108
,-,"['Jim Hansen', 'Frank Helmer']","['Jim Hansen', 'Frank Helmer']","After the popular kids befriend a nice but plain girl just before the fall dance, a mysterious and faceless killer systematically kills them for their prettiest parts to takes as it's own.",11,Accion,pretty parts,tt1527707
,-,"['Corey Ellis', 'Michael Landau', 'Francis Mc', 'Donald']","['Corey Ellis', 'Francis Mc', 'Donald']","The setting is a small trench on the front line of a looming battle. Awaiting the culmination, one young soldier experiences, first hand, the distress of the first Great War. Over several days, this soldier suffers loss of hearing, loss of companions, and finally loss of self. Reality becomes infected as the harsh environment takes a toll on the soldiers.",26,Accion,puppets of war,tt1534058
