,0,1,2,3,4,5,6
185,8.1,"['Joel Coen', 'Ethan Coen']","['Ethan Coen', 'Joel Coen']",-,-,rent a friend,2000
186,,,,,,chasing indigo,2000
187,,,,,,overnight sensation,2000
188,,,,,,doppelpack,2000
189,,,,,,double parked,2000
190,,,,,,illicit lovers,2000
191,,,,,,the intern,2000
192,,,,,,poor white trash,2000
193,,,,,,home sweet hoboken,2000
194,,,,,,io amo andrea,2000
195,,,,,,two family house,2000
196,,,,,,greenfingers,2000
197,,,,,,boys and girls,2000
198,,,,,,den bästa sommaren,2000
199,,,,,,being considered,2000
200,,,,,,the dish,2000
201,,,,,,thomas and the magic railroad,2000
202,,,,,,flick,2000
203,,,,,,pocetí mého mladsího bratra,2000
204,,,,,,tillsammans,2000
205,7.8,Andrew Davis,"['Jeb Stuart', 'David Twohy', 'Roy Huggins']",-,-,astronomy of errors,2000
206,,,,,,sordid lives,2000
207,,,,,,trifling with fate,2000
208,,,,,,bring it on,2000
209,,,,,,ninja mission 2000,2000
210,,,,,,kevin & perry go large,2000
211,,,,,,dr. t & the women,2000
212,,,,,,a sense of entitlement,2000
213,,,,,,teste di cocco,2000
214,,,,,,what's eating you?,2000
215,,,,,,what women want,2000
216,,,,,,vinnie and angela's beauty salon and funeral parlor,2000
217,,,,,,liebesluder,2000
218,,,,,,massholes,2000
219,,,,,,woman on top,2000
220,,,,,,abschied - brechts letzter sommer,2000
221,,,,,,psycho beach party,2000
222,,,,,,family jewels,2000
223,,,,,,the big thing,2000
224,,,,,,time share,2000
225,,,,,,si fa presto a dire amore...,2000
226,,,,,,chump change,2000
227,,,,,,how to kill your neighbor's dog,2000
228,,,,,,la lingua del santo,2000
229,,,,,,fast food fast women,2000
230,,,,,,liberate i pesci!,2000
231,,,,,,sexo por compasión,2000
232,,,,,,tobia al caffè,2000
233,,,,,,"a girl, three guys, and a gun",2000
234,,,,,,happy accidents,2000
235,,,,,,maybe baby,2000
236,,,,,,c'era un cinese in coma,2000
237,,,,,,snatch,2000
238,,,,,,downtown 81,2000
239,,,,,,big momma's house,2000
240,,,,,,skipped parts,2000
241,,,,,,"jails, hospitals & hip-hop",2000
