tipo,nombre,año estreno,mes estreno,id_pelicula
Pelicula,The Spy Next Door,2010,2,tt1273678
Pelicula,An Immortal Tale,2010,4,tt1274272
Pelicula,Liverpool vs Blackpool,2010,10,tt12775128
Pelicula,2010 Championship Playoff Final,2010,-,tt12787882
Pelicula,Mard No.1,2010,,tt12788652
Pelicula,Ramaa: The Saviour,2010,11,tt1279105
Pelicula,Banglar King Kong,2010,6,tt12798342
Pelicula,Genghis Khan: The Story of a Lifetime,2010,,tt1280009
Pelicula,Supreme Champion,2010,7,tt1283546
Pelicula,One Long Day,2010,8,tt1283930
Pelicula,Jitsuroku wakagashira,2010,,tt12845920
Pelicula,Lahore,2010,3,tt1285245
Pelicula,Gutter King,2010,,tt1286746
Pelicula,Cats & Dogs: The Revenge of Kitty Galore,2010,7,tt1287468
Pelicula,A Goldfish of the Flame,2010,12,tt1288587
Pelicula,Everyday Black Man,2010,1,tt1289397
Pelicula,Snabba cash,2010,10,tt1291652
Pelicula,Allah Ke Banday,2010,11,tt1292642
Pelicula,Dancing Ninja,2010,,tt1294141
Pelicula,The Ascent,2010,,tt1303680
Pelicula,Last Letters from Monte Rosa,2010,8,tt1305039
Pelicula,Enthiran,2010,10,tt1305797
Pelicula,The Big Bang,2010,2,tt1307873
Pelicula,American Grindhouse,2010,3,tt1307861
Pelicula,Lamhaa: The Untold Story of Kashmir,2010,7,tt1309561
Pelicula,The Potential Inside,2010,9,tt1315963
Pelicula,Sanada kunoichi ninpo-den kasumi shojo hi Densetsu,2010,,tt13183950
Pelicula,Little Big Soldier,2010,2,tt1319718
Pelicula,Shank,2010,3,tt1320296
Pelicula,The Expendables,2010,8,tt1320253
Pelicula,La hora cero,2010,10,tt1322302
Pelicula,Fight or Flight,2010,4,tt1323917
Pelicula,Pangaa Gang,2010,1,tt13242972
Pelicula,The Twilight Saga: Eclipse,2010,6,tt1325004
Pelicula,Opération Casablanca,2010,10,tt1327808
Pelicula,Death Calls,2010,9,tt1328873
Pelicula,Bold Native,2010,,tt1328908
Pelicula,The Final Storm,2010,4,tt1331329
Pelicula,Kongen av Bastøy,2010,12,tt1332134
Pelicula,Shoot the Hero,2010,1,tt1332119
Pelicula,Raavan,2010,6,tt1334470
Pelicula,Fast Lane,2010,1,tt1335992
Pelicula,The Wylds,2010,8,tt1336619
Pelicula,Nokas,2010,10,tt1337366
Pelicula,Mei loi ging chat,2010,4,tt1337055
Pelicula,Brestskaya krepost,2010,11,tt1343703
Pelicula,Nude Nuns with Big Guns,2010,9,tt1352388
Pelicula,The Blue Seal,2010,7,tt1352672
Pelicula,Jaljala,2010,11,tt13624634
Pelicula,Inception,2010,7,tt1375666
Pelicula,Gunless,2010,4,tt1376195
Pelicula,Freight,2010,10,tt1376404
Pelicula,When Soldiers Cry,2010,2,tt1378811
Pelicula,Forged,2010,7,tt1380995
Pelicula,Die Bielefeld Verschwörung,2010,6,tt1381403
Pelicula,Cop Out,2010,3,tt1385867
Pelicula,The Other Guys,2010,11,tt1386588
Pelicula,The Dead,2010,9,tt1386925
Pelicula,Ip Man 2,2010,4,tt1386932
Pelicula,Baseline,2010,8,tt1390397
Pelicula,Desafío,2010,11,tt1392982
Pelicula,Once Upon a Time in Mumbaai,2010,7,tt1395054
Pelicula,Project Purgatory,2010,,tt1395783
Pelicula,Zatôichi: The Last,2010,5,tt1400558
Pelicula,Slime City Massacre,2010,3,tt1401631
Pelicula,Rage,2010,5,tt1403987
Pelicula,The Bannen Way,2010,1,tt1404830
Pelicula,Six Days in Paradise,2010,,tt1405414
Pelicula,Le baltringue,2010,1,tt1405807
Pelicula,Twelve,2010,1,tt1407084
Pelicula,Krantiveer: The Revolution,2010,6,tt1408029
Pelicula,13 Hrs,2010,8,tt1411232
Pelicula,Deyueru masutazu en no kizuna XX,2010,8,tt14128502
Pelicula,Gôruden suranbâ,2010,1,tt1413529
Pelicula,Tracker,2010,4,tt1414378
