,0,1,2,3,4,5,6
33,5.8,['Robert Young'],['Hugh Janes'],"A black comedy about an old rogue named Wally, who breaks all the rules to fulfill an old friends dying wish to be buried at sea.",88,wide blue yonder,2010
34,4.0,['Luis Barone'],"['Luis Barone', 'Juan Sasturain', 'Jesús de la Vega']","Set in a decaying Buenos Aires, a poor Argentine (Minujin) wrestles with his newly discovered superpowers.",103,zenitram,2010
35,8.6,['Alpesh Patel'],['Alpesh Patel'],"TOUCH WOOD is an outrageous mockumentary about an Indian movie producer Mr. Moto, who was once a hotshot movie producer in Bollywood (India). But his ultimate dream was to become a big time movie producer in Hollywood. Figuring that his fame would effortlessly carry over into Tinseltown, he set off to America some twenty odd years ago. Much to his dismay, he was unsuc... Leer todo",-,touch wood,2010
36,6.6,['Nicole Holofcener'],['Nicole Holofcener'],-,87,please give,2010
37,7.5,['Jeremy Osbern'],"['Chris Blunk', 'Jeremy Osbern']","Three musical stories of people who feel out of place in the world, and of their longing to find a connection with someone else. A middle-aged African American sings to a new love in a country/western bar, a young goth girl sings a '50s-style ballad as she wanders the streets with a broken heart, and a punk croons a modern doo-wop at a punk-rock show.",100,air: the musical,2010
38,3.7,['Benjamin Gourley'],['Benjamin Gourley'],"Leon and TJ are best friends and repo men. After ten years, with a high school reunion looming, Leon wants out of the repo business. TJ has concocted a hair-brained scheme to steal all the cars they've repoed. When the plan fails, it falls to Leon to save TJ from his own plan.",97,repo,2010
39,6.1,"['Josh Gordon', 'Will Speck']","['Jeffrey Eugenides', 'Allan Loeb']",-,101,the switch,2010
40,6.5,['Gary Winick'],"['Jose Rivera', 'Tim Sullivan']",-,105,letters to juliet,2010
41,6.3,['Mike Mitchell'],"['Josh Klausner', 'Darren Lemke', 'William Steig']",-,93,shrek forever after,2010
42,8.1,"['Dean De', 'Blois', 'Chris Sanders']","['William Davies', 'Dean De', 'Blois', 'Chris Sanders']",-,98,how to train your dragon,2010
43,6.9,['Griff Furst'],['Alex Yves'],A comedy about a young man from Switzerland who travels to Los Angeles to escape his dead-end life and to reconnect with a female pen pal with whom he has lost touch. Everything falls apart when the pen pal turns out to be a complete fraud and he is reunited with an old friend (a real trouble magnet) who keeps pulling him into the most awkward situations. The story ta... Leer todo,95,movin' in,2010
44,5.3,"['Edward Mc', 'Henry', 'Rory Mc', 'Henry']","['Edward Mc', 'Henry', 'Rory Mc', 'Henry']",A satirical alternative history of World War II where the Nazis seize London and England must band together to prevent a full-on invasion.,91,jackboots on whitehall,2010
45,6.7,['Antoinette Beumer'],"['Marnie Blok', 'Karin van Holst Pellekaan', 'Heleen van Royen']","After giving birth to her first child, a happily-married woman sees her picture-perfect life spiral out of control.",100,de gelukkige huisvrouw,2010
46,6.7,['Robert Rothbard'],"['Tony Devon', 'Robert Rothbard']",A sickly Mob Don's obsession that a pizza parlor owner is his missing long lost son.,99,pizza with bullets,2010
47,3.5,['Chris Levitus'],"['Kyle Kramer', 'David Martin', 'Chris Levitus']",-,89,the penthouse,2010
48,6.8,['Scott Buchanan'],"['Dale Buchanan', 'Scott Buchanan']","As Los Angeles grew to a population of over 5 million, crime was getting out of control. Budget cuts, low recruitment, and a rash of abuse lawsuits, left the LAPD unable to cope with the rising crime rate. In 2006 the city council passed proposition PSO357 authorizing PSO's (Private Security Officers) to handle all misdemeanor, infraction, and truancy cases. These are... Leer todo",84,private security officer: los angeles,2010
49,4.9,['Guy J. Louthan'],"['Guy J. Louthan', 'Neil Monaghan']","Made In Romania"" is the comedic story of a young producer who risks everything to try and break into more artistic productions. A financier agrees to finance the project but only if the production is filmed entirely in Romania.",95,made in romania,2010
50,8.0,['Patrick Franklin'],"['Patrick Franklin', 'Robert J. Wagstaff']","A fledgling filmmaker returns to his hometown to make a documentary about flowers and their significance at the major stages of human life. Obsessed with capturing reality, he is none too pleased when a sudden zombie uprising threatens his artistic vision. Unwilling to compromise, he resolves to shoot around the walking dead as if nothing unusual is actually happening... Leer todo",87,pushin' up daisies,2010
51,4.8,['Alfonso Arau'],"['Giovanna Cucinotta', 'Francesco Costa', 'Maria Grazia Cucinotta']","1905, the cinematograph has reached Southern Italy, and casts fear among the people to whom it seems a devilish trick. They call it ""o 'imbroglie din t'o lenzuolo"" - ""The Trick in the Sheet"", as white sheets were used for screening.",105,l'imbroglio nel lenzuolo,2010
52,4.5,['Rob Schneider'],"['Boon Collins', 'Rob Schneider']",A man finally finds faith in himself after the rest of world puts its faith in him; the sole being on earth who can save mankind from its own destruction - The Chosen One.,101,the chosen one,2010
53,5.5,['Paul Weitz'],"['Greg Glienna', 'Mary Ruth Clarke', 'John Hamburg']",-,98,little fockers,2010
54,5.1,['Erik White'],"['Abdul Williams', 'Erik White']",Kevin Carson is a young man living in the projects who has to survive a three-day weekend after his opportunistic neighbors find out he's holding a winning lottery ticket worth $370 million.,99,lottery ticket,2010
55,4.7,['Brooks Branch'],"['Brooks Branch', 'Linda Morris']","NYC, 1979: Gabriel and Annie's marriage is falling apart with only their daughter holding it together. Gabriel quits his architect job to become a playwright, writing about his life. Annie and Liz leave.",97,multiple sarcasms,2010
56,5.5,['Jim Fitzpatrick'],['Jim Fitzpatrick'],A group of kids take down a motorcycle gang.,83,adventure scouts,2010
57,7.3,"['Tom Mc', 'Grath']","['Alan Schoolcraft', 'Brent Simons']",-,95,megamind,2010
58,7.4,['Donald Flaherty Fajardo'],['Donald Flaherty Fajardo'],Four men discover the importance of friendship when one is faced with a life-altering decision.,91,the steamroom,2010
59,6.3,['James Mangold'],"[""Patrick O'Neill""]",-,109,knight and day,2010
60,5.1,['Kevin Munroe'],"['Thomas Dean Donnelly', 'Joshua Oppenheimer', 'Tiziano Sclavi']",-,108,dylan dog: dead of night,2010
61,5.2,['Kelly L. King'],"['Nicole Abisinio', 'Brandon Cotter']","A 20-something slacker girl meets a handsome rebel at her best friend's funeral. She partners up with him and through a series of cons, finds her path to independence and love.",93,prime of your life,2010
